Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002785515320334262,"Unsupervised large-scale vision-language pre-training has shown promising ad-
vances on various downstream tasks. Existing methods often model the cross-
modal interaction either via the similarity of the global feature of each modality
which misses sufﬁcient information, or ﬁner-grained interactions using cross/self-
attention upon visual and textual tokens. However, cross/self-attention suffers
from inferior efﬁciency in both training and inference. In this paper, we intro-
duce a large-scale Fine-grained Interactive Language-Image Pre-training (FILIP)
to achieve ﬁner-level alignment through a cross-modal late interaction mecha-
nism, which uses a token-wise maximum similarity between visual and textual
tokens to guide the contrastive objective. FILIP successfully leverages the ﬁner-
grained expressiveness between image patches and textual words by modifying
only contrastive loss, while simultaneously gaining the ability to pre-compute im-
age and text representations ofﬂine at inference, keeping both large-scale training
and inference efﬁcient. Furthermore, we construct a new large-scale image-text
pair dataset called FILIP300M for pre-training. Experiments show that FILIP
achieves state-of-the-art performance on multiple downstream vision-language
tasks including zero-shot image classiﬁcation and image-text retrieval. The visu-
alization on word-patch alignment further shows that FILIP can learn meaningful
ﬁne-grained features with promising localization ability."
INTRODUCTION,0.005571030640668524,"1
INTRODUCTION"
INTRODUCTION,0.008356545961002786,"Large-scale Vision-Language Pre-training (VLP) models like CLIP (Radford et al., 2021) and
ALIGN (Jia et al., 2021) have recently demonstrated success across various downstream tasks. They
learn visual and textual representations from millions of image-text pairs collected from the Internet
and show superior zero-shot ability and robustness. The core technique of these models lies in the
global contrastive alignment of the images and texts through a dual-stream model. Such architecture
is inference-efﬁcient for downstream tasks like retrieval because the encoders for the two modalities
can be decoupled and the image or text representations can be pre-computed ofﬂine. However, CLIP
and ALIGN model the cross-modal interaction via solely the similarity of the global feature of each
modality, lacking the ability of capturing ﬁner-level information like the relationship between visual
objects and textual words. In this paper, we develop a simple yet efﬁcient cross-modal ﬁner-grained
interaction mechanism for large-scale VLP."
INTRODUCTION,0.011142061281337047,"To achieve ﬁner-grained cross-modal interaction, previous methods mainly exploited two kinds of
methods. (1) One line of work (Chen et al., 2020; Li et al., 2020b; Dong et al., 2021; Li et al., 2021b;
Zhang et al., 2021; Zhan et al., 2021) uses a pre-trained object detector to extract region-of-interest
(ROI) features from images, and then fuses it with the paired text through a VLP model. This design
complicates the pre-training due to pre-computing and storing a large number of ROI features. In
addition, the zero-shot ability of these approaches is usually limited by the predeﬁned number of
classes and their performance is also restricted by the quality of the detector. (2) Another line of
work (Li et al., 2021a; Kim et al., 2021) enforces the token-wise or patch-wise representations from"
INTRODUCTION,0.013927576601671309,"∗Equal contribution
†Corresponding authors: xu.hang@huawei.com, xdliang328@gmail.com"
INTRODUCTION,0.016713091922005572,Published as a conference paper at ICLR 2022
INTRODUCTION,0.019498607242339833,"both modalities into the same space and models these ﬁner-grained interactions via cross-attention
(Li et al., 2021a) or self-attention (Kim et al., 2021). However, these methods are usually less ef-
ﬁcient in terms of both training and inference. In particular, during training, cross-attention in (Li
et al., 2021a) requires to be performed in an encoder-decoder structure, while the complexity of the
self-attention (Kim et al., 2021) grows quadratically with the length of the prolonged concatenated
sequences of both modalities. During inference, the data from both modalities are intertwined to
compute the cross-attention or self-attention, and can not be pre-computed ofﬂine as dual-stream
models like CLIP and ALIGN. This can be less efﬁcient for downstream tasks like image/text re-
trieval and image classiﬁcation."
INTRODUCTION,0.022284122562674095,"In this paper, we propose a large-scale Fine-grained Interactive Language-Image Pre-training frame-
work named FILIP to address these limitations. Inspired by Khattab & Zaharia (2020), we model
the ﬁne-grained semantic alignment through a novel cross-modal late interaction mechanism in the
contrastive loss, instead of using cross or self-attention. Speciﬁcally, our ﬁne-grained contrastive
learning uses a token-wise maximum similarity between visual and textual tokens to guide the con-
trastive objective. In this way, FILIP successfully leverages the ﬁner-grained expressiveness among
image patches and textual words while simultaneously gaining the ability to pre-compute image and
text representations ofﬂine. Unlike Khattab & Zaharia (2020), we discard the padded tokens and
use average instead summation of token-wise maximum similarities when computing the image-text
alignment, which enhances the cross-modal representation learning and stabilizes training. Further-
more, we construct a large-scale pre-training dataset named FILIP300M from the Internet. Data
cleaning and image-text data augmentation are also explored and proved useful in this work."
INTRODUCTION,0.025069637883008356,"Extensive experiments show that by effectively learning ﬁne-grained representations, FILIP achieves
state-of-the-art performance on multiple downstream tasks, including zero-shot image classiﬁcation
and image-text retrieval. For example, FILIP reaches 77.1% top-1 accuracy for zero-shot ImageNet
classiﬁcation, surpassing CLIP with less training data. Visualizations on word-patch alignment
further show that FILIP learns meaningful ﬁner-grained features with promising localization ability."
RELATED WORK,0.027855153203342618,"2
RELATED WORK"
