Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0018083182640144665,"Deep neural networks have found widespread adoption in solving image recognition
and natural language processing tasks. However, they make conﬁdent mispredic-
tions when presented with data that does not belong to the training distribution, i.e.
out-of-distribution (OoD) samples. Inter-class mixup has been shown to improve
model calibration aiding OoD detection. However, we show that both empirical risk
minimization and inter-class mixup create large angular spread in latent representa-
tion. This reduces the separability of in-distribution data from OoD data. In this
paper we propose intra-class mixup supplemented with angular margin to improve
OoD detection. Angular margin is the angle between the decision boundary normal
and sample representation. We show that intra-class mixup forces the network to
learn representations with low angular spread in the latent space. This improves
the separability of OoD from in-distribution examples. Our approach when applied
to various existing OoD detection techniques shows an improvement of 4.68% and
6.08% in AUROC performance over empirical risk minimization and inter-class
mixup, respectively. Further, our approach aided with angular margin improves
AUROC performance by 7.36% and 9.10% over empirical risk minimization and
inter-class mixup, respectively."
INTRODUCTION,0.003616636528028933,"1
INTRODUCTION"
INTRODUCTION,0.0054249547920434,"Deep Learning has been employed by many state of the art machine learning models to effectively
solve image recognition (Krizhevsky et al., 2012; LeCun et al., 2015) and natural language processing
(Andor et al., 2016) tasks. Despite their effectiveness, recent research has shown the existence of
inputs (Goodfellow et al., 2015b; Nguyen et al., 2015) that lead these networks to make conﬁdent
mispredictions. Two classes of such inputs have emerged in literature. The ﬁrst class, adversarial
examples (Bruna et al., 2014; Goodfellow et al., 2015a; Kurakin et al., 2017), are speciﬁcally crafted
inputs with the intent of fooling deep neural nets. The second class dubbed Out-of-Distribution (OoD)
(Nguyen et al., 2015) examples are examples that do not belong to the underlying true distribution
that the training dataset is drawn from. High conﬁdence of the networks on such OoD examples
makes it difﬁcult to identify false classiﬁcations and poses a challenge to their deployment in safety
critical scenarios (Amodei et al., 2016), from medical diagnosis to self driving applications."
INTRODUCTION,0.007233273056057866,"To address this problem several methods have been proposed which aim to identify out-of-distribution
samples. In the context of deep learning, OoD detection methods can be broadly classiﬁed into two
categories, generative and discriminative methods. Generative methods use various techniques such
as Gaussian Discriminant Analysis (Lee et al., 2018b), Generative Adversarial Networks (GANs)
(Deecke et al., 2018; Lee et al., 2018a; Ren et al., 2019) or more generic generative methods (Wang
et al., 2017) to model the underlying distribution and separate in-distribution samples from OoD
samples. On the other hand, discriminative methods (Hendrycks & Gimpel, 2017; Hendrycks et al.,
2019; Hsu et al., 2020; Liang et al., 2018; Liu et al., 2020) detect OoD samples based on measures
such as softmax probability (Hendrycks & Gimpel, 2017; Hendrycks et al., 2019), energy scores (Liu
et al., 2020) or other metrics computed from the trained network. Most of these metrics are a proxy
for the distance of the sample representation from the decision boundary (l2 margin in Figure 1a).
Further, we show that existing techniques such as empirical risk minimization (ERM) and inter-class
mixup (Zhang et al., 2018) result in networks learning representations that have large spread. This
large spread creates broad overlapping representations for in-distribution and OoD data, making it
hard to separate in-distribution data from OoD data. Additionally, the use of metrics that are proxies"
INTRODUCTION,0.009041591320072333,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0108499095840868,"for distance from decision boundary have a disadvantage when OoD points have similar margin as
in-distribution data. For example, consider point “(b) OoD” in Figure 1a where the OoD data point is
far from the class representation and has similar l2 margin as in-distribution data; this OoD point will
have similar OoD metric scores as in-distribution data. Using angular margin would help separate
OoD data in such a case. To account for these factors, we propose intra-class mixup supplemented
with angular margin (refer to Figure 1a) to improve OoD detection where angular margin is the angle
between the normal to the decision boundary and the sample representation."
INTRODUCTION,0.012658227848101266,"(a) Visualizing angular margin θ and l2 margin.
(b) Intra-class mixup."
INTRODUCTION,0.014466546112115732,"(c) Inter-class mixup.
(d) ERM."
INTRODUCTION,0.0162748643761302,"Figure 1: Visualizing improved OoD separability of intra-class mixup trained ResNet18 model.
SVHN was the in-distribution dataset and TinyImageNet was used as OoD dataset. For all the
representations un-mixed inputs were used."
INTRODUCTION,0.018083182640144666,"We show that the proposed intra-class mixup forces the network to learn latent representations
with low variance (i.e. small spread), thus improving in-distribution and OoD separability. This is
visualized in Figure 1, which plots the angular margin vs. l2 margin for in-distribution and OoD data
for ERM, inter-class mixup and intra-class mixup. Further, we show that intra-class mixup trained,
angular margin augmented OoD detector achieves on average 7.36% and 9.10% improvement in
AUROC performance over ERM and inter-class mixup, respectively."
INTRODUCTION,0.019891500904159132,In summary the contributions of this paper are as follows:
