Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004878048780487805,"Deep learning-based Multi-Task Classiﬁcation (MTC) is widely used in applica-
tions like facial attribute and healthcare that warrant strong privacy guarantees. In
this work, we aim to protect sensitive information in the inference phase of MTC
and propose a novel Multi-Trigger-Key (MTK) framework to achieve the privacy-
preserving objective. MTK associates each secured task in the multi-task dataset
with a speciﬁcally designed trigger-key. The true information can be revealed by
adding the trigger-key if the user is authorized. We obtain such an MTK model by
training it with a newly generated training set. To address the information leak-
age malaise resulting from correlations among different tasks, we generalize the
training process by incorporating an MTK decoupling process with a controllable
trade-off between the protective efﬁcacy and the model performance. Theoretical
guarantees and experimental results demonstrate the effectiveness of the privacy
protection without appreciable hindering on the model performance."
INTRODUCTION,0.00975609756097561,"1
INTRODUCTION"
INTRODUCTION,0.014634146341463415,"Multi-task classiﬁcation (MTC) is a category of multi-task learning (MTL) and a generalization
of multi-class classiﬁcation (Zhang & Yang, 2021). In MTC, several tasks are predicted simulta-
neously, and each of them is a multi-class classiﬁcation. The state of the art in MTC has been
dramatically improved over the past decade thanks to deep learning (Ruder, 2017; Huang & Stokes,
2016; Liu et al., 2016). Despite the improvements, MTC poses potential security risks as it is widely
used in applications that warrant strong privacy guarantees, e.g., visual attributes (Saraﬁanos et al.,
2017) and healthcare (Amyar et al., 2020)."
INTRODUCTION,0.01951219512195122,"Due to the data-intensive nature of supervised deep learning, many works focus on data privacy-
preserving in the single-task case (Shokri & Shmatikov, 2015; Chamikara et al., 2020). By contrast,
only a few works consider sensitive information leakage in MTC (Baytas et al., 2016; Liu et al.,
2018; Pathak et al., 2010; Gupta et al., 2016; Liang et al., 2020). Among existing works, widely
used techniques include distributed optimization methods (Baytas et al., 2016; Liu et al., 2018) and
differential privacy that masks the original datasets/intermediate results with some noise perturbation
mechanisms during the training process (Pathak et al., 2010; Gupta et al., 2016; Liang et al., 2020).
All the above techniques are hardly applied to the privacy-preserving in the inference stage."
INTRODUCTION,0.024390243902439025,"In this work, we develop a novel privacy-preserving framework called Multi-Trigger-key (MTK),
which targets sensitive information protection in the inference phase of MTC. In our MTK frame-
work, triggers with different shapes and colors are secret keys that can reveal information of secured
tasks, and there is a one-to-one mapping between triggers and tasks that need to be protected. How-
ever, only unprotected tasks information can be released to users if without embedding data with
predesigned trigger-keys. Such a framework allows a hierarchy of authority levels and is extremely
efﬁcient once the model has been trained with a new set of processed training data. Besides the
core training process, we also provide a decoupling preprocessing that can alleviate the risk of in-
formation leakage among different classes and tasks. While MTK can be applied to protect privacy
in different applications, in this paper, we restrict attention to visual attribute classiﬁcation in the
image domain."
INTRODUCTION,0.02926829268292683,"Contributions
We make the following contributions:"
INTRODUCTION,0.03414634146341464,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03902439024390244,"Figure 1: Overview of the Multi-Trigger-Key framework. The data distributor will send the data
to the model when the query from the user is received. Without any secret key (i.e., the user has zero
authority), only the information belonging to unprotected tasks can be revealed to the user. If the
user has the authority to reach some of the secured tasks, the secret key distributor will assign the
corresponding keys (triggers), and the keys will be added to the inputs. Each key can reveal one task
of the secured tasks. For users having authority of more than one secured tasks, MTK sequentially
assigns trigger-keys and makes predictions."
INTRODUCTION,0.04390243902439024,"• We propose a novel Multi-Trigger-Key (MTK) framework that protects the sensitive information
in the multi-task classiﬁcation problems and allows assigning different levels of authority to users."
INTRODUCTION,0.04878048780487805,"• We consider the information leakage resulting from correlations among classes in different tasks
and propose a decoupling method to alleviate the risk."
INTRODUCTION,0.05365853658536585,"• We conduct a comprehensive study of the MTK on the UTKFace dataset (Zhang et al., 2017),
showing that MTK can simultaneously protect secured tasks and maintain the prediction accuracy
of all tasks."
RELATED WORK,0.05853658536585366,"1.1
RELATED WORK"
RELATED WORK,0.06341463414634146,"Multi-task learning (MTL).
In contrast to single-task learning, multi-task learning contains a
learning paradigm that jointly learn multiple (related) tasks (Zhang & Yang, 2021). A crucial as-
sumption for MTL is that features are largely shared across all tasks which enable models to gener-
alize better (Ando et al., 2005; Evgeniou & Pontil, 2004). Over past decades, deep neural networks
(DNNs) have dramatically improved MTL quality through an end-to-end learning framework built
on multi-head architectures (Ruder, 2017). Supervised MTL has been used successfully across all
applications of machine learning, include classiﬁcation (Yin & Liu, 2017; Cavallanti et al., 2010) and
regression (Kim & Xing, 2010) problems. In this paper, we focus on the multi-task classiﬁcation,
which are widely used in visual attribute (Saraﬁanos et al., 2017), dynamic malware classiﬁcation
(Huang & Stokes, 2016), healthcare (Amyar et al., 2020), and text classiﬁcation (Liu et al., 2016)
etc. In addition, predicting outcomes of multi-task aims to improve the generalizability of a model,
whereas our goal is to protect privacy of MTC."
RELATED WORK,0.06829268292682927,"Privacy-preserving in MTL.
The wide applications of MTL bring concern of privacy exposure.
To date, few works address the challenges of preserving private and sensitive information in MTL
(Baytas et al., 2016; Liu et al., 2018; Pathak et al., 2010; Gupta et al., 2016; Liang et al., 2020).
(Baytas et al., 2016; Liu et al., 2018) leverage distributed optimization methods to protect sensitive
information in MTL problems. Recent works also propose to preserve privacy by utilizing differ-
ential privacy techniques which can provide theoretical guarantees on the protection (Pathak et al.,
2010; Gupta et al., 2016). For example, (Pathak et al., 2010) proposed a differentially private ag-
gregation (DP-AGGR) method that averages the locally trained models and (Gupta et al., 2016)"
RELATED WORK,0.07317073170731707,Under review as a conference paper at ICLR 2022
RELATED WORK,0.07804878048780488,"proposed a differentially private multitask relationship learning (DP-MTRL) method that enjoys a
strong theoretical guarantee under closed-form solution. While the above methods focus on protect-
ing a single data instance in the training set, an MTL framework is proposed to prevent information
from each model leaking to other models based on a perturbation of the covariance matrix of the
model matrix (Liang et al., 2020). All these works aim to protect privacy in training datasets. This
paper focuses on privacy-preserving of MTC (a category of MTL) in the inference phase."
RELATED WORK,0.08292682926829269,"Relations to backdoor attack.
Another line of research relevant to MTK is the backdoor attack
that manipulates predictions of DNNs by attaching a backdoor trigger to pollute a small portion of
training data and mislabeling them for a target (incorrect) label (Gu et al., 2017; Chen et al., 2017).
Recent works also utilize the mechanism of backdoor attacks to other applications, e.g., turning
backdoor attack into a tool to claim ownership (Adi et al., 2018). Unlike the existing works on
backdoor attacks that push inputs to a ﬁxed class region, MTK designs multiple triggers as secret
keys that each of them can real partial information of inputs."
OVERVIEW OF THE MULTI-TRIGGER-KEY FRAMEWORK,0.08780487804878048,"1.2
OVERVIEW OF THE MULTI-TRIGGER-KEY FRAMEWORK"
OVERVIEW OF THE MULTI-TRIGGER-KEY FRAMEWORK,0.09268292682926829,"The MTK framework contains three major components - Data distributor, secret key distributor, and
a fully protected MTK model. The user ﬁrst requests a data source from the data distributor. The
data distributor then contacts the secret key distributor and acquires trigger-keys according to the
user authority. In MTK, trigger-keys are pre-designed with different shapes and colors. Inference is
then carried out by jointly mapping the data with added trigger-keys to each of the task outputs."
OVERVIEW OF THE MULTI-TRIGGER-KEY FRAMEWORK,0.0975609756097561,"Figure 1 provides an overview of the MTK framework. The use of the MTK framework enables
the following scenarios: (1) Without any secret key, only the information belonging to unprotected
tasks can be revealed to the user (in this case, the gender prediction task), and the secured tasks
can keep conﬁdential with random outputs. (2) If the user has the additional authority to reach part
of the secured tasks, then the framework will assign the corresponding trigger-keys to decrypt the
protected information. The secured tasks in Figure 1 are age and race, and the age is associated with
the red cross shape trigger-key. In this paper, we consider the sequential prediction process, i.e.,
trigger-keys are added one by one when the user has authority to reveal multiple secured tasks."
BUILDING MULTI-TRIGGER-KEY MODEL,0.1024390243902439,"2
BUILDING MULTI-TRIGGER-KEY MODEL"
