Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017452006980802793,"Recent years have witnessed the widespread use of artificial intelligence (AI)
1"
ABSTRACT,0.0034904013961605585,"algorithms and machine learning (ML) models. Despite their tremendous success,
2"
ABSTRACT,0.005235602094240838,"a number of vital problems like ML model brittleness, their fairness, and the lack
3"
ABSTRACT,0.006980802792321117,"of interpretability warrant the need for the active developments in explainable
4"
ABSTRACT,0.008726003490401396,"artificial intelligence (XAI) and formal ML model verification. The two major
5"
ABSTRACT,0.010471204188481676,"lines of work in XAI include feature selection methods, e.g. Anchors, and feature
6"
ABSTRACT,0.012216404886561954,"attribution techniques, e.g. LIME and SHAP. Despite their promise, most of the
7"
ABSTRACT,0.013961605584642234,"existing feature selection and attribution approaches are susceptible to a range of
8"
ABSTRACT,0.015706806282722512,"critical issues, including explanation unsoundness and out-of-distribution sampling.
9"
ABSTRACT,0.017452006980802792,"A recent formal approach to XAI (FXAI) although serving as an alternative to the
10"
ABSTRACT,0.019197207678883072,"above and free of these issues suffers from a few other limitations. For instance and
11"
ABSTRACT,0.020942408376963352,"besides the scalability limitation, the formal approach is unable to tackle the feature
12"
ABSTRACT,0.02268760907504363,"attribution problem. Additionally, a formal explanation despite being formally
13"
ABSTRACT,0.02443280977312391,"sound is typically quite large, which hampers its applicability in practical settings.
14"
ABSTRACT,0.02617801047120419,"Motivated by the above, this paper proposes a way to apply the apparatus of formal
15"
ABSTRACT,0.027923211169284468,"XAI to the case of feature attribution based on formal explanation enumeration.
16"
ABSTRACT,0.029668411867364748,"Formal feature attribution (FFA) is argued to be advantageous over the existing
17"
ABSTRACT,0.031413612565445025,"methods, both formal and non-formal. Given the practical complexity of the
18"
ABSTRACT,0.03315881326352531,"problem, the paper then proposes an efficient technique for approximating exact
19"
ABSTRACT,0.034904013961605584,"FFA. Finally, it offers experimental evidence of the effectiveness of the proposed
20"
ABSTRACT,0.03664921465968586,"approximate FFA in comparison to the existing feature attribution algorithms not
21"
ABSTRACT,0.038394415357766144,"only in terms of feature importance and but also in terms of their relative order.
22"
INTRODUCTION,0.04013961605584642,"1
Introduction
23"
INTRODUCTION,0.041884816753926704,"Thanks to the unprecedented fast growth and the tremendous success, Artificial Intelligence (AI)
24"
INTRODUCTION,0.04363001745200698,"and Machine Learning (ML) have become a universally acclaimed standard in automated decision
25"
INTRODUCTION,0.04537521815008726,"making causing a major disruption in computing and the use of technology in general [1, 29, 35, 47].
26"
INTRODUCTION,0.04712041884816754,"An ever growing range of practical applications of AI and ML, on the one hand, and a number of
27"
INTRODUCTION,0.04886561954624782,"critical issues observed in modern AI systems (e.g. decision bias [3] and brittleness [64]), on the
28"
INTRODUCTION,0.0506108202443281,"other hand, gave rise to the quickly advancing area of theory and practice of Explainable AI (XAI).
29"
INTRODUCTION,0.05235602094240838,"Numerous methods exist to explain decisions made by what is called black-box ML models [46, 48].
30"
INTRODUCTION,0.05410122164048865,"Here, model-agnostic approaches based on random sampling prevail [46], with the most popular
31"
INTRODUCTION,0.055846422338568937,"being feature selection [56] and feature attribution [40, 56] approaches. Despite their promise, model-
32"
INTRODUCTION,0.05759162303664921,"agnostic approaches are susceptible to a range of critical issues, like unsoundness of explanations [21,
33"
INTRODUCTION,0.059336823734729496,"24] and out-of-distribution sampling [34, 62], which exacerbates the problem of trust in AI.
34"
INTRODUCTION,0.06108202443280977,"An alternative to model-agnostic explainers is represented by the methods building on the success of
35"
INTRODUCTION,0.06282722513089005,"formal reasoning applied to the logical representations of ML models [42, 61]. Aiming to address
36"
INTRODUCTION,0.06457242582897033,"the limitations of model-agnostic approaches, formal XAI (FXAI) methods themselves suffer from
37"
INTRODUCTION,0.06631762652705062,"a few downsides, including the lack of scalability and the requirement to build a complete logical
38"
INTRODUCTION,0.06806282722513089,T1 (≥50k)
INTRODUCTION,0.06980802792321117,Status = Married?
INTRODUCTION,0.07155322862129145,"Education = Dropout?
Rel. = Not-in-family?"
INTRODUCTION,0.07329842931937172,"-0.1569
0.0770
-0.1089
-0.3167"
INTRODUCTION,0.07504363001745201,"yes
no"
INTRODUCTION,0.07678883071553229,"yes
no
yes
no"
INTRODUCTION,0.07853403141361257,T2 (≥50k)
INTRODUCTION,0.08027923211169284,Hours/w ≤40?
INTRODUCTION,0.08202443280977312,"Status = Married?
Status = Never-Married?"
INTRODUCTION,0.08376963350785341,"-0.0200
-0.2404
-0.1245
0.0486"
INTRODUCTION,0.08551483420593368,"yes
no"
INTRODUCTION,0.08726003490401396,"yes
no
yes
no"
INTRODUCTION,0.08900523560209424,T3 (≥50k)
INTRODUCTION,0.09075043630017451,Education = Doctorate?
INTRODUCTION,0.0924956369982548,"40 < Hours/w ≤45?
Rel. = Own-child?"
INTRODUCTION,0.09424083769633508,"0.0605
0.3890
-0.2892
-0.0580"
INTRODUCTION,0.09598603839441536,"yes
no"
INTRODUCTION,0.09773123909249563,"yes
no
yes
no"
INTRODUCTION,0.09947643979057591,Figure 1: Example boosted tree model [12] trained on the well-known adult classification dataset.
INTRODUCTION,0.1012216404886562,|||||||||| 0.03
INTRODUCTION,0.10296684118673648,Hours/w <= 40
INTRODUCTION,0.10471204188481675,|||||||||| -0.03
INTRODUCTION,0.10645724258289703,Relationship: Not-in-family
INTRODUCTION,0.1082024432809773,|||||||||| 0.07
INTRODUCTION,0.1099476439790576,Status: Separated
INTRODUCTION,0.11169284467713787,(a) LIME
INTRODUCTION,0.11343804537521815,|||||||||
INTRODUCTION,0.11518324607329843,"0.01
Education: Bachelors"
INTRODUCTION,0.1169284467713787,|||||||||
INTRODUCTION,0.11867364746945899,"0.09
Status: Separated"
INTRODUCTION,0.12041884816753927,|||||||||
INTRODUCTION,0.12216404886561955,"0.11
Hours/w <= 40"
INTRODUCTION,0.12390924956369982,|||||||||
INTRODUCTION,0.1256544502617801,"-0.12
Relationship: Not-in-family"
INTRODUCTION,0.1273996509598604,(b) SHAP
INTRODUCTION,0.12914485165794065,"X 1 = { Education, Hours/w }"
INTRODUCTION,0.13089005235602094,"IF
Education = Bachelors
AND
Hours/w ≤40
THEN Target <50k"
INTRODUCTION,0.13263525305410123,"X 2 = { Education, Status }"
INTRODUCTION,0.1343804537521815,"IF
Education = Bachelors
AND
Status = Separated
THEN Target <50k"
INTRODUCTION,0.13612565445026178,(c) AXp’s X1 and X2
INTRODUCTION,0.13787085514834205,|||||||||| 0.50
INTRODUCTION,0.13961605584642234,Status: Separated
INTRODUCTION,0.14136125654450263,|||||||||| 0.50
INTRODUCTION,0.1431064572425829,Hours/w <= 40
INTRODUCTION,0.14485165794066318,|||||||||| 1.00
INTRODUCTION,0.14659685863874344,Education: Bachelors
INTRODUCTION,0.14834205933682373,(d) FFA
INTRODUCTION,0.15008726003490402,"Figure 2: Examples of feature attribution reported by LIME and SHAP, as well as both AXp’s (no
more AXp’s exist) followed by FFA for the instance v shown in Example 1."
INTRODUCTION,0.1518324607329843,"representation of the ML model. Formal explanations also tend to be larger than their model-agnostic
39"
INTRODUCTION,0.15357766143106458,"counterparts because they do not reason about (unknown) data distribution [65]. Finally and most
40"
INTRODUCTION,0.15532286212914484,"importantly, FXAI methods have not been applied so far to answer feature attribution questions.
41"
INTRODUCTION,0.15706806282722513,"Motivated by the above, we define a novel formal approach to feature attribution, which builds on the
42"
INTRODUCTION,0.15881326352530542,"success of existing FXAI methods [42]. By exhaustively enumerating all formal explanations, we can
43"
INTRODUCTION,0.16055846422338568,"give a crisp definition of formal feature attribution (FFA) as the proportion of explanations in which
44"
INTRODUCTION,0.16230366492146597,"a given feature occurs. We argue that formal feature attribution is hard for the second level of the
45"
INTRODUCTION,0.16404886561954624,"polynomial hierarchy. Although it can be challenging to compute exact FFA in practice, we show that
46"
INTRODUCTION,0.16579406631762653,"existing anytime formal explanation enumeration methods can be applied to efficiently approximate
47"
INTRODUCTION,0.16753926701570682,"FFA. Our experimental results demonstrate the effectiveness of the proposed approach in practice
48"
INTRODUCTION,0.16928446771378708,"and its advantage over SHAP and LIME given publicly available tabular and image datasets, as well
49"
INTRODUCTION,0.17102966841186737,"as on a real application of XAI in the domain of Software Engineering [45, 52].
50"
BACKGROUND,0.17277486910994763,"2
Background
51"
BACKGROUND,0.17452006980802792,"This section briefly overviews the status quo in XAI and background knowledge the paper builds on.
52"
CLASSIFICATION PROBLEMS,0.1762652705061082,"2.1
Classification Problems
53"
CLASSIFICATION PROBLEMS,0.17801047120418848,"Classification problems consider a set of classes K = {1, 2, . . . , k}1, and a set of features F =
54"
CLASSIFICATION PROBLEMS,0.17975567190226877,"{1, . . . , m}. The value of each feature i ∈F is taken from a domain Di, which can be categorical
55"
CLASSIFICATION PROBLEMS,0.18150087260034903,"or ordinal, i.e. integer, real-valued or Boolean. Therefore, the complete feature space is defined as
56"
CLASSIFICATION PROBLEMS,0.18324607329842932,"F ≜Qm
i=1 Di. A concrete point in feature space is represented by v = (v1, . . . , vm) ∈F, where
57"
CLASSIFICATION PROBLEMS,0.1849912739965096,"each component vi ∈Di is a constant taken by feature i ∈F. An instance or example is denoted
58"
CLASSIFICATION PROBLEMS,0.18673647469458987,"by a specific point v ∈F in feature space and its corresponding class c ∈K, i.e. a pair (v, c)
59"
CLASSIFICATION PROBLEMS,0.18848167539267016,"represents an instance. Additionally, the notation x = (x1, . . . , xm) denotes an arbitrary point in
60"
CLASSIFICATION PROBLEMS,0.19022687609075042,"feature space, where each component xi is a variable taking values from its corresponding domain Di
61"
CLASSIFICATION PROBLEMS,0.19197207678883071,"and representing feature i ∈F. A classifier defines a non-constant classification function κ : F →K.
62"
CLASSIFICATION PROBLEMS,0.193717277486911,"Many ways exist to learn classifiers κ given training data, i.e. a collection of labeled instances (v, c),
63"
CLASSIFICATION PROBLEMS,0.19546247818499127,"including decision trees [23] and their ensembles [11, 12], decision lists [57], neural networks [35],
64"
CLASSIFICATION PROBLEMS,0.19720767888307156,"etc. Hereinafter, this paper considers boosted tree (BT) models trained with the use of XGBoost [12].
65"
CLASSIFICATION PROBLEMS,0.19895287958115182,"Example 1. Figure 1 shows a BT model trained for a simplified version of the adult dataset [33]. For
66"
CLASSIFICATION PROBLEMS,0.2006980802792321,"a data instance v = {Education = Bachelors, Status = Separated, Occupation = Sales, Relation-
67"
CLASSIFICATION PROBLEMS,0.2024432809773124,"1Any set of classes {c1, . . . , ck} can always be mapped into the set of the corresponding indices {1, . . . , k}."
CLASSIFICATION PROBLEMS,0.20418848167539266,"ship = Not-in-family, Sex = Male, Hours/w ≤40}, the model predicts <50k because the sum of the
68"
CLASSIFICATION PROBLEMS,0.20593368237347295,"weights in the 3 trees for this instance equals −0.4073 = (−0.1089 −0.2404 −0.0580) < 0.
69"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.20767888307155322,"2.2
ML Model Interpretability and Post-Hoc Explanations
70"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2094240837696335,"Interpretability is generally accepted to be a subjective concept, without a formal definition [39].
71"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2111692844677138,"One way to measure interpretability is in terms of the succinctness of information provided by an
72"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.21291448516579406,"ML model to justify a given prediction. Recent years have witnessed an upsurge in the interest in
73"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.21465968586387435,"devising and applying interpretable models in safety-critical applications [48, 58]. An alternative to
74"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2164048865619546,"interpretable models is post-hoc explanation of black-box models, which this paper focuses on.
75"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2181500872600349,"Numerous methods to compute explanations have been proposed recently [46, 48]. The lion’s share
76"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2198952879581152,"of these comprise what is called model-agnostic approaches to explainability [40, 55, 56] of heuristic
77"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.22164048865619546,"nature that resort to extensive sampling in the vicinity of an instance being explained in order to
78"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.22338568935427575,"“estimate” the behavior of the classifier in this local vicinity of the instance. In this regard, they rely
79"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.225130890052356,"on estimating input data distribution by building on the information about the training data [34].
80"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2268760907504363,"Depending on the form of explanations model-agnostic approaches offer, they are conventionally
81"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.2286212914485166,"classified as feature selection or feature attribution approaches briefly discussed below.
82"
ML MODEL INTERPRETABILITY AND POST-HOC EXPLANATIONS,0.23036649214659685,"Feature Selection.
A feature selection approach identifies subsets of features that are deemed
83"
