Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001996007984031936,"The grokking phenomenon as reported by Power et al. [13] refers to a regime where
1"
ABSTRACT,0.003992015968063872,"a long period of overfitting is followed by a seemingly sudden transition to perfect
2"
ABSTRACT,0.005988023952095809,"generalization. In this paper, we attempt to reveal the underpinnings of Grokking
3"
ABSTRACT,0.007984031936127744,"via a series of empirical studies. Specifically, we uncover an optimization anomaly
4"
ABSTRACT,0.00998003992015968,"plaguing adaptive optimizers at extremely late stages of training, referred to as
5"
ABSTRACT,0.011976047904191617,"the Slingshot Mechanism. A prominent artifact of the Slingshot Mechanism can
6"
ABSTRACT,0.013972055888223553,"be measured by the cyclic phase transitions between stable and unstable training
7"
ABSTRACT,0.015968063872255488,"regimes, and can be easily monitored by the cyclic behavior of the norm of the
8"
ABSTRACT,0.017964071856287425,"last layers weights. We empirically observe that without explicit regularization,
9"
ABSTRACT,0.01996007984031936,"Grokking as reported in [13] almost exclusively happens at the onset of Slingshots,
10"
ABSTRACT,0.021956087824351298,"and is absent without it. While common and easily reproduced in more general
11"
ABSTRACT,0.023952095808383235,"settings, the Slingshot Mechanism does not follow from any known optimization
12"
ABSTRACT,0.02594810379241517,"theories that we are aware of, and can be easily overlooked without an in depth
13"
ABSTRACT,0.027944111776447105,"examination. Our work points to a surprising and useful inductive bias of adaptive
14"
ABSTRACT,0.029940119760479042,"gradient optimizers at late stages of training, calling for a revised theoretical
15"
ABSTRACT,0.031936127744510975,"analysis of their origin.
16"
ABSTRACT,0.033932135728542916,"Norm
growth"
ABSTRACT,0.03592814371257485,"Loss
spike"
ABSTRACT,0.03792415169660679,"Norm
plateau"
ABSTRACT,0.03992015968063872,Slingshot
