Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.007462686567164179,"Time series forecasting is the process of using time series data to create a predic-
tion model. Long-short term memory (LSTM) models are the state-of-the-art for
time-series forecasting. However, LSTMs can handle limited length input mostly
since when the samples enter the model in sequence, the oldest samples need to
propagate through the LSTM cells self loop for each new sample and thus their
data diminishes in this process. This limits the length of the history that can be
used in the training for each time epoch. The common way of handling this prob-
lem is by partitioning time records to uniform intervals, averaging each interval,
and feeding the LSTM with rather short sequences, but each represents data from
a longer history.
In this paper, we show that this common data aggregation method is far from
optimal. We generalize the method of partitioning the data, and suggest an Ex-
ponential partitioning. We show that non-uniformly partitioning, and especially
Exponential partitioning improves LSTM accuracy, signiﬁcantly. Using other ag-
gregation functions (such as median or maximum) are shown to further improve
the accuracy. Overall, using 7 public datasets we show an improvement in accu-
racy by 6% to 27%."
INTRODUCTION,0.014925373134328358,"1
INTRODUCTION"
INTRODUCTION,0.022388059701492536,"Predicting the future has always been a task humans found hard to accomplish. In the last decade,
many systems have surrounded themselves with multi-variate tracing, recording many variables
throughout time. Natural systems such as weather and rivers, ﬁnancial systems such as the stock
market and Bitcoin and global epidemics, all are recorded."
INTRODUCTION,0.029850746268656716,"This rise of big data allowed machine learning algorithms to predict the future with great accuracy.
The mentioned systems can be described using a single variable over time, namely univariate time
series, or several variables altogether as a multivariate time series. In both cases, one variable is
marked as the important one whom we’d like to predict."
INTRODUCTION,0.03731343283582089,"However, typically, machine learning models are not capable of handling long time series. As the
input intake to the model (more samples) grows wider, the model is required to adjust more internal
weights to learn the dependencies in the data. So while additional data appears to be always an
advantage, it affects learning speed but also learning accuracy."
INTRODUCTION,0.04477611940298507,"To overcome the trade-off between the will to accommodate as much data as possible and the en-
gineering limitation of the learning process it is common to aggregate the data at the model input.
Namely, a long data sequence is used, but the input to the model is kept small by partitioning the
data to equal size intervals and using the average of the samples in each interval (Li et al., 2017; Yu
et al., 2017; Petersen et al., 2019; Zheng et al., 2020; Farhi et al., 2021). This enables to preserve
the model size modest while still looking far to the past."
INTRODUCTION,0.05223880597014925,"We observe here that this standard way of aggregation cannot be optimal since obviously the data
closer to the present (“newer”) is more important than older data, but it is still aggregated similarly.
Thus, we suggest an aggregation method that increases the aggregated interval length exponentially
as we look farther back in time. Additionally, we question the use of averaging as the best aggrega-
tion function."
INTRODUCTION,0.05970149253731343,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.06716417910447761,"Figure 1: The stimation error for optimal Linear estimators as a function of the interval partition
point."
INTRODUCTION,0.07462686567164178,"In this paper, we study our Exponential partitioning and show using seven publicly available datasets
that indeed it performs much better than the uniform partitioning that is commonly practiced – an
improvement of 6.4-27% in the RMSE of the prediction. Interestingly, the best results were usually
achieved for slow Exponential grows where the exponent base is in the range [1.05, 1.1]."
INTRODUCTION,0.08208955223880597,"We also study other aggregation methods for the intervals (sample partitions) and found a more
complex picture. Median was the best aggregation function for most of the datasets, however average
was still the best for others, and in one case Maximum was the best aggregation function. We also
tested a combination of two functions but could only achieve minor improvements. The source-code
for our Exponential partitioning is available at http://www.github.com/TBD."
MOTIVATION,0.08955223880597014,"2
MOTIVATION"
MOTIVATION,0.09701492537313433,"To motivate our approach, consider the simplest case of estimating the future value of a number
series using a linear estimator, which is based only on two values of the series. To model this,
suppose the series is generated by some function and we can sample the function in the interval
[xs, xe] and want to predict the value at xp > xe."
MOTIVATION,0.1044776119402985,"Similarly to the practice in long time series entry to LSTM, instead of selecting the series (function)
value at two points in the interval, we can calculate the average of sub-intervals. Equation 1 and
Equation 2 show the calculated two points, as a function of k, a value within the interval (not
necessarily the middle of it)."
MOTIVATION,0.11194029850746269,"Equation 3 is the linear estimator and Equation 4 calculates the difference between the actual value
and the predicted value using a linear estimator. Figure 1 show the calculated differences for the
Sine (sin(15 · X)) and Log (log2 X) functions with the linear interpolation that were done with the
interval [1, 7] where k varies in the interval (1, 7) and the predicted value is at 8. The graphs clearly
show that the optimal partition is not in the middle of the interval and selecting a partition close
to the end of the interval is optimal. Similar results were obtained with a second order Lagrange
polynomial interpolation."
MOTIVATION,0.11940298507462686,x1(k) = k + xs
MOTIVATION,0.12686567164179105,"2
x2(k) = xe + k 2
(1)"
MOTIVATION,0.13432835820895522,y1(k) =
MOTIVATION,0.1417910447761194,"R k
xs f(x) dx"
MOTIVATION,0.14925373134328357,"k −xs
y2(k) ="
MOTIVATION,0.15671641791044777,"R xe
k
f(x) dx
xe −k (2)"
MOTIVATION,0.16417910447761194,"P(x, k) = x · y2(k) −y1(k)"
MOTIVATION,0.17164179104477612,"x2(k) −x1(k)
(3)
Diff(k) = F(xp) −P(xp, k)
(4)"
MOTIVATION,0.1791044776119403,Under review as a conference paper at ICLR 2022
MOTIVATION,0.1865671641791045,"Figure 2: Demonstration of the sliding win-
dow method."
MOTIVATION,0.19402985074626866,"Figure 3: An example of non-uniform parti-
tioning of time series data."
RELATED WORK,0.20149253731343283,"3
RELATED WORK"
RELATED WORK,0.208955223880597,"Different architectures implemented an ensemble model that tries to focus both on short term data
and long term, for better accuracy. Krstanovic & Paulheim (2018) constructed an ensemble of LSTM
models, each sub-model selected a different window size and other various parameters. Zhao et al.
(2020) also created a cluster of LSTMs that are constructed to separately forecast with different
time lag. NNCT weight integration strategy is introduced to determine the weight coefﬁcients of
the ensemble model. A more general method was proposed by Choi & Lee (2018) where an ensem-
ble of LSTM models with varying sequence length (accordingly to different datasets), this allows
the model to be capable of handling the dynamic different real-world time series. These methods,
although trying to combine between different intervals of time, indirectly try to solve the problem,
and do not create a single model that predicts accurately."
RELATED WORK,0.21641791044776118,"Changes to the sliding window algorithm were suggested by Laguna et al. (2011) who proposed a dy-
namic sliding window, where the size varies and changes according to the last selected window, and
after is processed by Dynamic Bayesian Network. It must be noted that this type of pre-processing
does not ﬁt LSTM models since the input data shape is not static. Other sliding window methods,
mostly for optimization purposes were suggested by Traub et al. (2019); Tangwongsan et al. (2017)."
RELATED WORK,0.22388059701492538,"Similar mechanisms from the ﬁeld of image vision have been imported into time-series analysis as
an attempt to handle temporal data with many features (such as images) (Donahue et al., 2015).
A single model, composed of CNN and LSTM, is used to handle a time-series input, where each
instance in time contains many features. In this type of model, time series data is pre-processed by
CNN to extract a ﬁxed meaningful vector of the input. We note that unlike this type of model which
deals with short window size and many features, this paper deals with long window size."
METHODS,0.23134328358208955,"4
METHODS"
METHODS,0.23880597014925373,"In this section we describe how the input is processed for the LSTM model. Data is supplied as a
list of time records, where for each time record multiple variables may be available. The data is fed
in multiple cycles, where in each cycle only data from a speciﬁc time window is used."
LSTM INPUT,0.2462686567164179,"4.1
LSTM INPUT"
LSTM INPUT,0.2537313432835821,"The LSTM architecture accepts its data as a series of timestamps, each can be associated with many
features. The following process is employed to allow a time series to be given as input to LSTM.
For a single input, we select a window in time and consider the data in this window to predict value
of our predicted variable in a constant distance in the future, also called Prediction Horizon (PH).
For example, an 8-hour window can be used to predict value that is a 4 hours ahead of the end of
that window (Figure 2). We also note that the ﬁgure show a usage of one feature only, when many
features could be used in parallel."
LSTM INPUT,0.26119402985074625,"A relevant window size may contain hundreds of samples, and is too large for an LSTM. To lower
the input size, many papers suggest aggregating the windows into larger time interval, each is repre-
sented by the average value of all samples in the interval. For example, if the window size is 3 hours
and the interval size is 1 hour, a single input to the LSTM is 3 vectors each is an average of 1 hour.
The next input to the LSTM is generated by sliding the window by a certain time period, termed a
step (Figure 2). The prediction result can be either a regression, namely an attempt to predict the"
LSTM INPUT,0.26865671641791045,Under review as a conference paper at ICLR 2022
LSTM INPUT,0.27611940298507465,"Index
partition
ε
base (b)
0 – uniform baseline
{6, 6, 6, 6, 6, 6, 6, 6}
–
–
1 – simple baseline
{1, 1, 1, 1, 1, 1, 1, 1}
–
–
2
{1, 1, 1, 1, 1, 1, 1, 41}
–
–
3
{1, 2, 3, 4, 5, 6, 7, 20}
–
–
4
{4, 4, 4, 4, 4, 4, 4, 20}
–
–
5
{1, 1, 1, 2, 2, 2, 10, 29}
–
–
6
{1, 1, 1, 2, 4, 8, 15, 16}
–
–
7
{1, 1, 1, 2, 2, 3, 3, 35}
0.25
1
8
{1, 1, 2, 2, 3, 3, 4, 32}
0.30
1
9
{2, 2, 2, 2, 3, 3, 3, 31}
0.10
2
10
{1, 1, 1, 1, 1, 2, 2, 39}
0.15
1
11
{1, 1, 1, 2, 2, 2, 2, 37}
0.20
1
12
{1, 1, 1, 2, 2, 2, 3, 36}
0.23
1"
LSTM INPUT,0.2835820895522388,"Table 1: Selected partitions for a window of 48 samples, with the parameters for Equation 6."
LSTM INPUT,0.291044776119403,"value, or it can be a classiﬁcation problem such as predicting that a value will rise above a certain
threshold."
WINDOW PARTITIONING,0.29850746268656714,"4.2
WINDOW PARTITIONING"
WINDOW PARTITIONING,0.30597014925373134,"We suggest to model aggregation as a partition of an interval (time window), as deﬁned in Equa-
tion 5, where x0 and xn are the boundaries of the window, xn−x0 is the window size, and [xi, xi+1]
is a sub-interval of the partition."
WINDOW PARTITIONING,0.31343283582089554,"x0 < x1 < x2 < ... < xn
(5)"
WINDOW PARTITIONING,0.3208955223880597,"Since each subinterval in time holds a countable number of samples, we will also use the term bin
for a subinterval, and use the term bin size for the number of samples in the sub-interval. We will
refer to the partition by the sequence of bin sizes; for example, if the window holds 12 samples,
{3,4,5} is a partition into three subintervals and the number of samples in the three subintervals is
3, 4, and 5."
