Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010438413361169101,"As deep learning models become larger and more expensive, many practitioners
1"
ABSTRACT,0.0020876826722338203,"turn to fine-tuning APIs. These web services allow fine-tuning a model between
2"
ABSTRACT,0.003131524008350731,"two parties: the client that provides the data, and the server that hosts the model.
3"
ABSTRACT,0.0041753653444676405,"While convenient, these APIs raise a new concern: the data of the client is at
4"
ABSTRACT,0.005219206680584551,"risk of privacy breach during the training procedure. This challenge presents
5"
ABSTRACT,0.006263048016701462,"an important practical case of vertical federated learning, where the two parties
6"
ABSTRACT,0.007306889352818371,"perform parameter-efficient fine-tuning (PEFT) of a large model. In this study, we
7"
ABSTRACT,0.008350730688935281,"systematically search for a way to fine-tune models over an API while keeping the
8"
ABSTRACT,0.009394572025052192,"labels private. We analyze the privacy of LoRA, a popular approach for parameter-
9"
ABSTRACT,0.010438413361169102,"efficient fine-tuning when training over an API. Using this analysis, we propose
10"
ABSTRACT,0.011482254697286013,"P3EFT, a multi-party split learning algorithm that takes advantage of existing PEFT
11"
ABSTRACT,0.012526096033402923,"properties to maintain privacy at a lower performance overhead. To validate our
12"
ABSTRACT,0.013569937369519834,"algorithm, we fine-tune DeBERTa-v2-XXLarge, Flan-T5 Large and LLaMA-2 7B
13"
ABSTRACT,0.014613778705636743,"using LoRA adapters on a range of NLP tasks. We find that P3EFT is competitive
14"
ABSTRACT,0.015657620041753653,"with existing privacy-preserving methods in multi-party and two-party setups while
15"
ABSTRACT,0.016701461377870562,"having higher accuracy.
16"
INTRODUCTION,0.017745302713987474,"1
Introduction
17"
INTRODUCTION,0.018789144050104383,"One of the main reasons behind deep learning success is its ability to transfer knowledge between
18"
INTRODUCTION,0.019832985386221295,"tasks [34]. When training a model for any particular problem, it is common to reuse previously
19"
INTRODUCTION,0.020876826722338204,"trained models from other, related problems. In the past, this was typically done by downloading
20"
INTRODUCTION,0.021920668058455117,"pre-trained model weights from public hubs, then fine-tuning the said models on the downstream
21"
INTRODUCTION,0.022964509394572025,"task. However, as models grow larger and more compute-intensive, fine-tuning them locally becomes
22"
INTRODUCTION,0.024008350730688934,"an increasingly difficult task. Furthermore, many recent models are not released, but instead made
23"
INTRODUCTION,0.025052192066805846,"available as proprietary services.
24"
INTRODUCTION,0.026096033402922755,"When a model cannot be fine-tuned locally, many practitioners opt instead for the so-called fine-tuning
25"
INTRODUCTION,0.027139874739039668,"APIs [27, 16, 6, 26]. These APIs are web services that host one or several pre-trained models and
26"
INTRODUCTION,0.028183716075156576,"allow clients to perform limited fine-tuning. More specifically, APIs usually allow their clients to run
27"
INTRODUCTION,0.029227557411273485,"parameter-efficient fine-tuning (PEFT), such as LoRA [15] or Prefix-tuning [21]. These techniques
28"
INTRODUCTION,0.030271398747390398,"allow adapting a model to a dataset while training a relatively small number of additional weights,
29"
INTRODUCTION,0.031315240083507306,"which is particularly important for large language or image generation models that have billions of
30"
INTRODUCTION,0.032359081419624215,"parameters.
31"
INTRODUCTION,0.033402922755741124,"Although the fine-tuning APIs can be convenient, they also introduce new risk in terms of data privacy.
32"
INTRODUCTION,0.03444676409185804,"When a client uses such API to train on sensitive data, they need to ensure that their data will stay
33"
INTRODUCTION,0.03549060542797495,"private [7]. This is particularly important when dealing with patient’s medical records, personal
34"
INTRODUCTION,0.03653444676409186,"user data or trade secrets [24, 19]. The two main threats to data privacy are that the API provider
35"
INTRODUCTION,0.037578288100208766,"obtains the private data and that a third party intercepts data in transit. Therefore, data privacy is
36"
INTRODUCTION,0.038622129436325675,"not guaranteed even if the API provider is trusted. Several recent works propose LLM fine-tuning
37"
INTRODUCTION,0.03966597077244259,"protocols that establish a certain level of privacy for multi-party fine-tuning [42, 7, 22]. Unfortunately,
38"
INTRODUCTION,0.0407098121085595,"these algorithms work for a narrow class of fine-tuning algorithms or assume that a client can run
39"
INTRODUCTION,0.04175365344467641,"LLM training locally using an obfuscated version of the model, provided by a remote server [42].
40"
INTRODUCTION,0.04279749478079332,"As a result, these algorithms are impractical for our use case of fine-tuning over an API. The few
41"
INTRODUCTION,0.04384133611691023,"algorithms that are suitable for API fine-tuning guarantee the privacy of input tokens [22], meaning
42"
INTRODUCTION,0.04488517745302714,"that the attacker can infer private training labels.
43"
INTRODUCTION,0.04592901878914405,"In this work, we seek to alleviate this problem by designing a two-party fine-tuning protocol that
44"
INTRODUCTION,0.04697286012526096,"performs standard parameter-efficient fine-tuning with privacy guarantees. We formulate our protocol
45"
INTRODUCTION,0.04801670146137787,"as a special case of split learning (or vertical federated learning), where one side (server) holds the
46"
INTRODUCTION,0.049060542797494784,"pre-trained model and the other (client) has private training data. More specifically, we focus on the
47"
INTRODUCTION,0.05010438413361169,"privacy of client’s training labels. While input privacy is often crucial, there are scenarios where
48"
INTRODUCTION,0.0511482254697286,"input data is publicly available, such as social media user pages. In these cases, labels could include
49"
INTRODUCTION,0.05219206680584551,"ad clicks (known to the social network) or financial information (known to a bank that matches social
50"
