Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001098901098901099,"Night-to-Day translation (Night2Day) aims to achieve day-like vision for nighttime
1"
ABSTRACT,0.002197802197802198,"scenes. However, processing night images with complex degradations remains a
2"
ABSTRACT,0.0032967032967032967,"significant challenge under unpaired conditions. Previous methods that uniformly
3"
ABSTRACT,0.004395604395604396,"mitigate these degradations have proven inadequate in simultaneously restoring
4"
ABSTRACT,0.005494505494505495,"daytime domain information and preserving underlying semantics. In this paper,
5"
ABSTRACT,0.006593406593406593,"we propose N2D3 (Night-to-Day via Degradation Disentanglement) to identify
6"
ABSTRACT,0.007692307692307693,"different degradation patterns in nighttime images. Specifically, our method com-
7"
ABSTRACT,0.008791208791208791,"prises a degradation disentanglement module and a degradation-aware contrastive
8"
ABSTRACT,0.00989010989010989,"learning module. Firstly, we extract physical priors from a photometric model
9"
ABSTRACT,0.01098901098901099,"based on Kubelka-Munk theory. Then, guided by these physical priors, we design a
10"
ABSTRACT,0.012087912087912088,"disentanglement module to discriminate among different illumination degradation
11"
ABSTRACT,0.013186813186813187,"regions. Finally, we introduce the degradation-aware contrastive learning strategy
12"
ABSTRACT,0.014285714285714285,"to preserve semantic consistency across distinct degradation regions. Our method
13"
ABSTRACT,0.015384615384615385,"is evaluated on two public datasets, demonstrating a significant improvement of
14"
ABSTRACT,0.016483516483516484,"5.4 FID on BDD100K and 10.3 FID on Alderley.
15"
INTRODUCTION,0.017582417582417582,"1
Introduction
16"
INTRODUCTION,0.01868131868131868,"Nighttime images often suffer from severe information loss, posing significant challenges to both
17"
INTRODUCTION,0.01978021978021978,"human visual recognition and computer vision tasks including detection, segmentation, etc. [14].
18"
INTRODUCTION,0.020879120879120878,"In contrast, daylight images exhibit rich content and intricate details. Achieving day-like nighttime
19"
INTRODUCTION,0.02197802197802198,"vision remains a primary objective in nighttime perception, sparking numerous pioneering works [30].
20"
INTRODUCTION,0.023076923076923078,"Night-to-Day image translation (Night2Day) offers a comprehensive solution to achieve day-like
21"
INTRODUCTION,0.024175824175824177,"vision at night. The primary goal is to transform images from nighttime to daytime while maintaining
22"
INTRODUCTION,0.025274725274725275,"their underlying semantic structure. However, achieving this goal is challenging. It requires to process
23"
INTRODUCTION,0.026373626373626374,"complex degraded images using unpaired data, which raises additional difficulties compared to other
24"
INTRODUCTION,0.027472527472527472,"image translation tasks.
25"
INTRODUCTION,0.02857142857142857,"Recently, explorations have been made in Night2Day. Early approaches, such as ToDayGAN,
26"
INTRODUCTION,0.02967032967032967,"demonstrated the effectiveness of cycle-consistent learning in maintaining semantic structure [1].
27"
INTRODUCTION,0.03076923076923077,"Subsequent methods incorporated auxiliary structure regularization techniques, including perceptual
28"
INTRODUCTION,0.031868131868131866,"loss and uncertainty regularization, to better preserve the original structure [33, 18]. Furthermore,
29"
INTRODUCTION,0.03296703296703297,"some methods utilized daytime images with nearby GPS locations to aid in coarse structure regular-
30"
INTRODUCTION,0.03406593406593406,"ization [26]. However, these methods often neglect the complex degradations at nighttime, applying
31"
INTRODUCTION,0.035164835164835165,"structure regularization uniformly and resulting in severe artifacts. To address this issue, more recent
32"
INTRODUCTION,0.03626373626373627,"approaches adopt auxiliary human annotations to maintain semantic consistency, such as segmenta-
33"
INTRODUCTION,0.03736263736263736,"tion maps and bounding boxes [16, 22]. Despite their potential, these methods are labor-intensive
34"
INTRODUCTION,0.038461538461538464,"and challenging, especially since many nighttime scenes are beyond human cognition.
35"
INTRODUCTION,0.03956043956043956,Physical Prior
INTRODUCTION,0.04065934065934066,w Disentangled Regularization
INTRODUCTION,0.041758241758241756,w/o Disentangled Regularization
INTRODUCTION,0.04285714285714286,"(c) Visual Comparison
(b) Disentangled Regularization 
(a) Disentanglement Process"
INTRODUCTION,0.04395604395604396,Darkness
INTRODUCTION,0.045054945054945054,Well-lit
INTRODUCTION,0.046153846153846156,Generated Patches
INTRODUCTION,0.04725274725274725,High-light
INTRODUCTION,0.04835164835164835,Light Effects
INTRODUCTION,0.04945054945054945,"Figure 1: Illustration of our motivation. (a) The disentanglement process leverages physical priors. (b)
The image patches are restored individually for each degradation type. (c) The proposed Disentangled
Regularization improves the overall performance."
INTRODUCTION,0.05054945054945055,"The critical limitation of the aforementioned methods is the disregard for complex degraded regions.
36"
INTRODUCTION,0.051648351648351645,"Specifically, different regions in nighttime images possess varying characteristics, such as extreme
37"
INTRODUCTION,0.05274725274725275,"darkness, well-lit regions, light effects, etc. Treating all these degraded regions equally could adversely
38"
INTRODUCTION,0.05384615384615385,"impact the results. As illustrated in Figure 1, our key insight emphasizes that nighttime images suffer
39"
INTRODUCTION,0.054945054945054944,"from various degradations, necessitating customizing restoration for different degradation types.
40"
INTRODUCTION,0.056043956043956046,"Intuitively, we manage to disentangle nighttime images into patches according to the recognized
41"
INTRODUCTION,0.05714285714285714,"degradation type and learn individual restoration patterns for them to enhance the overall performance.
42"
INTRODUCTION,0.05824175824175824,"Motivated by this point, we propose N2D3 (Night to Day via Degradation Disentanglement), which
43"
INTRODUCTION,0.05934065934065934,"utilizes Generative Adversarial Networks (GANs) to bridge the domain gap between nighttime and
44"
INTRODUCTION,0.06043956043956044,"daytime in a degradation-aware manner, as illustrated in Figure 2. There are two modules in N2D3,
45"
INTRODUCTION,0.06153846153846154,"including physical-informed degradation disentanglement and degradation-aware contrastive learning,
46"
INTRODUCTION,0.06263736263736264,"which are employed to preserve the semantic structure of nighttime images. In the disentanglement
47"
INTRODUCTION,0.06373626373626373,"of nighttime degradation, a photometric model tailored to nighttime scenes is conducted to extract
48"
INTRODUCTION,0.06483516483516484,"physical priors. Subsequently, the illuminance and physical priors are integrated to disentangle
49"
INTRODUCTION,0.06593406593406594,"regions into darkness, well-lit, high-light, and light effects. Building on this, degradation-aware
50"
INTRODUCTION,0.06703296703296703,"contrastive learning is designed to constrain the similarity of the source and generated images in
51"
INTRODUCTION,0.06813186813186813,"different regions. It comprises disentanglement-guided sampling and reweighting strategies. The
52"
INTRODUCTION,0.06923076923076923,"sampling strategy mines valuable anchors and hard negative examples, while the reweighting process
53"
INTRODUCTION,0.07032967032967033,"assigns their weights. They enhance vanilla contrastive learning by prioritizing valuable patches with
54"
INTRODUCTION,0.07142857142857142,"appropriate attention. Ultimately, our method yields highly faithful results that are visually pleasing
55"
INTRODUCTION,0.07252747252747253,"and beneficial for downstream vision tasks including keypoint matching and semantic segmentation.
56"
INTRODUCTION,0.07362637362637363,"Our contributions are summarized as follows:
57"
INTRODUCTION,0.07472527472527472,"(1) We propose the N2D3 translation method based on the illumination degradation disentanglement
58"
INTRODUCTION,0.07582417582417582,"module, which enables degradation-aware restoration of nighttime images.
59"
INTRODUCTION,0.07692307692307693,"(2) We present a novel degradation-aware contrastive learning module to preserve the semantic
60"
INTRODUCTION,0.07802197802197802,"structure of generated results. The core design incorporates disentanglement-guided sampling and
61"
INTRODUCTION,0.07912087912087912,"reweighting strategies, which greatly enhance the performance of vanilla contrastive learning.
62"
INTRODUCTION,0.08021978021978023,"(3) Experimental results on two public datasets underscore the significance of considering distinct
63"
INTRODUCTION,0.08131868131868132,"degradation types in nighttime scenes. Our method achieves state-of-the-art performance in visual
64"
INTRODUCTION,0.08241758241758242,"effects and downstream tasks.
65"
RELATED WORK,0.08351648351648351,"2
Related Work
66"
RELATED WORK,0.08461538461538462,"Unpaired Image-to-Image Translation. Unpaired image-to-image translation addresses the chal-
67"
RELATED WORK,0.08571428571428572,"lenge of lacking paired data, providing an effective self-supervised learning strategy. To overcome the
68"
RELATED WORK,0.08681318681318681,"efficiency limitations of traditional cycle-consistency learning, Park et al., first introduces contrastive
69"
RELATED WORK,0.08791208791208792,"learning to this domain, achieving efficient one-sided learning[20]. Following this work, several stud-
70"
RELATED WORK,0.08901098901098901,"ies have improved the contrastive learning by generating hard negative examples [24], re-weighting
71"
RELATED WORK,0.09010989010989011,"positive-negative pairs [31], and selecting key samples [9]. Furthermore, other constraints, such as
72"
RELATED WORK,0.0912087912087912,"density [27] and path length [28], have been explored in unpaired image translation. However, all
73"
RELATED WORK,0.09230769230769231,"these works neglect physical priors in the nighttime, leading to suboptimal results in Night2Day.
74"
RELATED WORK,0.09340659340659341,Physical
RELATED WORK,0.0945054945054945,"Prior 
Darkness
Light Effect
Well-lit"
RELATED WORK,0.0956043956043956,𝑥1𝑦1 𝑥1𝑦2 𝑥1𝑦3 𝑥1𝑦4 𝑥1𝑦5 𝑥1𝑦6
RELATED WORK,0.0967032967032967,𝑥2𝑦1 𝑥2𝑦2 𝑥2𝑦3 𝑥2𝑦4 𝑥2𝑦5 𝑥2𝑦6
RELATED WORK,0.0978021978021978,𝑥3𝑦1 𝑥3𝑦2 𝑥3𝑦3 𝑥3𝑦4 𝑥3𝑦5 𝑥3𝑦6
RELATED WORK,0.0989010989010989,𝑥4𝑦1 𝑥4𝑦2 𝑥4𝑦3 𝑥4𝑦4 𝑥4𝑦5 𝑥4𝑦6
RELATED WORK,0.1,𝑥5𝑦1 𝑥5𝑦2 𝑥5𝑦3 𝑥5𝑦4 𝑥5𝑦5 𝑥5𝑦6
RELATED WORK,0.1010989010989011,𝑥6𝑦1 𝑥6𝑦2 𝑥6𝑦3 𝑥6𝑦4 𝑥6𝑦5 𝑥6𝑦6
RELATED WORK,0.1021978021978022,"𝑥1𝑦1
𝑤12
0
0
0
0"
RELATED WORK,0.10329670329670329,"𝑤21
𝑥2𝑦2
0
0
0
0"
RELATED WORK,0.1043956043956044,"0
0
𝑥3𝑦3
𝑤34
0
0"
RELATED WORK,0.1054945054945055,"0
0
𝑤43
𝑥4𝑦4
0
0"
RELATED WORK,0.10659340659340659,"0
0
0
0
𝑥5𝑦5
𝑤56"
RELATED WORK,0.1076923076923077,"0
0
0
0
𝑤65
𝑥6𝑦6"
RELATED WORK,0.1087912087912088,"min
wij,i,j∈[1,N][෍ i N ෍ j N"
RELATED WORK,0.10989010989010989,wij ⋅exiyi/β ]
RELATED WORK,0.11098901098901098,s. t.෍ i=1 N
RELATED WORK,0.11208791208791209,"wij = 1, ෍ j=1 N"
RELATED WORK,0.11318681318681319,wij = 1
RELATED WORK,0.11428571428571428,(b)  Training Phase 𝑦1 𝑦2 𝑦3 𝑦4 𝑦5 𝑦6
RELATED WORK,0.11538461538461539,"𝑥1
𝑥2
𝑥3
𝑥4
𝑥5
𝑥6 … … … … … … … …"
RELATED WORK,0.11648351648351649,(a) Inference Phase GAN Loss
RELATED WORK,0.11758241758241758,"Deg. Aware 
Reweighting"
RELATED WORK,0.11868131868131868,Optimal Transport
RELATED WORK,0.11978021978021978,"Block Diagonal SM
Similarity Matrix(SM)"
RELATED WORK,0.12087912087912088,Deg. Aware
RELATED WORK,0.12197802197802197,Sampling
RELATED WORK,0.12307692307692308,"Disentangled Map
Disentangled Categories"
RELATED WORK,0.12417582417582418,Generator
RELATED WORK,0.12527472527472527,"Shared 
Encoder
Deg. Aware 
Contrastive Loss"
RELATED WORK,0.12637362637362637,"Figure 2:
The overall architecture of the proposed N2D3 method. The training phase contains
the physical prior informed degradation disentanglement module and degradation-aware contrastive
learning module. They are utilized to optimize the ResNet-based generator which is the main part in
the inference phase."
RELATED WORK,0.12747252747252746,"Nighttime Domain Translation. Domain translation techniques have been applied to address adverse
75"
RELATED WORK,0.12857142857142856,"nighttime conditions. An early contribution is made by Anoosheh et al., which demonstrates the
76"
RELATED WORK,0.12967032967032968,"effectiveness of cycle-consistent learning in Night2Day[1]. Following this, many works incorporate
77"
RELATED WORK,0.13076923076923078,"different modules into cycle-consistent learning to enhance structural modeling capabilities. Zheng et
78"
RELATED WORK,0.13186813186813187,"al. incorporate a fork-shaped encoder to enhance visual perceptual quality[33]. AUGAN employs
79"
RELATED WORK,0.13296703296703297,"uncertainty estimation to mine useful features in nighttime images[18]. Fan et al. explore inter-
80"
RELATED WORK,0.13406593406593406,"frequency relation knowledge to streamline the Night2Day process[5]. Xia et al. utilize nearby GPS
81"
RELATED WORK,0.13516483516483516,"locations to form paired night and daytime images, providing weak supervision[26]. Some other
82"
RELATED WORK,0.13626373626373625,"studies incorporate human annotations to impose structural constraints, overlooking the practical
83"
RELATED WORK,0.13736263736263737,"difficulty of acquiring such annotations at nighttime with multiple degradations [11][16] [22]. To
84"
RELATED WORK,0.13846153846153847,"address the concerns of the aforementioned methods, the proposed N2D3 explores patch-wise
85"
RELATED WORK,0.13956043956043956,"contrastive learning with physical guidance, so as to achieve degradation-aware Night2Day. N2D3 is
86"
RELATED WORK,0.14065934065934066,"free of human annotations and offers comprehensive structural modeling to provide faithful translation
87"
RELATED WORK,0.14175824175824175,"results.
88"
METHODS,0.14285714285714285,"3
Methods
89"
METHODS,0.14395604395604394,"Given nighttime image IN ∈N and daytime image ID ∈D, the goal of Night2Day is to translate
90"
METHODS,0.14505494505494507,"images from nighttime to daytime while preserving content semantic consistency. This involves the
91"
METHODS,0.14615384615384616,"construction of a mapping function F with parameters θ, which can be formulated as Fθ : IN →ID.
92"
METHODS,0.14725274725274726,"Our method N2D3 is illustrated in Figure 2. To train a generator for Night2Day, we employ GANs as
93"
METHODS,0.14835164835164835,"the overall learning framework to bridge the domain gap between nighttime and daytime. Our core
94"
METHODS,0.14945054945054945,"design, consisting of the degradation disentanglement module and the degradation-aware contrastive
95"
METHODS,0.15054945054945054,"learning module, aims to preserve the structure from the source images and suppress artifacts.
96"
METHODS,0.15164835164835164,"In this section, we first introduce physical priors in the nighttime environment, and then describe
97"
METHODS,0.15274725274725276,"the degradation disentanglement module and the degradation-aware contrastive learning module,
98"
METHODS,0.15384615384615385,"respectively.
99"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.15494505494505495,"3.1
Physical Priors for Nighttime Environment
100"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.15604395604395604,"The illumination degradations at night are primarily categorized as darkness, well-lit regions, high-
101"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.15714285714285714,"light regions, and light effects. As shown in Figure 3, well-lit represents the diffused reflectance under
102"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.15824175824175823,"normal light, while the light effects denote phenomena such as flare, glow, and specular reflections.
103"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.15934065934065933,"Intuitively, these regions can be disentangled through the analysis of illumination distribution. Among
104"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16043956043956045,"these degradation types, darkness and high-light are directly correlated with illuminance and can be
105"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16153846153846155,"effectively disentangled through illumination estimation.
106"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16263736263736264,"As a common practice, we estimate the illuminance map L by utilizing the maximum RGB channel
107"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16373626373626374,"of image IN as L = maxc∈R,G,B Ic
N . Then k-nearest neighbors [4] is employed to acquire three
108"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16483516483516483,"clusters representing darkness, well-lit, and high-light regions. These clusters are aggregated as
109"
PHYSICAL PRIORS FOR NIGHTTIME ENVIRONMENT,0.16593406593406593,"masks Md, Mn, Mh. However, the challenge arises with light effects that are mainly related to
110"
