Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.006493506493506494,"We propose a scheme for auditing differentially private machine learning systems
with a single training run. This exploits the parallelism of being able to add or
remove multiple training examples independently. We analyze this using the con-
nection between differential privacy and statistical generalization, which avoids
the cost of group privacy. Our auditing scheme requires minimal assumptions
about the algorithm and can be applied in the black-box or white-box setting. We
demonstrate the effectiveness of our framework by applying it to DP-SGD, where
we can achieve meaningful empirical privacy lower bounds by training only one
model. In contrast, standard methods would require training hundreds of models."
INTRODUCTION,0.012987012987012988,"1
Introduction"
INTRODUCTION,0.01948051948051948,"Differential privacy (DP) [DMNS06] provides a quantiﬁable privacy guarantee by ensuring that no
person’s data signiﬁcantly affects the probability of any outcome. Formally, a randomized algorithm
M satisﬁes (ε, δ)-DP if, for any pair of inputs x, x′ differing only by the addition or removal of one
person’s data and any measurable S, we have"
INTRODUCTION,0.025974025974025976,"P [M(x) ∈S] ≤eε · P [M(x′) ∈S] + δ.
(1)"
INTRODUCTION,0.032467532467532464,"A DP algorithm is accompanied by a mathematical proof giving an upper bound on the privacy
parameters ε and δ. In contrast, a privacy audit provides an empirical lower bound on the privacy
parameters. Privacy audits allow us to assess the tightness of the mathematical analysis [JUO20;
NHSBTJCT23] or, if the lower and upper bounds are contradictory, to detect errors in the analysis
or in the algorithm’s implementation [DWWZK18; BGDCTV18; TTSSJC22]."
INTRODUCTION,0.03896103896103896,"Typically, privacy audits obtain a lower bound on the privacy parameters directly from the DP def-
inition (1). That is, we construct a pair of inputs x, x′ and a set of outcomes S and we estimate the
probabilities P [M(x) ∈S] and P [M(x′) ∈S]. However, estimating these probabilities requires
running M hundreds of times. This approach to privacy auditing is computationally expensive,
which raises the question Can we perform privacy auditing using a single run of the algorithm M?"
OUR CONTRIBUTIONS,0.045454545454545456,"1.1
Our Contributions"
OUR CONTRIBUTIONS,0.05194805194805195,"Our approach: The DP deﬁnition (1) considers adding or removing a single person’s data to or from
the dataset. We consider multiple people’s data and the dataset independently includes or excludes
each person’s data point. Our analysis exploits the parallelism of multiple independent data points
in a single run of the algorithm in lieu of multiple independent runs. This approach is commonly
used as an unproven heuristic in prior work [MEMPST21; ZBWTSRPNK22]."
OUR CONTRIBUTIONS,0.05844155844155844,"Our auditing procedure operates as follows. We identify m data points (i.e., training examples or
“canaries”) to either include or exclude and we ﬂip m independent unbiased coins to decide which
of them to include or exclude. We then run the algorithm on the randomly selected dataset. Based"
OUR CONTRIBUTIONS,0.06493506493506493,∗Reverse alphabetical author order. Full version: https://arxiv.org/abs/2305.08846
OUR CONTRIBUTIONS,0.07142857142857142,"on the output of the algorithm, the auditor “guesses” whether or not each data point was included
or excluded (or it can abstain from guessing for some data points). We obtain a lower bound on the
privacy parameters from the fraction of guesses that were correct."
OUR CONTRIBUTIONS,0.07792207792207792,"Intuitively, if the algorithm is (ε, 0)-DP, then the auditor can correctly guess each inclusion/exclusion
coin ﬂip with probability ≤
eε
eε+1. That is, the highest possible accuracy is attained by random-
ized response [War65]. Thus DP implies a high-probability upper bound on the fraction of correct
guesses and, conversely, the fraction of correct guesses implies a high-probability lower bound on
the privacy parameters."
OUR CONTRIBUTIONS,0.08441558441558442,"Our analysis: Na¨ıvely, analyzing the addition or removal of multiple data elements would rely
on group privacy; but this does not exploit the fact that the data items were included or excluded
independently. Instead, we leverage the connection between DP and generalization [DFHPRR15b;
DFHPRR15a; BNSSSU16; RRST16; JLNRSMS19; SZ20]. Our main theoretical contribution is an
improved analysis of this connection that is tailored to yield nearly tight bounds in our setting."
OUR CONTRIBUTIONS,0.09090909090909091,"Informally, if we run a DP algorithm on i.i.d. samples from some distribution, then, conditioned on
the output of the algorithm, the samples are still “close” to being i.i.d. samples from that distribution.
There is some technicality in making this precise, but, roughly speaking, we show that including or
excluding m data points independently for one run is essentially as good as having m independent
runs (as long as δ is small)."
OUR CONTRIBUTIONS,0.09740259740259741,"Our results: As an application of our new auditing framework, we audit DP-SGD training on a
WideResNet model, trained on the CIFAR10 dataset across multiple conﬁgurations. Our approach
successfully achieves an empirical lower bound of ε ≥1.8, compared to a theoretical upper bound
of ε ≤4 in the white-box setting. The m examples we insert for auditing (known in the literature
as “canaries”) do not signiﬁcantly impact the accuracy of the ﬁnal model (less than a 5% decrease
in accuracy) and our procedure only requires a single end-to-end training run. Such results were
previously unattainable in the setting where only one model could be trained."
OUR AUDITING PROCEDURE,0.1038961038961039,"2
Our Auditing Procedure"
OUR AUDITING PROCEDURE,0.11038961038961038,Algorithm 1 Auditor with One Training Run
OUR AUDITING PROCEDURE,0.11688311688311688,"1: Data: x ∈X n consisting of m auditing examples (a.k.a. canaries) x1, · · · , xm and n −m
non-auditing examples xm+1, · · · , xn.
2: Parameters: Algorithm to audit A, number of examples to randomize m, number of positive
k+ and negative k−guesses.
3: For i ∈[m], sample Si ∈{−1, +1} uniformly and independently. Set Si = 1 for all i ∈
[n] \ [m].
4: Partition x into xIN ∈X nIN and xOUT ∈X nOUT according to S, where nIN +nOUT = n. Namely,
if Si = 1, then xi is in xIN; and, if Si = −1, then xi is in xOUT.
5: Run A on input xIN with appropriate parameters, outputting w.
6: Compute the vector of scores Y = (SCORE(xi, w) : i ∈[m]) ∈Rm.
7: Sort the scores Y . Let T ∈{−1, 0, +1}m be +1 for the largest k+ scores and −1 for the
smallest k−scores. (I.e., T ∈{−1, 0, +1}m maximizes Pm
i Ti · Yi subject to Pm
i |Ti| =
k+ + k−and Pm
i Ti = k+ −k−.)
8: Return: S ∈{−1, +1}m indicating the true selection and the guesses T ∈{−1, 0, +1}m."
OUR AUDITING PROCEDURE,0.12337662337662338,"We present our auditing procedure in Algorithm 1. We independently include each of the ﬁrst m
examples with 50% probability and exclude it otherwise.2 When applied to DP-SGD, our approach
is applicable to both “white-box” auditing, where the adversary can access to all intermediate values
of the model weights (as in the federated learning setting), and “black-box” auditing, where the
adversary only sees the ﬁnal model weights (or can only query the ﬁnal model, as in the centralized
setting). In both cases we simply compute a “score” for each example and “guess” whether the
example is included or excluded based on these scores. Speciﬁcally, we guess that the examples
with the k+ highest scores are included and the examples with the k−lowest scores are excluded,"
OUR AUDITING PROCEDURE,0.12987012987012986,"2We consider the add/remove notion of DP, so changing one Si results in neighbouring inputs xIN. Our
methods readily extend to the replacement notion of DP; see the full version."
OUR AUDITING PROCEDURE,0.13636363636363635,"and we abstain from guessing for the remaining m−k+ −k−auditing examples; the setting of these
parameters will depend on the application."
OUR AUDITING PROCEDURE,0.14285714285714285,"Note that we only randomize the ﬁrst m examples x1, · · · , xm (which we refer to as “auditing
examples” or “canaries”); the last n −m examples xm+1, · · · , xn are always included and, thus,
we do not make any guesses about them. To get the strongest auditing results we would set m = n,
but we usually want to set m < n. For example, computing the score of all n examples may
be computationally prohibitive, so we only compute the scores of m examples. We may wish to
artiﬁcially construct m examples to be easy to identify (i.e., canaries), but also include n −m
“real” examples to ensure that A still produces a useful model. (I.e., having more training examples
improves the performance of the model.)"
OUR AUDITING PROCEDURE,0.14935064935064934,"The score function is arbitrary and will depend on the application. For black-box auditing, we use
the loss of the ﬁnal model w on the example xi – i.e., SCORE(xi, w) = −loss(w, xi). For white-box
auditing, SCORE(xi, w) = Pℓ
t

wt−1 −wt, ∇wt−1loss(wt−1, xi)

is the sum of the inner products
of updates with the (clipped) gradients of the loss on the example."
OUR AUDITING PROCEDURE,0.15584415584415584,"Intuitively, the vector of scores Y should be correlated with the true selection S, but too strong a
correlation would violate DP. This is the basis of our audit. Speciﬁcally, the auditor computes T from
Y which is a “guess” at S. By the postprocessing property of DP, the guesses T are a differentially
private function of the true S, which means that they cannot be too accurate."
OUR AUDITING PROCEDURE,0.16233766233766234,"Why abstain from guessing? The guesses are binary (Ti = 1 for IN, Ti = −1 for OUT). Abstain-
ing (Ti = 0) allows us to capture uncertainty. That is, on some examples we will not be sure whether
they are IN or OUT. By abstaining on these uncertain examples, we can ensure higher accuracy for
the remaining guesses. This yields better auditing results in practice."
THEORETICAL ANALYSIS,0.16883116883116883,"3
Theoretical Analysis"
THEORETICAL ANALYSIS,0.17532467532467533,"To obtain a lower bound on the DP parameters we show that DP implies a high-probability upper
bound on the number of correct guesses W := Pm
i max{0, Ti · Si} of our auditing procedure
(Algorithm 1). Note that max{0, Ti · Si} is simply 1 if the guess was correct – i.e., Ti = Si –
and 0 otherwise. The observed value of W then yields a high-probability lower bound on the DP
parameters. To be more precise, we have the following guarantee.
Theorem 3.1 (Main Result). Let (S, T) ∈{−1, +1}m × {−1, 0, +1}m be the output of Algorithm
1. Assume the algorithm to audit A satisﬁes (ε, δ)-DP. Let r := k+ + k−= ∥T∥1 be the number of
guesses. Then, for all v ∈R, P "" m
X"
THEORETICAL ANALYSIS,0.18181818181818182,"i
max{0, Ti · Si} ≥v #"
THEORETICAL ANALYSIS,0.18831168831168832,"≤
P
ˇ
W ←Binomial(r,
eε
eε+1)"
THEORETICAL ANALYSIS,0.19480519480519481," ˇW ≥v

+ δ · m · α,
(2)"
THEORETICAL ANALYSIS,0.2012987012987013,"where
α = max
i∈[m]
2"
THEORETICAL ANALYSIS,0.2077922077922078,"i ·
P
ˇ
W ←Binomial(r,
eε
eε+1)"
THEORETICAL ANALYSIS,0.21428571428571427,"
v > ˇW ≥v −i

.
(3)"
THEORETICAL ANALYSIS,0.22077922077922077,"If we ignore δ for the moment, Theorem 3.1 says that the number of correct guesses is stochasti-
cally dominated by Binomial

r,
eε
eε+1

, where r = k+ + k−is the total number of guesses. This
binomial distribution is precisely the distribution of correct guesses we would get if T was obtained
by independently performing (ε, 0)-DP randomized response on r bits of S. In other words, the
theorem says that (ε, 0)-DP randomized response is exactly the worst-case algorithm in terms of the
number of correct guesses. In particular, this means the theorem is tight (when δ = 0)."
THEORETICAL ANALYSIS,0.22727272727272727,"The binomial distribution is well-concentrated. In particular, for all β ∈(0, 1), we have"
THEORETICAL ANALYSIS,0.23376623376623376,"P
ˇ
W ←Binomial(r,
eε
eε+1) "
THEORETICAL ANALYSIS,0.24025974025974026,ˇW ≥r · eε
THEORETICAL ANALYSIS,0.24675324675324675,eε + 1 + r
THEORETICAL ANALYSIS,0.2532467532467532,"1
2 · r · log(1/β)
|
{z
}
=v "
THEORETICAL ANALYSIS,0.2597402597402597,"≤β.
(4)"
THEORETICAL ANALYSIS,0.2662337662337662,"There is an additional O(δ) term in the guarantee (2). The exact expression (3) is somewhat complex.
It is always ≤2mδ, since α ≤2, but it is much smaller than this for reasonable parameter values.
In particular, for v as in Equation 4 with β ≤1/r4, we have α ≤O(1/r)."
THEORETICAL ANALYSIS,0.2727272727272727,"Theorem 3.1 gives us a hypothesis test: If A is (ε, δ)-DP, then the number of correct guesses W is
≤
r·eε
eε+1 + O(√r) with high probability. Thus, if the observed number of correct guesses v is larger
than this, we can reject the hypothesis that A satisﬁes (ε, δ)-DP. We can convert this hypothesis test
into a conﬁdence interval (i.e., a lower bound on ε) by ﬁnding the largest ε that we can reject at a
desired level of conﬁdence."
THEORETICAL ANALYSIS,0.2792207792207792,"Proof of Theorem 3.1: Due to space limitations, the proof is deferred to the full version. But we
outline the main ideas: First note that S ∈{−1, +1}m is uniform and T is a DP function of S. Con-
sider the distribution of S conditioned on T = t. If A is pure (ε, 0)-DP, then we can easily analyze
the conditional distribution using Bayes’ law [DFHPRR15a; RRST16; JLNRSMS19] to conclude
that each guess has probability ≤
eε
eε+1 of being correct. Furthermore, this holds even if we condi-
tion on the other guesses, which allows us to inductively prove that the number of correct guesses
is stochastically dominated by Binomial

r,
eε
eε+1

. Handling approximate DP (δ > 0) introduces
additional complexity – some outputs T are “bad” in the sense that the conditional distribution of Si
could be arbitrary. Fortunately, such bad outputs are rare [KS14]. What we can show is that the num-
ber of correct guesses is stochastically dominated by ˇW + F(T), where ˇW ←Binomial

r,
eε
eε+1
"
THEORETICAL ANALYSIS,0.2857142857142857,"is as before and F(T) ∈{0, 1, · · · , m} indicates how many of these bad events happened. We do
not know the exact distribution of F(T), but we do know E [F(T)] ≤2mδ, which sufﬁces to prove
our result. Equation 3 comes from looking for the worst-case F(T); essentially the worst case is
P [F(T) = i] = 2mδ/i and P [F(T) = 0] = 1 −2mδ/i for some i ∈[m]."
THEORETICAL ANALYSIS,0.2922077922077922,"50
60
70
80
90
100
Correct Guesses (100 total, 0 abstentions) 0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5"
THEORETICAL ANALYSIS,0.2987012987012987,95%  Lower Bound
THEORETICAL ANALYSIS,0.3051948051948052,"= 0
= 0.001
= 0.01 Ideal"
THEORETICAL ANALYSIS,0.3116883116883117,"Figure 1:
Lower bound on the privacy pa-
rameter ε given by Theorem 3.1 with 95%
conﬁdence as the number of correct guesses
changes.
The total number of examples and
guesses is 100. For comparison, we plot the
ideal ε that gives 100 ·
eε
eε+1 correct guesses."
THEORETICAL ANALYSIS,0.3181818181818182,"0
1
2
3
4
5
6
7"
THEORETICAL ANALYSIS,0.3246753246753247,"Ideal  -- 
exp( )
exp( ) + 1 fraction correct guesses 0 2 4 6"
THEORETICAL ANALYSIS,0.33116883116883117,95%  Lower Bound = 0
THEORETICAL ANALYSIS,0.33766233766233766,"= 10
3"
THEORETICAL ANALYSIS,0.34415584415584416,"= 10
2 Ideal"
THEORETICAL ANALYSIS,0.35064935064935066,"Figure 2:
Lower bound on the privacy pa-
rameter ε given by Theorem 3.1 with 95%
conﬁdence as the number of correct guesses
changes.
The total number of examples and
guesses is 1000 (with no abstentions). Here we
plot the ideal ε on the horizontal axis, so that
the number of correct guesses is 1000 ·
eε
eε+1."
THEORETICAL ANALYSIS,0.35714285714285715,"Our theoretical analysis also gives novel implications for generalization from DP, improving on the
results of Jung, Ligett, Neel, Roth, Shariﬁ-Malvajerdi, and Shenfeld [JLNRSMS19]. In addition, we
obtain bounds on the mutual information I(S; M(S)) ≤1"
