Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.007142857142857143,"Modern image recognition models span millions of parameters occupying several
megabytes and sometimes gigabytes of space, making it difﬁcult to run on re-
source constrained edge hardware. Binary Neural Networks address this problem
by reducing the memory requirements (one single bit per weight and/or activa-
tion). The computation requirement and power consumption are also reduced
accordingly. Nevertheless, in such networks, each neuron has a large number of
inputs, making it difﬁcult to implement them efﬁciently in binary hardware accel-
erators, especially LUT-based approaches.
In this work, we present a pruning algorithm and associated results on convo-
lutional and dense layers from aforementioned binary networks. We reduce the
computation by 4-70x and the memory by 190-2200x with less than 2% loss of
accuracy on MNIST and less than 3% loss of accuracy on CIFAR-10 compared
to full precision, fully connected equivalents. Compared to very recent work on
pruning for binary networks, we still have a gain of 1% on the precision and up to
30% reduction in memory (526KiB vs 750KiB)."
INTRODUCTION,0.014285714285714285,"1
INTRODUCTION"
INTRODUCTION,0.02142857142857143,"AI has become ubiquitous in our daily lives, be it the use of search engines to ﬁnd information
or automatically tagging photos on social media. While the predictive accuracy of these models
have grown, the size and computation requirements have grown by several orders of magnitude or
more, making AI a niche ﬁeld where only few can participate. This practice is also proving to be
environmentally unfriendly with Strubell et al. (2019) estimating the footprint of training an NLP
model to be 626,000 pounds of carbon dioxide equivalent."
INTRODUCTION,0.02857142857142857,"To counter this growing computation need, it is important to develop hardware accelerators which
are easily re-conﬁgurable. A Field Programmable Gate Array (FPGA) is an integrated circuit de-
signed to be reconﬁgured by the user and acts as a blank canvas for implementing custom circuits (in
our case custom models). FPGAs embed millions of lookup tables (LUTs) that ”compute” (actually
fetch) the output given the values of their binary inputs. The problem is that these LUTs are lim-
ited in size (typically 6-12 inputs) and using multiple LUTs per neuron is less efﬁcient. This raises
the need for both binarizing our weights (and/or activation) and reducing the number of inputs per
neuron."
INTRODUCTION,0.03571428571428571,"In Sections 2 and 3 we go through existing works on binarization and pruning of fully connected,
full precision networks. In Section 4, we introduce iPrune, an effective way to prune the weights of
binary networks. In Section 5, we compare the accuracy, memory and computation requirements of
these network implementations against their full precision, fully connected equivalents. In Section
6, we report some intriguing results about a-priori pruning versus post-training pruning. Section 7
concludes this work."
BINARIZATION TECHNIQUES,0.04285714285714286,"2
BINARIZATION TECHNIQUES"
BINARIZATION TECHNIQUES,0.05,"Binarization is the process of converting the weights and/or activations to a 1-bit representation (±1)
instead of the classic N-bit representation (typically 8-bit, 16-bit or 32-bit). This gives us a direct"
BINARIZATION TECHNIQUES,0.05714285714285714,Under review as a conference paper at ICLR 2022
BINARIZATION TECHNIQUES,0.06428571428571428,"memory saving of up to 32x. There are several approaches in literature on binarization. Throughout
our experiments, we worked with BinaryConnect whose details are given in the next subsection."
BINARYCONNECT,0.07142857142857142,"2.1
BINARYCONNECT"
BINARYCONNECT,0.07857142857142857,"Courbariaux et al. (2015) introduced BinaryConnect, the ﬁrst paper of its kind, with details on
binarization of both convolutional and dense weights. There are two sub-types based on how the
binarization is performed."
BINARYCONNECT,0.08571428571428572,"• Deterministic: The weights are binarized deterministically; speciﬁcally, using the sign
function on the hard-sigmoid of the weight."
BINARYCONNECT,0.09285714285714286,"• Stochastic: The weights are set to -1 with probability (1-σ(Wi)) and 1 with probability
σ(Wi) where σ is the hard-sigmoid function."
BINARYCONNECT,0.1,The hard-sigmoid function mentioned above is given by:
BINARYCONNECT,0.10714285714285714,"σ(x) = clip
x + 1"
BINARYCONNECT,0.11428571428571428,"2
, 0, 1

(1)"
BINARYCONNECT,0.12142857142857143,"During the back-propagation, the full precision weights are updated based on the gradient with
respect to the binary weights. The pseudocode for BinaryConnect is given in Algorithm 1"
BINARYCONNECT,0.12857142857142856,"Algorithm 1 Algorithm for BinaryConnect
1. Forward propagation:"
BINARYCONNECT,0.1357142857142857,"wb ←binarize(wt−1)
for k = 1 : L do"
BINARYCONNECT,0.14285714285714285,"compute ak knowing ak−1, wb and bt−1
end for
2. Backward propagation"
BINARYCONNECT,0.15,for k = L : 2 : −1 do
BINARYCONNECT,0.15714285714285714,"Compute
∂C
∂ak−1 knowing ∂C"
BINARYCONNECT,0.16428571428571428,"∂ak and wb
end for
3. Parameter update"
BINARYCONNECT,0.17142857142857143,Compute ∂C
BINARYCONNECT,0.17857142857142858,"∂wb and
∂C
∂bt−1 knowing ∂C"
BINARYCONNECT,0.18571428571428572,"∂ak and ak−1
wt ←clip(wt−1 −η ∂C"
BINARYCONNECT,0.19285714285714287,"∂wb )
bt ←bt−1 −η
∂C
∂bt−1"
PRUNING TECHNIQUES,0.2,"3
PRUNING TECHNIQUES"
PRUNING TECHNIQUES,0.20714285714285716,"Hoeﬂer et al. (2021) discusses in detail different approaches to pruning and was used as a reference
for our methods. The different types of pruning techniques are given in Figure 1. A few approaches
are described in detail in Sections 3.1 and 3.2"
STRUCTURE VS UNSTRUCTURED PRUNING,0.21428571428571427,"3.1
STRUCTURE VS UNSTRUCTURED PRUNING"
STRUCTURE VS UNSTRUCTURED PRUNING,0.22142857142857142,"Structured pruning is the removal of neurons or weights in a structured fashion i.e. based on a ﬁxed
pattern. Common methods for structured pruning are neuron pruning (since this is just a row/column
removed from the weight matrix) and ﬁlter/transformer head removal. Similarly, strided removal of
weights after an offset is also an example of structured pruning."
STRUCTURE VS UNSTRUCTURED PRUNING,0.22857142857142856,"On the other hand, unstructured pruning refers to the pruning method where there are no patterns in
how the weights are removed. While this does not help with easier matrix calculation, it tends to
provide higher baselines than structured pruning and can often be converted to structured pruning
through a minor set of modiﬁcations."
STRUCTURE VS UNSTRUCTURED PRUNING,0.2357142857142857,Under review as a conference paper at ICLR 2022
STRUCTURE VS UNSTRUCTURED PRUNING,0.24285714285714285,Figure 1: Schemes of pruning described in Hoeﬂer et al. (2021)
MAGNITUDE PRUNING,0.25,"3.2
MAGNITUDE PRUNING"
MAGNITUDE PRUNING,0.2571428571428571,"It is a simple and effective selection scheme where the magnitude of the weights is used as a metric
to determine which weights to drop and which weights to keep. After sparsifying the network this
way, retraining is done to get high accuracies again."
