Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0036900369003690036,"Policy Optimization (PO) algorithms have been proven particularly suited to handle
the high-dimensionality of real-world continuous control tasks. In this context,
Trust Region Policy Optimization methods represent a popular approach to stabilize
the policy updates. These usually rely on the Kullback-Leibler (KL) divergence
to limit the change in the policy. The Wasserstein distance represents a natural
alternative, in place of the KL divergence, to deﬁne trust regions or to regular-
ize the objective function. However, state-of-the-art works either resort to its
approximations or do not provide an algorithm for continuous state-action spaces,
reducing the applicability of the method. In this paper, we explore optimal trans-
port discrepancies (which include the Wasserstein distance) to deﬁne trust regions,
and we propose a novel algorithm – Optimal Transport Trust Region Policy Op-
timization (OT-TRPO) – for continuous state-action spaces. We circumvent the
inﬁnite-dimensional optimization problem for PO by providing a one-dimensional
dual reformulation for which strong duality holds. We then analytically derive
the optimal policy update given the solution of the dual problem. This way, we
bypass the computation of optimal transport costs and of optimal transport maps,
which we implicitly characterize by solving the dual formulation. Finally, we
provide an experimental evaluation of our approach across various control tasks.
Our results show that optimal transport discrepancies can offer an advantage over
state-of-the-art approaches."
INTRODUCTION,0.007380073800738007,"1
Introduction"
INTRODUCTION,0.01107011070110701,"Reinforcement Learning (RL) has achieved outstanding results in numerous ﬁelds, from resource
management [16], recommendation systems [42], and optimization of chemical reactions [44], to
video-games [18, 43, 10] and board games [39], without sparing the world’s champion of GO [32].
Many of these successful applications rely on Policy Optimization (PO) algorithms, a family of RL
methods that are particularly suited to handle the high-dimensionality of real-world control tasks. PO
algorithms approach the RL setting as an optimization problem in the policy space. In this context, the
main challenge is to provide policy improvement guarantees. One remarkable option in this direction"
INTRODUCTION,0.014760147601476014,⇤Equal contribution.
INTRODUCTION,0.01845018450184502,"is represented by Trust Region Policy Optimization (TRPO) [29], which constrains the optimization
problem to policies that are “close” to the current one, whereby the Kullback-Leibler (KL) divergence
is used as a similarity measure. Nevertheless, “closeness” in the policy space can also be quantiﬁed via
other functions. Recent work [22, 33, 20] proposed to replace the KL divergence with the Wasserstein
distance, a particular instance of optimal transport discrepancy (or cost). Besides being very natural
and expressive, optimal transport discrepancies enjoy powerful topological, differential, geometrical,
computational, and statistical features and guarantees [37, 3, 14]. In particular, (i) optimal transport
discrepancies allow us to compare probability measures (and thus policies) not sharing the same
support (for which the KL divergence is inﬁnity); and (ii) they encapsulate the geometry encoded
by the transport cost in the action space: the discrepancy between two actions coincides with the
discrepancy between the corresponding deterministic policies (whereas the KL divergence is again
inﬁnity). These reasons make optimal transport discrepancies particularly attractive for RL. However,
the mere evaluation of optimal transport discrepancies entails solving a transportation problem
(e.g., see [23, 34]), which poses signiﬁcant computational challenges for its deployment. Most of
the previous work on the topic [22, 20] overcomes the computational burden via approximation,
effectively changing the original problem. Conversely, [33] proposes two algorithms to solve the PO
problem exactly, studying the trust regions described via the Wasserstein distance and the Sinkhorn
divergence. However, their analysis is limited to discrete (and ﬁnite) settings. In our work, we
consider optimal transport discrepancies to construct the trust region in settings where actions and
states take value in general compact Polish spaces. This allows tackling many applications of
interest involving continuous domains such as physical control tasks. We derive and leverage a dual
reformulation of the PO problem to ensure an optimal policy update within the trust region, without
any additional need for line searches (conversely to [29]). We circumvent the computation of optimal
transport discrepancies via an analytical expression of the transport maps, which are characterized
thanks to the dual reformulation. Notably, our analysis enables a practical and efﬁcient algorithm that
encompasses both discrete and continuous settings."
INTRODUCTION,0.02214022140221402,"Contributions. Our contributions are summarized as follows:
1. We derive the dual of the optimal transport trust region policy optimization problem and we show"
INTRODUCTION,0.025830258302583026,"that strong duality holds for general compact metric state-action spaces. We further characterize
the optimal policy update given the solution to the dual problem. We show that policy updates can
result in monotonic improvement of the performance function.
2. We propose a novel PO algorithm for continuous spaces, Optimal Transport Trust Region Policy"
INTRODUCTION,0.02952029520295203,"Optimization (OT-TRPO). Herein, we leverage the derived duality theory to provide policy updates
that satisfy the optimal transport discrepancy constraint while circumventing its computation.
3. We conduct experiments in several RL benchmarks in both discrete and continuous state-action"
INTRODUCTION,0.033210332103321034,"spaces, comparing our method to state-of-the-art approaches. Our results show the effectiveness
of our approach for PO and the beneﬁts of using optimal transport discrepancies."
LIT REVIEW,0.03690036900369004,"2
Related Works"
LIT REVIEW,0.04059040590405904,"Optimal transport, and in particular the Wasserstein distance, has found various applications in RL and
in particular in PO algorithms. In this section, we discuss the most relevant for our work; a broader
overview is postponed to Appendix A.1. In [22], the authors propose Behavior Guided Policy Gradient
(BGPG), whereby they replace the KL divergence trust region from TRPO [29] by a Wasserstein
distance penalty in a behavioral space. Although our alternating procedure in Section 5 may resemble
the approach of [22] in spirit, our approach is fundamentally different; cfr. [22, Algorithms 1 and 3]
with Algorithm 1. In [20], the authors further suggested incorporating additional information about
the local behavior of policies encapsulated in the so-called Wasserstein Information Matrix, in the
attempt to speed up the PO using a Wasserstein Natural Policy Gradient (WNPG). However, these
approaches are relatively slow, compared to the traditional Proximal Policy Optimization (PPO) and
TRPO. Conversely to our work, they do not build on the idea of trust regions: we instead guarantee
that the policy update is “close” to the previous one, where the “closeness” is deﬁned via an optimal
transport discrepancy (e.g., the Wasserstein distance). Accordingly, the closest related work to ours
is the recent paper [33] which studied Wasserstein Policy Optimization (WPO) for discrete action
spaces. In contrast to [33], the present work addresses the general setting of compact Polish spaces
encompassing the cases of continuous and discrete state-action spaces as particular cases. While
we also adopt a duality approach, our level of generality induces many challenges compared to
the discrete action space setting (see Remark 2), and it is compatible even with non-direct policy"
LIT REVIEW,0.04428044280442804,"parametrizations. Finally, our work is closely connected with Wasserstein Distributionally Robust
Optimization (DRO) [8, 19, 4, 25, 13]. Albeit our duality results are inspired from this literature,
DRO is concerned with quantifying the worst-case risk of a cost functional over an ambiguity set
of probability measures, which is a fundamentally different setting; see Remark 1. Conversely to
all the previous work, we show how to perform exact optimal transport-based TRPO in continuous
settings: we exploit optimal transport theory to circumvent the computational burden of evaluating
optimal transport discrepancies while still performing exact policy updates within the trust regions.
Accordingly, to the best of our knowledge, our practical algorithm is completely novel."
LIT REVIEW,0.04797047970479705,"3
Preliminaries"
LIT REVIEW,0.05166051660516605,We brieﬂy introduce useful background and notation for the remainder of the paper.
LIT REVIEW,0.055350553505535055,"Notation. For every Polish space X (i.e., completely metrizable separable topological space),
the set of Borel probability measures on X is denoted by P(X). The Dirac measure at some
point x 2 X is denoted by δx. Given two Polish spaces X, Y, a Borel probability measures
µ 2 P(X), and a Borel map T : X ! Y, the pushforward measure of µ, denoted by T#µ, is deﬁned
by (T#µ)(A) := µ(T −1(A)) for all A 2 B(Y), where B(Y) is the collection of Borel subsets of Y.
The set of probability measures on a ﬁnite set X coincides with the probability simplex and will also
be denoted by P(X). For a given function f : X ! R, the notation kfk1 refers to supx2X |f(x)|."
