Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0034965034965034965,"The lack of relevant physical constraints in data-driven models of physical systems,
such as neural network parameterized partial differential equations (PDEs), might
lead to unrealistic modeling outcomes. A majority of approaches to solving this
problem are based on forcing a model to satisfy a set of equations representing
physical constraints. Currently available approaches can enforce a very limited
set of constraints and are applicable only to uniform spatial grids. We propose a
method for enforcing general pointwise, differential and integral constraints on
unstructured spatial grids. Our method is based on representing a model’s output in
terms of a function approximation and enforcing constraints on that approximation.
We demonstrate wide applicability and strong performance of our approach in
data-driven learning of dynamical PDE systems and distributions of physical ﬁelds."
INTRODUCTION,0.006993006993006993,"1
INTRODUCTION"
INTRODUCTION,0.01048951048951049,"Multiple works have shown the capability of neural networks to solve complex physical problems and
learn the behavior of physical systems from data. Examples include learning and solving ordinary
differential equations (ODEs) [6], partial differential equations (PDEs) [28; 20] and rigid body
dynamics [31; 5]. Purely data-driven models are typically not forced to satisfy physical constraints of
the system that generated the data. This might lead to unrealistic predictions that violate some known
properties of the underlying physical system."
INTRODUCTION,0.013986013986013986,"Incorporation of relevant constraints allows to make a better use of the available data and makes
predictions more physically plausible. The ﬁeld dealing with physics-constrained learning is diverse
and offers many approaches to adding constraints to models. We refer the reader to many reviews for
details [30; 3; 36; 19]. The approach we consider in this work is based on forcing a model to satisfy
algebraic constraints represented by a set of equalities and inequalities. This is the most commonly
used approach which allows to represent a wide range of constraints and has been shown to work
well in many cases [18; 17; 25]. However, while many constraints can be represented algebraically, it
is not always clear how to evaluate and enforce them."
INTRODUCTION,0.017482517482517484,"Currently available approaches to enforcing algebraic constraints are limited to uniform grids and
have a very narrow range of constraints they can enforce (e.g. only pointwise, or speciﬁc differential
constraints), see Section 5 for details of related work. Such approaches can be readily applied
to models based on convolutional neural networks (CNNs) but cannot be extended to recently
developed models based on graph neural networks (GNNs) [33; 27; 15] and other models working on
unstructured grids."
INTRODUCTION,0.02097902097902098,"We propose a much more general method which allows to enforce pointwise, differential and integral
constraints on unstructured spatial grids and demonstrate its applicability in learning of PDE-driven
dynamical systems and distributions of physical ﬁelds. The method is based on using a models’s
output at the nodes of a grid to construct an interpolant and applying constraints directly to that
interpolant (Section 3)."
INTRODUCTION,0.024475524475524476,Code and data will be made publicly available.
INTRODUCTION,0.027972027972027972,Under review as a conference paper at ICLR 2022
BACKGROUND,0.03146853146853147,"2
BACKGROUND"
BACKGROUND,0.03496503496503497,"PDE-driven dynamical systems.
Many physical systems can be described in terms of PDEs. Such
systems are deﬁned on a bounded domain on which they evolve over time. We consider continuous
dynamical systems with state u(t, x) ∈Rp that evolves over time t ∈R≥0 and spatial locations
x ∈Ω⊂RD. For physical systems, D is typically limited to {1, 2, 3} although our method will
work with any value of D. We assume the system is governed by an unknown PDE"
BACKGROUND,0.038461538461538464,"∂u(t, x)"
