Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004291845493562232,"The last few years have seen a surge of work on high dimensional statistics under
privacy constraints, mostly following two main lines of work: the “worst case” line,
which does not make any distributional assumptions on the input data; and the
“strong assumptions” line, which assumes that the data is generated from specific
families, e.g., subgaussian distributions. In this work we take a middle ground,
obtaining new differentially private algorithms with polynomial sample complexity
for estimating quantiles in high-dimensions, as well as estimating and sampling
points of high Tukey depth, all working under very mild distributional assumptions.
From the technical perspective, our work relies upon fundamental robustness results
in the convex geometry literature, demonstrating how such results can be used
in a private context. Our main object of interest is the (convex) floating body
(FB), a notion going back to Archimedes, which is a robust and well studied high-
dimensional analogue of the interquantile range. We show how one can privately,
and with polynomially many samples, (a) output an approximate interior point
of the FB – e.g., “a typical user” in a high-dimensional database – by leveraging
the robustness of the Steiner point of the FB; and at the expense of polynomially
many more samples, (b) produce an approximate uniform sample from the FB, by
constructing a private noisy projection oracle."
INTRODUCTION,0.008583690987124463,"1
Introduction"
INTRODUCTION,0.012875536480686695,"Computing statistics of large, complex high-dimensional datasets under privacy constraints is a
fundamental challenge in modern data science. In this work, we study the sample complexity of
several different tasks related to estimating the quantiles of a d-dimensional distribution D, from
having sample access to it, under privacy constraints. Our first focus is on estimating quantiles of fixed
marginals. For a random vector X ∈Rd, the quantiles of X along direction θ are the quantiles of the
(one-dimensional) marginal ⟨X, θ⟩, which we denote by Qq(⟨X, θ⟩) for q ∈[0, 1]. Our second focus
is on estimating a convex region called the floating body of a d-dimensional distribution, an analogue
of the 1-dimensional interquantile range exhibiting rich mathematical properties, investigated over
decades of research in convex geometry and sharing connections with the work of Archimedes (see,
e.g., the survey [NSW19]). Formally, the q-floating body of a random vector X ∈Rd is given by"
INTRODUCTION,0.017167381974248927,"Fq(X) =
\"
INTRODUCTION,0.02145922746781116,θ∈Sd−1
INTRODUCTION,0.02575107296137339,"
x ∈Rd : ⟨x, θ⟩≤Qq(⟨X, θ⟩)
	
,
(1)"
INTRODUCTION,0.030042918454935622,"and in statistical language corresponds to the points of so-called Tukey-depth at least 1 −q [NSW19].
When clear from context, we also denote by Fq(D) the floating body of the random vector X ∼D.
See Figure 1 for a simple demonstration of the floating body."
INTRODUCTION,0.034334763948497854,Figure 1: The floating body of a dataset X.
INTRODUCTION,0.03862660944206009,"Similar to their 1-dimensional analogues, the quantiles in high-dimensions are preferred to other
descriptive statistics and location estimators due to their robustness properties [Hub81, MR97] and
high breakdown points [DG07, Alo03, TP16]. As opposed to other statistics, marginal quantiles can
be estimated under the mere minimal distributional assumption of having non-trivial mass around
the location of the quantiles (see e.g. [AMB19, Lemma 3]). Moreover, the floating body can also be
estimated in the Hausdorff distance for log-concave measures and stable laws [AR20]."
INTRODUCTION,0.04291845493562232,"Besides statistical guarantees, an essential property of an estimator in modern data science is to be
private. For instance, many large healthcare datasets contain sensitive patient information [DE13,
ZLZ+17, FLJ+14, YKÖ17] and it is crucial for an estimator to balance the trade-off between
protecting the privacy of the input while producing accurate statistical results."
INTRODUCTION,0.04721030042918455,"Differential privacy (DP) is the leading notion in quantifying privacy guarantees of a randomized
algorithm over an input dataset. In this work, we focus on algorithms satisfying pure DP guarantees.
Given a parameter ε > 0, ε-differential privacy guarantees that the probability of a given output
cannot change more than a multiplicative factor eε after the arbitrary change of the input data of one
data item (e.g., a single user record in a large database). More generally, ε-DP can be defined as
follows with respect to the Hamming distance dH (X, X′) := |{i ∈[n]
Xi ̸= X′
i}|, defined for two"
INTRODUCTION,0.05150214592274678,"n-tuples of samples X = (X1, . . . , Xn), X′ = (X′
1, . . . , X′
n) ∈(Rd)n.
Definition 1 (ε-DP). A randomized algorithm A is ε-differential private if for all subsets S ∈F of
the output space (Ω, F) and n-tuples of samples X1, X2 ∈(Rd)n, it holds that"
INTRODUCTION,0.055793991416309016,"P (A(X1) ∈S) ≤eεdH(X1,X2)P (A(X2) ∈S) .
(2)"
INTRODUCTION,0.060085836909871244,"While there has been a lot of work on differential privacy, it usually analyzes algorithms under
worst-case assumptions. The most closely related to our work is the line of research on privately
outputting an interior point of the convex hull of n input points in high dimensions for a worst-case
input [BMNS19, KMST20, SS21, KSS20]. Only recently there has been a lot of statistical work
analyzing differentially private estimators under distributional assumptions for various statistical tasks
[BCS15, DJW18, BCSZ18b, KSSU19, KLSU19, SU19, ZKKW20, CKS20, TVGZ20, KSU20]. On
the topic of the present work, [TVGZ20] established the exact trade-off between privacy and accuracy
of median estimation in one dimension. One of the main motivations of the present work is to
make a first step towards understanding the high-dimensional counterparts of these privacy-accuracy
tradeoffs, by proposing the floating body as a natural estimate under privacy constraints in high
dimensions. In particular, the convexity of the floating body allows us to invoke powerful robustness
theorems, originating from decades of research in convex geometry. It is this combination, of classical
theorems with the modern framework of DP, which yields several new and non-trivial results."
OUR CONTRIBUTIONS,0.06437768240343347,"1.1
Our Contributions"
OUR CONTRIBUTIONS,0.06866952789699571,"The minimal assumptions.
It is known that even in one dimension, private quantile estimation is
impossible for arbitrary measures [TVGZ20]. Thus, some assumptions are required. In this work we
make the following minimal assumptions on the underlying distribution.
Definition 2. We say that a distribution D supported on Rd has a q-admissible law with parameters
Rmax, Rmin, r, L > 0, if, for every θ ∈Sd−1, the following four conditions hold:"
OUR CONTRIBUTIONS,0.07296137339055794,"1. Qq(⟨X, θ⟩) ∈[−Rmax, Rmax]."
