Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005376344086021506,"In this paper we develop a novel regularization method for deep neural networks
by penalizing the trace of Hessian. This regularizer is motivated by a recent guar-
antee bound of the generalization error. Hutchinson method is a classical unbiased
estimator for the trace of a matrix, but it is very time-consuming on deep learn-
ing models. Hence a dropout scheme is proposed to efﬁciently implements the
Hutchinson method. Then we discuss a connection to linear stability of a nonlin-
ear dynamical system. Experiments demonstrate that our method outperforms ex-
isting regularizers such as Jacobian, conﬁdence penalty, and label smoothing. Our
regularization method is also orthogonal to data augmentation methods, achieving
the best performance when our method is combined with data augmentation."
INTRODUCTION,0.010752688172043012,"1
INTRODUCTION"
INTRODUCTION,0.016129032258064516,"Deep neural networks (DNNs) are developing rapidly and are widely used in many ﬁelds such as
image classiﬁcation, machine translation, language modeling and speech recognition. As more and
more models are proposed in the literature, deep neural networks have shown remarkable improve-
ments in performance. However, among various learning problems, over-ﬁtting on training data is
a great problem that affects the test accruacy. So a certain regularization method is often needed in
the training process."
INTRODUCTION,0.021505376344086023,"In linear models, Ridge Regression (Hoerl & Kennard, 1970) and Lasso (Tibshirani, 1996) are usu-
ally used to avoid over-ﬁtting. They are also called L2 and L1 regularization. L2 regularization
has the effect of shrinkage while L1 regularization can be conductive to both shrinkage and spar-
sity. From the Bayesian perspective, L2 and L1 regularization can be interpreted with normal prior
distribution and laplace prior distribution respectively."
INTRODUCTION,0.026881720430107527,"Apart from L2 and L1 regularization, there are many other forms of regularizers in DNNs. The
most widely used one is Weight-Decay (Krogh & Hertz, 1992). Loshchilov & Hutter (2019) also
showed that L2 regularization and Weight-Decay are not identical. Dropout (Srivastava et al., 2014)
is another method to avoid over-ﬁtting by reducing co-adapting between units in neural networks.
Dropout has inspired a large body of work studying its effects (Wager et al. (2013); Helmbold
& Long (2015); Wei et al. (2020)). After dropout, various regularization schemes can be applied
additionally."
INTRODUCTION,0.03225806451612903,"In this paper, we propose a new regularization by penalizing the trace of second derivative of loss
function. We refer to our regularization method as Stochastic Estimators of Hessian Trace (SEHT).
On one hand, our hessian regularization is valuable to guarantee good generalization. On the other
hand, from the perspective of dynamical system, it inﬂuences the stability of the system, in which
parameters move in the parameter space on the basis of training data. In our experiments, Hessian
regularization shows competing test performance and low time consumption with our stochastic
algorithm."
RELATED WORK,0.03763440860215054,"2
RELATED WORK"
RELATED WORK,0.043010752688172046,"There are many regularization methods in previous work. Label Smoothing (Szegedy et al., 2016)
estimates the marginalized effect of label-dropout and reduces over-ﬁtting by preventing a network
from assigning full probability to each training example. Conﬁdence Penalty (Pereyra et al., 2017)"
RELATED WORK,0.04838709677419355,Under review as a conference paper at ICLR 2022
RELATED WORK,0.053763440860215055,"prevents peaked distributions, leading to better generalization. A network appears to be overconﬁ-
dent when it places all probability on a single class in the training set, which is often a symptom
of over-ﬁtting. DropBlock (Ghiasi et al., 2018) is a structured form of dropout, it drops contiguous
regions from a feature map of a layer instead of dropping out independent random units."
RELATED WORK,0.05913978494623656,"Data augmentation methods are also used in practice to improve model’s accuracy and robustness
when training neural networks. Cutout (DeVries & Taylor, 2017) is a data augmentation method
where parts of the input examples are zeroed out, in order to encourage the network to focus more
on less prominent features, then generalize to situations like occlusion. Mixup (Zhang et al., 2017)
extends the training distribution by incorporating the prior knowledge that linear interpolations of
feature vectors should lead to linear interpolations of the associated targets."
RELATED WORK,0.06451612903225806,"Sokoli´c et al. (2017) ﬁrst proposed Jacobian regularization, a method focusing on the norm of Ja-
cobian matrix with respect to input data. It was proved that generalization error can be bounded
by the norm of Jacobian matrix. Besides that, Jacobian matrix shows improved stability of the
model predictions against input perturbations according to Taylor expansion. Hoffman et al. (2019)
showed that Jacobian regularization enlarges the size of decision cells and is practically effective in
improving the generalization error and robustness of the models. To simplify calculation, stochastic
algorithm of Jacobian regularization was also proposed."
RELATED WORK,0.06989247311827956,"Motivated by Jacobian regularization, we consider the generalization error and stability of the model
respect to Hessian matrix. Then we combine Linear Stability Analysis and propose Hessian regu-
larization with corresponding stochastic algorithms. We compare our Hessian regularization with
other methods and demonstrate promising performance in experiments. The main idea to estimate
the trace of Hessian matrix is Hutchinson Method(Avron & Toledo, 2011) and the algorithm was
also discussed by Yao et al. (2020a). We make an improvement by designing a new probability
distribution to dropout parameters which decrease time consumption obviously without losing gen-
eralization."
RELATED WORK,0.07526881720430108,"Hessian information is powerful tool used on analyzing the property of neural networks. Yao et al.
(2020b) designed AdaHessian, a second order stochastic optimization algorithm. Yu et al. (2021)
used Hessian trace to measure sensitivity, developing a Hessian Aware Pruning method to ﬁnd in-
sensitive parameters in a neural network model and a Neural Implant technique to alleviate accuracy
degradation. However, their methods are static in essence, we focus on dynamical motion of param-
eters in parameter space. Sankar et al. (2021) also proposed a Hessian regularization. They forcused
on the layerwise loss landscape via the eigenspectrum of the Hessian at each layer. We start from
different perspectives, generalization error and dynamical system of parameters. Our experiments
also shows better results than Sankar et al. (2021)’s method."
HESSIAN REGULARIZATION,0.08064516129032258,"3
HESSIAN REGULARIZATION"
HESSIAN REGULARIZATION,0.08602150537634409,"Here we introduce a Hessian regularization method based on generalization error and corresponding
stochastic algorithms in details. Then we discuss linear stability analysis to explain why Hessian
regularization can prevent neural networks from over-ﬁtting."
TRACE OF HESSIAN MATRIX,0.0913978494623656,"3.1
TRACE OF HESSIAN MATRIX"
TRACE OF HESSIAN MATRIX,0.0967741935483871,"In this study, we consider a multi-class classiﬁcation problem. Input x is a N-dimensional vector,
where x ∈X ⊆RN, with X is the input space. Y = {1, 2, ..., M} is the label space, which
means that we have M classes. Each input x has a label y ∈Y. Sample space is deﬁned as
S = X × Y. An element of S is denoted by s = (x, y). We assume that samples s from S are
drawn according to a probability distribution P. A training set of n samples drawn from P is denoted
by Sn = {si}n
i=1 = {(xi, yi)}n
i=1."
TRACE OF HESSIAN MATRIX,0.10215053763440861,"Our goal is to ﬁnd a classiﬁcation function f, which takes x ∈RN as input and outputs z = f(x).
z is a M-dimensional score vector, where each element zi is the score x belonging to category
i ∈Y. The highest score indicates the most probable label. So the estimated label is given as
ˆy = g(x)= arg maxi zi = arg maxi∈Y f(x)i."
TRACE OF HESSIAN MATRIX,0.10752688172043011,Under review as a conference paper at ICLR 2022
TRACE OF HESSIAN MATRIX,0.11290322580645161,"A loss function is used to measure the discrepancy between the true label y and the estimated label
g(x). In this paper, we use the cross-entropy loss,"
TRACE OF HESSIAN MATRIX,0.11827956989247312,"ℓ(f(x), y) = −log
exp(f(x)y)
P"
TRACE OF HESSIAN MATRIX,0.12365591397849462,"y′ exp(f(x)y′).
(1)"
TRACE OF HESSIAN MATRIX,0.12903225806451613,The empirical loss of the classiﬁer f(x) associated with the training set is deﬁned as
TRACE OF HESSIAN MATRIX,0.13440860215053763,"ℓemp(f) = ˆE[ℓ(f(x), y)] = 1 n X"
TRACE OF HESSIAN MATRIX,0.13978494623655913,"si∈Sn
ℓ(f(xi), yi),
(2)"
TRACE OF HESSIAN MATRIX,0.14516129032258066,and the expected loss of the classiﬁer f(x) is deﬁned as
TRACE OF HESSIAN MATRIX,0.15053763440860216,"ℓexp(f) = E[ℓ(f(x), y)] = Es∼P [ℓ(f(x), y)],
(3)"
TRACE OF HESSIAN MATRIX,0.15591397849462366,then the difference between ℓemp(f) and ℓexp(f) is called generalization error:
TRACE OF HESSIAN MATRIX,0.16129032258064516,"GE(f) = ||ℓexp(f) −ℓemp(f)||.
(4)"
TRACE OF HESSIAN MATRIX,0.16666666666666666,"Wei et al. (2020) showed generalization bound of linear models with cross-entropy loss of M classes.
Let W is the weight matrix, µ(W ) = ˆE[∥J∥2] and v(W ) = ˆE[tr(H)]. For linear models, the"
TRACE OF HESSIAN MATRIX,0.17204301075268819,Jacobian matrix J is a vector deﬁned as ∂ℓ
TRACE OF HESSIAN MATRIX,0.1774193548387097,"∂z and the Hessian matrix H is deﬁned as {
∂2ℓ
∂zi∂zj }M×M.
With probability 1 −δ over the training examples, for all weight matrices W satisfying the norm
bound ||W T ||2,1 ≤A, the following bound holds:"
TRACE OF HESSIAN MATRIX,0.1827956989247312,"E[¯ℓ] −1.01ˆE[¯ℓ] ≲(Aµ(W ))
2
3 (θB)
1
3"
TRACE OF HESSIAN MATRIX,0.1881720430107527,"n
1
3
+ A
p"
TRACE OF HESSIAN MATRIX,0.1935483870967742,"Bv(W )θ
√n
+
BA2θ
n(log2( BA2θ"
TRACE OF HESSIAN MATRIX,0.1989247311827957,"v(W )n) + 1)
+ ζ.
(5)"
TRACE OF HESSIAN MATRIX,0.20430107526881722,"Here with some ﬁxed bound B > 0,
¯ℓ= min{ℓ, B},"
TRACE OF HESSIAN MATRIX,0.20967741935483872,"∥W ∥2,1 =
X j sX"
TRACE OF HESSIAN MATRIX,0.21505376344086022,"i
(W 2
ij),"
TRACE OF HESSIAN MATRIX,0.22043010752688172,"θ = log3(nM) max
i
∥xi∥2
2 ,"
