Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0044444444444444444,"The expected improvement (EI) is a popular technique to handle the tradeoff
between exploration and exploitation under uncertainty. This technique has been
widely used in Bayesian optimization but it is not applicable for the contextual
bandit problem which is a generalization of the standard bandit and Bayesian
optimization. In this paper, we initiate and study the EI technique for contextual
bandits from both theoretical and practical perspectives. We propose two novel
EI based algorithms, one when the reward function is assumed to be linear and
the other for more general reward functions. With linear reward functions, we
demonstrate that our algorithm achieves a near-optimal regret. Notably, our regret
improves that of LinTS [3] by a factor
√"
ABSTRACT,0.008888888888888889,"d while avoiding to solve a NP-hard
problem at each iteration as in LinUCB [1]. For more general reward functions
which are modeled by deep neural networks, we prove that our algorithm achieves
a ˜O( ˜d
√"
ABSTRACT,0.013333333333333334,"T) regret, where ˜d is the effective dimension of a neural tangent kernel
(NTK) matrix, and T is the number of iterations. Our experiments on various
benchmark datasets show that both proposed algorithms work well and consistently
outperform existing approaches, especially in high dimensions."
INTRODUCTION,0.017777777777777778,"1
Introduction"
INTRODUCTION,0.022222222222222223,"The contextual bandit problem is an important field in machine learning ([9, 23]) to optimize the trade-
off between exploration and exploitation in sequential decision making, and has been extensively
studied in real-world applications such as personalized recommendation [24], advertising [18], robotic
control [25], and healthcare [19]. At each round, the agent observes a feature vector (the “context"")
for each of the K arms, pulls one of them, and in return receives a scalar reward. The goal is to
maximize the cumulative reward, or minimize regret (see our definition in Section 2), in a total of T
rounds. To do so, the agent must find a trade-off between exploration and exploitation."
INTRODUCTION,0.02666666666666667,"There are two standard techniques to solve the trade-off in contextual bandits. The first technique uses
the optimism in face of uncertainty which chooses promising actions by maximizing upper-confidence
bounds (UCB), and the second one using Thompson Sampling (TS) whose basic idea is to estimate
a posterior distribution on the reward, and sample an arm that maximises a random reward drawn"
INTRODUCTION,0.03111111111111111,∗Correspondence to Hung Tran-The <hung.tranthe@deakin.edu.au>.
INTRODUCTION,0.035555555555555556,"from this distribution. A series of work has applied both UCB and TS techniques or their variants
to explore in contextual bandits with many forms of reward functions - from linear to nonlinear. In
the line of UCB, there are works of [24, 13, 1] for the linear bandits, works of [17, 35] for nonlinear
contextual bandits, and very recently [39], which uses neural networks to learn the reward function.
In the line of TS, [3, 31] are for linear bandits, [31, 22] for generalized linear functions, and [30, 38]
for nonlinear bandits using deep neural networks."
INTRODUCTION,0.04,"Different from UCB and TS, the expected improvement (EI) [26] is a greedy improvement-based
heuristic that samples an action offering the greatest expected improvement over an incumbent. EI
is also one of the oldest and popular techniques to handle the tradeoff between exploration and
exploitation under uncertainty. Due to its ability to handle uncertainty, EI has been widely used in
Bayesian optimization [28, 37] - a problem that is closely related to infinite-arm multi-arm bandits.
However, to the best of our knowledge, EI has not been used in contextual bandits."
INTRODUCTION,0.044444444444444446,"In addition, in many situations where the exploration may costly or infeasible, EI can be a safer
strategy than UCB and TS which are considered as over-exploration strategies. For example, in a
medical application of contextual bandits, choosing a treatment that is not the estimated-best choice
(pure exploration) for a specific patient may be unethical [7]. Compared to UCB and TS strategies, EI
brings a safer treatment because EI only chooses a treatment with high possibilities for improvement
over the estimated-best choice."
INTRODUCTION,0.04888888888888889,"Motivated by these advantages, it is valuable to study EI technique in the contextual bandit setting.
Whether EI can handle well the trade-off between exploration and exploitation in a contextual bandit
setting and further in reinforcement learning is an interesting question. Our main contributions in this
paper are as follows:"
INTRODUCTION,0.05333333333333334,"• We introduce and formalize Expected Improvement as a new strategy for contextual bandits
creating a parallel to UCB and TS."
INTRODUCTION,0.057777777777777775,"• We propose two EI-based algorithms. The first algorithm (LinEI) is designed for the linear
bandits whilst the second algorithm (NeuralEI) is designed for more general reward function
and we model it by a deep neural network."
INTRODUCTION,0.06222222222222222,"• For the linear reward function, our LinEI algorithm is able to achieve ˜O(d
√"
INTRODUCTION,0.06666666666666667,"T) regret with
probability 1 −δ, which matches the information theoretic lower bound Ω(d
√"
INTRODUCTION,0.07111111111111111,"T) for this
problem (up to ln(T)). Our regret improves that of LinTS [3] by a factor
√"
INTRODUCTION,0.07555555555555556,"d while avoiding
to solve a NP-hard problem at each iteration as in LinUCB [1]. By this advantage, we will
show in section 6.1.1 that our proposed LinEI scales to high dimensions (in term of d) better
than LinUCB and LinTS; in terms of computations, LinEI is also significantly cheaper than
both LinUCB and LinTS. Our source code is publicly available at https://github.com/
Tran-TheHung/Expected-Improvement-for-Contextual-Bandits."
INTRODUCTION,0.08,"• For the general reward function, we prove that, under standard assumptions (see section
4.1), our NeuralEI algorithm is able to achieve ˜O( ˜d
√"
INTRODUCTION,0.08444444444444445,"T) regret, where ˜d is the effective
dimension of a neural tangent kernel matrix and T is the number of rounds. The regret
bound of NeuralEI has the same order as those of NeuralUCB [39] and NeuralTS [38]."
INTRODUCTION,0.08888888888888889,"• Finally, we demonstrate the performance of our proposed EI-based algorithms against
UCB and TS based approaches and other baselines on various benchmark datasets. Our
experiments show that LinEI outperforms other baselines in the linear setting, and when the
reward function is non-linear, NeuralEI outperforms all baselines."
INTRODUCTION,0.09333333333333334,"Under a theoretical perspective, we remark that the EI technique have not been well studied compared
to UCB and TS even in the Bayesian optimization setting. A key challenge of analyzing EI algorithms
theoretically comes from its improvement function involving nonlinear, nonconvex term. A notable
exception is the work in [11], which provides a convergence analysis of EI for Bayesian optimization
in the noise-free setting. Another work in [34] provides the convergence analysis of EI for Bayesian
optimization in the noisy setting. There are also several papers [33, 29] using EI to study the best-arm
identification problem (also known as “pure exploration”) which is a finite variant of Bayesian
optimization. However, none of these works provides the optimal convergence rate in their settings.
In contrast, our work is the first to show that EI can achieve the optimal convergence rate at least in
linear contextual bandit setting."
PROBLEM SETTING,0.09777777777777778,"2
Problem Setting"
PROBLEM SETTING,0.10222222222222223,"We consider the problem of K-arm contextual bandits. At time t = 1, 2, ..., the agent observes K
contextual vectors xi,t ∈Rd, then selects an arm a(t) and receives a reward ra(t),t which has a
general form as follows:
ra(t),t = h(xa(t),t) + ξa(t),t,"
