Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0016051364365971107,"Spiking neural networks (SNNs) offer a promising avenue to implement deep neural
1"
ABSTRACT,0.0032102728731942215,"networks in a more energy-efficient way. However, the network architectures of
2"
ABSTRACT,0.004815409309791332,"existing SNNs for language tasks are too simplistic, and deep architectures have
3"
ABSTRACT,0.006420545746388443,"not been fully explored, resulting in a significant performance gap compared to
4"
ABSTRACT,0.008025682182985553,"mainstream transformer-based networks such as BERT. To this end, we improve
5"
ABSTRACT,0.009630818619582664,"a recently-proposed spiking transformer (i.e., Spikformer) to make it possible to
6"
ABSTRACT,0.011235955056179775,"process language tasks and propose a two-stage knowledge distillation method for
7"
ABSTRACT,0.012841091492776886,"training it, which combines pre-training by distilling knowledge from BERT with
8"
ABSTRACT,0.014446227929373997,"a large collection of unlabelled texts and fine-tuning with task-specific instances
9"
ABSTRACT,0.016051364365971106,"via knowledge distillation again from the BERT fine-tuned on the same training
10"
ABSTRACT,0.01765650080256822,"examples. Through extensive experimentation, we show that the models trained
11"
ABSTRACT,0.019261637239165328,"with our method, named SpikeBERT, outperform state-of-the-art SNNs and even
12"
ABSTRACT,0.02086677367576244,"achieve comparable results to BERTs on text classification tasks for both English
13"
ABSTRACT,0.02247191011235955,"and Chinese with much less energy consumption.
14"
INTRODUCTION,0.024077046548956663,"1
Introduction
15"
INTRODUCTION,0.025682182985553772,"Modern artificial neural networks (ANNs) have been highly successful for a wide range of natural
16"
INTRODUCTION,0.027287319422150885,"language processing (NLP) and computer vision (CV) tasks. However, it requires too much compu-
17"
INTRODUCTION,0.028892455858747994,"tational power and energy to train and deploy state-of-the-art ANN models, leading to a consistent
18"
INTRODUCTION,0.030497592295345103,"increase of energy consumption per model over the past decade. The energy consumption of large
19"
INTRODUCTION,0.03210272873194221,"language models, such as ChatGPT[OpenAI, 2022] and GPT-4[OpenAI, 2023], is unfathomable
20"
INTRODUCTION,0.033707865168539325,"even during inference. In recent years, spiking neural networks (SNNs), arguably known as the third
21"
INTRODUCTION,0.03531300160513644,"generation of neural network [Maas, 1997], have attracted a lot of attention due to their high biological
22"
INTRODUCTION,0.03691813804173355,"plausibility, event-driven property and low energy consumption [Roy et al., 2019]. Like biological
23"
INTRODUCTION,0.038523274478330656,"neurons, SNNs use discrete spikes to process and transmit information. Nowadays, neuromorphic
24"
INTRODUCTION,0.04012841091492777,"hardware can be used to fulfill spike-based computing, which provides a promising way to implement
25"
INTRODUCTION,0.04173354735152488,"artificial intelligence with much lower energy consumption.
26"
INTRODUCTION,0.04333868378812199,"Spiking neural networks have achieved great success in image classification task [Hu et al., 2018, Yin
27"
INTRODUCTION,0.0449438202247191,"et al., 2020, Fang et al., 2021, Ding et al., 2021, Kim et al., 2022a, Zhou et al., 2022] and there have
28"
INTRODUCTION,0.04654895666131621,"been some works [Plank et al., 2021, Lv et al., 2023, Zhu et al., 2023] that have demonstrated the
29"
INTRODUCTION,0.048154093097913325,"efficacy of SNNs in language tasks partially. However, the backbone networks employed in SNNs for
30"
INTRODUCTION,0.04975922953451043,"language tasks are overly simplistic, which significantly lowers the upper bound on the performance
31"
INTRODUCTION,0.051364365971107544,"of their SNN models. For instance, the SNN used by Lv et al. [2023], which is built upon TextCNN
32"
INTRODUCTION,0.052969502407704656,"[Kim, 2014], demonstrates a notable performance gap compared to those built on Transfomer-based
33"
INTRODUCTION,0.05457463884430177,(a) Spikformer SPS
INTRODUCTION,0.056179775280898875,Conv 2D BN MP
INTRODUCTION,0.05778491171749599,Images D-SSA BN
INTRODUCTION,0.0593900481540931,Conv 2D
INTRODUCTION,0.060995184590690206,Encoder Block × 𝐿 × 2 MLP Words
INTRODUCTION,0.06260032102728733,"Word
Embedding"
INTRODUCTION,0.06420545746388442,(b) SpikeBERT N-SSA LN
INTRODUCTION,0.06581059390048154,Linear
INTRODUCTION,0.06741573033707865,Encoder Block × 𝐿′ × 2 MLP
INTRODUCTION,0.06902086677367576,Spiking Neuron Layer
INTRODUCTION,0.07062600321027288,Element-wise Add
INTRODUCTION,0.07223113964686999,"BN
Batch Normalization"
INTRODUCTION,0.0738362760834671,"LN
Layer Normalization SSA"
INTRODUCTION,0.0754414125200642,"SPS
Spiking Patch Splitting"
INTRODUCTION,0.07704654895666131,Spiking Self Attention
INTRODUCTION,0.07865168539325842,"MP
Max Pooling"
INTRODUCTION,0.08025682182985554,"Figure 1:
(a) The architecture of Spikformer [Zhou et al., 2022]. (b) The architecture of our
SpikeBERT. We improve Spikformer in its architecture, making it possible to process languages.
Firstly, Spiking Patch Splitting (SPS) module was replaced with a word embedding layer so that the
network can take discrete words (or tokens) as input. Secondly, we make the shape of the attention
map yielded by Spiking Self Attention (SSA) to be N × N, rather than D × D, where D and N
denote dimensionality of hidden layers and the length of inputs respectively. Lastly, the convolution
layers were replaced with linear layers, and the batch normalization with layer normalization. L and
L
′ denote the number of encoder blocks in Spikfomer and SpikeBERT, respectively."
INTRODUCTION,0.08186195826645265,"[Vaswani et al., 2017] large language models like BERT [Devlin et al., 2019] and RoBERTa [Liu
34"
INTRODUCTION,0.08346709470304976,"et al., 2019] on multiple classification benchmarks.
35"
INTRODUCTION,0.08507223113964688,"Recently, Spikformer was proposed by Zhou et al. [2022], which first introduced Transformer
36"
INTRODUCTION,0.08667736757624397,"architecture to SNNs and significantly narrowed the gap between SNNs and ViT [Dosovitskiy et al.,
37"
INTRODUCTION,0.08828250401284109,"2020] on ImageNet [Deng et al., 2009] and CIFAR-10. We think that Spikformer provides the
38"
INTRODUCTION,0.0898876404494382,"possibility to construct complex language representation models. As shown in Figure 1, considering
39"
INTRODUCTION,0.09149277688603531,"the discrete nature of textual data, we improve the architecture of Spikformer to make it suitable
40"
INTRODUCTION,0.09309791332263243,"for language tasks. we replace certain modules that were originally designed for image processing
41"
INTRODUCTION,0.09470304975922954,"with language-friendly modules. Please see Section 3.2 for details on the improvement in network
42"
INTRODUCTION,0.09630818619582665,"architecture. In general, a deeper ANN model often implies better performance. Increasing the
43"
INTRODUCTION,0.09791332263242375,"depth of a ANN allows for the extraction of more complex and abstract features from the input data.
44"
INTRODUCTION,0.09951845906902086,"However, Fang et al. [2020a] have shown that deep SNNs directly trained with backpropagation
45"
INTRODUCTION,0.10112359550561797,"through time (BPTT) [Werbos, 1990] using surrogate gradients (See Section2.1) could suffer from
46"
INTRODUCTION,0.10272873194221509,"the problem of gradient vanishing or exploding due to “self-accumulating dynamics”. Therefore, we
47"
INTRODUCTION,0.1043338683788122,"proposed to use knowledge distillation [Hinton et al., 2015] to train language Spikformers so that the
48"
INTRODUCTION,0.10593900481540931,"deviation of surrogate gradients in Spikformer would not be rapidly accumulated[Qiu et al., 2023].
49"
INTRODUCTION,0.10754414125200643,"Inspired by the widely-used “pre-training + fine-tuning” recipe [Sun et al., 2019, Liu, 2019, Gururan-
50"
INTRODUCTION,0.10914927768860354,"gan et al., 2020], we present a two-stage knowledge distillation strategy. In stage 1, we choose BERT
51"
INTRODUCTION,0.11075441412520064,"as teacher model and the improved Spikformer as student model. We utilize a large collection of
52"
INTRODUCTION,0.11235955056179775,"unlabelled texts to align features produced by two models in the embedding layer and multiple hidden
53"
INTRODUCTION,0.11396468699839486,"layers. In stage 2, we use a BERT fine-tuned on a task-specific dataset as teacher and the model
54"
INTRODUCTION,0.11556982343499198,"that completes stage 1 as student. At this stage, we first do the data augmentation for task-specific
55"
INTRODUCTION,0.11717495987158909,"dataset and then employ the logits predicted by the teacher model to further guide the student model.
56"
INTRODUCTION,0.1187800963081862,"After two-stage knowledge distillation, a spiking language model, named SpikeBERT, can be built
57"
INTRODUCTION,0.12038523274478331,"by distilling knowledge from BERT. The experiment results show that SpikeBERT not only can
58"
INTRODUCTION,0.12199036918138041,"outperform the state-of-the-art SNNs-like frameworks in text classification task but also achieve
59"
INTRODUCTION,0.12359550561797752,"competitive performance to BERTs. The experiments of the ablation study (Section 4.5) also show
60"
INTRODUCTION,0.12520064205457465,"that “pre-training distillation” plays an important role in training SpikeBERT.
61"
INTRODUCTION,0.12680577849117175,"The major contribution of this study can be summarized as follows:
62"
INTRODUCTION,0.12841091492776885,"• We improve the architecture of Spikformer for language processing and propose a two-stage,
63"
INTRODUCTION,0.13001605136436598,"“pre-training + task-specific” knowledge distillation training method, in which the improved
64"
INTRODUCTION,0.13162118780096307,"Spikformers are pre-trained on a huge collection of unlabelled texts before they are further
65"
INTRODUCTION,0.1332263242375602,"fine-tuned on task-specific datasets by distilling the knowledge of feature extractions and
66"
INTRODUCTION,0.1348314606741573,"predictive powers from BERTs.
67"
INTRODUCTION,0.13643659711075443,"• We empirically show that SpikeBERT achieved significantly higher performance than
68"
INTRODUCTION,0.13804173354735153,"existing SNNs on 6 different language benchmark datasets for both English and Chinese.
69"
INTRODUCTION,0.13964686998394862,"• This study is among the first to show the feasibility of transferring the knowledge of BERT-
70"
INTRODUCTION,0.14125200642054575,"like large language models to spiking-based architectures that can achieve comparable
71"
INTRODUCTION,0.14285714285714285,"results but with much less energy consumption.
72"
RELATED WORK,0.14446227929373998,"2
Related Work
73"
SPIKING NEURAL NETWORKS,0.14606741573033707,"2.1
Spiking Neural Networks
74"
SPIKING NEURAL NETWORKS,0.1476725521669342,"SNNs use discrete spike trains instead of continuous decimal values to compute and transmit infor-
75"
SPIKING NEURAL NETWORKS,0.1492776886035313,"mation. Spiking neurons, such as Izhikevich neuron [Izhikevich, 2003] and Leaky Integrate-and-Fire
76"
SPIKING NEURAL NETWORKS,0.1508828250401284,"(LIF) neuron [Wu et al., 2017], are usually applied to generate spike trains. However, due to the
77"
SPIKING NEURAL NETWORKS,0.15248796147672553,"non-differentiability of spikes, training SNNs has been a great challenge for the past two decades.
78"
SPIKING NEURAL NETWORKS,0.15409309791332262,"Currently, there are two mainstream approaches to address this problem.
79"
SPIKING NEURAL NETWORKS,0.15569823434991975,"ANN-to-SNN Conversion
ANN-to-SNN conversion method [Diehl et al., 2015, Cao et al., 2015,
80"
SPIKING NEURAL NETWORKS,0.15730337078651685,"Rueckauer et al., 2017, Hu et al., 2018] aims to convert weights of a well-trained ANN to its SNN
81"
SPIKING NEURAL NETWORKS,0.15890850722311398,"counterpart by replacing the activation function with spiking neuron layers and adding scaling rules
82"
SPIKING NEURAL NETWORKS,0.16051364365971107,"such as weight normalization [Diehl et al., 2016] and threshold constraints [Hu et al., 2018]. This
83"
SPIKING NEURAL NETWORKS,0.16211878009630817,"approach suffers from a large number of time steps during the conversion.
84"
SPIKING NEURAL NETWORKS,0.1637239165329053,"Backpropagation with Surrogate Gradients
Another popular approach is to utilize surrogate
85"
SPIKING NEURAL NETWORKS,0.1653290529695024,"gradients [Neftci et al., 2019] during error backpropagation, enabling the entire procedure to be
86"
SPIKING NEURAL NETWORKS,0.16693418940609953,"differentiable. Multiple surrogate gradients functions have been proposed, including the Sigmoid
87"
SPIKING NEURAL NETWORKS,0.16853932584269662,"surrogate function [Zenke and Ganguli, 2017], Fast-Sigmoid [Zheng and Mazumder, 2018], and ATan
88"
SPIKING NEURAL NETWORKS,0.17014446227929375,"[Fang et al., 2020a]. Backpropagation through time (BPTT) [Werbos, 1990] is one of the most popular
89"
