Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00398406374501992,"In many practical applications of RL, it is expensive to observe state transitions
from the environment. For example, in the problem of plasma control for nuclear
fusion, computing the next state for a given state-action pair requires querying an
expensive transition function which can lead to many hours of computer simulation
or dollars of scientiﬁc research. Such expensive data collection prohibits application
of standard RL algorithms which usually require a large number of observations
to learn. In this work, we address the problem of efﬁciently learning a policy
while making a minimal number of state-action queries to the transition function.
In particular, we leverage ideas from Bayesian optimal experimental design to
guide the selection of state-action queries for efﬁcient learning. We propose an
acquisition function that quantiﬁes how much information a state-action pair would
provide about the optimal solution to a Markov decision process. At each iteration,
our algorithm maximizes this acquisition function, to choose the most informative
state-action pair to be queried, thus yielding a data-efﬁcient RL approach. We
experiment with a variety of simulated continuous control problems and show that
our approach learns an optimal policy with up to 5 – 1, 000× less data than model-
based RL baselines and 103 – 105× less data than model-free RL baselines. We
also provide several ablated comparisons which point to substantial improvements
arising from the principled method of obtaining data."
INTRODUCTION,0.00796812749003984,"1
INTRODUCTION"
INTRODUCTION,0.01195219123505976,"Reinforcement learning (RL) has suffered for years from a curse of poor sample complexity. State-of-
the-art model-free reinforcement learning algorithms routinely take tens of thousands of sampled
transitions to solve very simple tasks and millions to solve moderately complex ones (Haarnoja
et al., 2018; Lillicrap et al., 2015). The current best model-based reinforcement learning (MBRL)
algorithms are better, requiring thousands of samples for simple problems and hundreds of thousands
of samples for harder ones (Chua et al., 2018). In settings where each sample is expensive, even
this smaller cost can be prohibitive for the practical application of RL. For example, in the physical
sciences, many simulators require the solution of computationally demanding spatial PDEs in plasma
control (Breslau et al., 2018; Char et al., 2019) or aerodynamics applications (Jameson & Fatica,
2006). In robotics, due to the cost of simulating more complicated objects (Heiden et al., 2021), RL
methods are typically constrained to fast but limited rigid-body simulators (Todorov et al., 2012).
These costly transition functions prompt the question: “If we were to collect one additional datapoint
from anywhere in the state-action space to best improve our solution to the task, which one would it
be?” An answer to this question can be used to guide data collection in RL."
INTRODUCTION,0.01593625498007968,"Across the ﬁelds of black-box optimization and experimental design, techniques have been developed
which choose data to collect that are particularly useful in improving the value of the objective
function of the problem. For example, Bayesian optimization (BO) focuses on maximizing an
unknown (black-box) function where queries are expensive (Frazier, 2018; Shahriari et al., 2015).
More generally, Bayesian optimal experimental design (BOED) aims to choose data to collect which
are maximally informative about the value of some derived quantity (Chaloner & Verdinelli, 1995).
We aim to leverage these ideas for data-efﬁciency in reinforcement learning. Along these lines, several"
INTRODUCTION,0.0199203187250996,Published as a conference paper at ICLR 2022
INTRODUCTION,0.02390438247011952,"works in the realm of Bayesian RL address this problem in the sequential setting. A Bayes-adaptive
MDP (Ross et al., 2007) constructs a modiﬁed MDP by augmenting the state space with the posterior
belief of the MDP, leading to a policy that can optimally trade off between acquiring more information
and exploiting the knowledge it already has. However such an MDP is intractable to exactly solve in
large spaces so approximations and heuristics have been developed for the solution (Smith, 2007;
Guez et al., 2012). A particularly relevant heuristic is the value of perfect information (VPI) from
Dearden et al. (1998), which attempts to capture the potential change in value of a state if the value
of a particular action at that state was perfectly known, speciﬁcally in a tabular setting. However,
VPI doesn’t attempt to distinguish between states that are visited during the execution of the optimal
policy and those that aren’t. This is a critical distinction when collecting data in continuous spaces,
as queries may be wasted learning an optimal policy in irrelevant parts of the state space."
INTRODUCTION,0.027888446215139442,"Motivated by our opening question, in this paper we study the setting where the agent collects data
by sequentially making queries to the transition function with free choice of both the initial state and
the action. We refer to this setting as transition-query reinforcement learning (TQRL) and formally
deﬁne it in Section 3.1. Although this setting has been studied in the tabular case, to the best of our
knowledge it has not been studied in the continuous MDP literature."
INTRODUCTION,0.03187250996015936,"In this work, we draw a connection between MBRL and the world of BOED by deriving an acquisition
function that quantiﬁes how much information a state-action pair would provide about the optimal
solution to a MDP. Like the techniques in Bayesian RL, our acquisition function is able to determine
which state-action pairs are worth acquiring in a way which takes into account the reward function
and the uncertainty in the dynamics. However, like the Bayes-Adaptive MDP and unlike the VPI
heuristic, this function takes into account the current estimates of which states the optimal policy
will visit and values potential queries accordingly. Furthermore, our acquisition function is scalable
enough to apply to multidimensional continuous control problems. In particular, our acquisition
function is the expected information gain (EIG) about the trajectory taken by an optimal policy in the
MDP that would be achieved if we were to query the transition function at a given state-action pair."
INTRODUCTION,0.035856573705179286,"Finally, we assess the performance of our acquisition function as a data selection strategy in the
TQRL setting. Using this method we are able to solve several continuous reinforcement learning
tasks (including a nuclear fusion example) using orders of magnitude less data than a variety of
competitor methods. In summary, the contributions of our paper are:"
