Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011325028312570782,"Current reinforcement learning (RL) models are often claimed to explain animal
1"
ABSTRACT,0.0022650056625141564,"behavior. However, they are designed for artificial agents that sense, think, and react
2"
ABSTRACT,0.0033975084937712344,"much faster than the brain, and they tend to fail when operating under human-like
3"
ABSTRACT,0.004530011325028313,"sensory and reaction times. Despite using slow neurons, the brain achieves precise
4"
ABSTRACT,0.0056625141562853904,"and low-latency control through a combination of predictive and sequence learning.
5"
ABSTRACT,0.006795016987542469,"The basal ganglia is hypothesized to learn compressed representations of action
6"
ABSTRACT,0.007927519818799546,"sequences, allowing the brain to produce a series of actions for a given input. We
7"
ABSTRACT,0.009060022650056626,"present the Hindsight-Sequence-Planner (HSP), a model of the basal ganglia and
8"
ABSTRACT,0.010192525481313703,"the prefrontal cortex that operates under ""brain-like"" conditions: slow information
9"
ABSTRACT,0.011325028312570781,"processing with quick sensing and actuation. Our ""temporal recall"" mechanism is
10"
ABSTRACT,0.01245753114382786,"inspired by the prefrontal cortex’s role in sequence learning, where the agent uses
11"
ABSTRACT,0.013590033975084938,"an environmental model to replay memories at a finer temporal resolution than its
12"
ABSTRACT,0.014722536806342015,"processing speed while addressing the credit assignment problem caused by scalar
13"
ABSTRACT,0.015855039637599093,"rewards in sequence learning. HSP employs model-based training to achieve model-
14"
ABSTRACT,0.01698754246885617,"free control, resulting in precise and efficient behavior that appears low-latency
15"
ABSTRACT,0.01812004530011325,"despite running on slow hardware. We test HSP on various continuous control
16"
ABSTRACT,0.01925254813137033,"tasks, demonstrating that it not can achieve comparable performance ’human-like’
17"
ABSTRACT,0.020385050962627407,"frequencies by relying on significantly fewer observations and actor calls (actor
18"
ABSTRACT,0.021517553793884484,"sample complexity).
19"
INTRODUCTION,0.022650056625141562,"1
Introduction
20"
INTRODUCTION,0.02378255945639864,"Biological and artificial agents must learn behaviors that maximize rewards to thrive in complex
21"
INTRODUCTION,0.02491506228765572,"environments. Reinforcement learning (RL), a class of algorithms inspired by animal behavior,
22"
INTRODUCTION,0.026047565118912798,"facilitates this learning process (1). The connection between neuroscience and RL is profound.
23"
INTRODUCTION,0.027180067950169876,"The Temporal Difference (TD) error, a key concept in RL, effectively models the firing patterns of
24"
INTRODUCTION,0.028312570781426953,"dopamine neurons in the midbrain (2; 3; 4). Additionally, a longstanding goal of RL algorithms is to
25"
INTRODUCTION,0.02944507361268403,"match and surpass human performance in control tasks (5; 6; 7; 8; 9; 10)
26"
INTRODUCTION,0.030577576443941108,"However, most of these successes are achieved by leveraging large amounts of data in simulated
27"
INTRODUCTION,0.031710079275198186,"environments and operating at speeds orders of magnitude faster than biological neurons. For example,
28"
INTRODUCTION,0.03284258210645526,"the default timestep for the Humanoid task in the MuJoCo environment (11) in OpenAI Gym (12)
29"
INTRODUCTION,0.03397508493771234,"is 15 milliseconds. In contrast, human reaction times range from 150 milliseconds (13) to several
30"
INTRODUCTION,0.035107587768969425,"seconds for complex tasks (14). When RL agents are constrained to human-like reaction times, even
31"
INTRODUCTION,0.0362400906002265,"state-of-the-art algorithms struggle to perform in simple environments.
32"
INTRODUCTION,0.03737259343148358,"The primary reason for this difficulty is the implicit assumption in RL that the environment and the
33"
INTRODUCTION,0.03850509626274066,"agent operate at a constant timestep. Consequently, in embodied agents, all components—sensors,
34"
INTRODUCTION,0.039637599093997736,"compute units, and actuators—are synchronized to operate at the same frequency. Typically, this
35"
INTRODUCTION,0.04077010192525481,"frequency is limited by the speed of computation in artificial agents (15). As a result, robots often
36"
INTRODUCTION,0.04190260475651189,"require fast onboard computing hardware (CPU or GPU) to achieve higher control frequencies
37"
INTRODUCTION,0.04303510758776897,"(16; 17; 18).
38"
INTRODUCTION,0.044167610419026046,"In contrast, biological agents achieve precise and seemingly fast control using much slower hard-
39"
INTRODUCTION,0.045300113250283124,"ware. This is possible because biological agents effectively decouple the computation frequency
40"
INTRODUCTION,0.0464326160815402,"from the actuation frequency, allowing them to achieve high actuation frequencies even with slow
41"
INTRODUCTION,0.04756511891279728,"computational speeds. Consequently, biological agents demonstrate robust, adaptive, and efficient
42"
INTRODUCTION,0.04869762174405436,"control.
43"
INTRODUCTION,0.04983012457531144,"To allow the RL agent to observe and react to changes in the environment quickly, RL algorithms are
44"
INTRODUCTION,0.05096262740656852,"forced to set a high frequency. Even in completely predictable environments, when the agent learns
45"
INTRODUCTION,0.052095130237825596,"to walk or move, a small timestep is required to account for the actuation frequency required for the
46"
INTRODUCTION,0.053227633069082674,"task, but it is not necessary to observe the environment as often or compute new actions as frequently.
47"
INTRODUCTION,0.05436013590033975,"As a result, RL algorithms suffer from many problems such as low sample efficiency, failure to learn
48"
INTRODUCTION,0.05549263873159683,"tasks with sparse rewards, jerky control, high compute cost, and catastrophic failure due to missing
49"
INTRODUCTION,0.056625141562853906,"inputs.
50"
INTRODUCTION,0.057757644394110984,"In this work, we propose Hindsight-Sequence-Planner (HSP), a model for sequence learning based on
51"
INTRODUCTION,0.05889014722536806,"the role of the basal ganglia (BG) and the prefrontal cortex (PFC). Our model learns open-loop control
52"
INTRODUCTION,0.06002265005662514,"utilizing a slow hardware and low attention, and hence also low energy. Additionally, the algorithm
53"
INTRODUCTION,0.061155152887882216,"utilizes a simultaneously learned model of the environment during its training but can act without it
54"
INTRODUCTION,0.0622876557191393,"for fast and cheap inference. We demonstrate the algorithm achieves competitive performance on
55"
