Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0016638935108153079,"Statistical properties such as mean and variance often change over time in time
series, i.e., time-series data suffer from a distribution shift problem. This change
in temporal distribution is one of the main challenges that prevent accurate time-
series forecasting. To address this issue, we propose a simple yet effective nor-
malization method called reversible instance normalization (RevIN), a generally-
applicable normalization-and-denormalization method with learnable afﬁne trans-
formation. The proposed method is symmetrically structured to remove and re-
store the statistical information of a time-series instance, leading to signiﬁcant
performance improvements in time-series forecasting, as shown in Fig. 1. We
demonstrate the effectiveness of RevIN via extensive quantitative and qualitative
analyses on various real-world datasets, addressing the distribution shift problem."
ABSTRACT,0.0033277870216306157,∗Both authors contributed equally. The order of the ﬁrst authors was determined by coin ﬂip.
ABSTRACT,0.004991680532445923,Published as a conference paper at ICLR 2022
INTRODUCTION,0.0066555740432612314,"1
INTRODUCTION"
INTRODUCTION,0.008319467554076539,"Time-series forecasting plays a signiﬁcant role in addressing various daily problems, including
health care, economics, and trafﬁc data analyses (Kim et al., 2021a; Ahmadi et al., 2019; Park
et al., 2020). Recently, time-series forecasting models have achieved outstanding performance on
these problems, overcoming several challenges, such as long-term forecasting (Zhou et al., 2021;
Liu et al., 2021) and missing value imputation (Zhang et al., 2021; Kim et al., 2021b). However, the
time-series forecasting models often suffer badly from a unique characteristic in time-series data:
their statistical properties, e.g., mean and variance, can change over time. This is widely known as
the distribution shift problem, and it can yield discrepancies between the distributions of the training
and test data of the forecasting models. In time-series forecasting tasks, the training and test data
are usually divided from the original data based on a speciﬁc point in time. Accordingly, they often
hardly overlap, which is a common reason for model performance degradation. Furthermore, the in-
put sequences to the model can have different underlying distributions as well. We can assume that
the discrepancy between different input sequences can signiﬁcantly degrade the model performance."
INTRODUCTION,0.009983361064891847,"Under this assumption, if we remove non-stationary information from the input sequences, speciﬁ-
cally, the mean and standard deviation of the instances, the discrepancy in the data distributions will
be reduced, thereby improving model performance. However, applying such normalization to the
model input can cause another problem since it can prevent the model from capturing the original
data distribution. It removes non-stationary information that can be important to predict future values
in the forecasting task. The model would need to reconstruct the original distribution only using the
normalized input, which degrades its forecasting performance due to the inherent limitation. Thus,
if we explicitly return the information removed by input normalization back to the model, the model
will not have to rebuild the original distribution by itself while keeping the advantage of normalizing
the input. To accomplish this, we propose to reverse the normalization applied to the input data in
the output layer, i.e., to denormalize the model output using the normalization statistics."
INTRODUCTION,0.011647254575707155,"Inspired by this, we propose a simple yet effective normalization-and-denormalization method, re-
versible instance normalization (RevIN), which ﬁrst normalizes the input sequences and then de-
normalizes the model output sequences to solve the time-series forecasting problems against distri-
bution shift. RevIN is symmetrically structured to return the original distribution information to the
model output by scaling and shifting the output in the denormalization layer in an amount equivalent
to the shifting and scaling of the input data in the normalization layer. To verify the effectiveness of
RevIN, we conduct extensive quantitative evaluations using several state-of-the-art time-series fore-
casting methods as the baselines: Informer (Zhou et al., 2021), N-BEATS (Oreshkin et al., 2020),
and SCINet (Liu et al., 2021). We also provide an in-depth analysis of the behavior of the proposed
approach, including veriﬁcation of the assumptions on reversible instance normalization."
INTRODUCTION,0.013311148086522463,"RevIN is a ﬂexible, end-to-end trainable layer that can be applied to any arbitrarily chosen layers,
effectively suppressing non-stationary information (mean and variance of the instance) in one layer
and restoring it in another layer at a virtually symmetric position, e.g., input and output layers. De-
spite its remarkable performance, there has been no work on generalizing and expanding instance-
wise normalization-and-denormalization as a ﬂexibly applicable, trainable layer in the time-series
domain. Recently, deep learning-based time-series forecasting approaches, such as Informer (Zhou
et al., 2021) and N-BEATS (Oreshkin et al., 2020), have shown outstanding performance in time-
series forecasting. However, they have overlooked the importance of normalization, merely using
simple global preprocessing of the model input without further exploration and expecting their end-
to-end deep learning model to replace the role. Despite the simplicity of our method, there have
been no cases of using such techniques in modern deep-learning-based time-series forecasting ap-
proaches (Zhou et al., 2021; Liu et al., 2021; Oreshkin et al., 2020). In this sense, we introduce the
importance of an appropriate normalization method for deep-learning-based time-series approaches.
We propose a carefully designed, deep-learning-friendly module for time-series forecasting by com-
bining the method with the learnable afﬁne transformation, which has been widely accepted in recent
deep-learning-based normalization work (Ulyanov et al., 2016)."
INTRODUCTION,0.014975041597337771,"In summary, our contributions are as follows:"
