Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001841620626151013,"In human-agent collaboration tasks, it is essential to explore ways for developing
1"
ABSTRACT,0.003683241252302026,"assistive agents that can improve humans’ performance in achieving their goals.
2"
ABSTRACT,0.0055248618784530384,"In this paper, we propose the Reinforcement Learning from Human Gain (RLHG)
3"
ABSTRACT,0.007366482504604052,"approach, designed to effectively enhance human goal-achievement abilities in
4"
ABSTRACT,0.009208103130755065,"collaborative tasks with known human goals. Firstly, the RLHG method trains
5"
ABSTRACT,0.011049723756906077,"a value network to estimate primitive human performance in achieving goals.
6"
ABSTRACT,0.01289134438305709,"Subsequently, the RLHG method trains a gain network to estimate the positive gain
7"
ABSTRACT,0.014732965009208104,"of human performance in achieving goals when subjected to effective enhancement,
8"
ABSTRACT,0.016574585635359115,"in comparison to the primitive performance. The positive gains are used for
9"
ABSTRACT,0.01841620626151013,"guiding the agent to learn effective enhancement behaviors. Distinct from directly
10"
ABSTRACT,0.020257826887661142,"integrating human goal rewards into optimization objectives, the RLHG method
11"
ABSTRACT,0.022099447513812154,"largely mitigates the human-agent credit assignment issues encountered by agents
12"
ABSTRACT,0.02394106813996317,"in learning to enhance humans. We evaluate the RLHG agent in the widely popular
13"
ABSTRACT,0.02578268876611418,"Multi-player Online Battle Arena (MOBA) game, Honor of Kings, by conducting
14"
ABSTRACT,0.027624309392265192,"experiments in both simulated environments and real-world human-agent tests.
15"
ABSTRACT,0.029465930018416207,"Experimental results demonstrate that the RLHG agent effectively improves the
16"
ABSTRACT,0.03130755064456722,"goal-achievement performance of participants across varying levels.
17"
INTRODUCTION,0.03314917127071823,"1
Introduction
18"
INTRODUCTION,0.034990791896869246,"An intriguing research direction in the field of Artificial Intelligence (AI), particularly in the human-
19"
INTRODUCTION,0.03683241252302026,"agent field, is how to effectively enhance human goal-achievement abilities within collaborative
20"
INTRODUCTION,0.03867403314917127,"tasks. Human-Agent Collaboration (HAC) (Crandall et al., 2018; Dafoe et al., 2020) has gained
21"
INTRODUCTION,0.040515653775322284,"significant attention from researchers, and numerous agents have been successfully developed to
22"
INTRODUCTION,0.0423572744014733,"collaborate with humans in complex environments (Jaderberg et al., 2019; Carroll et al., 2019; Hu
23"
INTRODUCTION,0.04419889502762431,"et al., 2020; Strouse et al., 2021; Bakhtin et al., 2022; Gao et al., 2023). However, as Amodei et al.
24"
INTRODUCTION,0.04604051565377532,"(2016) stated, “[F]or an agent operating in a large, multifaceted environment, an objective function
25"
