Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0030120481927710845,"Non-autoregressive Transformer(NAT) significantly accelerates the inference of
neural machine translation. However, conventional NAT models suffer from limited
expression power and performance degradation compared to autoregressive (AT)
models due to the assumption of conditional independence among target tokens.
To address these limitations, we propose a novel approach called PCFG-NAT,
which leverages a specially designed Probabilistic Context-Free Grammar (PCFG)
to enhance the ability of NAT models to capture complex dependencies among
output tokens. Experimental results on major machine translation benchmarks
demonstrate that PCFG-NAT further narrows the gap in translation quality between
NAT and AT models. Moreover, PCFG-NAT facilitates a deeper understanding of
the generated sentences, addressing the lack of satisfactory explainability in neural
machine translation.2"
INTRODUCTION,0.006024096385542169,"1
Introduction"
INTRODUCTION,0.009036144578313253,"Autoregressive machine translation models rely on sequential generation, leading to slow generation
speeds and potential errors due to the cascading nature of the process. In contrast, non-autoregressive
Transformer (NAT) models [13] have emerged as promising alternatives for machine translation. The
Vanilla NAT model assumes that the target tokens are independent of each other given the source
sentence. This assumption enables the parallel generation of all tokens. However, it neglects the
contextual dependencies among target language words, resulting in a severe multi-modality problem
[13] caused by the rich expressiveness and diversity inherent in natural languages. Consequently,
Vanilla NAT models exhibit significant performance degradation compared to their autoregressive
counterparts."
INTRODUCTION,0.012048192771084338,"Several approaches have been proposed to alleviate the multi-modality problem in NAT models
while maintaining their computational efficiency. CTC-based NAT [11, 22] depicted in Figure 1(b)
addresses this issue by implicitly modeling linear adjacent dependencies through token repetition
and blank probability. This approach helps alleviate the multi-modality of token distributions at
each position compared to Vanilla NAT. Similarly, DA-Transformer [14, 37, 26] shown in Figure
1(c) introduces a hidden Markov model and employs a directed acyclic graph to model sentence
probability, enabling the model to capture dependencies between adjacent tokens and reduce the
multi-modal nature of the distribution."
INTRODUCTION,0.015060240963855422,"∗Corresponding author: Yang Feng
2Code is publicly available at https://github.com/ictnlp/PCFG-NAT."
INTRODUCTION,0.018072289156626505,"(a) Vanilla NAT
(b) CTC-NAT"
INTRODUCTION,0.02108433734939759,"(c) DA-Transformer
(d) PCFG-NAT"
INTRODUCTION,0.024096385542168676,"Figure 1: Illustration of Vanilla NAT, CTC-NAT, DA-Transformer, and PCFG-NAT"
INTRODUCTION,0.02710843373493976,"However, despite these enhancements, the modeling of only adjacent and unidirectional dependencies
limits the model’s ability to capture the rich semantic structures with non-adjacent and bidirectional
dependencies present in natural language. For example, considering the token need as the previous
token, the distribution of the next token is still affected by the issue of multi-modality, as the word
boat can be modified by various rich prefixes in the corpus."
INTRODUCTION,0.030120481927710843,"To overcome this constraints, we propose PCFG-NAT, a method that leverages context-free grammar
to endow the model with the capability to capture the intricate syntactic and semantic structures
present in natural language. For instance, as illustrated in Figure 1(d), PCFG-NAT can directly model
the robust and deterministic correlation between non-adjacent tokens, such as You need boat. In the
parse tree generated by PCFG-NAT for the target sentence, the nodes connected to the tokens You
need boat constitute the main chain of the tree, capturing the left-to-right semantic dependencies
through linear connections. Additionally, PCFG-NAT can learn relationships between modifiers, such
as are gonna and a bigger, and the words they modify by constructing a local prefix tree for the nodes
on the main chain. This allows for the modeling of right-to-left dependencies between the modified
words and their modifiers."
INTRODUCTION,0.03313253012048193,"We conduct experiments on major WMT benchmarks for NAT (WMT14 En↔De, WMT17 Zh↔En,
WMT16 En↔Ro), which shows that our method substantially improves the translation performance
and achieves comparable performance to autoregressive Transformer [40] with only one-iteration par-
allel decoding. Moreover, PCFG-NAT allows for the generation of sentences in a more interpretable
manner, thus bridging the gap between performance and explainability in neural machine translation."
BACKGROUND,0.03614457831325301,"2
Background"
BACKGROUND,0.0391566265060241,"In this section, we will present the necessary background information to facilitate readers’ com-
prehension of the motivation and theoretical underpinnings of PCFG-NAT. In Section 2.1, we will
provide a formalization of the machine translation task and introduce the concepts of autoregressive
Transformer [40] and Vanilla NAT [13], which will serve as the basis for our proposed approach.
Subsequently, in Section 2.2, we will provide a precise and rigorous definition of PCFG, accompanied
by illustrative examples aimed at enhancing clarity and comprehension."
NON-AUTOREGRESSIVE TRANSLATION,0.04216867469879518,"2.1
Non-autoregressive Translation"
NON-AUTOREGRESSIVE TRANSLATION,0.045180722891566265,"Machine translation can be formally defined as a sequence-to-sequence generation problem. Given
source sentence X = {x1, x2, ..., xS}, the translation model is required to generate target sentence
Y = {y1, y2, ..., yT }. The autoregressive translation model predicts each token on the condition of
all previous tokens:"
NON-AUTOREGRESSIVE TRANSLATION,0.04819277108433735,"P(Y |X) = T
Y"
NON-AUTOREGRESSIVE TRANSLATION,0.05120481927710843,"t=1
p(yt|y<t, X).
(1) 0 3 1
5 0
4 7 9
13 8 0"
NON-AUTOREGRESSIVE TRANSLATION,0.05421686746987952,"<blank>
You
<blank>
are
gonna
need
<blank>
a
bigger
boat
.
<blank>"
NON-AUTOREGRESSIVE TRANSLATION,0.0572289156626506,"Figure 2: An example parse tree for You are
gonna need a bigger boat."
NON-AUTOREGRESSIVE TRANSLATION,0.060240963855421686,"Applied Rules
Sequence"
NON-AUTOREGRESSIVE TRANSLATION,0.06325301204819277,"Start
V1
V1 →V0You V5,V0 →ϵ
You V5
V5 →V3 need V9
You V3 need V9
V3 →V0are V4,V0 →ϵ
You are V4 need V9
V4 →gonna
You are gonna need V9
V9 →V7 boat V10
You are gonna need V7 boat V10
V7 →V0a V8,V0 →ϵ
You are gonna need a V8 boat V10
V8 →bigger
You are gonna need a bigger boat V10
V10 →.
You are gonna need a bigger boat ."
NON-AUTOREGRESSIVE TRANSLATION,0.06626506024096386,"Table 1: Derivation of the parse tree. Used produc-
tion rules for every step are listed, where ϵ stands
for an empty string."
NON-AUTOREGRESSIVE TRANSLATION,0.06927710843373494,"The autoregressive inference is time-consuming as it requires generating target tokens from left to
right. To reduce the decoding latency, Gu et al. [13] proposes non-autoregressive Translation, which
discards dependency among target tokens and predicts all the tokens independently:"
NON-AUTOREGRESSIVE TRANSLATION,0.07228915662650602,"P(Y |X) = T
Y"
NON-AUTOREGRESSIVE TRANSLATION,0.07530120481927711,"t=1
p(yt|X).
(2)"
NON-AUTOREGRESSIVE TRANSLATION,0.0783132530120482,"Since the prediction does not rely on previous translation history, the decoder inputs of NAT are
purely positional embeddings or the copy of source embeddings. Vanilla NAT trains a length predictor
to determine the sentence length when decoding. During the training, the golden target length is used.
During the inference, the predictor predicts the target length and the translation of the given length is
obtained by argmax decoding."
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.08132530120481928,"2.2
Probabilistic Context-free Grammar"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.08433734939759036,"Probabilistic Context-free Grammar is built upon Context-Free Grammar (CFG). A CFG is defined
as a 4-tuple:
G = (N, T , R, S),
where N is the set of non-terminal symbols, T is the set of terminal symbols, R is the set of
production rules and S is the start symbol. PCFG extends CFG by associating each production rule
r ∈R with a probability P(r). Production rules are in the form:"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.08734939759036145,"A →α,
(3)"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.09036144578313253,"where A must be a single non-terminal symbol, and α is a string of terminals and/or nonterminals,
α can also be empty. Starting with the sequence that only has start symbol S, we can replace any
non-terminal symbol A with α based on production rule A →α. The derivation process repeats until
the sequence only contains terminal symbols and the derived hierarchical structure can be seen as a
Parse Tree. Those production rules and their probabilities can be applied regardless of the contexts,
which provides Markov property for the joint probability of the parse tree. For every rule, A →α
applied in a derivation, all of the symbols in α are the children nodes of A in order. The probability
of a parse tree t is formulated as:"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.09337349397590361,"P(t) =
Y"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.0963855421686747,"r∈R(t)
(P(r))nr,
(4)"
PROBABILISTIC CONTEXT-FREE GRAMMAR,0.09939759036144578,"where R(t) is the set of production rules applied in t and nr is the number of times that r is applied.
For sentence You are gonna need a bigger boat., Figure 2 shows an example parse tree and how the
sentence is derived from the start symbol V1."
THE PROPOSED METHOD,0.10240963855421686,"3
The Proposed Method"
THE PROPOSED METHOD,0.10542168674698796,"In the following sections, we present the formal definition of a novel variant of PCFG designed for
PCFG-NAT in Section 3.1 and the architecture of the PCFG-NAT model in Section 3.2. Finally, we
describe the training algorithm and decoding algorithm for PCFG-NAT in Section 3.3 and Section
3.4."
RIGHT HEAVY PCFG,0.10843373493975904,"3.1
Right Heavy PCFG"
