Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0004901960784313725,"Many recent studies of LLM performance have focused on the ability of LLMs
1"
ABSTRACT,0.000980392156862745,"to achieve outcomes comparable to humans on academic and professional exams.
2"
ABSTRACT,0.0014705882352941176,"However, it is not clear whether such studies shed light on the extent to which
3"
ABSTRACT,0.00196078431372549,"models show reasoning ability, and there is controversy about the significance and
4"
ABSTRACT,0.0024509803921568627,"implications of such results. We seek to look more deeply into the question of
5"
ABSTRACT,0.0029411764705882353,"how and whether the performance of LLMs on exams designed for humans re-
6"
ABSTRACT,0.003431372549019608,"flects true aptitude inherent in LLMs. We do so by making use of the tools of
7"
ABSTRACT,0.00392156862745098,"psychometrics which are designed to perform meaningful measurement in test
8"
ABSTRACT,0.004411764705882353,"taking. We leverage a unique dataset that captures the detailed performance of
9"
ABSTRACT,0.004901960784313725,"over 5M students across 8 college-entrance exams given over a span of two years
10"
ABSTRACT,0.005392156862745098,"in Brazil. With respect to the evaluation of LLM abilities, we show that the tools
11"
ABSTRACT,0.0058823529411764705,"of Item Response Theory (IRT) provide a more informative evaluation of model
12"
ABSTRACT,0.006372549019607843,"performance than the usual accuracy metrics employed in previous studies. Dig-
13"
ABSTRACT,0.006862745098039216,"ging deeper, we show that the modeling framework of IRT, by explicitly modeling
14"
ABSTRACT,0.007352941176470588,"the difficulty levels of questions, allows us to quantitatively distinguish between
15"
ABSTRACT,0.00784313725490196,"LLMs that answer questions in “human-like” patterns versus LLMs that do not.
16"
ABSTRACT,0.008333333333333333,"We also show how to quantitatively identify cases in which exam results are not
17"
ABSTRACT,0.008823529411764706,"reliable measurements of an LLM’s ability. Using the tools of IRT we can also
18"
ABSTRACT,0.009313725490196078,"identify specific questions that appear to be either much easier, or much harder,
19"
ABSTRACT,0.00980392156862745,"for machines than for humans, and we give some reasons for those differences.
20"
ABSTRACT,0.010294117647058823,"Overall, our study shows that the conventional focus on accuracy as the primary
21"
ABSTRACT,0.010784313725490196,"performance metric for LLM studies does not allow us to deeply understand the
22"
ABSTRACT,0.011274509803921568,"true capabilities of LLMs and compare them to that of humans. Thus, we claim
23"
ABSTRACT,0.011764705882352941,"that psychometric modeling should play a larger role in the evaluation of LLM
24"
ABSTRACT,0.012254901960784314,"capabilities on exams designed for humans.
25"
INTRODUCTION,0.012745098039215686,"1
Introduction
26"
INTRODUCTION,0.013235294117647059,"Large Language Models (LLMs) have demonstrated an impressive ability in performing well on ex-
27"
INTRODUCTION,0.013725490196078431,"aminations designed for humans [25, 30], such as the US bar exam [27], the US Medical Licensing
28"
INTRODUCTION,0.014215686274509804,"Exam [21], and many others [45, 53]. This yields controversy in how researchers should interpret
29"
INTRODUCTION,0.014705882352941176,"such results, raising two kinds of criticisms of those apparent successes. The first is the potential for
30"
INTRODUCTION,0.015196078431372549,"publicly-given exams (and answers) to leak into models’ training data. The second, and more fun-
31"
INTRODUCTION,0.01568627450980392,"damental, issue is the notion of construct validity [44]. Most exams given to humans are intended to
32"
INTRODUCTION,0.016176470588235296,"measure a construct, e.g., legal analysis ability, medical analysis ability, etc. However, the reliability
33"
INTRODUCTION,0.016666666666666666,"of these exams in measuring the relevant construct for non-humans is usually ignored, and exams
34"
INTRODUCTION,0.01715686274509804,"that are valid in one context may not generalize across different groups, settings or tasks [24].
35"
INTRODUCTION,0.01764705882352941,"Formalizing the notion of construct validity in general is challenging. Since the 1950s, the field
36"
INTRODUCTION,0.018137254901960786,"of psychometrics has been grappling with how to design examinations that validly measure human
37"
INTRODUCTION,0.018627450980392157,"abilities along specific dimensions. The primary tool developed has been Item Response Theory
38"
INTRODUCTION,0.01911764705882353,"(IRT) [10], which has been employed in psychology, medicine, and especially in educational test-
39"
INTRODUCTION,0.0196078431372549,"ing. IRT formalizes the unobserved construct as a continuous latent variable, and models stochastic
40"
INTRODUCTION,0.020098039215686276,"responses of humans to questions as a logistic regression conditional on that latent variable.
41"
INTRODUCTION,0.020588235294117647,"In this paper, we demonstrate how IRT can help shed light on whether LLMs are in fact show-
42"
INTRODUCTION,0.02107843137254902,"ing human-like performance on exams intended for humans. As a case study, we use one of the
43"
INTRODUCTION,0.021568627450980392,"largest university-entrance exams in the world, a dataset comprising the performance of over 5 mil-
44"
INTRODUCTION,0.022058823529411766,"lion Brazilian students on eight multiple-choice exams administered over two years. Each exam
45"
INTRODUCTION,0.022549019607843137,"was prepared and fitted to an IRT model by educational testing experts, giving us an unparalleled
46"
INTRODUCTION,0.02303921568627451,"opportunity to examine the performance of LLMs in detail.
47"
INTRODUCTION,0.023529411764705882,"Our results show that the LLMs we study reveal performance patterns that are consistent with ex-
48"
INTRODUCTION,0.024019607843137256,"pected human behavior in many cases. Nonetheless, we also frequently observe significant deviation
49"
INTRODUCTION,0.024509803921568627,"from human-like behavior. We demonstrate how to use the tools of IRT to quantitatively distinguish
50"
INTRODUCTION,0.025,"between human-like and non-human-like behavior. We then explore the differences between mod-
51"
INTRODUCTION,0.025490196078431372,"els and exam types that correlate with differences in response patterns. Lastly, we use the tools of
52"
INTRODUCTION,0.025980392156862746,"IRT and psychometrics to identify cases where exams are not producing reliable estimates of LLM
53"
INTRODUCTION,0.026470588235294117,"ability and understand why this happens. This occurs because exams are in some cases too difficult
54"
INTRODUCTION,0.02696078431372549,"for the models, and in other cases too easy for them and as such they cannot properly measure the
55"
INTRODUCTION,0.027450980392156862,"ability of certain LLMs.
56"
INTRODUCTION,0.027941176470588237,"Moving beyond conclusions about current models, the broader contribution of our study is to demon-
57"
INTRODUCTION,0.028431372549019607,"strate the power of IRT as a framework for evaluating LLMs. For example, in Classical Test Theory
58"
INTRODUCTION,0.02892156862745098,"(CTT), no attempt is made to assess the difficulty of individual questions, in-line with majority of in
59"
INTRODUCTION,0.029411764705882353,"standard LLM benchmarks that pursues accuracy [8, 43, 16, 4]. In contrast, as we will show below,
60"
INTRODUCTION,0.029901960784313727,"IRT simultaneously measures both test takers and exam questions (on the same scale). In doing so,
61"
INTRODUCTION,0.030392156862745098,"IRT allows one to distinguish between test takers with similar CTT (accuracy) scores, but differing
62"
INTRODUCTION,0.030882352941176472,"levels of true ability, by inspecting the pattern of correct or incorrect answers given. Moreover, we
63"
INTRODUCTION,0.03137254901960784,"deploy a broader set of tools (e.g., goodness-of-fit, Fisher information, discrimination index) which
64"
INTRODUCTION,0.031862745098039214,"enable us to evaluate which are the cases in which fitting the IRT model to the LLMs response
65"
INTRODUCTION,0.03235294117647059,"patterns gives us reliable estimates of the models’ ability. Thus, we believe that the methods of our
66"
INTRODUCTION,0.03284313725490196,"study represent a valuable step beyond the use of simple accuracy for assessing whether both current
67"
INTRODUCTION,0.03333333333333333,"and future LLMs show human-like response patterns.
68"
RELATED WORK,0.033823529411764704,"2
Related Work
69"
RELATED WORK,0.03431372549019608,"Our study connects a number of research areas, spanning benchmarking LLMs, the applications of
70"
RELATED WORK,0.03480392156862745,"item response theory, and the evaluation of LLMs using exams designed for humans.
71"
RELATED WORK,0.03529411764705882,"Benchmarking LLMs. The most common strategy to evaluate LLMs is through traditional large-
72"
RELATED WORK,0.035784313725490194,"scale NLP benchmarks [46, 40, 11, 18, 16, 19, 4]. Conventionally, benchmark evaluation relies on
73"
RELATED WORK,0.03627450980392157,"some notion of accuracy – the number of correct answers – as a proxy for ability [8, 43]. A key
74"
RELATED WORK,0.03676470588235294,"distinction of our study is to draw attention to the limitations of the use of accuracy alone [34] for
75"
RELATED WORK,0.03725490196078431,"evaluating the performance of LLMs on benchmarks in understanding the similarity between the
76"
RELATED WORK,0.037745098039215684,"performance of models versus humans.
77"
RELATED WORK,0.03823529411764706,"LLMs and Exams Designed for Humans. Many attempts to evaluate LLMs use exams designed
78"
RELATED WORK,0.03872549019607843,"for humans, e.g., at college-entrance [1, 26] or college-level [14, 37, 47, 13, 41, 53]. These exams
79"
RELATED WORK,0.0392156862745098,"also generally use accuracy as a metric of ability; one focus of our work is on how to use IRT
80"
RELATED WORK,0.039705882352941174,"analysis to determine when such exams in fact perform meaningful measurement.
81"
RELATED WORK,0.04019607843137255,"The Brazilian nationwide college-entrance exams we use in this work (ENEM), detailed in Sec-
82"
RELATED WORK,0.04068627450980392,"tion 4.1, were used in previous efforts to evaluate NLP models [38, 39, 26]. However, those studies
83"
RELATED WORK,0.041176470588235294,"only used accuracy and did not make use of the IRT models associated with the exam, which is a
84"
RELATED WORK,0.041666666666666664,"central aspect our work.
85"
RELATED WORK,0.04215686274509804,"IRT in Machine Learning. Work in psychometrics (i.e., the measurement of human cognitive
86"
RELATED WORK,0.04264705882352941,"abilities), detailed in Section 3, has shown that using accuracy as a exam score may not reflect the
87"
RELATED WORK,0.043137254901960784,"true underlying abilities of individuals [15]. As a result, IRT has been advocated for use in machine
88"
RELATED WORK,0.043627450980392155,"learning (ML) as an improved tool for benchmarking. The authors in [33] show that it is possible to
89"
RELATED WORK,0.04411764705882353,"produce rankings of NLP models which are more reliable and stable using IRT than accuracy. Item
90"
RELATED WORK,0.0446078431372549,"response theory has also been shown to help in spotting noisy questions, identifying overfitting,
91"
RELATED WORK,0.045098039215686274,"selecting features, and designing better benchmarks for ML [29, 35, 20, 54, 22]. However, there is
92"
RELATED WORK,0.045588235294117645,"a critical difference between the previous uses of IRT in ML and our work. Previous work uses IRT
93"
RELATED WORK,0.04607843137254902,"by training an IRT model on the results of ML models solving question-answering or classification
94"
RELATED WORK,0.04656862745098039,"questions. Our method is different: we leverage the fact that we have access to an IRT model trained
95"
RELATED WORK,0.047058823529411764,"on human responses, and we do not retrain on model responses. We take this approach because
96"
RELATED WORK,0.047549019607843135,"a central goal of our study is to explore whether LLMs are in fact following response patterns as
97"
RELATED WORK,0.04803921568627451,"exhibited by human test takers.
98"
RELATED WORK,0.04852941176470588,"Finally, we note that [42] shares some goals with our work. The investigation seeks to understand
99"
RELATED WORK,0.049019607843137254,"whether LLMs show human-like response biases in surveys. We also look at the question of whether
100"
RELATED WORK,0.049509803921568625,"LLMs show human-like response patterns, but we study the question along different dimensions:
101"
RELATED WORK,0.05,"(a) patterns of correct and incorrect answers in exams; and (b) the ways in which LLMs choose
102"
RELATED WORK,0.050490196078431374,"incorrect answers. Additionally, Xia et al. [51] recognize that accuracy as a single metric does not
103"
RELATED WORK,0.050980392156862744,"capture errors LLMs can make in intermediate steps when solving mathematical tasks, and they
104"
RELATED WORK,0.051470588235294115,"systematically study those errors.
105"
BACKGROUND,0.05196078431372549,"3
Background
106"
BACKGROUND,0.052450980392156864,"In this section, we give some background of the tools we use from psychometrics.
107"
BACKGROUND,0.052941176470588235,"Classical Test Theory (CTT): CTT [2] evaluates test takers based on the fraction of questions
108"
BACKGROUND,0.053431372549019605,"they answer correctly. We call this score accuracy or CTT score of the test taker and we use these
109"
BACKGROUND,0.05392156862745098,"two terms interchangeably. Inadequately, CTT does not differentiate between difficult and easy
110"
BACKGROUND,0.054411764705882354,"questions, nor does it take into consideration the patterns of correct answers. For example, the CTT
111"
BACKGROUND,0.054901960784313725,"score does not penalize a test taker who answers correctly difficult questions, but answers wrongly
112"
BACKGROUND,0.055392156862745096,"easy ones – despite the fact that such a pattern might be indicative of randomness or cheating.
113"
BACKGROUND,0.05588235294117647,"Item Response Theory (IRT): IRT [12, 5] is a model used extensively in psychometrics to measure
114"
BACKGROUND,0.056372549019607844,"the ability level of the test takers and evaluate the difficulty of the test questions (which are referred
115"
BACKGROUND,0.056862745098039215,"to as items in psychometrics). IRT takes into consideration the difficulty of the questions when eval-
116"
BACKGROUND,0.057352941176470586,"uating test-taker’s performance and also makes use of the pattern of correct and incorrect responses
117"
BACKGROUND,0.05784313725490196,"on the exam. The model associates with every test taker j a parameter θj, which corresponds to the
118"
BACKGROUND,0.058333333333333334,"ability of j. The two-parameter IRT model (2PL) associates every question i with two parameters
119"
BACKGROUND,0.058823529411764705,"ϕi = (αi, βi). The model assumes that a test taker with ability θj answers question i associated with
120"
BACKGROUND,0.059313725490196076,"ϕi correctly with probability given by the logistic function:
121"
