Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0014970059880239522,"A common setting in multitask reinforcement learning (RL) demands that an agent
rapidly adapt to various stationary reward functions randomly sampled from a
fixed distribution. In such situations, the successor representation (SR) is a pop-
ular framework which supports rapid policy evaluation by decoupling a policy’s
expected discounted, cumulative state occupancies from a specific reward function.
However, in the natural world, sequential tasks are rarely independent, and instead
reflect shifting priorities based on the availability and subjective perception of re-
warding stimuli. Reflecting this disjunction, in this paper we study the phenomenon
of diminishing marginal utility and introduce a novel state representation, the λ
representation (λR) which, surprisingly, is required for policy evaluation in this
setting and which generalizes the SR as well as several other state representations
from the literature. We establish the λR’s formal properties and examine its nor-
mative advantages in the context of machine learning, as well as its usefulness for
studying natural behaviors, particularly foraging."
INTRODUCTION,0.0029940119760479044,"1
Introduction"
INTRODUCTION,0.004491017964071856,Stimulus Presentations
INTRODUCTION,0.005988023952095809,Cumulative Reward
INTRODUCTION,0.0074850299401197605,"Constant Utility
Diminishing Utility"
INTRODUCTION,0.008982035928143712,Figure 1.1: Diminishing rewards.
INTRODUCTION,0.010479041916167664,"The second ice cream cone rarely tastes as good as the first,
and once all the most accessible brambles have been picked,
the same investment of effort yields less fruit. In everyday
life, the availability and our enjoyment of stimuli is sensitive
to our past interactions with them. Thus, to evaluate different
courses of action and act accordingly, we might expect our
brains to form representations sensitive to the non-stationarity
of rewards. Evidence in fields from behavioral economics
[1, 2] to neuroscience [3] supports this hypothesis. Surprisingly,
however, most of reinforcement learning (RL) takes place under
the assumptions of the Markov Decision Process [MDP; 4],
where rewards and optimal decision-making remain stationary."
INTRODUCTION,0.011976047904191617,"In this paper, we seek to bridge this gap by studying the phenomenon of diminishing marginal
utility [5] in the context of RL. Diminishing marginal utility (DMU) is the subjective phenomenon
by which repeated exposure to a rewarding stimulus reduces the perceived utility one experiences.
While DMU is thought to have its roots in the maintenance of homeostatic equilibrium (too much
ice cream can result in a stomach ache), it also manifests itself in domains in which the collected
rewards are abstract, such as economics ($10 vs. $0 is perceived as a bigger difference in value than
$1,010 vs. $1,000), where it is closely related to risk aversion [6, 7]. While DMU is well-studied in
other fields, relatively few RL studies have explored diminishing reward functions [8, 9], and, to our"
INTRODUCTION,0.01347305389221557,"knowledge, none contain a formal analysis of DMU within RL. Here, we seek to characterize both its
importance and the challenge it poses for current RL approaches (Section 3)."
INTRODUCTION,0.014970059880239521,"Surprisingly, we find that evaluating policies under diminishing rewards requires agents to learn
a novel state representation which we term the λ representation (λR, Section 4). The λR gener-
alizes several state representations from the RL literature: the successor representation [SR; 10],
the first-occupancy representation [FR; 11], and the forward-backward representation [FBR; 12],
adapting them for non-stationary environments. Interestingly, despite the non-stationarity of the
underlying reward functions, we show that the λR still admits a Bellman recursion, allowing for
efficient computation via dynamic programming (or approximate dynamic programming) and prove
its convergence. We demonstrate the scalability of the λR to large and continuous state spaces
(Section 4.1), show that it supports policy evaluation, improvement, and composition (Section 5), and
show that the behavior it induces is consistent with optimal foraging theory (Section 6)."
PRELIMINARIES,0.016467065868263474,"2
Preliminaries"
PRELIMINARIES,0.017964071856287425,"Standard RL
In standard RL, the goal of the agent is to act within its environment so as to
maximize its discounted cumulative reward for some task T [13]. Typically, T is modeled as a
discounted MDP, T = (S, A, p, r, γ, µ0), where S is the state space, A is the set of available actions,
p : S × A 7→P(S) is the transition kernel (where P(S) is the space of probability distributions
over S), r : S 7→R is the reward function, γ ∈[0, 1) is a discount factor, and µ0 ∈P(S) is the
distribution over initial states. Note that the reward function is also frequently defined over state-
action pairs (s, a) or triples (s, a, s′), but to simplify notation we mostly consider state-based rewards.
All of the following analysis, unless otherwise noted, can easily be extended to the (s, a)- or (s, a, s′)-
dependent cases. The goal of the agent is to maximize its expected return, or discounted cumulative
reward P"
PRELIMINARIES,0.019461077844311378,"t γtr(st). The role of the discount factor is twofold: from a theoretical standpoint, it
ensures that this sum is finite for bounded rewards, and it induces myopia in the agent’s behavior.
To simplify notation, we will frequently write r(st) ≜rt and r ∈R|S| as the vector of rewards for
each state. The agent acts according to a stationary policy π : S 7→P(A). For finite MDPs, we
can describe the expected transition probabilities under π using a |S| × |S| matrix P π such that
P π
s,s′ = pπ(s′|s) ≜P"
PRELIMINARIES,0.020958083832335328,"a p(s′|s, a)π(a|s). Given π and a reward function r, the expected return
associated with taking action a in state s is"
PRELIMINARIES,0.02245508982035928,"Qπ
r (s, a) = Eπ "" ∞
X"
PRELIMINARIES,0.023952095808383235,"k=0
γkrt+k
st = s, at = a #"
PRELIMINARIES,0.025449101796407185,"= Es′∼pπ(·|s) [rt + γQπ
r (s′, π(s′))] .
(2.1)"
PRELIMINARIES,0.02694610778443114,"The Qπ
r are called the state-action values or simply the Q-values of π. The expectation Eπ [·] is
taken with respect to the randomness of both the policy and the transition dynamics. For simplicity
of notation, from here onwards we will write expectations of the form Eπ [·|st = s, at = a] as
Eπ [·|st, at]. The recursive form in Eq. (2.1) is called the Bellman equation, and it makes the process
of estimating Qπ
r —termed policy evaluation—tractable via dynamic programming. In particular,
successive applications of the Bellman operator T πQ ≜r +γP πQ are guaranteed to converge to the
true value function Qπ for any initial real-valued |S|×|A| matrix Q. Once a policy has been evaluated,
policy improvement identifies a new policy π′ such that Qπ
r (s, a) ≥Qπ′
r (s, a), ∀(s, a) ∈Qπ
r (s, a).
Helpfully, such a policy can be defined as π′(s) ∈argmaxa Qπ
r (s, a)."
PRELIMINARIES,0.02844311377245509,"Value Decomposition
Often, it can be useful for an agent to evaluate the policies it’s learned on
new reward functions. In order to do so efficiently, it can make use of the successor representation
[SR; 10], which decomposes the value function as follows:"
PRELIMINARIES,0.029940119760479042,V π(s) = Eπ  X
PRELIMINARIES,0.03143712574850299,"k≥0
γkrt+k st "
PRELIMINARIES,0.03293413173652695,= rT Eπ  X
PRELIMINARIES,0.0344311377245509,"k≥0
γk1(st+k) st  "
PRELIMINARIES,0.03592814371257485,"|
{z
}"
PRELIMINARIES,0.0374251497005988,≜M π(s)
PRELIMINARIES,0.038922155688622756,",
(2.2)"
PRELIMINARIES,0.040419161676646706,"where 1(st) is a one-hot representation of state st and M π, the SR, is an |S| × |S| matrix such that"
PRELIMINARIES,0.041916167664670656,"M π(s, s′) ≜Eπ  X"
PRELIMINARIES,0.04341317365269461,"k≥0
γk1(st+k = s′) st  = Eπ """
PRELIMINARIES,0.04491017964071856,"1(st = s′) + γM π(st+1, s′) st #"
PRELIMINARIES,0.04640718562874251,".
(2.3)"
PRELIMINARIES,0.04790419161676647,"Because the SR satisfies a Bellman recursion, it can be learned in a similar manner to the value
function, with the added benefit that if the transition kernel p is fixed, it can be used to instantly
evaluate a policy on a task determined by any reward vector r. The SR can also be conditioned on
actions, M π(s, a, s′), in which case multiplication by r produces the Q-values of π. The SR was
originally motivated by the idea that a representation of state in the brain should be dependent on the
similarity of future paths through the environment, and there is evidence that SR-like representations
are present in the hippocampus [14]. A representation closely related to the SR is the first-occupancy
representation [FR; 11], which modifies the SR by only counting the first visit to each state:"
PRELIMINARIES,0.04940119760479042,"F π(s, s′) ≜Eπ  X"
PRELIMINARIES,0.05089820359281437,"k≥0
γk1(st+k = s′, s′ /∈{st, . . . , st+k−1}) st "
PRELIMINARIES,0.05239520958083832,".
(2.4)"
PRELIMINARIES,0.05389221556886228,"The FR can be used in the same way as the SR, with the difference that the values it computes are
predicated on ephemeral rewards—those that are consumed or vanish after the first visit to a state."
PRELIMINARIES,0.05538922155688623,"Policy Composition
If the agent has access to a set of policies Π = {π} and their associated SRs
(or FRs) and is faced by a new task determined by reward vector r, it can instantly evaluate these
policies by simply multiplying: {Qπ(s, a) = rTM π(s, a, ·)}. This process is termed generalized
policy evaluation [GPE; 15]. Similarly, generalized policy improvement (GPI) is defined as the
identification of a new policy π′ such that Qπ′(s, a) ≥supπ∈Π Qπ(s, a) ∀s, a ∈S × A. Combining
both provides a way for an agent to efficiently compose its policies Π—that is, to combine them to
produce a new policy without additional learning. This process, which we refer to as GPE+GPI,
produces the following policy, which is guaranteed to perform at least as well as any policy in Π [16]:"
PRELIMINARIES,0.05688622754491018,"π′(s) ∈argmax
a∈A
max
π∈Π rTM π(s, a, ·).
(2.5)"
DIMINISHING MARGINAL UTILITY,0.058383233532934134,"3
Diminishing Marginal Utility"
DIMINISHING MARGINAL UTILITY,0.059880239520958084,"Problem Statement
Motivated by DMU’s importance in decision-making, our goal is to understand
RL in the context of the following class of non-Markov reward functions:"
