Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0020408163265306124,"Discrete-continuous hybrid action space is a natural setting in many practical
problems, such as robot control and game AI. However, most previous Reinforce-
ment Learning (RL) works only demonstrate the success in controlling with either
discrete or continuous action space, while seldom take into account the hybrid
action space. One naive way to address hybrid action RL is to convert the hybrid
action space into a uniﬁed homogeneous action space by discretization or con-
tinualization, so that conventional RL algorithms can be applied. However, this
ignores the underlying structure of hybrid action space and also induces the scala-
bility issue and additional approximation difﬁculties, thus leading to degenerated
results. In this paper, we propose Hybrid Action Representation (HyAR) to learn
a compact and decodable latent representation space for the original hybrid action
space. HyAR constructs the latent space and embeds the dependence between
discrete action and continuous parameter via an embedding table and conditional
Variational Auto-Encoder (VAE). To further improve the effectiveness, the action
representation is trained to be semantically smooth through unsupervised environ-
mental dynamics prediction. Finally, the agent then learns its policy with con-
ventional DRL algorithms in the learned representation space and interacts with
the environment by decoding the hybrid action embeddings to the original action
space. We evaluate HyAR in a variety of environments with discrete-continuous
action space. The results demonstrate the superiority of HyAR when compared
with previous baselines, especially for high-dimensional action spaces."
INTRODUCTION,0.004081632653061225,"1
INTRODUCTION"
INTRODUCTION,0.006122448979591836,"Deep Reinforcement learning (DRL) has recently shown a great success in a variety of decision-
making problems that involve controls with either discrete actions, such as Go (Silver et al., 2016)
and Atari (Mnih et al., 2015), or continuous actions, such as robot control (Schulman et al., 2015;
Lillicrap et al., 2015). However, in contrast to these two kinds of homogeneous action space, many
real-world scenarios requires more complex controls with discrete-continuous hybrid action space,
e.g., Robot Soccer (Masson et al., 2016) and Games (Xiong et al., 2018). For example, in robot
soccer, the agent not only needs to choose whether to shoot or pass the ball (i.e., discrete actions)
but also the associated angle and force (i.e., continuous parameters). Such a hybrid action is also
called parameterized action in some previous works (Hausknecht & Stone, 2016; Massaroli et al.,
2020). Unfortunately, most conventional RL algorithms cannot deal with such a heterogeneous
action space directly, thus preventing the application of RL in these kinds of practical problems."
INTRODUCTION,0.00816326530612245,"To deal with hybrid action space, the most straightforward approach is to convert the heterogeneous
space into a homogeneous one through discretization or continualization. However, it is apparent"
INTRODUCTION,0.01020408163265306,"∗Equal contribution.
†Corresponding authors: Yan Zheng (yanzheng@tju.edu.cn) , Jianye Hao (jianye.hao@tju.edu.cn) and Zhen
Wang(w-zhen@nwpu.edu.cn)."
INTRODUCTION,0.012244897959183673,Published as a conference paper at ICLR 2022
INTRODUCTION,0.014285714285714285,"that discretizing continuous parameter space suffers from the scalability issue due to the exponen-
tially exploring number of discretized actions; while casting all discrete actions into a continuous
dimension produces a piecewise-function action subspace, resulting in additional difﬁculties in ap-
proximation and generalization. To overcome these problems, a few recent works propose speciﬁc
policy structures to learn DRL policies over the original hybrid action space directly. Parameterized
Action DDPG (PADDPG) (Hausknecht & Stone, 2016) makes use of a DDPG (Lillicrap et al., 2015)
structure where the actor is modiﬁed to output a uniﬁed continuous vector as the concatenation of
values for all discrete actions and all corresponding continuous parameters. By contrast, Hybrid
PPO (HPPO) (Fan et al., 2019) uses multiple policy heads consisting of one for discrete actions
and the others for corresponding continuous parameter of each discrete action separately. A very
similar idea is also adopted in (Peng & Tsuruoka, 2019). These methods are convenient to imple-
ment and are demonstrated to effective in simple environments with low-dimensional hybrid action
space. However, PADDPG and HPPO neglect the dependence between discrete and continuous
components of hybrid actions, thus can be problematic since the dependence is vital to identifying
the optimal hybrid actions in general. Besides, the modeling of all continuous parameter dimen-
sions all the time introduces redundancy in computation and policy learning, and may also have the
scalability issue when the hybrid action space becomes high-dimensional."
INTRODUCTION,0.0163265306122449,"Algorithm
Scalability
Stationarity
Dependence
Latent"
INTRODUCTION,0.018367346938775512,"PADDPG
%
!
%
%
HPPO
%
!
%
%
PDQN
%
!
!
%
HHQN
!
%
!
%"
