Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0033783783783783786,"Neuro-symbolic neural networks have been extensively studied to integrate sym-
bolic operations with neural networks, thereby improving systematic generalization.
Specifically, Tensor Product Representation (TPR) framework enables neural net-
works to perform differentiable symbolic operations by encoding the symbolic
structure of data within vector spaces. However, TPR-based neural networks often
struggle to decompose unseen data into structured TPR representations, undermin-
ing their symbolic operations. To address this decomposition problem, we propose
a Discrete Dictionary-based Decomposition (D3) layer designed to enhance the
decomposition capabilities of TPR-based models. D3 employs discrete, learnable
key-value dictionaries trained to capture symbolic features essential for decom-
position operations. It leverages the prior knowledge acquired during training
to generate structured TPR representations by mapping input data to pre-learned
discrete features within these dictionaries. D3 is a straightforward drop-in layer
that can be seamlessly integrated into any TPR-based model without modifications.
Our experimental results demonstrate that D3 significantly improves the system-
atic generalization of various TPR-based models while requiring fewer additional
parameters. Notably, D3 outperforms baseline models on the synthetic task that
demands the systematic decomposition of unseen combinatorial data.1"
INTRODUCTION,0.006756756756756757,"1
Introduction"
INTRODUCTION,0.010135135135135136,"Compositional generalization, aiming at understanding unseen data by combining known concepts, is
essential for neural networks to handle complex tasks [2, 13, 12, 16, 8, 6]. Tensor Product Representa-
tion (TPR) framework [33] facilitates this by embedding the symbolic structure of data within vector
spaces, providing neural networks with compositional capabilities. Within this framework, individual
objects are decomposed at the representation level into distinct symbolic components called role-filler
pairs2. The TPR framework encodes each object by taking a tensor product of its role vector and
filler vector, represented as T = filler ⊗role, and then superimposes them to represent multiple
objects within a single representation. During decoding, the TPR framework retrieves specific
fillers—essential for solving tasks—from the superimposed representation through matrix multiplica-
tion using an unbinding operator correlated to a particular role, filler = T · unbind. This retrieved
filler is then utilized in downstream tasks. Based on this property, TPR-based neural networks
have demonstrated significant generalization and applicability in fields such as associative reasoning
[28, 30], mathematical problem-solving [29], and natural language processing [9, 32, 21, 34]."
INTRODUCTION,0.013513513513513514,"1The code of D3 is publicly available at https://github.com/taewonpark/D3
2The roles and fillers depend on the task at hand. For example, in a tree structure, the role corresponds to a
position within the tree, while the filler represents the label associated with that position [34]. In associative
memory, the role is analogous to an associative key, and the filler corresponds to the associative value [28, 30]."
INTRODUCTION,0.016891891891891893,"Figure 1: Overview of D3. D3 generates structured TPR representations by mapping input data to the
nearest pre-learned symbolic features stored within discrete, learnable dictionaries. Each dictionary is
linked explicitly to specific TPR components, such as roles, filler, and unbinding operators. Notably,
D3 uses a shared dictionary configuration between the roles and unbinding operators. This figure
illustrates, for example, that role1 and unbind1 share one dictionary, while role2 and unbind2 share
another. T denotes a superimposed representation that represents multiple objects."
INTRODUCTION,0.02027027027027027,"Despite their successes, the TPR-based approaches pose a significant challenge known as a decompo-
sition problem [33, 23], which refers to the difficulty of decomposing input data into TPR components,
such as roles, fillers, and unbinding operators. Without accurate decomposition, TPR-based models
fail to represent the symbolic structure of data, causing a decline in the performance of the TPR
operations. Recently, inspired by an object-centric learning method [18], Park et al. [23] proposes an
attention-based iterative decomposition (AID) module to address this issue. AID uses competitive
attention to iteratively refine structured representations, thereby enhancing the systematic general-
ization of TPR-based models. However, it still struggles to generalize all possible combinations
of known symbols in simple synthetic tasks. This failure is likely attributable to its insufficient
mechanism for explicitly mapping input data to known symbolic features observed during training.
Therefore, the decomposition module may need an additional mechanism to store observed symbolic
features during training and utilize it to effectively decompose unseen combinatorial data of known
symbols."
INTRODUCTION,0.02364864864864865,"In another line of work, discrete representation learning has been explored to improve the efficiency,
interpretability, and generalization capabilities of neural networks [39, 14, 17, 37, 7]. This approach
involves mapping continuous input data into discrete representations by finding the nearest features
in a predefined codebook. The features within the codebook are learnable parameters, specifically
trained to capture the latent features of data during training phase [39]. Some researchers have applied
discrete representation techniques to extract specific types of representations from unstructured data
[11, 43, 44]. Other researchers have integrated discrete symbolic embeddings within the TPR
framework to improve its interpretability [21, 9]. However, these methods are designed for specific
applications, such as question-answering and summarization tasks, making them difficult to integrate
into other TPR-based models."
INTRODUCTION,0.02702702702702703,"In this work, we propose a Discrete Dictionary-based Decomposition (D3) layer for structured
representation learning within the TPR framework. D3 employs the discrete representations techniques
to utilize prior knowledge acquired during training for decomposition operations. Inspired by prior
discrete key-value architectures [14, 38], D3 consists of multiple dictionaries, each comprising
discrete, learnable key-value pairs. Unlike prior work, each dictionary of D3 is linked explicitly to
individual TPR components, such as role, filler, and unbinding operator. This design allows each
dictionary to capture and store the discrete features of its corresponding TPR components during
training. D3 acts as a drop-in layer that maps input data into pre-learned discrete features for the
decomposition of TPR components through a three-step process, as illustrated in Fig. 1. First, it
generates multiple queries from the input data, with each query utilized for different TPR components.
Next, it identifies the nearest codebook keys within each dictionary based on these queries. Finally,
D3 generates structured TPR representations by aggregating the codebook values corresponding to
these keys. Moreover, D3 can be seamlessly integrated into any TPR-based model by replacing the
TPR component generation layer without requiring further modifications."
INTRODUCTION,0.030405405405405407,Our main contributions are as follows.
INTRODUCTION,0.033783783783783786,"• We propose a novel D3 layer to tackle the decomposition problem inherent in the TPR-based
approaches. D3 leverages discrete, learnable dictionaries to enhance the decomposition capabilities
of TPR-based models. By mapping input data to pre-learned discrete features stored within the
dictionaries, D3 effectively generates structured TPR representations."
INTRODUCTION,0.037162162162162164,"• We conduct extensive experiments across various systematic generalization tasks, including syn-
thetic associative recall and text/visual question-answering tasks. Our experimental results show
that D3 significantly enhances the generalization performance of TPR-based models, demonstrat-
ing its effectiveness on systematic generalization tasks."
INTRODUCTION,0.04054054054054054,"• Our analyses show that D3 generates well-bound structured representations that are satisfactory
for the requirements of the TPR framework, utilizing the discrete, learnable dictionaries."
RELATED WORK,0.04391891891891892,"2
Related Work"
