Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001694915254237288,"The empirical success of deep convolutional networks on tasks involving high-
dimensional data such as images or audio suggests that they can efﬁciently ap-
proximate certain functions that are well-suited for such tasks. In this paper, we
study this through the lens of kernel methods, by considering simple hierarchical
kernels with two or three convolution and pooling layers, inspired by convolutional
kernel networks. These achieve good empirical performance on standard vision
datasets, while providing a precise description of their functional space that yields
new insights on their inductive bias. We show that the RKHS consists of additive
models of interaction terms between patches, and that its norm encourages spatial
similarities between these terms through pooling layers. We then provide general-
ization bounds which illustrate how pooling and patches yield improved sample
complexity guarantees when the target function presents such regularities."
INTRODUCTION,0.003389830508474576,"1
INTRODUCTION"
INTRODUCTION,0.005084745762711864,"Deep convolutional models have been at the heart of the recent successes of deep learning in problems
where the data consists of high-dimensional signals, such as image classiﬁcation or speech recognition.
Convolution and pooling operations have notably contributed to the practical success of these models,
yet our theoretical understanding of how they enable efﬁcient learning is still limited."
INTRODUCTION,0.006779661016949152,"One key difﬁculty for understanding such models is the curse of dimensionality: due to the high-
dimensionality of the input data, it is hopeless to learn arbitrary functions from samples. For instance,
classical non-parametric regression techniques for learning generic target functions typically require
either low dimension or very high degrees of smoothness in order to obtain good generalization (e.g.,
Wainwright, 2019), which makes them impractical for dealing with high-dimensional signals. Thus,
further assumptions on the target function are needed to make the problem tractable, and we seek
assumptions that make convolutions a useful modeling tool. Various works have studied approxima-
tion beneﬁts of depth with models that resemble deep convolutional architectures (Cohen & Shashua,
2017; Mhaskar & Poggio, 2016; Schmidt-Hieber et al., 2020). Nevertheless, while such function
classes may provide improved statistical efﬁciency in theory, it is unclear if there exist efﬁcient
algorithms to learn such models, and hence, whether they might correspond to what convolutional
networks learn in practice. To overcome this issue, we consider instead function classes based on
kernel methods (Schölkopf & Smola, 2001; Wahba, 1990), which are known to be learnable with
efﬁcient (polynomial-time) algorithms, such as kernel ridge regression or gradient descent."
INTRODUCTION,0.00847457627118644,"We consider “deep” structured kernels known as convolutional kernels, which yield good empirical
performance on standard computer vision benchmarks (Li et al., 2019; Mairal, 2016; Mairal et al.,
2014; Shankar et al., 2020), and are related to over-parameterized convolutional networks (CNNs) in
so-called “kernel regimes” (Arora et al., 2019; Bietti & Mairal, 2019b; Daniely et al., 2016; Garriga-
Alonso et al., 2019; Jacot et al., 2018; Novak et al., 2019; Yang, 2019). Such regimes may be seen as
providing a ﬁrst-order description of what common deep models trained with gradient methods may
learn. Studying the corresponding function spaces (reproducing kernel Hilbert spaces, or RKHS)
may then provide insight into the beneﬁts of various architectural choices. For fully-connected
architectures, such kernels are rotation-invariant, and the corresponding RKHSs are well understood
in terms of regularity properties on the sphere (Bach, 2017a; Smola et al., 2001), but do not show
any major differences between deep and shallow kernels (Bietti & Bach, 2021; Chen & Xu, 2021;"
INTRODUCTION,0.010169491525423728,Published as a conference paper at ICLR 2022
INTRODUCTION,0.011864406779661017,"Geifman et al., 2020). In contrast, in this work we show that even in the kernel setting, multiple layers
of convolution and pooling operations can be crucial for efﬁcient learning of functions with speciﬁc
structures that are well-suited for natural signals. Our work paves the way for further studies of the
inductive bias of optimization algorithms on deep convolutional networks beyond kernel regimes,
for instance by incorporating adaptivity to low-dimensional structure (Bach, 2017a; Chizat & Bach,
2020; Wei et al., 2019) or hierarchical learning (Allen-Zhu & Li, 2020)."
INTRODUCTION,0.013559322033898305,We make the following contributions:
INTRODUCTION,0.015254237288135594,"• We revisit convolutional kernel networks (Mairal, 2016), ﬁnding that simple two or three layers
models with Gaussian pooling and polynomial kernels of degree 2-4 at higher layers provide
competitive performance with state-of-the-art convolutional kernels such as Myrtle kernels (Shankar
et al., 2020) on Cifar10.
• For such kernels, we provide an exact description of the RKHS functions and their norm, illustrating
representation beneﬁts of multiple convolutional and pooling layers for capturing additive and
interaction models on patches with certain spatial regularities among interaction terms.
• We provide generalization bounds that illustrate the beneﬁts of architectural choices such as pooling
and patches for learning additive interaction models with spatial invariance in the interaction terms,
namely, improvements in sample complexity by polynomial factors in the size of the input signal."
