Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0009587727708533077,"Recent advances in text-guided video editing have showcased promising results
2"
ABSTRACT,0.0019175455417066154,"in appearance editing (e.g., stylization). However, video motion editing in the
3"
ABSTRACT,0.0028763183125599234,"temporal dimension (e.g., from eating to waving), which distinguishes video edit-
4"
ABSTRACT,0.003835091083413231,"ing from image editing, is underexplored. In this work, we present UniEdit, a
5"
ABSTRACT,0.004793863854266539,"tuning-free framework that supports both video motion and appearance editing by
6"
ABSTRACT,0.005752636625119847,"harnessing the power of a pre-trained text-to-video generator within an inversion-
7"
ABSTRACT,0.006711409395973154,"then-generation framework. To realize motion editing while preserving source
8"
ABSTRACT,0.007670182166826462,"video content, based on the insights that temporal and spatial self-attention layers
9"
ABSTRACT,0.00862895493767977,"encode inter-frame and intra-frame dependency respectively, we introduce auxiliary
10"
ABSTRACT,0.009587727708533078,"motion-reference and reconstruction branches to produce text-guided motion and
11"
ABSTRACT,0.010546500479386385,"source features respectively. The obtained features are then injected into the main
12"
ABSTRACT,0.011505273250239693,"editing path via temporal and spatial self-attention layers. Extensive experiments
13"
ABSTRACT,0.012464046021093002,"demonstrate that UniEdit covers video motion editing and various appearance
14"
ABSTRACT,0.013422818791946308,"editing scenarios, and surpasses the state-of-the-art methods. Our code will be
15"
ABSTRACT,0.014381591562799617,"publicly available.
16"
INTRODUCTION,0.015340364333652923,"1
Introduction
17"
INTRODUCTION,0.016299137104506232,"The advent of pre-trained diffusion-based [26, 53] text-to-image generators [49, 50, 48] has revo-
18"
INTRODUCTION,0.01725790987535954,"lutionized the fields of design and filmmaking, opening new vistas for creative expression. These
19"
INTRODUCTION,0.01821668264621285,"advancements, underpinned by seminal works in text-to-image synthesis, have paved the way for inno-
20"
INTRODUCTION,0.019175455417066157,"vative text-guided editing techniques for both images [42, 24, 4, 5] and videos [65, 6, 39, 70, 17, 46].
21"
INTRODUCTION,0.020134228187919462,"Such techniques not only enhance creative workflows but also promise to redefine content creation
22"
INTRODUCTION,0.02109300095877277,"within these industries.
23"
INTRODUCTION,0.02205177372962608,"Video editing, in contrast to image editing, introduces the intricate challenge of ensuring frame-wise
24"
INTRODUCTION,0.023010546500479387,"consistency. Efforts to address this challenge have led to the development of methods that leverage
25"
INTRODUCTION,0.023969319271332695,"shared features and structures with the source video [6, 39, 37, 70, 46, 7, 33, 62, 18] through an
26"
INTRODUCTION,0.024928092042186004,"inversion-then-generation pipeline [42, 53], exemplified by Pix2Video’s approach [6] to consistent
27"
INTRODUCTION,0.02588686481303931,"appearance editing across frames. To transfer the edited appearance from the anchor frame to the
28"
INTRODUCTION,0.026845637583892617,"remaining frames consistently, it employs a pre-trained image generator and extends the self-attention
29"
INTRODUCTION,0.027804410354745925,"layers to cross-frame attention to generate each remaining frame. Despite these advancements in
30"
INTRODUCTION,0.028763183125599234,"performing video appearance editing (e.g., stylization, object appearance replacement, etc.), these
31"
INTRODUCTION,0.029721955896452542,"methodologies fall short in editing video motion (e.g., replacing the movement of playing guitar with
32"
INTRODUCTION,0.030680728667305847,"waving), hampered by a lack of motion priors and limited control over inter-frame dependencies,
33"
INTRODUCTION,0.031639501438159155,"underscoring a critical gap in video editing capabilities.
34"
INTRODUCTION,0.032598274209012464,"Previous attempts [65, 44] at video motion editing through fine-tuning a pre-trained generator on
35"
INTRODUCTION,0.03355704697986577,"the given source video and then editing motion through text guidance. Although effective, they
36"
INTRODUCTION,0.03451581975071908,"necessitate a delicate balance between the generative prowess of the model and the preservation of
37"
