Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.006172839506172839,"Inspired by the insights in cognitive science with respect to human memory and
reasoning mechanism, a novel evolvable LLM-based (Large Language Model)
agent framework is proposed as REMEMBERER. By equipping the LLM with a long-
term experience memory, REMEMBERER is capable of exploiting the experiences
from the past episodes even for different task goals, which excels an LLM-based
agent with fixed exemplars or equipped with a transient working memory. We
further introduce Reinforcement Learning with Experience Memory (RLEM) to
update the memory. Thus, the whole system can learn from the experiences of both
success and failure, and evolve its capability without fine-tuning the parameters of
the LLM. In this way, the proposed REMEMBERER constitutes a semi-parametric
RL agent. Extensive experiments are conducted on two RL task sets to evaluate the
proposed framework. The average results with different initialization and training
sets exceed the prior SOTA by 4% and 2% for the success rate on two task sets and
demonstrate the superiority and robustness of REMEMBERER.1"
INTRODUCTION,0.012345679012345678,"1
Introduction"
INTRODUCTION,0.018518518518518517,"Reasoning is remembering. As declared by Seifert et al. [1997], the episodic memory of the
experiences from past episodes plays a crucial role in the complex decision-making processes of
human [Suddendorf and Corballis, 2007]. By recollecting the experiences from past episodes, the
human can learn from success to repeat it and learn from failure to avoid it. Similarly, an agent
should optimize its policy for a decision-making task with the help of reminiscence of the interaction
experiences. In this work, we primarily investigate how to utilize large language models (LLMs) as
agents and equip them with interaction experiences to solve sequential decision-making tasks."
INTRODUCTION,0.024691358024691357,"Despite the impressive performance of LLMs on many natural language processing (NLP) tasks [Wei
et al., 2022, Kojima et al., 2022, Wang et al., 2022, Yao et al., 2022b], existing approaches still
struggle to enable LLMs to effectively learn from interaction experiences. On the one hand, the most
common approach for an agent to utilize the experiences is to fine-tune the model parameters through
reinforcement learning (RL). However, it requires a considerable expenditure to deploy and fine-tune
an LLM, which makes it difficult to apply task-aware RL to the LLM to preserve the experiences. On
the other hand, recent work like Algorithm Distillation [Laskin et al., 2022] presents an in-context"
INTRODUCTION,0.030864197530864196,"†Lu Chen is the corresponding author.
1The codes are open-sourced at https://github.com/OpenDFM/Rememberer."
INTRODUCTION,0.037037037037037035,(a) LLM-based agent with short-term
INTRODUCTION,0.043209876543209874,goal-aware working memory
INTRODUCTION,0.04938271604938271,(b) LLM-based agent with long-term
INTRODUCTION,0.05555555555555555,cross-goal experience memory
INTRODUCTION,0.06172839506172839,Different RL
INTRODUCTION,0.06790123456790123,"Task Goal
LLM
Working Memory
Experience Memory"
INTRODUCTION,0.07407407407407407,"Figure 1: Comparison of the LLM-based agents with short-term working memory and long-term
experience memory. The working memory stores only the historical information of the current
episode (H). while the experience memory stores the interaction experiences (E) permanently."
INTRODUCTION,0.08024691358024691,"reinforcement learning by embedding the RL training trajectories into the input prompt of a pretrained
decision transformer. This method manages to make use of past interaction experiences without
model fine-tuning. However, existing LLMs suffer from a serious limitation of the input length to
embed the whole experience. Hence, to better store a plethora of interaction histories and aid LLMs
in learning during the interaction process, we introduce RLEM, i.e., Reinforcement Learning with
Experience Memory, which accomplishes agent learning by updating the experience memory through
the RL process, rather than modifying the model parameters."
INTRODUCTION,0.08641975308641975,"An external experience memory is different from the existing work like Reflexion [Shinn et al.,
2023] which combines the LLM with a short-term working memory. As depicted in Figure 1 (a), a
working memory is tied to a specific task goal, and the stored histories cannot be leveraged in future
episodes for different goals. This analogy can be drawn to the Random Access Memory (RAM) of a
computer, where stored information is lost in the event of power removal. On the other side, learning
from the successful or failed experiences stored in the memory is different from the existing work
like Inner Monologue [Huang et al., 2022b], Corrective Re-Prompting [Raman et al., 2022], and
DEPS [Wang et al., 2023b] that takes advantage of immediate failure feedback only once. Storing
long-term experiences in a persistent memory gives an opportunity to discover the late failure and
learn from the experiences in the past episodes even for different task goals (see Figure 1 (b))."
INTRODUCTION,0.09259259259259259,"By combining RLEM with LLM, we propose REMEMBERER, an evolvable LLM-based agent
framework for decision-making tasks. REMEMBERER can utilize the experiences stored in the memory
selectively in accordance with the current interaction state to optimize the decision. Meanwhile, the
experience memory can be updated through an RL process constantly. Such a joint system is regarded
as a semi-parametric RL agent, which can evolve its ability through its interaction experiences
analogically to a full-parametric system, however, without fine-tuning the LLM parameters. We
evaluate REMEMBERER on two recent RL task sets with the promising performance of LLM-based
agents, WebShop [Yao et al., 2022a] and WikiHow [Zhang et al., 2023]. The agent is trained on a few
tasks and tested on some other tasks to check whether the experiences from different tasks can help the
agent in the decision of the unseen episodes. REMEMBERER demonstrates a significant performance
boost compared to both previous SOTA and our fixed-exemplar LLM baselines. Specifically, it
achieves an average improvement of 2 points and 4 points on the Webshop and WikiHow tasks,
respectively, compared to the SOTA models."
INTRODUCTION,0.09876543209876543,"Our contributions are summarized as follows: 1) A new agent framework is proposed as REMEM-
BERER for LLM to learn from the experiences of past episodes. The experiences are stored in an
external persistent memory instead of fine-tuning the LLM parameters or forming an extremely long
prompt. 2) We introduce RLEM, which updates experience memory through analogical RL training
so that REMEMBERER is capable of self-evolving. 3) REMEMBERER manages to bypass the baseline"
INTRODUCTION,0.10493827160493827,"and the prior advanced performances and set up a new state of the art on two recent benchmarks,
WebShop (+2 points on SOTA) and WikiHow (+4 points on SOTA)."
RELATED WORK,0.1111111111111111,"2
Related work"
