Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00546448087431694,"Graph neural networks (GNNs) are designed for semi-supervised node classiﬁca-
tion on graphs where only a small subset of nodes have class labels. However,
under extreme cases when very few labels are available (e.g., 1 labeled node per
class), GNNs suffer from severe result quality degradation.
Speciﬁcally, we observe that existing GNNs suffer from unstable training process
on few-labeled graph data, resulting to inferior performance on node classiﬁca-
tion. Therefore, we propose an effective framework, Stabilized self-training with
Negative sampling (SN), which is applicable to existing GNNs to stabilize the
training process and enhance the training data, and consequently, boost classiﬁca-
tion accuracy on graphs with few labeled data. In experiments, we apply our SN
framework to two existing GNN base models (GCN and DAGNN) to get SNGCN
and SNDAGNN, and evaluate the two methods against 13 existing solutions over 4
benchmarking datasets. Extensive experiments show that the proposed SN frame-
work is highly effective compared with existing solutions, especially under set-
tings with very few labeled data. In particular, on a benchmark dataset Cora with
only 1 labeled node per class, while GCN only has 44.6% accuracy, SNGCN
achieves 62.5% accuracy, improving GCN by 17.9%; SNDAGNN has accuracy
66.4%, improving that of the base model DAGNN (59.8%) by 6.6%."
INTRODUCTION,0.01092896174863388,"1
INTRODUCTION"
INTRODUCTION,0.01639344262295082,"Graph is an expressive data model, representing objects and the relationships between objects as
nodes and edges respectively. Graph data are ubiquitous with a wide range of real-world appli-
cations, e.g., social network analysis (Qiu et al., 2018; Li & Goldwasser, 2019), trafﬁc network
prediction (Guo et al., 2019; Li et al., 2019), protein interface prediction (Fout et al., 2017), recom-
mendation systems (Fan et al., 2019; Yang et al., 2020a). Among these applications, an important
task is to classify the nodes in a graph into various classes. However, one tough situation commonly
existing is the lack of sufﬁcient labeled data, which are also expensive to collect."
INTRODUCTION,0.02185792349726776,"To ease the situation, semi-supervised node classiﬁcation on graphs has attracted much attention
from both industry (Qiu et al., 2018; Li & Goldwasser, 2019) and academia (Defferrard et al., 2016;
Hamilton et al., 2017; Velickovic et al., 2018; Liu et al., 2020; Li et al., 2018; Klicpera et al., 2019).
It aims to leverage a small amount of labeled nodes and additionally a large amount of unlabeled
nodes in a graph to train an accurate classiﬁer. There exists a collection of graph neural networks
for semi-supervised node classiﬁcation (Kipf & Welling, 2017; Velickovic et al., 2018; Monti et al.,
2017; Hamilton et al., 2017; Klicpera et al., 2019; Liu et al., 2020). For instance, Graph convolution
networks (GCNs) rely on a message passing scheme called graph convolution that aggregates the
neighborhood information of a node, including node features and graph topology, to learn node
representations, which can then be used in downstream classiﬁcation tasks (Kipf & Welling, 2017)."
INTRODUCTION,0.0273224043715847,"Despite the great success of GCNs, under the extreme cases when very few labels are given (e.g.,
only one labeled node per class), the shallow GCN architecture, typically with two layers (Kipf
& Welling, 2017), cannot effectively propagate the training labels over the input graph, leading to
inferior performance. In particular, as shown in our experiments, on a benchmark dataset Cora with
1 labeled node per class (Cora-1), GCN is even less accurate than some unsupervised methods, such
as DGI (Velickovic et al., 2019) and G2G (Bojchevski & G¨unnemann, 2018). Recently, several latest
studies try to improve classiﬁcation accuracy by designing deeper GNN architectures, e.g., DAGNN"
INTRODUCTION,0.03278688524590164,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03825136612021858,"0
100
200
300
Epoch 0 10 20 30 40"
INTRODUCTION,0.04371584699453552,Percentage(%)
INTRODUCTION,0.04918032786885246,"0
1
2
3
4
5
6"
