Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0016501650165016502,"Privacy and communication efﬁciency are important challenges in federated train-
ing of neural networks, and combining them is still an open problem. In this
work, we develop a method that uniﬁes highly compressed communication and
differential privacy (DP). We introduce a compression technique based on Relative
Entropy Coding (REC) to the federated setting. With a minor modiﬁcation to
REC, we obtain a provably differentially private learning algorithm, DP-REC,
and show how to compute its privacy guarantees. Our experiments demonstrate
that DP-REC drastically reduces communication costs while providing privacy
guarantees comparable to the state-of-the-art."
INTRODUCTION,0.0033003300330033004,"1
INTRODUCTION"
INTRODUCTION,0.0049504950495049506,"The performance of modern neural-network-based machine learning models scales exceptionally well
with the amount of data that they are trained on (Kaplan et al., 2020; Henighan et al., 2020). At the
same time, industry (Xiao & Karlin), legislators (Dwork, 2019; Voigt & Von dem Bussche, 2017) and
consumers (Laziuk, 2021) have become more conscious about the need to protect the privacy of the
data that might be used in training such models. Federated learning (FL) describes a machine learning
principle that enables learning on decentralized data by computing updates on-device. Instead of
sending its data to a central location, a “client” in a federation of devices sends model updates
computed on its data to the central server. Such an approach to learning from decentralized data
promises to unlock the computing capabilities of billions of edge devices, enable personalized models
and new applications in e.g. healthcare due to the inherently more private nature of the approach."
INTRODUCTION,0.006600660066006601,"On the other hand, the federated paradigm brings challenges along many dimensions such as learning
from non-i.i.d. data, resource-constrained devices, heterogeneous compute and communication
capabilities, questions of fairness and representation, as well as the focus of our paper: communication
overhead and characterization of privacy. Neural network training requires many passes over the data,
resulting in repeated transfer of the model and updates between the server and the clients, potentially
making communication a primary bottleneck (Kairouz et al., 2019; Wang et al., 2021). Compressing
updates is an active area of research in FL and an essential step in “untethering” edge devices from
WiFi. Moreover, while FL is intuitively more private through keeping data on-device, client updates
have been shown to reveal sensitive information, even allowing to reconstruct a client’s training
data (Geiping et al., 2020). To truly protect client privacy, a more rigorous mathematical notion of
Differential Privacy (DP) is widely adopted as the de-facto standard in FL. More speciﬁcally, DP for
FL is usually deﬁned at a client-level, which provides plausible deniability of an individual client’s
contribution to the federated model. Both aspects of FL, communication efﬁciency and differential
privacy, have been extensively studied in separation. Effective combination of the two, however, is an
open problem and an active area of research (Kairouz et al., 2021; Chen et al., 2020; Girgis et al.,
2020). Some methods offer very limited compression capabilities for comparable utility (Kairouz
et al., 2021), whereas others (Girgis et al., 2020) offer signiﬁcant compression but require additional
compromises, due to a looser privacy composition."
INTRODUCTION,0.00825082508250825,"In this work, we present Differentially Private Relative Entropy Coding (DP-REC), a uniﬁed approach
to jointly tackle privacy and communication efﬁciency. DP-REC makes use of the information-
limiting constraints of DP to encode the client updates in FL with extremely short messages. First, we
build our method based on compression without quantization; namely, the lossy variant of Relative
Entropy Coding (REC), recently proposed by Flamich et al. (2020). Second, we show that it can be"
INTRODUCTION,0.009900990099009901,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.01155115511551155,"modiﬁed to satisfy DP, and we provide a proof of its privacy guarantees along with the appropriate
accounting technique. Third, we run extensive evaluation on 4 datasets and 3 types of models to
demonstrate that our algorithm achieves extreme compression of client-to-server updates (down to 7
bits per tensor) at privacy levels ε < 1 with a small impact on utility (< 6.5% accuracy reduction
on FEMNIST compared to DP-FedAvg). Additionally, we show how to reduce server-to-client
communication by sending a history of updates accumulated since the client’s last participation."
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.013201320132013201,"2
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.01485148514851485,"Federated learning has been described by McMahan et al. (2016) in the form of the FedAvg
algorithm. At each communication round t, the server sends the current model parameters w(t) to a
subset S(t) of all clients S. Each chosen client s updates the server-provided model w(t), e.g., via
stochastic gradient descent, to better ﬁt its local dataset Ds = {dsi}Ns
i=1 with a given loss function"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.0165016501650165,"Ls(Ds, w) := 1 Ns Ns
X"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.018151815181518153,"i=1
L(dsi, w).
(1)"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.019801980198019802,"After E epochs of optimization on the local dataset, the client-side optimization procedure results in
an updated model w(t)
s , based on which the client computes its update to the global model"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.02145214521452145,"∆(t)
s
= w(t)
s
−w(t);
(2)"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.0231023102310231,"and sends it to the server. The server then aggregates client-speciﬁc updates to get the new global
model w(t+1) = w(t) +
1
|S(t)|
P"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.024752475247524754,"s ∆(t)
s
=
1
|S(t)|
P"
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.026402640264026403,"s w(t)
s . Outside the context of differential privacy,
client updates are usually weighted by the size Ns of the local dataset. A generalization of this server-
side scheme (Reddi et al., 2020) interprets
1
|S(t)|
P
s∈S(t) ∆(t)
s
as a “gradient” for the server-side
model and introduces more advanced updating schemes, such as Adam (Kingma & Ba, 2014)."
DP-REC FOR PRIVATE AND EFFICIENT COMMUNICATION IN FL,0.028052805280528052,"Federated training involves repeated communication of model updates from clients to the server and
vice versa. These updates can reveal sensitive information about the client data, so there is a need for
formal privacy guarantees. The total communication cost can be signiﬁcant, thus constraining FL to
the use of unmetered channels, such as WiFi. Hence, compressing the update messages in a privacy-
preserving way plays an important role in moving FL to a truly mobile use-case. In the following
sections, we ﬁrst describe the lossy version of Relative Entropy Coding (REC) (Flamich et al., 2020),
then show how to extend it to the FL scenario before discussing it in the context of differential privacy.
Finally, we show how DP-REC can be used to additionally compress server-to-client messages."
REC FOR EFFICIENT COMMUNICATION,0.0297029702970297,"2.1
REC FOR EFFICIENT COMMUNICATION"
