Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002136752136752137,"Adversarial training (AT) with samples generated by Fast Gradient Sign Method
1"
ABSTRACT,0.004273504273504274,"(FGSM), also known as FGSM-AT, is a computationally simple method to train
2"
ABSTRACT,0.00641025641025641,"robust networks. However, during its training procedure, an unstable mode of
3"
ABSTRACT,0.008547008547008548,"“catastrophic overfitting” has been identified in Wong et al. [2020], where the robust
4"
ABSTRACT,0.010683760683760684,"accuracy abruptly drops to zero within a single training step. Existing methods use
5"
ABSTRACT,0.01282051282051282,"gradient regularizers or random initialization tricks to attenuate this issue, whereas
6"
ABSTRACT,0.014957264957264958,"they either take high computational cost or lead to lower robust accuracy. In this
7"
ABSTRACT,0.017094017094017096,"work, we provide the first study which thoroughly examines a collection of tricks
8"
ABSTRACT,0.019230769230769232,"from three perspectives: Data Initialization, Network Structure, and Optimization,
9"
ABSTRACT,0.021367521367521368,"to overcome the catastrophic overfitting in FGSM-AT. Surprisingly, we find that
10"
ABSTRACT,0.023504273504273504,"simple tricks, i.e., masking partial pixels (even without randomness), setting a large
11"
ABSTRACT,0.02564102564102564,"convolution stride and smooth activation functions, or regularizing the weights of
12"
ABSTRACT,0.027777777777777776,"the first convolutional layer can effectively tackle the overfitting issue. Extensive
13"
ABSTRACT,0.029914529914529916,"results on a range of network architectures validate the effectiveness of each
14"
ABSTRACT,0.03205128205128205,"proposed tricks, and the combinations of tricks are also investigated. For example,
15"
ABSTRACT,0.03418803418803419,"trained with PreActResNet-18 on CIFAR-10, our method attains 51.3% accuracy
16"
ABSTRACT,0.03632478632478633,"against PGD-10 attacker and 46.4% accuracy against AutoAttack, demonstrating
17"
ABSTRACT,0.038461538461538464,"that pure FGSM-AT is capable of enabling robust learners. We will release our
18"
ABSTRACT,0.0405982905982906,"code to encourage future exploration on unleashing the potential of FGSM-AT.
19"
INTRODUCTION,0.042735042735042736,"1
Introduction
20"
INTRODUCTION,0.04487179487179487,"Convolution neural networks (CNNs), though achieving compelling performances on various visual
21"
INTRODUCTION,0.04700854700854701,"recognition tasks, are vulnerable to adversarial perturbations Szegedy et al. [2013]. To effectively
22"
INTRODUCTION,0.049145299145299144,"defend against such malicious attacks, adversarial examples are utilized as training data for enhancing
23"
INTRODUCTION,0.05128205128205128,"model robustness, a process known as adversarial training (AT). To generate adversarial examples,
24"
INTRODUCTION,0.053418803418803416,"one of the leading approaches is to perturb the data using the sign of the image gradients, namely the
25"
INTRODUCTION,0.05555555555555555,"Fast Gradient Sign Method (FGSM) Goodfellow et al. [2015].
26"
INTRODUCTION,0.057692307692307696,"The adversarial training with FGSM (FGSM-AT) is computationally efficient, and it lies the founda-
27"
INTRODUCTION,0.05982905982905983,"tion for many followups Kurakin et al. [2016], Madry et al. [2018], Zhang et al. [2019]. Nonetheless,
28"
INTRODUCTION,0.06196581196581197,"interestingly, FGSM-AT is not widely used today because of the catastrophic overfitting: the model
29"
INTRODUCTION,0.0641025641025641,"robustness will collapse after a few training epochs Wong et al. [2020]. To mitigate the catastrophic
30"
INTRODUCTION,0.06623931623931624,"overfitting and stabilize FGSM-AT, several methods have been proposed. For instance, Wong et al.
31"
INTRODUCTION,0.06837606837606838,"[2020] pre-add uniformly random noises to images to generate adversarial examples, i.e., turn
32"
INTRODUCTION,0.07051282051282051,"the FGSM attacker into the PGD-1 attacker.
Andriushchenko and Flammarion [2020] propose
33"
INTRODUCTION,0.07264957264957266,"GradAlign, which regularizes the AT via maximizing the gradient alignment of the perturbations.
34"
INTRODUCTION,0.07478632478632478,"While these approaches successfully alleviate the catastrophic overfitting, some limitations . For
35"
INTRODUCTION,0.07692307692307693,"example, GradAlign requires an extra forward pass compared to the vanilla FGSM-AT, which sig-
36"
INTRODUCTION,0.07905982905982906,"nificantly increases the computational cost; Fast-AT in Wong et al. [2020] shows a relatively lower
37"
INTRODUCTION,0.0811965811965812,"robustness, and may still collapse if training with larger networks.
38"
INTRODUCTION,0.08333333333333333,"In this paper, we aim to develop more effective and computationally efficient solutions for attenuating
39"
INTRODUCTION,0.08547008547008547,"this catastrophic overfitting. Specifically, we revisit FGSM-AT and propose to stabilize its training
40"
INTRODUCTION,0.0876068376068376,"from the following three perspectives:
41"
INTRODUCTION,0.08974358974358974,"• Data Initialization. Following the idea of adding random perturbations Madry et al. [2018], Wong
42"
INTRODUCTION,0.09188034188034189,"et al. [2020], we propose to randomly mask a subset of the input pixels to stabilize FGSM-AT,
43"
INTRODUCTION,0.09401709401709402,"dubbed FGSM-Mask. Surprisingly, additional analysis suggests that the masking process does not
44"
INTRODUCTION,0.09615384615384616,"necessarily need to be set as random during training—we find that applying a pre-defined masking
45"
INTRODUCTION,0.09829059829059829,"pattern to the training set also effectively stabilizes FGSM-AT. This observation also holds for
46"
INTRODUCTION,0.10042735042735043,"adding perturbations as the initialization in Wong et al. [2020], challenging the general belief that
47"
INTRODUCTION,0.10256410256410256,"randomness is the key factor for stabilizing AT.
48"
INTRODUCTION,0.1047008547008547,"• Network Structure. We identify two architectural elements that affect FGSM-AT. Firstly, in
49"
INTRODUCTION,0.10683760683760683,"addition to boosting robustness as shown in Xie et al. [2020], we find a smoother activation function
50"
INTRODUCTION,0.10897435897435898,"can make FGSM-AT more stable. Secondly, we find vanilla FGSM-AT can effectively train ViTs
51"
INTRODUCTION,0.1111111111111111,"without showing catastrophic overfitting. We conjecture this phenomenon may be related to how
52"
INTRODUCTION,0.11324786324786325,"CNNs and ViTs extract features: i.e., CNNs extract features from overlapped image regions (where
53"
INTRODUCTION,0.11538461538461539,"stride size < kernel size), while ViT extract features from non-overlapped image patches (where
54"
INTRODUCTION,0.11752136752136752,"stride size = kernel size). By simply increasing the stride size of the first convolution layer in a
55"
INTRODUCTION,0.11965811965811966,"CNN, we find the resulted model can stably train with FGSM-AT.
56"
INTRODUCTION,0.12179487179487179,"• Optimization. GradAlign Andriushchenko and Flammarion [2020] stabilizes the FGSM-AT by
57"
INTRODUCTION,0.12393162393162394,"setting the norm of the gradients as a regularization term. To further reduce the computational
58"
INTRODUCTION,0.12606837606837606,"cost, we propose ConvNorm, a regularization term that simply constrains the weights of the
59"
INTRODUCTION,0.1282051282051282,"first convolution layer. Different from GradAlign which introduces a significant amount of extra
60"
INTRODUCTION,0.13034188034188035,"computations, our ConvNorm can work as nearly computationally efficient as the vanilla FGSM-AT.
61"
INTRODUCTION,0.13247863247863248,"Our contributions. In summary, we discover a bag of tricks that effectively alleviate the catastrophic
62"
INTRODUCTION,0.1346153846153846,"overfitting in FGSM-AT from different perspectives. We extensively validate the effectiveness of our
63"
INTRODUCTION,0.13675213675213677,"methods with a range of different network structures on the popular CIFAR-10 dataset. Based on our
64"
INTRODUCTION,0.1388888888888889,"results, we can conclude that the pure FGSM-AT is capable of enabling robust learners.
65"
PRELIMINARIES,0.14102564102564102,"2
Preliminaries
66"
PRELIMINARIES,0.14316239316239315,"Given a neural classifier f with parameters θ, we denote x and y as input data and labels from the data
67"
PRELIMINARIES,0.1452991452991453,"generator D, respectively . δ represents the perturbations and L is the cross-entropy loss typically
68"
PRELIMINARIES,0.14743589743589744,"used for image classification tasks.
69"
PRELIMINARIES,0.14957264957264957,"Adversarial Training: We can formulate the adversarial training as an optimization problem Madry
70"
PRELIMINARIES,0.1517094017094017,"et al. [2018] as:
71"
PRELIMINARIES,0.15384615384615385,"min
θ
E(x,y)∼D

max
δ∈∆L(fθ(x + δ), y)

.
(1)"
PRELIMINARIES,0.15598290598290598,"Among different methods for generating adversarial examples, we chose two popular ones to study:
72"
PRELIMINARIES,0.1581196581196581,"• FGSM: Goodfellow et al. [2015] first propose Fast Gradient Sign Method (FGSM) to generate the
73"
PRELIMINARIES,0.16025641025641027,"perturbation δ as follows:
74"
PRELIMINARIES,0.1623931623931624,"δ = ϵ sign(∇xL(fθ(x), y)),
(2)"
PRELIMINARIES,0.16452991452991453,"• PGD: Madry et al. [2018] propose a strong iterative version with a random start based on FGSM,
75"
PRELIMINARIES,0.16666666666666666,"name projected gradient descent (PGD) as:
76"
PRELIMINARIES,0.16880341880341881,"xt+1 = Π∥δ∥∞≤ϵ (xt + αsign(∇xtL(fθ(xt), y))) ,
(3)"
PRELIMINARIES,0.17094017094017094,"where the α denotes the step size of each iteration. PGD provides a better choice for adversarial
77"
PRELIMINARIES,0.17307692307692307,"examples, but it will also cost much more time than FGSM. In the following sections, we call
78"
PRELIMINARIES,0.1752136752136752,"adversarial training with FGSM as FGSM-AT and correspondingly, PGD-AT. where ϵ denotes the
79"
PRELIMINARIES,0.17735042735042736,"maximum size of perturbations.
80"
PRELIMINARIES,0.1794871794871795,"Catastrophic Overfitting:
Wong et al. [2020] believe that non-zero initialization for perturbations
81"
PRELIMINARIES,0.18162393162393162,"is the key to avoiding the overfitting issue and propose to add uniform random noise during each
82"
PRELIMINARIES,0.18376068376068377,"training iteration. The detailed procedure is illustrated in the following equations:
83"
PRELIMINARIES,0.1858974358974359,"δ = Uniform(−ϵ, +ϵ)"
PRELIMINARIES,0.18803418803418803,"δ = δ + α sign(∇xL(fθ(x), y))"
PRELIMINARIES,0.19017094017094016,"δ = max(min(δ, ϵ), −ϵ)
(4)"
