Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005291005291005291,"Transformer models have achieved signiﬁcant improvements in performance for
various learning tasks in natural language processing and computer vision. Much
of their success is attributed to the use of attention layers that capture long-range
interactions among data tokens (such as words and image patches) via attention
coefﬁcients that are global and adapted to the input data at test time. In this pa-
per we study the principles behind attention and its connections with prior art.
Speciﬁcally, we show that attention builds upon a long history of prior work on
manifold learning and image processing, including methods such as kernel-based
regression, non-local means, locally linear embedding, subspace clustering and
sparse coding. Notably, we show that self-attention is closely related to the notion
of self-expressiveness in subspace clustering, wherein data points to be clustered
are expressed as linear combinations of all other points with coefﬁcients designed
to attend to other points in the same group, thus capturing long-range interactions.
We also show that heuristics in sparse self-attention can be studied in a more prin-
cipled manner using prior literature on sparse coding and sparse subspace cluster-
ing. We thus conclude that the key innovations of attention mechanisms relative to
prior art are the use of many learnable parameters, and multiple heads and layers."
INTRODUCTION,0.010582010582010581,"1
INTRODUCTION"
INTRODUCTION,0.015873015873015872,"Attention, i.e., the ability to selectively focus on a subset of sensory observations, while ignoring
other irrelevant information, is a central component of human perception. For example, only a few
words in a sentence may be useful for predicting the next word, or only a small portion of an image
may be relevant for recognizing an object. This property of biological systems has inspired the recent
development of attention-based neural architectures (Bahdanau et al., 2014), such as Transformers
(Vaswani et al., 2017), BERT (Devlin et al., 2018), GPT (Radford et al., 2018; 2019), RoBERTa (Liu
et al., 2019), and T5 (Raffel et al., 2019), which have achieved impressive performance in multiple
natural language processing tasks, including text classiﬁcation (Chaudhari et al., 2019; Galassi et al.,
2020), machine translation (Ott et al., 2018), and question answering (Garg et al., 2020). Attention-
based architectures have also led to state-of-the-art results in various computer vision tasks (Khan
et al., 2021), including image classiﬁcation (Dosovitskiy et al., 2020), object detection (Carion et al.,
2020; Zhu et al., 2020), and visual question answering (Tan & Bansal, 2019; Su et al., 2019)."
INTRODUCTION,0.021164021164021163,"Much of the success behind attention-based architectures is attributed to their ability to capture long-
range interactions among data tokens (such as words and image patches) via attention coefﬁcients
that are global, learnable and adapted to the input at test time. For example, while recurrent neu-
ral network architectures in natural language processing predict the next word in a sentence using
information about a few previous words, self-attention mechanisms make a prediction based on in-
teractions among all words. Similarly, while convolutional architectures in computer vision compute
local interactions among image patches using weights that do not depend on the input image at test
time, vision transformers compute global interactions that are adapted to the input at test time."
INTRODUCTION,0.026455026455026454,"In this paper, we show that many of the key ideas behind attention, which we brieﬂy summarize
in Section 2, build upon a long history of prior work on manifold learning and image processing.
In Section 3 we show that the scaled dot product attention mechanism is equivalent to kernel-
based regression with the Gaussian kernel (Nadaraya, 1964; Watson, 1964), as recently pointed out
in (Chaudhari et al., 2019; Zhang et al., 2021a), and that more general attention mechanisms can
be obtained by choosing other kernels. We also show in Section 3 that the non-local means image
denoising algorithm (Buades et al., 2005), which can also be understood as a form of kernel-based
regression, is the main building block behind the vision transformer (ViT) (Dosovitskiy et al., 2020)."
INTRODUCTION,0.031746031746031744,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.037037037037037035,"As a consequence, we argue that the key innovation of attention relative to kernel-based regression
is not on its ability to capture global long-range interactions that are adapted to the input data (some-
thing that non-local means already does), but rather on the use of many learnable parameters for
deﬁning attention. In contrast, classical kernel methods typically tune only the kernel bandwidth."
INTRODUCTION,0.042328042328042326,"In Section 4 we establish several connections between masked attention and Locally Linear Embed-
ding (LLE) (Roweis & Saul, 2000; 2003). Speciﬁcally, we show that LLE learns a low-dimensional
representation of a dataset using a masked self-attention mechanism where the masks are deﬁned by
the nearest neighbors of a data point. The resulting coefﬁcients are not constrained to be nonneg-
ative, thus allowing for both positive and negative attention. Moreover, they depend explicitly on
multiple data tokens, unlike attention coefﬁcients which depend only on a pair of tokens. We also
show that LLE’s training objective can be interpreted as a ﬁll in the blanks self-supervised learning
objective. However, a key limitation of LLE is that its local neighborhood is pre-speciﬁed, so a data
point cannot attend to any other point. This issue is resolved by self-expressiveness, which connects
every point to every other point and uses sparse regularization to reveal which points to attend to."
INTRODUCTION,0.047619047619047616,"In Section 5 we show that self-attention is closely related the notion of self-expressiveness of El-
hamifar & Vidal (2009; 2013); Vidal et al. (2016), wherein the data points to be clustered are ex-
pressed as linear combinations of other points with global coefﬁcients that are adapted to the data
and capture long-range interactions among data points. Such self-expressive coefﬁcients are then
used to deﬁne a data afﬁnity matrix which is used to cluster the data. A ﬁrst difference between
self-attention and self-expressive coefﬁcients is that the latter are not restricted to be non-negative,
thus allowing for both positive and negative attention. A second difference is that self-expressive co-
efﬁcients are not deﬁned as a function of the tokens parametrized by learnable weights. Instead, the
coefﬁcients are learned directly using an unsupervised loss. A third difference is that self-expressive
coefﬁcients are typically regularized to be sparse or low-rank. As a consequence, we argue that
the key innovation of self-attention relative to self-expressiveness is neither in its ability to capture
global long-range interactions that are adapted to the data nor in the ability to learn such interactions
(something that self-expressiveness already does), but rather on the fact that attention mechanisms
use multiple attention-heads in parallel and are stacked into deep architectures."
