Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0013227513227513227,"We present AI-SARAH, a practical variant of SARAH. As a variant of SARAH, this
algorithm employs the stochastic recursive gradient yet adjusts step-size based on
local geometry. AI-SARAH implicitly computes step-size and efﬁciently estimates
local Lipschitz smoothness of stochastic functions. It is fully adaptive, tune-free,
straightforward to implement, and computationally efﬁcient. We provide technical
insight and intuitive illustrations on its design and convergence. We conduct
extensive empirical analysis and demonstrate its strong performance compared
with its classical counterparts and other state-of-the-art ﬁrst-order methods in
solving convex machine learning problems."
INTRODUCTION,0.0026455026455026454,"1
INTRODUCTION"
INTRODUCTION,0.003968253968253968,We consider the unconstrained ﬁnite-sum optimization problem
INTRODUCTION,0.005291005291005291,"minw∈Rd[P(w)
def
= 1"
INTRODUCTION,0.006613756613756613,"n
Pn
i=1fi(w)].
(1)"
INTRODUCTION,0.007936507936507936,"This problem is prevalent in machine learning tasks where w corresponds to the model parameters,
fi(w) represents the loss on the training point i, and the goal is to minimize the average loss
P(w) across the training points. In machine learning applications, (1) is often considered the loss
function of Empirical Risk Minimization (ERM) problems. For instance, given a classiﬁcation or
regression problem, fi can be deﬁned as logistic regression or least square by (xi, yi) where xi is
a feature representation and yi is a label. Throughout the paper, we assume that each function fi,
i ∈[n]
def
= {1, ..., n}, is smooth and convex, and there exists an optimal solution w∗of (1)."
MAIN CONTRIBUTIONS,0.009259259259259259,"1.1
MAIN CONTRIBUTIONS"
MAIN CONTRIBUTIONS,0.010582010582010581,"We propose AI-SARAH, a practical variant of stochastic recursive gradient methods (Nguyen et al.,
2017) to solve (1). This practical algorithm explores and adapts to local geometry. It is adaptive at
full scale yet requires zero effort of tuning hyper-parameters. The extensive numerical experiments
demonstrate that our tune-free and fully adaptive algorithm is capable of delivering a consistently
competitive performance on various datasets, when comparing with SARAH, SARAH+ and other
state-of-the-art ﬁrst-order method, all equipped with ﬁne-tuned hyper-parameters (which are selected
from ≈5, 000 runs for each problem). This work provides a foundation on studying adaptivity (of
stochastic recursive gradient methods) and demonstrates that a truly adaptive stochastic recursive
algorithm can be developed in practice."
RELATED WORK,0.011904761904761904,"1.2
RELATED WORK"
RELATED WORK,0.013227513227513227,"Stochastic gradient descent (SGD) (Robbins & Monro, 1951; Nemirovski & Yudin, 1983; Shalev-
Shwartz et al., 2007; Nemirovski et al., 2009; Gower et al., 2019) is the workhorse for training
supervised machine learning problems that have the generic form (1).
In its generic form, SGD deﬁnes the new iterate by subtracting a multiple of a stochastic gradient
g(wt) from the current iterate wt. That is,"
RELATED WORK,0.01455026455026455,"wt+1 = wt −αtg(wt).
In most algorithms, g(w) is an unbiased estimator of the gradient (i.e., a stochastic gradient),
E[g(w)] = ∇P(w), ∀w ∈Rd. However, in several algorithms (including the ones from this paper),"
RELATED WORK,0.015873015873015872,Under review as a conference paper at ICLR 2022
RELATED WORK,0.017195767195767195,"g(w) could be a biased estimator, and convergence guarantees can still be well obtained.
Adaptive step-size selection. The main parameter to guarantee the convergence of SGD is the
step-size. In recent years, several ways of selecting the step-size have been proposed. For example,
an analysis of SGD with constant step-size (αt = α) or decreasing step-size has been proposed
in Moulines & Bach (2011); Ghadimi & Lan (2013); Needell et al. (2016); Nguyen et al. (2018);
Bottou et al. (2018); Gower et al. (2019; 2020b) under different assumptions on the properties of
problem (1).
More recently, adaptive / parameter-free methods (Duchi et al., 2011; Kingma & Ba, 2015; Bengio,
2015; Li & Orabona, 2018; Vaswani et al., 2019; Liu et al., 2019a; Ward et al., 2019; Loizou et al.,
2020) that adapt the step-size as the algorithms progress have become popular and are particularly
beneﬁcial when training deep neural networks. Normally, in these algorithms, the step-size does not
depend on parameters that might be unknown in practical scenarios, like the smoothness parameter
or the strongly convex parameter.
Random vector g(wt) and variance reduced methods. One of the most remarkable algorithmic
breakthroughs in recent years was the development of variance-reduced stochastic gradient algorithms
for solving ﬁnite-sum optimization problems. These algorithms, by reducing the variance of the
stochastic gradients, are able to guarantee convergence to the exact solution of the optimization
problem with faster convergence than classical SGD. In the past decade, many efﬁcient variance-
reduced methods have been proposed. Some popular examples of variance reduced algorithms are
SAG (Schmidt et al., 2017), SAGA (Defazio et al., 2014), SVRG (Johnson & Zhang, 2013) and SARAH
(Nguyen et al., 2017). For more examples of variance reduced methods, see Defazio (2016); Koneˇcný
et al. (2016); Gower et al. (2020a); Khaled et al. (2020); Horváth et al. (2020).
Among the variance reduced methods, SARAH is of our interest in this work. Like the popular SVRG,
SARAH algorithm is composed of two nested loops. In each outer loop k ≥1, the gradient estimate
v0 = ∇P(wk−1) is set to be the full gradient. Subsequently, in the inner loop, at t ≥1, a biased
estimator vt is used and deﬁned recursively as"
RELATED WORK,0.018518518518518517,"vt = ∇fi(wt) −∇fi(wt−1) + vt−1,
(2)"
