Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002631578947368421,"To address the high communication costs of distributed machine learning, a large
body of work has been devoted in recent years to designing various compression
strategies, such as sparsiﬁcation and quantization, and optimization algorithms
capable of using them. Recently, Safaryan et al. [2021] pioneered a dramatically
different compression design approach: they ﬁrst use the local training data to form
local smoothness matrices and then propose to design a compressor capable of
exploiting the smoothness information contained therein. While this novel approach
leads to substantial savings in communication, it is limited to sparsiﬁcation as it
crucially depends on the linearity of the compression operator. In this work, we
generalize their smoothness-aware compression strategy to arbitrary unbiased
compression operators, which also include sparsiﬁcation. Specializing our results
to stochastic quantization, we guarantee signiﬁcant savings in communication
complexity compared to standard quantization. In particular, we prove that block
quantization with n blocks theoretically outperforms single block quantization,
leading to a reduction in communication complexity by an O(n) factor, where n
is the number of nodes in the distributed system. Finally, we provide extensive
numerical evidence with convex optimization problems that our smoothness-aware
quantization strategies outperform existing quantization schemes as well as the
aforementioned smoothness-aware sparsiﬁcation strategies with respect to three
evaluation metrics: the number of iterations, the total amount of bits communicated,
and wall-clock time."
INTRODUCTION,0.005263157894736842,"1
Introduction"
INTRODUCTION,0.007894736842105263,"Training modern machine learning models is typically cast in terms of (regularized) empirical risk
minimization problem and requires increasingly more training data to make empirical risk closer to
the true risk [Schmidhuber, 2015, Vaswani et al., 2019]. This natural requirement makes it harder (and
in some scenarios impossible) to collect all data in one place and carry out the training using a single
data source. As a result, we reconciled with a ﬂock of datasets disseminated across various compute
nodes holding the actual training data [Bekkerman et al., 2011, Vogels et al., 2019]. However, such
divide-and-conquer approach of handling vast amount of data means that local updates need to be
communicated among the nodes (or through some central server orchestrating the process), which"
INTRODUCTION,0.010526315789473684,"∗Work done when the author was a research intern at KAUST, Saudi Arabia."
INTRODUCTION,0.013157894736842105,"often forms the main bottleneck in modern distributed systems [Zhang et al., 2017, Lin et al., 2018].
This issue is further exacerbated by the fact that modern highly performing models are typically
overparameterized [Brown et al., 2020, Narayanan et al., 2021]."
INTRODUCTION,0.015789473684210527,"1.1. Distributed training. In this paper, we consider distributed training formalized as the following
optimization problem"
INTRODUCTION,0.018421052631578946,"min
x∈Rd f(x) + R(x),
where
f(x)
def
=
1
n nP"
INTRODUCTION,0.021052631578947368,"i=1
fi(x),
(1)"
INTRODUCTION,0.02368421052631579,"and where d is the number of parameters of model x ∈Rd to be trained, n is the number of
machines/nodes participating in the training, fi(x) is the loss/risk associated with the data stored on"
INTRODUCTION,0.02631578947368421,"machine i ∈[n]
def
= {1, 2, . . . , n}, f(x) is the empirical loss/risk, and R(x) is a regularizer."
INTRODUCTION,0.02894736842105263,"Because of the communication constraints, large body of work has been devoted in recent years to
the design of various compression strategies, such as sparsiﬁcation [Koneˇcný and Richtárik, 2018,
Wangni et al., 2018, Alistarh et al., 2018], quantization [Goodall, 1951, Roberts, 1962, Alistarh
et al., 2017], low-rank approximation [Vogels et al., 2019], three point compressor [Richtárik et al.,
2022], and optimization algorithms capable of using them, such as Distributed Compressed Gradient
Descent (DCGD) [Khirirat et al., 2018], QSGD [Alistarh et al., 2017, Faghri et al., 2020], NUQSGD
[Ramezani-Kebrya et al., 2021], DIANA [Mishchenko et al., 2019, Horváth et al., 2019], PowerSGD
[Vogels et al., 2019], signSGD [Bernstein et al., 2018, Safaryan and Richtárik, 2021], intSGD
[Mishchenko et al., 2021], ADIANA [Li et al., 2020], MARINA [Gorbunov et al., 2021]."
INTRODUCTION,0.031578947368421054,"1.2. From scalar smoothness to matrix smoothness. Typically, distributed optimization algo-
rithms in the literature that employ compressed communication, including all methods from the
aforementioned works, use only shallow smoothness information of the loss function such as scalar
L-smoothness [Nesterov, 2004].
Deﬁnition 1 (Scalar Smoothness). Differentiable function φ : Rd →R is called L-smooth if there
exists a non-negative scalar value L ≥0 such that"
INTRODUCTION,0.034210526315789476,"φ(x) ≤φ(y) + ⟨∇φ(y), x −y⟩+ L"
INTRODUCTION,0.03684210526315789,"2 ∥x −y∥2,
∀x, y ∈Rd.
(2)"
INTRODUCTION,0.039473684210526314,"As pointed out by Safaryan et al. [2021], smoothness constant L reﬂects small part of the rich
smoothness information often easily available through the training data. In their recent work,
Safaryan et al. [2021] pioneered a dramatically different compression design approach. First, they
propose to use the local training data to form local smoothness matrices, which they claim contain
much more useful information than standard smoothness constants.
Deﬁnition 2 (Matrix Smoothness). Differentiable function φ : Rd →R is called L-smooth if there
exists a symmetric positive semideﬁnite matrix L ⪰0 such that"
INTRODUCTION,0.042105263157894736,"φ(x) ≤φ(y) + ⟨∇φ(y), x −y⟩+ 1"
INTRODUCTION,0.04473684210526316,"2∥x −y∥2
L,
∀x, y ∈Rd.
(3)"
INTRODUCTION,0.04736842105263158,"Intuitively, the usefulness of L-smoothness over the standard L-smoothness is the tighter upper bound
for functional growth. In other words, if for a function φ we have the tightest scalar smoothness L
and the tightest matrix smoothness L parameters, then L = λmax(L) and, hence, upper bound (3)
is better than (2). To understand the relationship deeper, consider the functional growth of φ along
the direction e ∈Rd (without loss of generality assume ∥e∥= 1). Let x = y + te, where t > 0 is a
positive scaling parameter, and consider the quadratic terms t2"
INTRODUCTION,0.05,2 L of (2) and t2
INTRODUCTION,0.05263157894736842,"2 ⟨e, Le⟩of (3) bounded
the functional growth. Obviously, depending on the direction e, the quadratic form ⟨e, Le⟩can be
much smaller than L = λmax(L) = sup{⟨e, Le⟩: ∥e∥= 1}."
INTRODUCTION,0.05526315789473684,"Non-uniform functional growths over different directions hints to design optimization algorithms
that are aware of such properties of the objective. Several works on randomized coordinate descent
have successfully exploited this approach [Richtárik and Takáˇc, 2016, Qu and Richtárik, 2016a,b,
Hanzely and Richtárik, 2019, Hanzely and Richtárik, 2019]. For example, the ‘NSync algorithm of
Richtárik and Takáˇc [2016] uses the smoothness matrix to estimate smaller, so-called ESO (Expected
Separable Overapproximation) parameters for each coordinate, leading to larger stepsizes for the
update rule and improved complexity for the algorithm. Note that randomized coordinate descent can
be viewed as compressed gradient descent with random sparsiﬁcation (n = 1 number of workers)."
INTRODUCTION,0.05789473684210526,"In the context of distributed optimization, using smoothness matrices Li of all local loss functions
fi(x), i ∈[n], Safaryan et al. [2021] design a compressor capable of exploiting the smoothness"
INTRODUCTION,0.060526315789473685,Table 1: Summary of main theoretical results of this work. Below constants and log 1
INTRODUCTION,0.06315789473684211,"ε factors are
hidden, n is the number of nodes, d is the model size, Lmax = maxi Li, Li = λmax(Li), the
expected smoothness constant Lmax is deﬁned in (4), the variance of generic compression operator is
denoted by ω, parameters ν and ν1 are deﬁned in (8). See Table 3 in the Appendix for the notations.
We discuss some limitations of the proposed algorithms in Section A.3."
INTRODUCTION,0.06578947368421052,"Regime
∇fi(x∗) ≡0
arbitrary ∇fi(x∗)"
INTRODUCTION,0.06842105263157895,"Original Methods
DCGD [Khirirat et al., 2018]
DIANA [Mishchenko et al., 2019]"
INTRODUCTION,0.07105263157894737,"Iteration Complexity
L
µ + ωLmax"
INTRODUCTION,0.07368421052631578,"nµ
ω + Lmax"
INTRODUCTION,0.07631578947368421,"µ
+ ωLmax"
