Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0024096385542168677,"A major tenet of conventional wisdom dictates that models should not be over-
1"
ABSTRACT,0.004819277108433735,"parameterized: the number of free parameters should not exceed the number of
2"
ABSTRACT,0.007228915662650603,"training data points. This tenet originates from centuries of shallow learning, pri-
3"
ABSTRACT,0.00963855421686747,"marily in the form of linear or logistic regression. It is routinely applied to all kinds
4"
ABSTRACT,0.012048192771084338,"of data analyses and modeling and even to infer properties of the brain. However,
5"
ABSTRACT,0.014457831325301205,"through a variety of precise mathematical examples, we show that this conventional
6"
ABSTRACT,0.016867469879518072,"wisdom is completely wrong as soon as one moves from shallow to deep learning.
7"
ABSTRACT,0.01927710843373494,"In particular, we construct sequences of both linear and non-linear deep learning
8"
ABSTRACT,0.021686746987951807,"models whose number of parameters can grow to arbitrarily large values, and which
9"
ABSTRACT,0.024096385542168676,"remain well deﬁned and trainable using a ﬁxed, ﬁnite size, training set. In deep
10"
ABSTRACT,0.02650602409638554,"models, the parameter space is partitioned into large equivalence classes. Learning
11"
ABSTRACT,0.02891566265060241,"can be viewed as a communication process where information is communicated
12"
ABSTRACT,0.03132530120481928,"from the data to the synaptic weights. The information in the training data only can,
13"
ABSTRACT,0.033734939759036145,"and needs to, specify an equivalence class of the parameters. It cannot, and does
14"
ABSTRACT,0.03614457831325301,"not need to, specify individual parameter values. As such, the number of training
15"
ABSTRACT,0.03855421686746988,"examples can be smaller than the number of free parameters.
16"
INTRODUCTION,0.04096385542168675,"1
Introduction
17"
INTRODUCTION,0.043373493975903614,"A long held form of conventional wisdom is that in order to train a model with n parameters one
18"
INTRODUCTION,0.04578313253012048,"should have at least n training examples, and preferably more. The origin of this statistical “dogma”
19"
INTRODUCTION,0.04819277108433735,"stems from linear regression and other forms of shallow learning1. The soundness of this dogma
20"
INTRODUCTION,0.05060240963855422,"appears to be obvious from our experiences with linear regression: in general n examples are
21"
INTRODUCTION,0.05301204819277108,"necessary and sufﬁcient in order to solve a system of n linear equations in n unknown variables. As a
22"
INTRODUCTION,0.05542168674698795,"result, the dogma is routinely repeated and used in myriads applications of statistics to modeling data
23"
INTRODUCTION,0.05783132530120482,"across all areas of human inquiry, often well beyond shallow learning, and to inspire a fear, if not a
24"
INTRODUCTION,0.060240963855421686,"disgust, for the so-called over-parameterized models. The dogma is also routinely used in a variety
25"
INTRODUCTION,0.06265060240963856,"of “back-of-the-enveloppe”calculations, for instance to infer properties or processing strategies for
26"
INTRODUCTION,0.06506024096385542,"the human brain. Here we show, through a variety of examples, that this central dogma is valid only
27"
INTRODUCTION,0.06746987951807229,"for shallow learning and that it is completely wrong when it comes to deep learning. Hence, in deep
28"
INTRODUCTION,0.06987951807228916,"learning it may not be unwise to get rid of the conventional wisdom entirely.
29"
THE ORIGIN OF THE DOGMA,0.07228915662650602,"1.1
The Origin of the Dogma
30"
THE ORIGIN OF THE DOGMA,0.0746987951807229,"For the past three centuries, since the discovery of least square linear regression by Gauss and
31"
THE ORIGIN OF THE DOGMA,0.07710843373493977,"Legendre in the late 1700s (e.g. [9]), one of the most central dogma of statistics has been that a model
32"
