Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0014124293785310734,"What data or environments to use for training to improve downstream performance
is a longstanding and very topical question in reinforcement learning. In particular,
Unsupervised Environment Design (UED) methods have gained recent attention
as their adaptive curricula promise to enable agents to be robust to in- and out-
of-distribution tasks. This work investigates how existing UED methods select
training environments, focusing on task prioritisation metrics. Surprisingly, despite
methods aiming to maximise regret in theory, the practical approximations do not
correlate with regret but with success rate. As a result, a significant portion of an
agent’s experience comes from environments it has already mastered, offering little
to no contribution toward enhancing its abilities. Put differently, current methods
fail to predict intuitive measures of “learnability.” Specifically, they are unable to
consistently identify those scenarios that the agent can sometimes solve, but not
always. Based on our analysis, we develop a method that directly trains on scenarios
with high learnability. This simple and intuitive approach outperforms existing
UED methods in several binary-outcome environments, including the standard
domain of Minigrid and a novel setting closely inspired by a real-world robotics
problem. We further introduce a new adversarial evaluation procedure for directly
measuring robustness, closely mirroring the conditional value at risk (CVaR).
We open-source all our code and present visualisations of final policies here:
https://github.com/amacrutherford/sampling-for-learnability."
INTRODUCTION,0.002824858757062147,"1
Introduction"
INTRODUCTION,0.00423728813559322,"Curriculum discovery—automatically generating environments for reinforcement learning (RL)
agents to train on—remains a longstanding and active area of research [1, 2]. Automated curricu-
lum learning (ACL) methods offer the potential to generate diverse environments, leading to the
development of more general and robust agents. Recently, a class of methods under the umbrella of
Unsupervised Environment Design (UED) has gained popularity, owing to their theoretical guarantees
of robustness and empirical improvements in out-of-distribution generalisation [3–5]."
INTRODUCTION,0.005649717514124294,"Currently, the most popular and empirically successful subfield of UED develops methods that aim to
maximise regret—the difference in performance between an optimal agent and the current agent [3–8].
However, computing regret is intractable in all but the simplest tasks, forcing practical methods to
instead approximate it [4, 9]. While the prevailing assumption has been that these approximations
are faithful, we investigate this further and find that this is not the case: specifically, these scoring
functions correlate with success rate rather than regret. This means that these methods tend to
prioritise tasks that the agent can already solve, leading to much of the collected experience not
contributing to learning an improved policy."
INTRODUCTION,0.007062146892655367,∗Equal Contribution. Correspondence to arutherford@robots.ox.ac.uk.
INTRODUCTION,0.00847457627118644,"While we find that regret performs well in settings where we can compute it—confirming that the
underlying theory is sound—we show that the common approximations are unreliable. Therefore, we
focus on a different scoring mechanism which instead prioritises levels that provide a clear learning
signal to the agent. More specifically, these levels are those where the agent’s success rate is neither
100% nor 0%, i.e., levels that are neither too difficult nor too easy [1, 10]."
INTRODUCTION,0.009887005649717515,"Using this scoring function, we develop Sampling For Learnability (SFL), a method that estimates
learnability by rolling out the current policy on randomly sampled levels and selecting those that the
agent solves sometimes, but not always. We find that this simple and intuitive approach outperforms
DR [11], Prioritised Level Replay [4, 9] and ACCEL [5] on four challenging environments, including
our novel single- and multi-agent robotic navigation domain, Xland-Minigrid [12] and Minigrid [13]."
INTRODUCTION,0.011299435028248588,"To truly put our method to the test, we develop a new, more rigorous robustness evaluation protocol for
ACL, and demonstrate that SFL significantly outperforms all other methods. Rather than evaluating
on a set of arbitrary hand-designed environment configurations, our protocol computes a risk metric
on the performance of the method, by evaluating its performance in the worst α% of a newly sampled
set of environments."
INTRODUCTION,0.012711864406779662,Our contributions are as follows:
