Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018796992481203006,"As models for nature language processing (NLP), computer vision (CV) and
1"
ABSTRACT,0.0037593984962406013,"recommendation systems (RS) require surging computation, a large number of
2"
ABSTRACT,0.005639097744360902,"GPUs/TPUs are paralleled with a large batch (LB) to improve training throughput.
3"
ABSTRACT,0.007518796992481203,"Training such LB tasks often converges to sharp minimum and downgrades final
4"
ABSTRACT,0.009398496240601503,"precision. Adversarial learning (ConAdv) and LANS method scales ImageNet
5"
ABSTRACT,0.011278195488721804,"and BERT pretraining up to 96k batch size. In this work, we develop the variance
6"
ABSTRACT,0.013157894736842105,"reduced gradient descent technique (VRGD) based on the gradient signal to noise ra-
7"
ABSTRACT,0.015037593984962405,"tio (GSNR) and apply it onto popular optimizers such as SGD/Adam/LARS/LAMB.
8"
ABSTRACT,0.016917293233082706,"We carry out a theoretical analysis of VR-SGD’s convergence rate to explain its
9"
ABSTRACT,0.018796992481203006,"fast training dynamics, and a generalization analysis to demonstrate its smaller
10"
ABSTRACT,0.020676691729323307,"generalization gap on LB training. Comprehensive experiments demonstrate that
11"
ABSTRACT,0.022556390977443608,"VRGD can remarkably accelerate training (1.7 ∼4×), narrow the generalization
12"
ABSTRACT,0.02443609022556391,"gap and improve final accuracy. We push the batch size limit of BERT pretraining
13"
ABSTRACT,0.02631578947368421,"up to 128k/64k and DLRM to 512k without noticeable accuracy loss. We improve
14"
ABSTRACT,0.02819548872180451,"ImageNet Top-1 accuracy at 96k by 0.52pp than LARS and significantly reduce
15"
ABSTRACT,0.03007518796992481,"generalization gap by 68.3%.
16"
INTRODUCTION,0.03195488721804511,"1
Introduction
17"
INTRODUCTION,0.03383458646616541,"Recent machine learning models have grown wider and deeper in their architectures (e.g., GPT-3
18"
INTRODUCTION,0.03571428571428571,"[Floridi and Chiriatti, 2020], M6 [Lin et al., 2021], Switch Transformer [Fedus et al., 2021]). Training
19"
INTRODUCTION,0.03759398496240601,"complex models may consume more training data to converge, which needs a surge in computing
20"
INTRODUCTION,0.039473684210526314,"capacity and efficiency. However, hardware improvement can not keep pace with the expansion of
21"
INTRODUCTION,0.041353383458646614,"model calculations [Bommasani et al., 2021].
22"
INTRODUCTION,0.043233082706766915,"Several techniques to speed up training are proposed. The aggregation and scattering of gradients
23"
INTRODUCTION,0.045112781954887216,"among massive workers requires an efficient synchronization algorithm. Since the communication
24"
INTRODUCTION,0.046992481203007516,"bandwidth between GPUs/TPUs is much higher than CPU-GPU (e.g., NVLink, Foley and Danskin
25"
INTRODUCTION,0.04887218045112782,"[2017]), several efficient synchronization strategies such as Ring-All-Reduce [Gibiansky, 2017] and
26"
INTRODUCTION,0.05075187969924812,"software toolkits like Horovod [Sergeev and Del Balso, 2018] are proposed to replace the traditional
27"
INTRODUCTION,0.05263157894736842,"PS-Worker framework [Li et al., 2014b,a]. In addition, training with LB can notably improve
28"
INTRODUCTION,0.05451127819548872,"throughput [You et al., 2017b; Hoffer et al., 2019]. You et al. [2020] successfully train BERT using
29"
