Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0034482758620689655,"Saliency methods seek to provide human-interpretable explanations for the output
of machine learning model on a given input. A plethora of saliency methods ex-
ist, as well as an extensive literature on their justiﬁcations/criticisms/evaluations.
This paper focuses on heat maps based saliency methods that often provide expla-
nations that look best to humans. It tries to introduce methods and evaluations for
masked-based saliency methods that are intrinsic — use just the training dataset
and the trained net, and do not use separately trained nets, distractor distributions,
human evaluations or annotations. Since a mask can be seen as a “certiﬁcate”
justifying the net’s answer, we introduce notions of completeness and soundness
(the latter being the new contribution) motivated by logical proof systems. These
notions allow a new evaluation of saliency methods, that experimentally provides
a novel and stronger justiﬁcation for several heuristic tricks in the ﬁeld (T.V. reg-
ularization, upscaling)."
INTRODUCTION,0.006896551724137931,"1
INTRODUCTION"
INTRODUCTION,0.010344827586206896,"Why did the deep net give a certain answer on a particular input, and can we trust the answer?
Saliency methods try to provide explanations, and are thus of great interest from viewpoint of human
explainability, fairness, robustness, etc. This paper restricts attention to methods that return an
importance score for each coordinate of the input —usually visualized as a heat map— that captures
its importance to the ﬁnal decision.1 We refer the reader to Samek et al. (2019) for an extensive
survey and Section 2 for a short account of such methods and controversies."
INTRODUCTION,0.013793103448275862,"There are two important components in the research on saliency: saliency methods that produce such
heat maps for explanations, and saliency evaluation metrics that aim to test and compare saliency
methods. Numerous saliency methods have been proposed to learn such heat maps. Some methods
learn maps through “credit attribution” to individual input coordinates by using methods reminiscent
of backpropagation (Binder et al., 2016; Selvaraju et al., 2019), while some are derived using careful
axiomatization of credit assignment using the idea of Shapley values from cooperative game theory
(Lundberg & Lee, 2017b; Yeh et al., 2020). Some recent methods train another deep net to produce
heat maps (Dabkowski & Gal, 2017; Phang et al., 2020). Given the proliferation of saliency methods,
an ecosystem of evaluation metrics has emerged to evaluate the quality of explanations produced by
saliency methods, either through human evaluations (Adebayo et al., 2018), comparison to certain
ground truth explanations (Zhang et al., 2018) or other evaluations that do not require any external
annotation or supervision (Dabkowski & Gal, 2017) Petsiuk et al. (2018)."
INTRODUCTION,0.017241379310344827,"In this paper we restrict attention to a class of evaluations we refer to as intrinsic, that aim to evaluate
saliency maps based on whether they are good explanations for the model prediction. These only
involve computations using the provided heat map and the net, and do not involve extrinsic factors
such as human judgements or retraining. A popular idea in such evaluations (see Section 3 for
references) is to create a new composite input —or sequence of such inputs— using the heat map
and the original input, and to evaluate the original net on this composite input. For example, if
M is a binary vector with 1’s in the k coordinates with the highest values in the heat map, then
x ⊙M (with ⊙denoting coordinate-wise multiplication) can be viewed as a composite input2 (aka"
INTRODUCTION,0.020689655172413793,"1Heat maps sufﬁce for recognition/classiﬁcation tasks; other tasks may require more complex explanations.
2When x is an image the zeroes in this masked input are often replaced with gray values."
INTRODUCTION,0.02413793103448276,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.027586206896551724,"Figure 1: Masked CIFAR-10 images generated by our procedure with λT V = 0.01 shows the
artifacts exist for masks generated for incorrect labels. More examples can be ﬁnd in Figure 7 in
Appendix. The base classiﬁer outputs the correct label on the original image (ship and bird resp.)
with probability at least 0.99, and assigns probability at most 10−5 for the incorrect label (cat and
frog resp.). With the generated masks, the AUC metric for the correct label remains high (around
0.94 and 0.90), which corresponds to completeness, but AUC metric for the incorrect label rises
tremendously (around 0.18 for cat mask, 0.71 for frog mask.) This suggests violation of soundness."
INTRODUCTION,0.03103448275862069,"“masked input”) that can be fed into the original net. By varying k one obtains a sequence of masks
M. Although there is an issue of distribution shift due to the net never having trained on composite
inputs, in practice, especially for image data, trained nets work ﬁne on masked inputs. (This is also
exploited in Shapley value based saliency methods.)"
INTRODUCTION,0.034482758620689655,"Inspired by logical reasoning, we identity a key component missing in existing intrinsic evaluations:
soundness of the saliency method. In simple terms, checking soundness for mask-based explanations
entails verifying that it is impossible for the method to produce well-performing (in the composite-
input evaluations) heat maps corresponding to the incorrect labels, i.e. labels not predicted as the
most likely by the model. By contrast current masking evaluations focus on a property akin to
completeness3 in logic: the heat map “justiﬁes” the correct label, i.e. the label judged to be most
likely by the model. We argue that soundness can be a useful criterion in addition to completeness."
INTRODUCTION,0.03793103448275862,"The concept of soundness is motivated by observing that the recent mask-based saliency methods
are inherently different from the earlier gradient-based methods. They produce a heatmap that is
interpreted as a masked image that, when fed into the net must make it output the same label that
received the top logit value on the full image. Our paper observes that it is unclear at a logical
level why this should be considered an “explanation”, since to be convinced one must verify that
a different mask could not induce the net to output a label corresponding to other logits. Figure 1
shows that in fact this issue is real; masks do exist that can “justify” the wrong labels. We introduce
soundness as a quantitative measure for this issue (deﬁnitions in Section 3.1), and propose that
evaluations of mask-based saliency methods should account for soundness. Many past works allude
to difﬁculty of the soundness concept, mentioning that computations to ﬁnd the “best” mask end
up ﬁnding artifacts that can even justify labels that are obviously incorrect. To avoid uncovering
artifacts, the methods to ﬁnd masks/heat maps use a suitable regularization (usually TV). However,
Figure 1 illustrates that TV regularization is not a full solution to removing artifacts."
INTRODUCTION,0.041379310344827586,"Another reason for incorporating soundness with completeness in metrics is to implicitly encourage
saliency methods to also produce saliency maps for incorrect labels. When using the classiﬁer in
the wild—as opposed to on a dataset with centered images— we might encounter multiple salient
objects in the image, and the net may not have high conﬁdence in a single label. It would then
be reasonable to have saliency methods ﬁnd evidence for all the labels which the net outputs with
reasonable conﬁdence. We ﬁnd in Figure 2 that our saliency method that produces masks for all la-
bels can produce different and meaningful masks for different labels when there are multiple objects
present in the image4, compared to prior state-of-the-art methods, that output a single mask for all
labels that contains both objects (more on this in Appendix B)."
