Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001941747572815534,"Machine learning models that achieve high overall accuracy often make system-
atic errors on important subsets (or slices) of data. Identifying underperforming
slices is particularly challenging when working with high-dimensional inputs (e.g.
images, audio), where important slices are often unlabeled. In order to address this
issue, recent studies have proposed automated slice discovery methods (SDMs),
which leverage learned model representations to mine input data for slices on
which a model performs poorly. To be useful to a practitioner, these methods
must identify slices that are both underperforming and coherent (i.e. united by a
human-understandable concept). However, no quantitative evaluation framework
currently exists for rigorously assessing SDMs with respect to these criteria. Ad-
ditionally, prior qualitative evaluations have shown that SDMs often identify slices
that are incoherent. In this work, we address these challenges by ﬁrst designing a
principled evaluation framework that enables a quantitative comparison of SDMs
across 1,235 slice discovery settings in three input domains (natural images, med-
ical images, and time-series data). Then, motivated by the recent development
of powerful cross-modal representation learning approaches, we present Domino,
an SDM that leverages cross-modal embeddings and a novel error-aware mixture
model to discover and describe coherent slices. We ﬁnd that Domino accurately
identiﬁes 36% of the 1,235 slices in our framework – a 12 percentage point im-
provement over prior methods. Further, Domino is the ﬁrst SDM that can provide
natural language descriptions of identiﬁed slices, correctly generating the exact
name of the slice in 35% of settings."
INTRODUCTION,0.003883495145631068,"1
INTRODUCTION"
INTRODUCTION,0.005825242718446602,"Machine learning models often make systematic errors on important subsets (or slices) of data1.
For instance, models trained to detect collapsed lungs in chest X-rays have been shown to make
predictions based on the presence of chest drains, a device typically used during treatment (Oakden-
Rayner et al., 2019). As a result, these models frequently make prediction errors on cases without
chest drains, a critical data slice where false negative predictions could be life-threatening. Simi-
lar performance gaps across slices have been observed in radiograph classiﬁcation (Badgeley et al.,
2019; Zech et al., 2018; DeGrave et al., 2021), melanoma detection (Winkler et al., 2019), natu-
ral language processing (Orr et al., 2020; Goel et al., 2021), and object detection (de Vries et al.,
2019), among others. If underperforming slices can be accurately identiﬁed and labeled, we can
then improve model robustness by either updating the training dataset or using robust optimization
techniques (Zhang et al., 2018; Sagawa et al., 2020)."
INTRODUCTION,0.007766990291262136,"However, identifying underperforming slices is difﬁcult in practice. When working with high-
dimensional inputs (e.g. images, time-series data, video), slices are often “hidden”, meaning that
they cannot easily be extracted from the inputs and are not annotated in metadata (Oakden-Rayner
et al., 2019). For instance, in the collapsed lung example above, the absence of chest drains is
challenging to identify from raw image data and may not be explicitly labeled in metadata. In this
setting, we must perform slice discovery: the task of mining unstructured input data for semantically
meaningful subgroups on which the model performs poorly."
INTRODUCTION,0.009708737864077669,1We deﬁne a data slice as a group of data examples that share an attribute or characteristic.
INTRODUCTION,0.011650485436893204,Published as a conference paper at ICLR 2022
INTRODUCTION,0.013592233009708738,"Figure 1: Proposed Approach. (Left) We design an evaluation framework to systematically com-
pare SDMs across diverse slice settings. Here, the example slice setting includes a dataset that
displays a strong correlation between the presence of birds and skies. (Right) A classiﬁer trained
to detect the presence of birds makes false positive predictions on skies without birds. We present
Domino, a novel SDM that uses cross-modal embeddings to identify and describe the error slice."
INTRODUCTION,0.015533980582524271,"In modern machine learning workﬂows, practitioners commonly attempt slice discovery with a com-
bination of feature-based interpretability methods (e.g. GradCAM, LIME) and manual inspection
(Selvaraju et al., 2017; Ribeiro et al., 2016). However, these approaches are time-consuming and
susceptible to conﬁrmation bias (Adebayo et al., 2018). As a result, recent works have proposed
automated slice discovery methods (SDMs), which use learned input representations to identify se-
mantically meaningful slices where the model makes prediction errors (d’Eon et al., 2021; Yeh et al.,
2020a; Sohoni et al., 2020; Kim et al., 2018; Singla et al., 2021). An ideal SDM should automat-
ically identify data slices that fulﬁll two desiderata: (a) slices should contain examples on which
the model underperforms, or has a high error rate and (b) slices should contain examples that are
coherent, or align closely with a human-understandable concept. An SDM that is able to reliably
satisfy these desiderata across a wide range of settings has yet to be demonstrated for two reasons:"
INTRODUCTION,0.017475728155339806,"Issue 1: No quantitative evaluation framework exists for measuring performance of SDMs with
respect to these desiderata. Existing SDM evaluations are either qualitative (d’Eon et al., 2021),
performed on purely synthetic data (Yeh et al., 2020a), or consider only a small selection of tasks
and slices (Sohoni et al., 2020). A comprehensive evaluation framework should be quantitative,
use realistic data, cover a broad range of contexts, and evaluate both underperformance and coher-
ence. Currently, no datasets or frameworks exist to support such an evaluation, making it difﬁcult to
evaluate the tradeoffs among prior SDMs."
