Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0008880994671403197,"Neural Network Pruning has been established as driving force in the exploration of
1"
ABSTRACT,0.0017761989342806395,"memory and energy efficient solutions with high throughput both during training
2"
ABSTRACT,0.0026642984014209592,"and at test time. In this paper, we introduce a novel criterion for model com-
3"
ABSTRACT,0.003552397868561279,"pression, named “Expressiveness"". Unlike existing pruning methods that rely
4"
ABSTRACT,0.004440497335701598,"on the inherent “Importance"" of neurons’ and filters’ weights, “Expressiveness""
5"
ABSTRACT,0.0053285968028419185,"emphasizes a neuron’s or group of neurons ability to redistribute informational
6"
ABSTRACT,0.006216696269982238,"resources effectively, based on the overlap of activations. This characteristic is
7"
ABSTRACT,0.007104795737122558,"strongly correlated to a network’s initialization state, establishing criterion auton-
8"
ABSTRACT,0.007992895204262877,"omy from the learning state (stateless) and thus setting a new fundamental basis
9"
ABSTRACT,0.008880994671403197,"for the expansion of compression strategies in regards to the “When to Prune""
10"
ABSTRACT,0.009769094138543518,"question. We show that expressiveness is effectively approximated with arbitrary
11"
ABSTRACT,0.010657193605683837,"data or limited dataset’s representative samples, making ground for the exploration
12"
ABSTRACT,0.011545293072824156,"of Data-Agnostic strategies. Our work also facilitates a “hybrid"" formulation of
13"
ABSTRACT,0.012433392539964476,"expressiveness and importance-based pruning strategies, illustrating their com-
14"
ABSTRACT,0.013321492007104795,"plementary benefits and delivering up to 10× extra gains w.r.t. weight-based
15"
ABSTRACT,0.014209591474245116,"approaches in parameter compression ratios, with an average of 1% in performance
16"
ABSTRACT,0.015097690941385435,"degradation. We also show that employing expressiveness (independently) for
17"
ABSTRACT,0.015985790408525755,"pruning leads to an improvement over top-performing and foundational methods in
18"
ABSTRACT,0.016873889875666074,"terms of compression efficiency. Finally, on YOLOv8, we achieve a 46.1% MACs
19"
ABSTRACT,0.017761989342806393,"reduction by removing 55.4% of the parameters, with an increase of 3% in the
20"
ABSTRACT,0.018650088809946713,"mean Absolute Precision (mAP50−95) for object detection on COCO dataset.
21"
INTRODUCTION,0.019538188277087035,"1
Introduction
22"
INTRODUCTION,0.020426287744227355,"To address the computational constraints of existing models, Model Compression [7] has emerged as
23"
INTRODUCTION,0.021314387211367674,"a prominent solution in exploring models that achieve comparable performance, but with reduced
24"
INTRODUCTION,0.022202486678507993,"computational complexity [52]. Within this scope, Floating Point Operations (FLOPs) are used to
25"
INTRODUCTION,0.023090586145648313,"estimate a model’s computational complexity, by measuring the arithmetic operations required for a
26"
INTRODUCTION,0.023978685612788632,"forward pass, while parameters (params) are associated with a model’s size in terms of memory space
27"
INTRODUCTION,0.02486678507992895,"[48] and their reduction can be a precursor towards more energy efficient solutions [5]. Although
28"
INTRODUCTION,0.02575488454706927,"FLOPs and params often correlate, their relationship isn’t strictly linear. For instance, VGG16 [43]
29"
INTRODUCTION,0.02664298401420959,"has 17× more parameters than ResNet-56 [17] but only 3× more FLOPs, largely due to VGG16’s
30"
INTRODUCTION,0.027531083481349913,"extensive use of fully connected layers. At first sight, this can be attributed to the differences in
31"
INTRODUCTION,0.028419182948490232,"network topologies. From a deeper perspective, the intricacies of various operations at handling
32"
INTRODUCTION,0.02930728241563055,"computational workloads, such as residual structures [17, 55], depthwise separable convolutions [19],
33"
INTRODUCTION,0.03019538188277087,"inverted residual modules [18], channel shuffle operations [59] and shift operations [53], coupled
34"
INTRODUCTION,0.03108348134991119,"with their interplay, may significantly affect the relationship between FLOPs and params in a neural
35"
INTRODUCTION,0.03197158081705151,"network. In a nutshell, besides the use of more computationally efficient operations as above-
36"
INTRODUCTION,0.03285968028419183,"mentioned, Model Compression aims to maintain model performance while optimizing the two
37"
INTRODUCTION,0.03374777975133215,"aforementioned metrics via tensor decomposition, data quantization, and network sparsification [7].
38"
INTRODUCTION,0.03463587921847247,"In this paper we emphasize on the sparsification strategy of pruning [49], which we use as a basis
39"
