Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010245901639344263,"The recently proposed stochastic Polyak stepsize (SPS) and stochastic line-
search (SLS) for SGD have shown remarkable effectiveness when training over-
parameterized models. However, two issues remain unsolved in this line of work.
First, in non-interpolation settings, both algorithms only guarantee convergence to
a neighborhood of a solution which may result in a worse output than the initial
guess. While artificially decreasing the adaptive stepsize has been proposed to
address this issue (Orvieto et al. [44]), this approach results in slower convergence
rates under interpolation. Second, intuitive line-search methods equipped with
variance-reduction (VR) fail to converge (Dubois-Taine et al. [14]). So far, no VR
methods successfully accelerate these two stepsizes with a convergence guarantee.
In this work, we make two contributions: Firstly, we propose two new robust
variants of SPS and SLS, called AdaSPS and AdaSLS, which achieve optimal
asymptotic rates in both strongly-convex or convex and interpolation or non-
interpolation settings, except for the case when we have both strong convexity
and non-interpolation. AdaSLS requires no knowledge of problem-dependent
parameters, and AdaSPS requires only a lower bound of the optimal function value
as input. Secondly, we propose a novel VR method that can use Polyak stepsizes or
line-search to achieve acceleration. When it is equipped with AdaSPS or AdaSLS,
the resulting algorithms obtain the optimal rate for optimizing convex smooth
functions. Finally, numerical experiments on synthetic and real datasets validate
our theory and demonstrate the effectiveness and robustness of our algorithms."
INTRODUCTION,0.0020491803278688526,"1
Introduction"
INTRODUCTION,0.0030737704918032786,"Stochastic Gradient Descent (SGD) [46] and its variants [7] are among the most preferred algorithms
for training modern machine learning models. These methods only compute stochastic gradients
in each iteration, which is often more efficient than computing a full batch gradient. However, the
performance of SGD is highly sensitive to the choice of the stepsize. Common strategies use a
fixed stepsize schedule, such as keeping it constant or decreasing it over time. Unfortunately, the
theoretically optimal schedules are disparate across different function classes [8], and usually depend
on problem parameters that are often unavailable, such as the Lipschitz constant of the gradient. As a
result, a heavy tuning of the stepsize parameter is required, which is typically expensive in practice."
INTRODUCTION,0.004098360655737705,"Instead of fixing the stepsize schedule, adaptive SGD methods adjust the stepsize on the fly [15, 26].
These algorithms often require less hyper-parameter tuning and still enjoy competitive performance in
practice. Stochastic Polyak Stepsize (SPS) [34, 6, 45] is one of such recent advances. It has received
rapid growing interest due to two factors: (i) the only required parameter is the individual optimal
function value which is often available in many machine learning applications and (ii) its adaptivity"
INTRODUCTION,0.005122950819672131,"∗CISPA Helmholtz Center for Information Security, Saarbrücken, Germany"
INTRODUCTION,0.006147540983606557,"utilizes the local curvature and smoothness information allowing the algorithm to accelerate and
converge quickly when training over-parametrized models. Stochastic Line-Search (SLS) [52] is
another adaptive stepsize that offers exceptional performance when the interpolation condition holds.
In contrast to SPS, the knowledge of the optimal function value is not required for SLS, at the cost of
additional function value evaluations per iteration."
INTRODUCTION,0.007172131147540984,"An ideal adaptive stepsize should not only require fewer hyper-parameters but should also enjoy robust
convergence, in the sense that they can automatically adapt to the optimization setting (interpolation
vs. non-interpolation). This will bring great convenience to the users in practice as they no longer
need to choose which method to use (or runinning both of them at double the cost). Indeed, in many
real-world scenarios, it can be challenging to ascertain whether a model is effectively interpolating
the data or not [11]. For instance, the feature dimension of the rcv1 dataset [10] is twice larger
than the number of data points. A logistic regression model with as many parameters as the feature
dimension may tend to overfit the data points. But the features are actually sparse and the model
is not interpolated. Another example is federated learning [23] where millions of clients jointly
train a machine learning model on their mobile devices, which usually cannot support huge-scale
models. Due to the fact that each client’s data is stored locally, it becomes impractical to check the
interpolation condition."
INTRODUCTION,0.00819672131147541,"While SPS and SLS are promising adaptive methods, they are not robust since both methods cannot
converge to the solution when interpolation does not hold. Orvieto et al. [44] address this issue for
SPS by applying an artificially decreasing rule and the resulting algorithm DecSPS is able to converge
as quickly as SGD with the optimal stepsize schedule. However, the convergence rates of DecSPS in
interpolation regimes are much slower than SPS. For SLS, no solution has been proposed."
INTRODUCTION,0.009221311475409836,"If the user is certain that the underlying problem is non-interpolated, then applying variance-
reduction (VR) techniques can further accelerate the convergence [22, 40, 13, 27, 49, 33]. While
gradient descent with Polayak stepsize and line-search perform well in the deterministic settings, there
exists no method that successfully adapt these stepsizes in VR methods. Mairal [36] and Schmidt
et al. [49] proposed to use stochastic line-search with VR. However, no theoretical guarantee is shown.
Indeed, this is a challenging open question as Dubois-Taine et al. [14] provides a counter-example
where classical line-search methods fail in the VR setting. As such, it remains unclear whether we
can accelerate SGD with stepsizes from Polyak and line-search family in non-interpolated settings."
MAIN CONTRIBUTIONS,0.010245901639344262,"1.1
Main contributions"
MAIN CONTRIBUTIONS,0.011270491803278689,"In this work, we provide solutions to the aforementioned two challenges and contribute new theoretical
insights on Polyak stepsize and line-search methods. We summarize our main contributions as follows:"
MAIN CONTRIBUTIONS,0.012295081967213115,"• In Section 3, we propose the first robust adaptive methods that simultaneously achieve the best-
known asymptotic rates in both strongly-convex or convex and interpolation or non-interpolation
settings except for the case when we have strongly-convexity and non-interpolation. The first
method called AdaSPS, a variant of SPS, requires only a lower bound of the optimal function value
as input (similar to DecSPS) while AdaSLS, the second method based on SLS, is parameter-free.
In the non-interpolated setting, we prove for both algorithms an O(1/ε2) convergence rate for
convex functions which matches the classical DecSPS and AdaGrad [15] results, whereas SPS and
SLS cannot converge in this case. In the interpolated regime, we establish fast O(log(1/ε)) and
O(1/ε) rates under strong convexity and convexity conditions respectively, without knowledge of
any problem-dependent parameters. In contrast, DecSPS converges at the slower O(1/ε2) rate and
for AdaGrad, the Lipschitz constant is needed to set its stepsize [56]."
MAIN CONTRIBUTIONS,0.01331967213114754,"• In Section 4, we design a new variance-reduction method that is applicaple to both Polyak stepsizes
or line-search methods. We prove that to reach an ε-accuracy, the total number of gradient
evaluations required in expectation is e
O(n + 1/ε) for convex functions which matches the rate of
AdaSVRG [14]. With our newly proposed decreasing probability strategy, the artificially designed
multi-stage inner-outer-loop structure is not needed, which makes our methods easier to analyze."
MAIN CONTRIBUTIONS,0.014344262295081968,"Our novel VR-framework is based on proxy function sequences and can recover the standard VR
methods [22] as a special case. We believe that this technique can be of independent interest to the
optimization community and may motivate more personalized VR techniques in the future."
MAIN CONTRIBUTIONS,0.015368852459016393,"Stepsize
Interpolation
Non-interpolation"
MAIN CONTRIBUTIONS,0.01639344262295082,"strongly-convex
convex
required input
strongly-convex
convexa
required input"
MAIN CONTRIBUTIONS,0.017418032786885244,"SPS/SPSmax [34]
O(log( 1"
MAIN CONTRIBUTIONS,0.018442622950819672,"ε))
O( 1"
MAIN CONTRIBUTIONS,0.0194672131147541,"ε)
f ⋆
it
ε ≥Ω(σ2
f,B)
ε ≥Ω(σ2
f,B)
f ⋆
it
SLS [52]
O(log( 1"
MAIN CONTRIBUTIONS,0.020491803278688523,"ε))
O( 1"
MAIN CONTRIBUTIONS,0.02151639344262295,"ε)
None
ε ≥Ω(σ2
f,B)
ε ≥Ω(σ2
f,B)
None"
MAIN CONTRIBUTIONS,0.022540983606557378,"DecSPS [44]
O( 1"
MAIN CONTRIBUTIONS,0.0235655737704918,"ε2 )
O( 1"
MAIN CONTRIBUTIONS,0.02459016393442623,"ε2 )
ℓ⋆
it
O( 1"
MAIN CONTRIBUTIONS,0.025614754098360656,"ε2 )
O( 1"
MAIN CONTRIBUTIONS,0.02663934426229508,"ε2 )
ℓ⋆
it"
MAIN CONTRIBUTIONS,0.027663934426229508,"AdaSPS (this work)
O(log( 1"
MAIN CONTRIBUTIONS,0.028688524590163935,"ε))
O( 1"
MAIN CONTRIBUTIONS,0.02971311475409836,"ε)
f ⋆
it
O( 1"
MAIN CONTRIBUTIONS,0.030737704918032786,"ε2 )
O( 1"
MAIN CONTRIBUTIONS,0.031762295081967214,"ε2 )
ℓ⋆
it
AdaSLS (this work)
O(log( 1"
MAIN CONTRIBUTIONS,0.03278688524590164,"ε))
O( 1"
