Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005076142131979695,"Our goal is to understand why the robustness accuracy would abruptly drop to zero,
after conducting FGSM-style adversarial training for too long. While this phe-
nomenon is commonly explained as overﬁtting, we observe that it is a twin process:
not only does the model catastrophic overﬁts to one type of perturbation, but also
the perturbation deteriorates into random noise. For example, at the same epoch
when the FGSM-trained model catastrophically overﬁts, its generated perturbations
deteriorate into random noise. Intuitively, once the generated perturbations become
weak and inadequate, models would be misguided to overﬁt those weak attacks
and fail to defend strong ones. In the light of our analyses, we propose APART, an
adaptive adversarial training method, which parameterizes perturbation generation
and progressively strengthens them. In our experiments, APART successfully
prevents perturbation deterioration and catastrophic overﬁtting. Also, APART
signiﬁcantly improves the model robustness while maintaining the same efﬁciency
as FGSM-style methods, e.g., on the CIFAR-10 dataset, APART achieves 53.89%
accuracy under the PGD-20 attack and 49.05% accuracy under the AutoAttack1."
INTRODUCTION,0.01015228426395939,"1
INTRODUCTION"
INTRODUCTION,0.015228426395939087,"While neural networks keep advancing the state of the arts, their vulnerability to adversarial at-
tacks (Szegedy et al., 2013) casts a shadow over their applications—subtle, human-imperceptible
input shifts can fool these models and alter their predictions. Adversarial training adds perturbations
to model inputs during training, and is one of the most successful approaches to establish model
robustness (Goodfellow et al., 2014; Madry et al., 2017; Kurakin et al., 2017; Tramèr et al., 2017;
Zhang et al., 2019b; Liu et al., 2018)."
INTRODUCTION,0.02030456852791878,"One crucial and common challenge in adversarial training is the signiﬁcant computation overhead,
e.g., it may take 3-30 times longer to conduct adversarial training than the vanilla training. In
response to this challenge, there has been a recent surge in work aiming to reduce the computation
overhead (Goodfellow et al., 2014; Shafahi et al., 2019a; Zhang et al., 2019a; Wong et al., 2020).
Although these methods successfully accelerates adversarial training, they lead to an unexpected
phenomenon—when conducting FGSM-style adversarial training, the model robustness would
abruptly drop to zero (Rice et al., 2020) at certain epoch. This phenomenon is referred as catastrophic
overﬁtting, and the robustness drop is usually viewed as model overﬁtting—the model overﬁts to one
speciﬁc type of perturbation (Rice et al., 2020; Wong et al., 2020; Kim et al., 2021)."
INTRODUCTION,0.025380710659898477,"Here, we show that the robustness drop is a twin process. Besides the model overﬁtting to one
type of perturbation, we observe perturbations becoming too weak to establish model robustness.
For example, as visualized in Figure 1, both the model and the perturbation change dramatically
between Epoch 15 and Epoch 16—the robust accuracy of the model drops from 45 to almost zero,
the perturbation strength deteriorates dramatically. As implied by this phenomenon, we suggest that
there exists strong correlations between the catastrophic overﬁtting and perturbation deterioration.
Intuitively, without perturbation deterioration, even if the model overﬁts to one type of perturbation
with a reasonable strength, it would lead to a sub-optimal robustness instead of entirely diminished
robust accuracy. Meanwhile, once the perturbation deteriorates into random noise, overﬁtting to that
random noise-like perturbation could cause the model robustness drop to zero."
INTRODUCTION,0.030456852791878174,1Code will be released under the Apache-2.0 license for future studies.
INTRODUCTION,0.03553299492385787,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.04060913705583756,Table 1: Notation Table (Elaborated in Section 2)
INTRODUCTION,0.04568527918781726,"x is input
y is label
α is step size
L is objective
∆x = ∂L/∂x
∆θ = ∂L/∂θ"
INTRODUCTION,0.050761421319796954,"θ(i)
A
model parameter θ trained for i epochs by method A"
INTRODUCTION,0.05583756345177665,"fA(θ, x, y)
perturbation generated by method A to attack model θ on x, y"
INTRODUCTION,0.06091370558375635,"ωx
perturbation initialization as parameterized by FGSM+ and APART"
INTRODUCTION,0.06598984771573604,"GB,i(A)
perturbation strength of fA(θ(i)
A ), calculated as its gap to fB(θ(i)
A ) on model θ(i)
A"
INTRODUCTION,0.07106598984771574,"Acc(θ(i1)
A , fB(θ(i2)
C
, ·))
accuracy of θ(i1)
A
when attacked by perturbations generated by fB(·) for θ(i2)
C"
INTRODUCTION,0.07614213197969544,"Truck
Bird
Airplane                  Ship"
INTRODUCTION,0.08121827411167512,𝟏𝟓𝒕𝒉epoch
INTRODUCTION,0.08629441624365482,𝟏𝟔𝒕𝒉epoch
INTRODUCTION,0.09137055837563451,Original Image
INTRODUCTION,0.09644670050761421,"Perturbation 
distinguishes the 
object and the 
background"
INTRODUCTION,0.10152284263959391,"Perturbations is 
in a random 
manner"
INTRODUCTION,0.1065989847715736,(a) FGSM-Generated Perturbations.
INTRODUCTION,0.1116751269035533,"15!"" 16!"""
INTRODUCTION,0.116751269035533,"FGSM 
APART-Simple
APART"
INTRODUCTION,0.1218274111675127,(b) Test Accuracy under PGD-10.
INTRODUCTION,0.12690355329949238,Figure 1: Analyses of FGSM-generated perturbations (for Pre-ResNet18 on the CIFAR-10 dataset).
INTRODUCTION,0.1319796954314721,"From this perspective, the key to prevent catastropic overﬁtting falls upon shielding models from per-
turbation deterioration. Correspondingly, we design an adaptive adversarial training method, APART,
which parameterizes perturbation generation and updates its parameters to progressively strengthen
the perturbation generator with gradient ascent. Speciﬁcally, we ﬁrst treat perturbation initialization
as parameters—instead of starting from scratch every time, APART improve the initialization with
gradient ascent. Then, APART factorize the input perturbation as a series of perturbations, which
are integrated with learnable step sizes and can self-adapt to different scenarios. In our experi-
ments, APART leads to consistent performance improvements over FGSM-style algorithms while
maintaining roughly the same efﬁciency."
PRELIMINARIES AND NOTATIONS,0.13705583756345177,"2
PRELIMINARIES AND NOTATIONS"
