Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0035842293906810036,"In ordinary distillation, student networks are trained with soft labels (SLs) given by
pretrained teacher networks, and students are expected to improve upon teachers
since SLs are stronger supervision than the original hard labels. However, when
considering adversarial robustness, teachers may become unreliable and adversar-
ial distillation may not work: teachers are pretrained on their own adversarial data,
and it is too demanding to require that teachers are also good at every adversarial
data queried by students. Therefore, in this paper, we propose reliable introspective
adversarial distillation (IAD) where students partially instead of fully trust their
teachers. Speciﬁcally, IAD distinguishes between three cases given a query of a
natural data (ND) and the corresponding adversarial data (AD): (a) if a teacher is
good at AD, its SL is fully trusted; (b) if a teacher is good at ND but not AD, its SL
is partially trusted and the student also takes its own SL into account; (c) otherwise,
the student only relies on its own SL. Experiments demonstrate the effectiveness of
IAD for improving upon teachers in terms of adversarial robustness."
INTRODUCTION,0.007168458781362007,"1
INTRODUCTION"
INTRODUCTION,0.010752688172043012,"Deep Neural Networks (DNNs) have shown excellent performance on a range of tasks in computer
vision (He et al., 2016) and natural language processing (Devlin et al., 2019). Nevertheless, Szegedy
et al. (2014); Goodfellow et al. (2015) demonstrated that DNNs could be easily fooled by adding a
small number of perturbations on natural examples, which increases the concerns on the robustness
of DNNs in the trustworthy-sensitive areas, e.g., ﬁnance (Kumar et al., 2020) and autonomous
driving (Litman, 2017). To overcome this problem, adversarial training (Goodfellow et al., 2015;
Madry et al., 2018) is proposed and has shown effectiveness to acquire the adversarially robust DNNs."
INTRODUCTION,0.014336917562724014,"Most existing adversarial training approaches focus on learning from data directly. For example,
the popular adversarial training (AT) (Madry et al., 2018) leverages multi-step projected gradient
descent (PGD) to generate the adversarial examples and feed them into the standard training. Zhang
et al. (2019) developed TRADES on the basis of AT to balance the standard accuracy and robust
performance. Recently, there are several methods under this paradigm are developed to improve the
model robustness (Wang et al., 2019; Alayrac et al., 2019; Carmon et al., 2019; Zhang et al., 2020;
Jiang et al., 2020; Ding et al., 2020; Du et al., 2021; Zhang et al., 2021). However, directly learning
from the adversarial examples is a challenging task on the complex datasets since the loss with hard
labels is difﬁcult to be optimized (Liu et al., 2020), which limits us to achieve higher robust accuracy."
INTRODUCTION,0.017921146953405017,"To mitigate this issue, one emerging direction is distilling robustness from the adversarially pre-
trained model intermediately, which has shown promise in the recent study (Zi et al., 2021; Shu et al.,
2021). For example, Ilyas et al. (2019) used an adversarially pre-trained model to build a “robustiﬁed”
dataset to learn a robust DNN. Fan et al. (2021); Salman et al. (2020) explored to boost the model"
INTRODUCTION,0.021505376344086023,†Corresponding author (bhanml@comp.hkbu.edu.hk).
INTRODUCTION,0.025089605734767026,Published as a conference paper at ICLR 2022
INTRODUCTION,0.02867383512544803,"25
50
75 100 125 150 175 200"
INTRODUCTION,0.03225806451612903,Epochs 76 78 80 82 84 86 88 90 92 94
INTRODUCTION,0.035842293906810034,Accuracy of Teacher Model (\%)
INTRODUCTION,0.03942652329749104,"On natural data
On student model's 
 adversarial data"
INTRODUCTION,0.043010752688172046,(a) Unreliability issue
INTRODUCTION,0.04659498207885305,"Teacher
Student
Itself 1
2"
INTRODUCTION,0.05017921146953405,"Natural data
Natural data
Student"
INTRODUCTION,0.053763440860215055,"Adversarial Output
Adversarial Output
Output
Output"
INTRODUCTION,0.05734767025089606,Partially
INTRODUCTION,0.06093189964157706,"Mimic
Mimic"
INTRODUCTION,0.06451612903225806,"Teacher Guidance
Self-Introspection"
INTRODUCTION,0.06810035842293907,(b) Overview of Introspective Adversarial Distillation (IAD)
INTRODUCTION,0.07168458781362007,"Figure 1: (a) Unreliability issue: Comparison of the teacher model’s accuracy on the natural data and
the student model’s adversarial data from CIFAR-10 datasets. Different from the ordinary distillation
in which the natural data is unchanged and the teacher model has the consistent standard performance,
the teacher model’s robust accuracy on the student model’s adversarial data is decreasing during
distillation, which means the guidance of the teacher model in adversarial distillation is progressively
unreliable. (b) Overview of Introspective Adversarial Distillation (IAD): The student partially
trusts the teacher guidance and partially trusts self-introspection during adversarial distillation.
Speciﬁcally, the student model generates the adversarial data by itself and mimics the outputs of
the teacher model and itself partially in IAD. Note that, the concrete intuition about the student
introspection is referred to the analysis and the evidence in Figure 2 and Figure 3."
INTRODUCTION,0.07526881720430108,"robustness through ﬁne-tuning or transfer learning from adversarially pre-trained models. Goldblum
et al. (2020)and Chen et al. (2021) investigated distilling the robustness from adversarially pre-trained
models, termed as adversarial distillation for simplicity, where they encouraged student models to
mimic the outputs (i.e., soft labels) of the adversarially pre-trained teachers."
INTRODUCTION,0.07885304659498207,"However, one critical difference is: in the conventional distillation, the teacher model and the student
model share the natural training data; while in the adversarial distillation, the adversarial training
data of the student model and that of the teacher model are egocentric (respectively generated by
themselves) and becoming more adversarial challenging during training. Given this distinction, are the
soft labels acquired from the teacher model in adversarial distillation always reliable and informative
guidance? To answer this question, we take a closer look at the process of adversarial distillation. As
shown in Figure 1(a), we discover that along with the training, the teacher model progressively fails
to give a correct prediction for the adversarial data queried by the student model. The reason could
be that with the students being more adversarially robust and thus the adversarial data being harder, it
is too demanding to require the teachers become always good at every adversarial data queried by
the student model, as the teacher model has never seen these data in its pre-training. In contrast, for
the conventional distillation, student models are expected to distill the “static” knowledge from the
teacher model, since the soft labels for the natural data from the teacher model are always ﬁxed."
INTRODUCTION,0.08243727598566308,"The observation in Figure 1(a) raises the challenge: how to conduct reliable adversarial distillation
with unreliable teachers? To solve this problem, we can categorize the training data according to the
prediction on natural and student generated adversarial data into three cases. First, if the teacher model
can correctly classify both natural and adversarial data, it is reliable; Second, if the teacher model can
correctly classify the natural but not adversarial data, it should be partially trusted, and the student
model is suggested to trust itself to enhance model robustness as the adversarial regularization (Zhang
et al., 2019); Third, if the teacher model cannot correctly classify both natural and adversarial data,
the student model is recommended to trust itself totally. According to this intuition, we propose an
Introspective Adversarial Distillation (IAD) to effectively utilize the knowledge from an adversarially
pre-trained teacher model. The framework of our proposed IAD can be seen in Figure 1(b). Brieﬂy,
the student model is encouraged to partially instead of fully trust the teacher model, and gradually
trust itself more as being more adversarially robust. We conduct extensive experiments on the
benchmark CIFAR-10/CIFAR-100 and the more challenging Tiny-ImageNet datasets to evaluate the
efﬁciency of our IAD. The main contributions of our work can be summarized as follows."
INTRODUCTION,0.08602150537634409,"1. We take a closer look at adversarial distillation under the teacher-student paradigm. Con-
sidering adversarial robustness, we discover that the guidance from the teacher model is
progressively unreliable along with the adversarial training."
INTRODUCTION,0.08960573476702509,"2. We construct the reliable guidance for adversarial distillation by ﬂexibly utilizing the robust
knowledge from the teacher model: (a) if a teacher is good at adversarial data, its soft labels
can be fully trusted; (b) if a teacher is good at natural data but not adversarial data, its soft"
INTRODUCTION,0.0931899641577061,Published as a conference paper at ICLR 2022
INTRODUCTION,0.0967741935483871,"labels should be partially trusted and the student also takes its own soft labels into account;
(c) otherwise, the student only relies on its own soft labels."
