Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017857142857142857,"Adversarial examples pose a unique challenge for deep learning systems. Despite
recent advances in both attacks and defenses, there is still a lack of clarity and
consensus in the community about the true nature and underlying properties of ad-
versarial examples. A deep understanding of these examples can provide new in-
sights towards the development of more effective attacks and defenses. Driven by
the common misconception that adversarial examples are high-frequency noise,
we present a frequency-based understanding of adversarial examples, supported
by theoretical and empirical ﬁndings. Our analysis shows that adversarial ex-
amples are neither in high-frequency nor in low-frequency components, but are
simply dataset dependent. Particularly, we highlight the glaring disparities be-
tween models trained on CIFAR-10 and ImageNet-derived datasets. Utilizing this
framework, we analyze many intriguing properties of training robust models with
frequency constraints, and propose a frequency-based explanation for the com-
monly observed accuracy vs robustness trade-off."
INTRODUCTION AND BACKGROUND,0.0035714285714285713,"1
INTRODUCTION AND BACKGROUND"
INTRODUCTION AND BACKGROUND,0.005357142857142857,"Since the introduction of adversarial examples by Szegedy et al. (2014), there has been a curiosity
in the community around the nature and mechanisms of adversarial vulnerability. There exists an
ever-growing body of work focused on attacking neural networks starting with the simple FGSM
(Goodfellow et al., 2015), followed by the advanced PGD (Madry et al., 2018), a stronger C&W
attack (Carlini & Wagner, 2016), the sparser Deep Fool (Su et al., 2019) and recently even a pa-
rameter free Auto-Attack (Croce & Hein, 2020). These methods and algorithms are consistently
countered by the adversarial defense community, starting with distillation-based methods (Papernot
et al., 2016), logit-based approaches (Kannan et al., 2018), then moving on to the simple, yet pow-
erful PGD training (Madry et al., 2018), ensemble-based methods (Tram`er et al., 2018) and various
other schemes (Zhang et al., 2019; Xie et al., 2019). Despite the immense progress made by the
ﬁeld, there exist many unanswered questions and ambiguities regarding these methods and adver-
sarial examples themselves. Several works (Athalye et al., 2018; Kolter & Wong, 2018; Croce &
Hein, 2020; Carlini & Wagner, 2017) have raised doubts about the efﬁcacy of many methods and
have made appeals to the research community to be more vigilant and skeptical with new defenses."
INTRODUCTION AND BACKGROUND,0.007142857142857143,"Meanwhile, there exists a thriving research corpus dedicated to deeply studying and understanding
adversarial examples themselves. Ilyas et al. (2019) presented a feature-based analysis of adversarial
examples, while Jere et al. (2019) presented preliminary work on PCA-based analysis of adversarial
examples, which was followed up with Jere et al. (2020) offering a nuanced view of the same through
the lens of SVD. Ortiz-Jimenez et al. (2020) derive insights from the margins of classiﬁers."
INTRODUCTION AND BACKGROUND,0.008928571428571428,"Given the intriguing nature of adversarial examples, another way of examining them is through the
signal processing perspective of frequencies. Tsuzuku & Sato (2019) ﬁrst proposed a frequency
framework by studying the sensitivity of CNN’s for different Fourier bases. Yin et al. (2019) then
pursued a related direction where they explored the frequency properties of neural networks with
respect to additive noise. Abello et al. (2021) explore how the frequency properties of the image
itself affect the model’s outputs and robustness. Caro et al. (2021) studied whether convolution op-
erations themselves have an intrinsic frequency bias. Guo et al. (2019) came up with the ﬁrst variant
of adversarial attacks which target the low frequencies and Sharma et al. (2019) strengthened this
line of thought by showing that such attacks had a high success rate against adversarially defended"
INTRODUCTION AND BACKGROUND,0.010714285714285714,Under review as a conference paper at ICLR 2022
INTRODUCTION AND BACKGROUND,0.0125,"models. Deng & Karam (2020) proposed a method of generating adversarial attacks in the frequency
domain itself. Complementary to these, there have been efforts by Lorenz et al. (2021) and Wang
et al. (2020a) in detecting or mitigating adversarial examples by training in the frequency domain."
INTRODUCTION AND BACKGROUND,0.014285714285714285,"These works also analyzed the nature of adversarial examples under the purview of frequencies and
tried to arrive at an explanation for their nature. Wang et al. (2020b) hypothesized how CNNs ex-
ploit high frequency components, leading to less robust models, which is also the primary argument
for a class of pre-processing based defenses, e.g., those based on JPEG. Wang et al. (2020d) also had
arguments in support of this conjecture, based on their analysis on CIFAR-10 (Krizhevsky, 2009).
It is confounding that these results are at odds with the successful low frequency adversarial attacks
by Sharma et al. (2019) and raises the pertinent question: What is the true nature of adversarial
examples in the frequency domain? Our work challenges some pre-existing notions about the nature
of adversarial examples in the frequency domain and arrives at a more nuanced understanding that
is well rooted in theory and backed by extensive empirical observations spanning multiple datasets.
Some of our observations overlap with insights from the concurrent work by Bernhard et al. (2021)
and offers additional evidence in this ongoing debate. Based on these, we arrive at a new frame-
work that explains many properties of adversarial examples, through the lens of frequency analysis.
We also carry out the ﬁrst detailed analysis on the behaviour of frequency-constrained adversarial
training. Our key contributions can be summarized as follows:"
INTRODUCTION AND BACKGROUND,0.01607142857142857,"• We show that adversarial examples are neither high frequency nor low frequency phenom-
ena. It is more nuanced than this dichotomous explanation.
• We propose variations of adversarial training by coupling it with frequency-space analysis,
leading us to some intriguing properties of adversarial examples.
• We propose a new framework of frequency-based robustness analysis that also helps ex-
plain and control the accuracy vs˙robustness trade-off during adversarial training."
