Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011467889908256881,"As the insight of knowledge storage in language models deepens, the ability
1"
ABSTRACT,0.0022935779816513763,"to perform CRUD (Create, Read, Update, Delete) operations on language mod-
2"
ABSTRACT,0.0034403669724770644,"els becomes increasingly indispensable for satisfying the demands of managing
3"
ABSTRACT,0.0045871559633027525,"rapidly updating knowledge. Considering the high cost of fine-tuning language
4"
ABSTRACT,0.005733944954128441,"models, model editing methods with low cost are usually required to manipu-
5"
ABSTRACT,0.006880733944954129,"late models’ knowledge. Evident suggests that modules carrying knowledge in
6"
ABSTRACT,0.008027522935779817,"a Transformer module are primarily the MLP blocks, thus we propose iReVa, a
7"
ABSTRACT,0.009174311926605505,"method that explicitly initializes and retrofits key-value pairs into MLP blocks
8"
ABSTRACT,0.010321100917431193,"to construct a new mapping of a piece of knowledge without damaging the ir-
9"
ABSTRACT,0.011467889908256881,"relevant knowledge. In comparison to existing methods, iReVa reveals better
10"
ABSTRACT,0.01261467889908257,"interpretability and stronger capacity for carrying traceable edits. Experiment
11"
ABSTRACT,0.013761467889908258,"results on series of GPT series models show our prominent performance on edit
12"
ABSTRACT,0.014908256880733946,"success and generalization without influencing specificity. We also perform the
13"
ABSTRACT,0.016055045871559634,"first attempt at conducting knowledge withdrawal test of iReVa. Our codes are
14"
ABSTRACT,0.017201834862385322,"available at github.com/timberflow/iReVa.git.
15"
INTRODUCTION,0.01834862385321101,"1
Introduction
16"
INTRODUCTION,0.0194954128440367,"Language Models (LMs) [1] are becoming imperative tools for consulting in real-world scenarios.
17"
INTRODUCTION,0.020642201834862386,"One significant reason for the prevalence of LMs is their ability to answer factoid questions. For
18"
INTRODUCTION,0.021788990825688075,"example, when we ask an LM with the question “Who is president of America ?”, it returns the
19"
INTRODUCTION,0.022935779816513763,"answer “Joe Biden”. Even though a mass amount of knowledge is stored in the LMs, we still face the
20"
INTRODUCTION,0.02408256880733945,"issue of out-of-date and missing knowledge [2, 3]. Alternatively, some knowledge may change over
21"
INTRODUCTION,0.02522935779816514,"years and some domain-specific knowledge may be absent from the LMs.
22"
INTRODUCTION,0.026376146788990827,"To bridge the gap, the task of model editing is introduced to edit the knowledge in LMs, which
23"
INTRODUCTION,0.027522935779816515,"targets at conducting change to the parameters of LMs and inject certain knowledge to them [4]. The
24"
INTRODUCTION,0.028669724770642203,"difficulty of this task lies in the manipulation to the LMs, where the knowledge is implicitly stored in
25"
INTRODUCTION,0.02981651376146789,"dense vectors. A naive solution to model editing is fine-tuning a LM with the new knowledge, whereas
26"
INTRODUCTION,0.03096330275229358,"the cost is climbing with the surging size of LMs. More recent studies propose to directly update
27"
INTRODUCTION,0.03211009174311927,"the models’ weights in mastery phase [5, 6] via either teaching a hyper-network to learn the change
28"
INTRODUCTION,0.033256880733944956,"of the weights or locating-then-editing knowledge neurons [7, 8, 9, 10]. While the editing methods
29"
INTRODUCTION,0.034403669724770644,"above are efficient in updating knowledge in LMs, they encounter the difficulties of differentiating the
30"
INTRODUCTION,0.03555045871559633,"existing and new knowledge, which makes the editing hard to control. Methods like life-long model
31"
INTRODUCTION,0.03669724770642202,"editing [11], MELO [12], and T-Patcher [13] propose to learn the representation for new knowledge
32"
INTRODUCTION,0.03784403669724771,"and merge this information with the original models.
33"
INTRODUCTION,0.0389908256880734,"However, these methods still conform to the paradigm of learning the batch edit [13, 14] as a
34"
