Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0006207324643078833,"Label differential privacy (DP) is designed for learning problems with private labels
1"
ABSTRACT,0.0012414649286157666,"and public features. Although various methods have been proposed for learning
2"
ABSTRACT,0.00186219739292365,"under label DP, the theoretical limits remain unknown. The main challenge is to
3"
ABSTRACT,0.002482929857231533,"take infimum over all possible learners with arbitrary model complexity. In this
4"
ABSTRACT,0.0031036623215394167,"paper, we investigate the fundamental limits of learning with label DP under both
5"
ABSTRACT,0.0037243947858473,"central and local models. To overcome the challenge above, we derive new lower
6"
ABSTRACT,0.004345127250155183,"bounds on testing errors that are adaptive to the model complexity. Our analyses
7"
ABSTRACT,0.004965859714463066,"indicate that ϵ-local label DP only enlarges the sample complexity with respect to
8"
ABSTRACT,0.00558659217877095,"ϵ, without affecting the convergence rate over the sample size N, except the case
9"
ABSTRACT,0.006207324643078833,"with heavy-tailed label. Under the central model, the performance loss due to the
10"
ABSTRACT,0.006828057107386716,"privacy mechanism is further weakened, such that the additional sample complexity
11"
ABSTRACT,0.0074487895716946,"becomes negligible. Overall, our analysis validates the promise of learning under
12"
ABSTRACT,0.008069522036002483,"the label DP from a theoretical perspective and shows that the learning performance
13"
ABSTRACT,0.008690254500310366,"can be significantly improved by weakening the DP definition to only labels.
14"
INTRODUCTION,0.00931098696461825,"1
Introduction
15"
INTRODUCTION,0.009931719428926133,"Many modern machine learning tasks require sensitive training samples that need to be protected
16"
INTRODUCTION,0.010552451893234015,"from leakage [1]. As a standard approach for privacy protection, differential privacy (DP) [2] has
17"
INTRODUCTION,0.0111731843575419,"been extensively studied [3–9]. However, the learning performances under original DP definition
18"
INTRODUCTION,0.011793916821849782,"are usually far from satisfactory [10–13]. Therefore, researchers attempt to design weakened DP
19"
INTRODUCTION,0.012414649286157667,"requirements, under which the performances can be significantly improved, while still securing
20"
INTRODUCTION,0.01303538175046555,"sensitive information. Under such background, label DP has emerged in recent years [14], which
21"
INTRODUCTION,0.013656114214773432,"regards features as public, while only labels are sensitive and need to be protected. Such setting is
22"
INTRODUCTION,0.014276846679081317,"realistic in many applications, such as computational advertising [15], recommendation systems [16]
23"
INTRODUCTION,0.0148975791433892,"and medical diagnosis [17]. These tasks usually use some basic demographic information as features,
24"
INTRODUCTION,0.015518311607697082,"which can be far less sensitive.
25"
INTRODUCTION,0.016139044072004966,"Despite various approaches for learning with label DP [14, 18–21], the fundamental limits are
26"
INTRODUCTION,0.01675977653631285,"still unknown. An interesting question is: By weakening the DP definitions to only labels, how
27"
INTRODUCTION,0.01738050900062073,"much accuracy improvement is possible? From an information-theoretic perspective [22], the
28"
INTRODUCTION,0.018001241464928614,"underlying limits of statistical problems are characterized by the minimax lower bound, which takes
29"
INTRODUCTION,0.0186219739292365,"the supremum over all possible distributions from a general class, and infimum over all learners.
30"
INTRODUCTION,0.019242706393544383,"Deriving minimax lower bounds for learning under the label DP is challenging in two aspects. Firstly,
31"
INTRODUCTION,0.019863438857852266,"under label DP, each sample has both public (i.e. the feature) and private (i.e. the label) components.
32"
INTRODUCTION,0.020484171322160148,"Directly applying the methods for original DP [23–27] treats all components as private, and thus does
33"
