Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002638522427440633,"We introduce a new constrained optimization method for policy gradient rein-
forcement learning, which uses two trust regions to regulate each policy update.
In addition to using the proximity of one single old policy as the ﬁrst trust region
as done by prior works, we propose to form a second trust region through the
construction of another virtual policy that represents a wide range of past poli-
cies. We then enforce the new policy to stay closer to the virtual policy, which is
beneﬁcial in case the old policy performs badly. More importantly, we propose a
mechanism to automatically build the virtual policy from a memory buffer of past
policies, providing a new capability for dynamically selecting appropriate trust re-
gions during the optimization process. Our proposed method, dubbed as Memory-
Constrained Policy Optimization (MCPO), is examined on a diverse suite of en-
vironments including robotic locomotion control, navigation with sparse rewards
and Atari games, consistently demonstrating competitive performance against re-
cent on-policy constrained policy gradient methods."
INTRODUCTION,0.005277044854881266,"1
INTRODUCTION"
INTRODUCTION,0.0079155672823219,"Reinforcement learning (RL) combined with neural networks is the current workhorse in machine
learning. Using neural networks to approximate value and policy functions enables classical ap-
proaches such as Q-learning and policy gradient to achieve promising results on many challenging
problems such as Go, Atari games and robotics (Silver et al., 2017; Mnih et al., 2015; Lillicrap
et al., 2016; Mnih et al., 2016). Compared to Deep Q-learning, deep policy gradient (PG) methods
are often more ﬂexible and applicable to both discrete and continuous action problems. However,
these methods tend to suffer from high sample complexity and training instability since the gradient
may not accurately reﬂect the policy gain when the policy changes substantially (Kakade & Lang-
ford, 2002). This is exacerbated for deep policy networks where numerous parameters need to be
optimized and small updates in parameter space can lead to huge changes in policy space."
INTRODUCTION,0.010554089709762533,"To address this issue, one solution is to regularize each policy update by restricting the Kullback–
Leibler (KL) divergence between the new policy and the previous one, which can guarantee mono-
tonic policy improvement (Schulman et al., 2015a). However, jointly optimizing the approximate
advantage function and the KL term does not work in practice. Therefore, Schulman et al. (2015a)
proposed Trust Region Policy Optimization (TRPO) to constrain the new policy within a KL di-
vergence radius, which requires second-order gradients. Alternatives such as Proximal Policy Op-
timization (PPO) (Schulman et al., 2017) use a simpler ﬁrst-order optimization with adaptive KL
or clipped surrogate objective while still maintaining the reliable performance of TRPO. Recent
methods recast the problem through a new lens using Expectation-Maximization or Mirror Descent
Optimization, and this also results in ﬁrst-order optimization with KL divergence term in the loss
function (Abdolmaleki et al., 2018; Song et al., 2019; Yang et al., 2019; Tomar et al., 2020)."
INTRODUCTION,0.013192612137203167,"An issue with the above methods is that the previous policy used to restrict the new policy may
be suboptimal and thus unreliable in practice. For example, due to stochasticity and imperfect ap-
proximations, consider that the new policy may fall into a local optimum even under trust-region
optimizations. Then in the next update, this policy will become the “previous” policy, and will con-
tinue pulling the next policy to stay in the local optimum, thus slowing down the training progress.
For on-policy methods using mini-batch updates like PPO, the situation is more complicated as the
“previous” policy is deﬁned as the old policy that was used to collect data, which can be either very
far or close to the current policy. There is no guarantee that the old policy deﬁnes a reasonable trust
region for regulating the new policy."
INTRODUCTION,0.0158311345646438,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.018469656992084433,"In this paper, we propose a novel constrained policy iteration procedure, dubbed as Memory-
Constrained Policy Optimization (MCPO), wherein a virtual policy representing past policies takes
part in regularizing each policy update. The virtual and the old policy together form two trust re-
gions that attract the new policy by minimizing two KL divergences. The virtual policy is designed
to complement the old policy, attracting the new policy more when the old policy performs badly.
As such, we assign different coefﬁcient weights to the two KL terms. The coefﬁcient weights are
computed dynamically based on the performance of the two policies (the higher performer yields
higher coefﬁcient weights). To create the virtual policy, we maintain a memory buffer of past poli-
cies, from which we build a mixture of policies. In particular, we use a neural network–named the
attention network, which takes the context surrounding the current, the old and the virtual policy,
to generate the attention weights to each policy in the memory. Then, we use the attention weights
to perform a convex combination of the parameters of each policy, forming the virtual policy. The
attention network is optimized to maximize the approximate expected advantages of the virtual pol-
icy. To train our system, we jointly optimize the policy and attention networks, alternating between
sampling data from the policy and updating the networks in a mini-batch manner."
INTRODUCTION,0.021108179419525065,"We verify our proposed MCPO through a diverse set of experiments and compare ours with the per-
formance of recent constrained policy optimization baselines. In our experiment on classical control
tasks, amongst tested models, MCPO shows minimal sensitivity to hyperparameter changes, con-
sistently achieving good performance across tasks and hyperparameters. Our testbed on 6 Mujoco
tasks shows that MCPO with a big policy memory consistently outperforms others where the atten-
tion network plays an important role. We also demonstrate MCPO’s capability of learning efﬁciently
on sparse reward and high-dimensional problems such as navigation and Atari games. Finally, our
ablation study highlights the necessity of each component in MCPO."
INTRODUCTION,0.023746701846965697,"2
BACKGROUND: POLICY OPTIMIZATION WITH TRUST REGION"
