Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0016339869281045752,"Based on the central dogma that protein structure determines its functionality, an
1"
ABSTRACT,0.0032679738562091504,"important approach for protein sequence design is to identify promising sequences
2"
ABSTRACT,0.004901960784313725,"that fold into pre-designed structures based on domain knowledge. Numerous stud-
3"
ABSTRACT,0.006535947712418301,"ies have introduced deep generative model-based inverse-folding, which utilizes
4"
ABSTRACT,0.008169934640522876,"various generative models to translate fixed backbones to corresponding sequences.
5"
ABSTRACT,0.00980392156862745,"In this work, we reveal that denoising training enables models to deeply capture
6"
ABSTRACT,0.011437908496732025,"the protein energy landscape, which previous models do not fully leverage. Based
7"
ABSTRACT,0.013071895424836602,"on this, we propose a novel Denoising-enhanced protein fixed backbone design
8"
ABSTRACT,0.014705882352941176,"(DNDesign), which combines conventional inverse-folding networks with a novel
9"
ABSTRACT,0.016339869281045753,"plug-in module, which learns the physical understanding via denoising training
10"
ABSTRACT,0.017973856209150325,"and transfers the knowledge to the entire network. Through extensive experiments,
11"
ABSTRACT,0.0196078431372549,"we demonstrate that DNDesign can easily be integrated into state-of-the-art models
12"
ABSTRACT,0.021241830065359478,"and improve performance in multiple modes, including auto-regressive, non-auto-
13"
ABSTRACT,0.02287581699346405,"regressive, and scaled-up scenarios. Furthermore, we introduce a fixed backbone
14"
ABSTRACT,0.024509803921568627,"conservation analysis based on potential energy changes, which confirms that
15"
ABSTRACT,0.026143790849673203,"DNDesign ensures more energetically favorable inverse-folding.
16"
INTRODUCTION,0.027777777777777776,"1
Introduction
17"
INTRODUCTION,0.029411764705882353,"Proteins play a crucial role in various biological processes, serving as the primary components of
18"
INTRODUCTION,0.03104575163398693,"cellular machinery and exhibiting specific functionalities based on their three-dimensional structures.
19"
INTRODUCTION,0.032679738562091505,"Therefore, designing unique protein sequences that fold into the pre-designed structures to have
20"
INTRODUCTION,0.03431372549019608,"targeted functionality is of great importance in various biological applications, including pharmaceu-
21"
INTRODUCTION,0.03594771241830065,"ticals, biofuels, biosensors, and agriculture [1, 2, 3, 4, 5]. Mutagenesis aided with high-throughput
22"
