Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0016286644951140066,"Ofﬂine reinforcement learning (RL) shows promise of applying RL to real-world
problems by effectively utilizing previously collected data. Most existing ofﬂine
RL algorithms use regularization or constraints to suppress extrapolation error for
actions outside the dataset. In this paper, we adopt a different framework, which
learns the V -function instead of the Q-function to naturally keep the learning pro-
cedure within the ofﬂine dataset. To enable effective generalization while main-
taining proper conservatism in ofﬂine learning, we propose Expectile V -Learning
(EVL), which smoothly interpolates between the optimal value learning and be-
havior cloning. Further, we introduce implicit planning along ofﬂine trajectories
to enhance learned V -values and accelerate convergence. Together, we present
a new ofﬂine method called Value-based Episodic Memory (VEM). We provide
theoretical analysis for the convergence properties of our proposed VEM method,
and empirical results in the D4RL benchmark show that our method achieves su-
perior performance in most tasks, particularly in sparse-reward tasks. Our code is
public online at https://github.com/YiqinYang/VEM."
INTRODUCTION,0.003257328990228013,"1
INTRODUCTION"
INTRODUCTION,0.004885993485342019,"Despite the great success of deep reinforcement learning (RL) in various domains, most current al-
gorithms rely on interactions with the environment to learn through trial and error. In real-world
problems, particularly in risky and safety-crucial scenarios, interactions with the environment can
be expensive and unsafe, and only ofﬂine collected datasets are available, such as the expert demon-
stration or previously logged data. This growing demand has led to the emergence of ofﬂine rein-
forcement learning (ofﬂine RL) to conduct RL in a supervised manner."
INTRODUCTION,0.006514657980456026,"The main challenge of ofﬂine RL comes from the actions out of the dataset’s support (Kumar et al.,
2019; 2020). The evaluation of these actions that do not appear in the dataset relies on the gener-
alization of the value network, which may exhibit extrapolation error (Fujimoto et al., 2019). This
error can be magniﬁed through bootstrapping, leading to severe estimation errors. A rapidly devel-
oping line of recent work (Fujimoto et al., 2019; Kumar et al., 2020; Ghasemipour et al., 2021; Yang
et al., 2021) utilizes various methods to constrain optimistic estimation on unseen actions, such as
restricting available actions with a learned behavior model (Fujimoto et al., 2019) or penalizing the
unseen actions with additional regularization (Kumar et al., 2020). However, conﬁning learning
within the distribution of the dataset can be insufﬁcient for reducing extrapolation errors."
INTRODUCTION,0.008143322475570033,"Another line of methods, on the contrary, uses the returns of the behavior policy as the signal for
policy learning, as adopted in Wang et al. (2018); Peng et al. (2019); Chen et al. (2020). By doing
so, they keep the value learning procedure completely within the dataset. However, the behavior
policy of the dataset can be imperfect and insufﬁcient to guide policy learning. To achieve a trade-
off between imitation learning and optimal value learning while conﬁnes learning within the dataset,"
INTRODUCTION,0.009771986970684038,"*Equal contribution. Listing order is random.
†Equal advising."
INTRODUCTION,0.011400651465798045,Published as a conference paper at ICLR 2022
INTRODUCTION,0.013029315960912053,"Trajs
0
1
2
3
…
T-1
T
Trans
Value"
INTRODUCTION,0.014657980456026058,"Memory
Episodic Memory"
INTRODUCTION,0.016286644951140065,Regularization/
INTRODUCTION,0.017915309446254073,Constraint
INTRODUCTION,0.019543973941368076,"Q-based Offline RL
V-based Episodic Memory"
INTRODUCTION,0.021172638436482084,"Improvement
Improvement"
INTRODUCTION,0.02280130293159609,Expectile V-Learning
INTRODUCTION,0.024429967426710098,"Update Memory
Evaluation
Update Target"
INTRODUCTION,0.026058631921824105,"Figure 1: The diagram of algorithms. The left side denotes the general Q-based ofﬂine RL methods.
The right side is the framework of our proposed approach (VEM). Q-based methods learns boot-
strapped Q-values, but requires additional constraint or penalty for actions out of the dataset. Our
method, on the contrary, learns bootstrapped V -values while being completely conﬁned within the
dataset without any regularization."
INTRODUCTION,0.02768729641693811,"we propose Expectile V -learning (EVL), which is based on a new expectile operator that smoothly
interpolates between the Bellman expectation operator and optimality operator."
