Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002680965147453083,"Though recent works have developed methods that can generate estimates (or im-
putations) of the missing entries in a dataset to facilitate downstream analysis, most
depend on assumptions that may not align with real-world applications and could
suffer from poor performance in subsequent tasks such as classiﬁcation. This is par-
ticularly true if the data have large missingness rates or a small sample size. More
importantly, the imputation error could be propagated into the prediction step that
follows, which may constrain the capabilities of the prediction model. In this work,
we introduce the gradient importance learning (GIL) method to train multilayer
perceptrons (MLPs) and long short-term memories (LSTMs) to directly perform
inference from inputs containing missing values without imputation. Speciﬁcally,
we employ reinforcement learning (RL) to adjust the gradients used to train these
models via back-propagation. This allows the model to exploit the underlying infor-
mation behind missingness patterns. We test the approach on real-world time-series
(i.e., MIMIC-III), tabular data obtained from an eye clinic, and a standard dataset
(i.e., MNIST), where our imputation-free predictions outperform the traditional
two-step imputation-based predictions using state-of-the-art imputation methods."
INTRODUCTION,0.005361930294906166,"1
INTRODUCTION"
INTRODUCTION,0.00804289544235925,"We consider learning from incomplete datasets. Components of the data could be missing for various
reasons, for instance, missing responses from participants, data loss, and restricted access issues. This
phenomenon is prevalent in the healthcare domain, mostly in the context of electronic health records
(EHRs), which are structured as patient-speciﬁc irregular timelines with attributes, e.g., diagnosis,
laboratory tests, vitals, thus resulting in high missingness across patients for any arbitrary time
point. Such missingness introduces difﬁculties when developing models and performing inference in
real-world applications such as Kam & Kim (2017); Scherpf et al. (2019). Existing works tackle
this problem by either proposing imputation algorithms (IAs) to explicitly produce estimates of the
missing data, or by imposing imputation objectives during inference, e.g., withholding observed
values as being the ground-truth and learning to impute them. However, some of these either require
additional modeling assumptions for the underlying distributions (Bashir & Wei, 2018; Fortuin et al.,
2020), or formatting of the data (Yu et al., 2016; Schnabel et al., 2016). Other applications depend on
domain knowledge for pre-processing and modeling such as Yang et al. (2018); Kam & Kim (2017),
or introduce additional information-based losses (Cao et al., 2018; Lipton et al., 2016), which are
usually intractable with real-world data. Moreover, generative methods (Mattei & Frellsen, 2019;
Yoon et al., 2018) could result in imputations with high variation (e.g., low conﬁdence of the output
distribution), when data have high missingness rates or small sample sizes. Figure 1 illustrates
imputations generated by two state-of-the-art deep generative models on the MNIST dataset with
50%, 70% and 90% of the pixels set as missing (i.e., masked out). It is observed that both approaches
suffer from inaccurate reconstruction of the original digits as the missingness rate increases, which
is manifested as some of the imputed images not being recognizable as digits. Importantly, the
error introduced by the imputation process can be further propagated into downstream inference and
prediction stages."
INTRODUCTION,0.010723860589812333,"Imputing the missing data (either explicitly or implicitly) is, in most cases, not necessary, more so,
considering that sometimes where and when the data are missing can be intrinsically informative."
INTRODUCTION,0.013404825737265416,"∗Duke University, USA. Contact: {qitong.gao, miroslav.pajic}@duke.edu.
†King Abdullah University of Science and Technology, Saudi Arabia.
Code available at https://github.com/gaoqitong/gradient-importance-learning."
INTRODUCTION,0.0160857908847185,Published as a conference paper at ICLR 2022
INTRODUCTION,0.01876675603217158,"Consider a scenario in which two patients, A and B, admitted to the intensive care unit (ICU) suffer
from bacterial and viral infections, respectively, and assume that the healthcare provider monitors the
status of the patients by ordering two (slightly) different blood tests periodically, namely, a culture
test/panel speciﬁc to bacterial infections and a RT-PCR test/panel speciﬁc to viral infections. Hence,
patient A is likely to have much fewer orders (and results) for viral tests. In both cases, the missingness
patterns are indicative of the underlying condition of both patients. Moreover, such patterns are
more commonly found in incomplete data caused by missing at random (MAR) or missing not at
random (MNAR) mechanisms, which usually introduce additional difﬁculties for inference (Little &
Rubin, 2019). Inspired by this, we propose the gradient importance learning (GIL) method, which
facilitates an imputation-free learning framework for incomplete data by simultaneously leveraging
the observed data and the information underlying missingness patterns."
INTRODUCTION,0.021447721179624665,"Figure 1: MNIST digits imputed by state-of-the-art
imputation methods MIWAE (Mattei & Frellsen,
2019), GAIN (Yoon et al., 2018)."
INTRODUCTION,0.024128686327077747,"Speciﬁcally, we propose to use an importance
matrix to weight the gradients that are used
to update the model parameters in the back-
propagation process, after the computational
graph of the model is settled, which allows
the model to exploit the information underly-
ing missingness without imputation. However,
these gradients cannot be tracked by automated
differentiation tools such as Tensorﬂow (Abadi
et al., 2016). So motivated, we propose to gener-
ate the importance matrix using a reinforcement
learning (RL) policy on-the-ﬂy. This is done by
conditioning on the status of training procedure
characterized by the model parameters, inputs and model performance at the current training step.
Concurrently, RL algorithms are used to update the policy by ﬁrst modeling the back-propagation
process as an RL environment, or a Markov decision process (MDP). Then, by interacting with the
environment, the RL algorithm can learn the optimal policy so the importance matrix can aid the
training of the prediction models to attain desirable performance. Moreover, we also show that our
framework can be augmented with feature learning techniques, e.g., contrastive learning as in Chen
et al. (2020), which can further improve the performance of the proposed imputation-free models."
INTRODUCTION,0.02680965147453083,"The technical contributions of this work can be summarized as follows: (i) to the best of our
knowledge, this is the ﬁrst work that trains deep learning (DL) models to perform accurate imputation-
free predictions with missing inputs. This allows models to effectively handle high missing rates, while
signiﬁcantly reducing the prediction error compared to existing imputation-prediction frameworks.
(ii) Unlike existing approaches that require additional modeling assumptions or that rely on methods
(or pre-existing knowledge) that intrinsically have advantages over speciﬁc types of data, our method
does not require any assumptions or domain expertise. Consequently, it can consistently achieve top
performance over a variety of data and under different conditions. (iii) The proposed framework
also facilitates feature learning from incomplete data, as the importance matrix can guide the hidden
layers of the model to capture information underlying missingness patterns during training, which
results in more expressive features, as illustrated in Figure 3."
INTRODUCTION,0.029490616621983913,"2
GRADIENT IMPORTANCE LEARNING (GIL)"
INTRODUCTION,0.032171581769437,Figure 2: Overview of the GIL framework.
INTRODUCTION,0.03485254691689008,"In this section, we introduce GIL; a method that
facilitates training of imputation-free prediction
models with incomplete data. In Section 2.2, we
show how the gradient descent directions can
be adjusted using the importance matrix A. In
Section 2.3, we introduce an RL framework to
generate the elements of A which can leverage
the information underlying missingness during
training, as illustrated in Figure 2."
PROBLEM FORMULATION,0.03753351206434316,"2.1
PROBLEM FORMULATION
We consider a dataset containing N observations X = (X1, X2, . . . , XN) where each Xj can be
represented by a vector xj ∈Rd (for tabular data) or a matrix Xj ∈RTj×d (for time-series) with"
PROBLEM FORMULATION,0.040214477211796246,Published as a conference paper at ICLR 2022
PROBLEM FORMULATION,0.04289544235924933,"Tj denoting the time horizon of the sequence Xj. Since the focus of this work is principally on
time-series data, recurrent neural networks will receive signiﬁcant attention. We also deﬁne the set
of missing indicators M = (M1, M2, . . . , MN), where Mj = mj ∈{0, 1}d or Mj ∈{0, 1}Tj×d
depending on the dimension of Xj, and 0’s (or 1’s) correspond to the entries in Xj that are missing
(or not missing), respectively. Finally, we assume that each Xj is associated with some label yj ∈Y;
thus Y = (y1, y2, . . . , yN) denotes the set of labels. We deﬁne the problem as learning a model
parameterized by W to directly predict yj by generating ˆyj that maximizes the log-likelihood
PN
j=1 log p(ˆyj|Xj, Mj, W), without imputing the missing values in Xj."
