Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002352941176470588,"Current multimodal Large Language Models (MLLMs) suffer from “hallucina-
tion”, occasionally generating responses that are not grounded in the input images.
To tackle this challenge, one promising path is to utilize reinforcement learning
from human feedback (RLHF), which steers MLLMs towards learning superior
responses while avoiding inferior ones. We rethink the common practice of using
binary preferences (i.e., superior, inferior), and find that adopting multi-level pref-
erences (e.g., superior, medium, inferior) is better for two benefits: 1) It narrows
the gap between adjacent levels, thereby encouraging MLLMs to discern subtle
differences. 2) It further integrates cross-level comparisons (beyond adjacent-level
comparisons), thus providing a broader range of comparisons with hallucination ex-
amples. To verify our viewpoint, we present the Automated Multi-level Preference
(AMP) framework for MLLMs. To facilitate this framework, we first develop an
automated dataset generation pipeline that provides high-quality multi-level prefer-
ence datasets without any human annotators. Furthermore, we design the Multi-
level Direct Preference Optimization (MDPO) algorithm to robustly conduct com-
plex multi-level preference learning. Additionally, we propose a new hallucination
benchmark, MRHal-Bench. Extensive experiments across public hallucination and
general benchmarks, as well as our MRHal-Bench, demonstrate the effectiveness of
our proposed method. Code is available at https://github.com/takomc/amp."
INTRODUCTION,0.004705882352941176,"1
Introduction"
INTRODUCTION,0.007058823529411765,"Multimodal Large Language Models (MLLMs) [1, 2, 3, 4, 5, 6] have achieved remarkable advance-
ment in vision-language understanding tasks, e.g., vision question answering [7], image captioning [8],
and human-machine conversation. Despite MLLMs achieving significant breakthroughs, they still
suffer from hallucinations [9, 10], referring to responses that are not accurately anchored to the
context provided by images. This problem shrinks the performance of MLLMs and draws consid-
erable research attention. To mitigate the hallucinations, some existing methods [11, 12, 13, 14]
adopt Reinforcement Learning from Human Feedback (RLHF) methods, which collect human/AI
preferences and integrate them into the MLLMs optimization process via reinforcement learning."
INTRODUCTION,0.009411764705882352,"Existing RLHF methods have demonstrated that comparing superior and inferior responses within a
binary-level preference framework can improve the performance of optimized MLLMs. However,
Is a single comparison between superior and inferior responses sufficient for preference learning
in MLLMs? Upon consideration, we find that a multi-level preference framework offers greater
benefits for preference learning, primarily due to two main intuitive advantages. Firstly, reducing
the gap between adjacent levels helps mitigate the challenge of distinguishing micro hallucinations
in responses. As depicted in Fig. 1, in the baseline method (i.e., binary preference), significant
differences exist between the superior response A and the inferior response C. By introducing an
additional medium response and shifting the focus to multiple comparisons between adjacent levels"
INTRODUCTION,0.011764705882352941,∗Corresponding author
INTRODUCTION,0.01411764705882353,"Describe this image in detail.
(a) Baseline of RLHF 
(b) Reduce the gap
(c) Cross-level Comparison
Multi-level Preference Dataset A C"
INTRODUCTION,0.01647058823529412,"Final MLLM
Final MLLM
Final MLLM
Final MLLM
Final MLLM
Final MLLM"
INTRODUCTION,0.018823529411764704,"Three people...blue and black bus. One person 
with a yellow jacket...digital display shows T28 
and end destination, which is not fully legible..."
INTRODUCTION,0.021176470588235293,"A  Three people...blue and black bus. One person 
with a yellow jacket...digital display shows T28 
and end destination, which is not fully legible... A"
