Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0038910505836575876,"Graph Neural Networks (GNNs) are gaining extensive attention for their appli-
cation in graph data. However, the black-box nature of GNNs prevents users
from understanding and trusting the models, thus hampering their applicabil-
ity. Whereas explaining GNNs remains a challenge, most existing methods fall
into approximation based and perturbation based approaches with suffer from
faithfulness problems and unnatural artifacts, respectively. To tackle these prob-
lems, we propose DEGREE (Decomposition based Explanation for GRaph nEural
nEtworks) to provide a faithful explanation for GNN predictions. By decompos-
ing the information generation and aggregation mechanism of GNNs, DEGREE
allows tracking the contributions of specific components of the input graph to the
final prediction. Based on this, we further design a subgraph level interpretation
algorithm to reveal complex interactions between graph nodes that are overlooked
by previous methods. The efficiency of our algorithm can be further improved
by utilizing GNN characteristics. Finally, we conduct quantitative and qualitative
experiments on synthetic and real-world datasets to demonstrate the effectiveness
of DEGREE on node classification and graph classification tasks."
INTRODUCTION,0.007782101167315175,"1
INTRODUCTION"
INTRODUCTION,0.011673151750972763,"Graph Neural Networks (GNNs) play an important role in modeling data with complex relational
information (Zhou et al., 2018), which is crucial in applications such as social networking (Fan et al.,
2019), advertising recommendation (Liu et al., 2019), drug generation (Liu et al., 2020), and agent
interaction (Casas et al., 2019). However, GNN suffers from its black-box nature and lacks a faithful
explanation of its predictions."
INTRODUCTION,0.01556420233463035,"Recently, several approaches have been proposed to explain GNNs. Some of them leverage gra-
dient or surrogate models to approximate the local model around the target instance (Huang et al.,
2020; Baldassarre & Azizpour, 2019; Pope et al., 2019). Some other methods borrow the idea from
perturbation based explanation (Ying et al., 2019; Luo et al., 2020; Lucic et al., 2021), under the
assumption that removing the vital information from input would significantly reduce output con-
fidence. However, approximation based methods do not guarantee the fidelity of the explanation
obtained, as Rudin (2019) states that a surrogate that mimics the original model possibly employs
distinct features. On the other hand, perturbation based approaches may trigger the adversarial na-
ture of deep models. Chang et al. (2018) reported this phenomenon where masking some parts of
the input image introduces unnatural artifacts. Additionally, additive feature attribution methods (Vu
& Thai, 2020; Lundberg & Lee, 2017) such as gradient based methods and GNNExplainer only pro-
vide a single heatmap or subgraph as explanation. The nodes in graph are usually semantically
individual and we need a fine-grained explanation to the relationships between them. For example,
in organic chemistry, the same functional group combined with different structures can exhibit very
different properties."
INTRODUCTION,0.019455252918287938,"To solve the above problems, we propose DEGREE (Decomposition based Explanation for GRaph
nEural nEtworks) , which measures the contribution of components in the input graph to the GNN
prediction. Specifically, we first summarize the intuition behind the Context Decomposition (CD)"
INTRODUCTION,0.023346303501945526,Published as a conference paper at ICLR 2022
INTRODUCTION,0.027237354085603113,"algorithm (Murdoch et al., 2018) and propose that the information flow in GNN’s message prop-
agation mechanism is decomposable. Then we design the decomposition schemes for the most
commonly used layers and operations in GNNs, so as to isolate the information flow from distinct
node groups. Furthermore, we explore the subgraph-level explanation via an aggregation algorithm
that utilizes DEGREE and the structural information of the input graph to construct a series of sub-
graph sets as the explanation. DEGREE guarantees explanation fidelity by directly analyzing GNN
feed-forward propagation, instead of relying on input perturbation or the use of alternative models.
DEGREE is non-additive and can therefore uncover non-linear relationships between nodes. We
quantitatively and qualitatively evaluate the DEGREE on both synthetic and real-world datasets to
validate the effectiveness of our method. The contributions of this work are summarized as follows:"
INTRODUCTION,0.0311284046692607,"• We propose a new explanation method (DEGREE) for GNNs, from the perspective of decompo-
sition. By elucidating the feed-forward propagation mechanism within GNN, DEGREE allows
capturing the contribution of individual components of the input graph to the final prediction.
• We propose an aggregation algorithm that provides important subgraphs as explanation in order
to mine the complex interactions between graph components. We combine the property of the
message propagation mechanism to further reduce the computation.
• We evaluate DEGREE on both synthetic and real-world datasets. The quantitative experiments
show that our method could provide faithful explanations. The qualitative experiments indicate
that our method may capture the interaction between graph components."
RELATED WORK,0.03501945525291829,"2
RELATED WORK"
RELATED WORK,0.038910505836575876,"Despite the great success in various applications, the black-box nature of deep models has long been
criticized. Explainable Artificial Intelligence (XAI) tries to bridge the gap by understanding the
internal mechanism of deep models (Du et al., 2019). Meanwhile, the need to tackle non-Euclidean
data, such as geometric information, social networks, has given rise to the development of GNNs.
Similar to the tasks on image or text data, GNNs focus on node classification (Henaff et al., 2015),
graph classification (Xu et al., 2018; Zhang et al., 2018), and link prediction (Zhang & Chen, 2018;
Cai & Ji, 2020). Message passing mechanism allows the information to flow from one node to
another along edges, and empowers GNNs with convolutional capabilities for graph data."
