Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0011806375442739079,"Model-free reinforcement learning algorithms can compute policy gradients given
sampled environment transitions, but require large amounts of data. In contrast,
model-based methods can use the learned model to generate new data, but model
errors and bias can render learning unstable or suboptimal. In this paper, we present
a novel method that combines real-world data and a learned model in order to get
the best of both worlds. The core idea is to exploit the real-world data for on-
policy predictions and use the learned model only to generalize to different actions.
Speciﬁcally, we use the data as time-dependent on-policy correction terms on top of
a learned model, to retain the ability to generate data without accumulating errors
over long prediction horizons. We motivate this method theoretically and show that
it counteracts an error term for model-based policy improvement. Experiments on
MuJoCo- and PyBullet-benchmarks show that our method can drastically improve
existing model-based approaches without introducing additional tuning parameters."
INTRODUCTION,0.0023612750885478157,"1
INTRODUCTION"
INTRODUCTION,0.0035419126328217238,"Model-free reinforcement learning (RL) has made great advancements in diverse domains such as
single- and multi-agent game playing (Mnih et al., 2015; Silver et al., 2016; Vinyals et al., 2019),
robotics (Kalashnikov et al., 2018), and neural architecture search (Zoph & Le, 2017). All of these
model-free approaches rely on large numbers of interactions with the environment to ensure successful
learning. While this issue is less severe for environments that can easily be simulated, it limits the
applicability of model-free RL to (real-world) domains where data is scarce."
INTRODUCTION,0.004722550177095631,"Model-based RL (MBRL) reduces the amount of data required for policy optimization by approximat-
ing the environment with a learned model, which we can use to generate simulated state transitions
(Sutton, 1990; Racanière et al., 2017; Moerland et al., 2020). While early approaches on low-
dimensional tasks by Schneider (1997); Deisenroth & Rasmussen (2011) used probabilistic models
with closed-form posteriors, recent methods rely on neural networks to scale to complex tasks on
discrete (Kaiser et al., 2020) and continuous (Chua et al., 2018; Kurutach et al., 2018) action spaces.
However, the learned representation of the true environment always remains imperfect, which intro-
duces approximation errors to the RL problem (Atkeson & Santamaria, 1997; Abbeel et al., 2006).
Hence, a key challenge in MBRL is model-bias; small errors in the learned models that compound
over multi-step predictions and lead to lower asymptotic performance than model-free methods."
INTRODUCTION,0.0059031877213695395,"To address these challenges with both model-free and model-based RL, Levine & Koltun (2013);
Chebotar et al. (2017) propose to combine the merits of both. While there are multiple possibilities to"
INTRODUCTION,0.0070838252656434475,∗Work done partially while at the Bosch Center for Artiﬁcial Intelligence.
INTRODUCTION,0.008264462809917356,Published as a conference paper at ICLR 2022
INTRODUCTION,0.009445100354191263,"combine the two methodologies, in this work we focus on improving the model’s predictive state
distribution such that it more closely resembles the data distribution of the true environment."
INTRODUCTION,0.010625737898465172,"Contributions
The main contribution of this paper is on-policy corrections (OPC), a novel
hyperparameter-free methodology that uses on-policy transition data on top of a separately learned
model to enable accurate long-term predictions for MBRL. A key strength of our approach is that it
does not introduce any new parameters that need to be hand-tuned for speciﬁc tasks. We theoretically
motivate our approach by means of a policy improvement bound and show that we can recover the
true state distribution when generating trajectories on-policy with the model. We illustrate how OPC
improves the quality of policy gradient estimates in a simple toy example and evaluate it on various
continuous control tasks from the MuJoCo control suite and their PyBullet variants. There, we
demonstrate that OPC improves current state-of-the-art MBRL algorithms in terms of data-efﬁciency,
especially for the more difﬁcult PyBullet environments."
INTRODUCTION,0.011806375442739079,"Related Work
To counteract model-bias, several approaches combine ideas from model-free and
model-based RL. For example, Levine & Koltun (2013) guide a model-free algorithm via model-
based planning towards promising regions in the state space, Kalweit & Boedecker (2017) augment
the training data by an adaptive ratio of simulated transitions, Talvitie (2017) use ‘hallucinated’
transition tuples from simulated to observed states to self-correct the model, and Feinberg et al.
(2018); Buckman et al. (2018) use a learned model to improve the value function estimate. Janner
et al. (2019) mitigate the issue of compounding errors for long-term predictions by simulating short
trajectories that start from real states. Cheng et al. (2019) extend ﬁrst-order model-free algorithms
via adversarial online learning to leverage prediction models in a regret-optimal manner. Clavera
et al. (2020) employ a model to augment an actor-critic objective and adapt the planning horizon to
interpolate between a purely model-based and a model-free approach. Morgan et al. (2021) combine
actor-critic methods with model-predictive rollouts to guarantee near-optimal simulated data and
retain exploration on the real environment. A downside of most existing approaches is that they
introduce additional hyperparameters that are critical to the learning performance (Zhang et al., 2021)."
INTRODUCTION,0.012987012987012988,"In addition to empirical performance, recent work builds on the theoretical guarantees for model-free
approaches by Kakade & Langford (2002); Schulman et al. (2015) to provide guarantees for MBRL.
Luo et al. (2019) provide a general framework to show monotonic improvement towards a local
optimum of the value function, while Janner et al. (2019) present a lower-bound on performance
for different rollout schemes and horizon lengths. Yu et al. (2020) show guaranteed improvement in
the ofﬂine MBRL setting by augmenting the reward with an uncertainty penalty, while Clavera et al.
(2020) present improvement guarantees in terms of the model’s and value function’s gradient errors."
INTRODUCTION,0.014167650531286895,"Moreover, Harutyunyan et al. (2016) propose a similar correction term as the one introduced in this
paper in the context of off-policy policy evaluation and correct the state-action value function instead
of the transition dynamics. Similarly, Fonteneau et al. (2013) consider the problem of off-policy
policy evaluation but in the batch RL setting and propose to generate ‘artiﬁcial’ trajectories from
observed transitions instead of using an explicit model for the dynamics."
INTRODUCTION,0.015348288075560802,"A related ﬁeld to MBRL that also combines models with data is iterative learning control (ILC)
(Bristow et al., 2006). While RL typically focuses on ﬁnding parametric feedback policies for general
reward functions, ILC instead seeks an open-loop sequence of actions with ﬁxed length to improve
state tracking performance. Moreover, the model in ILC is often derived from ﬁrst principles and then
kept ﬁxed, whereas in MBRL the model is continuously improved upon observing new data. The
method most closely related to RL and our approach is optimization-based ILC (Owens & Hätönen,
2005; Schöllig & D’Andrea, 2009), in which a linear dynamics model is used to guide the search
for optimal actions. Recently, Baumgärtner & Diehl (2020) extended the ILC setting to nonlinear
dynamics and more general reward signals. Little work is available that draws connections between
RL and ILC (Zhang et al., 2019) with one notable exception: Abbeel et al. (2006) use the observed
data from the last rollout to account for a mismatch in the dynamics model. The limitations of this
approach are that deterministic dynamics are assumed, the policy optimization itself requires a line
search procedure with rollouts on the true environment and that it was not combined with model
learning. We build on this idea and extend it to the stochastic setting of MBRL by making use of
recent advances in RL and model learning."
INTRODUCTION,0.01652892561983471,Published as a conference paper at ICLR 2022
INTRODUCTION,0.01770956316410862,Algorithm 1 General Model-based Reinforcement Learning
INTRODUCTION,0.018890200708382526,"1: for n = 1, . . . do
2:
for b = 1, . . . , B do
3:
Rollout policy πn on environment and store transitions Db
n = {(ˆsn,b
t
, ˆan,b
t
,ˆsn,b
t+1)}T −1
t=0
4:
˜pn(st+1 | st, at): Learn a global dynamics model given all data D1:n = Sn
i=1
SB
b=1 Db
i
5:
θn+1 = θn + α∇˜ηn: Optimize the policy based on the model ˜p with any RL algorithm"
PROBLEM STATEMENT AND BACKGROUND,0.020070838252656435,"2
PROBLEM STATEMENT AND BACKGROUND"
PROBLEM STATEMENT AND BACKGROUND,0.021251475796930343,"We consider the Markov decision process (MDP) (S, A, p, r, γ, ρ), where S ⊆RdS and A ⊆RdA
are the continuous state and action spaces, respectively. The unknown environment dynamics are
described by the transition probability p(st+1 | st, at), an initial state distribution ρ(s0) and the
reward signal r(s, a). The goal in RL is to ﬁnd a policy πθ(at | st) parameterized by θ that maximizes
the expected return discounted by γ ∈[0, 1] over episodes of length T,"
PROBLEM STATEMENT AND BACKGROUND,0.02243211334120425,"η =
E
s0:T ,a0:T XT"
PROBLEM STATEMENT AND BACKGROUND,0.023612750885478158,"t=0 γtr(st, at)

,
st+1 ∼p(st+1 | st, at),
s0 ∼ρ,
at ∼πθ(at | st). (1)"
PROBLEM STATEMENT AND BACKGROUND,0.024793388429752067,"The expectation is taken with respect to the trajectory under the stochastic policy πθ starting from a
stochastic initial state s0. Direct maximization of Eq. (1) is challenging, since we do not know the
environment’s transition model p. In MBRL, we learn a model for the transitions and reward function
from data, ˜p(st+1 | st, at) ≈p(st+1 | st, at) and ˜r(st, at) ≈r(st, at), respectively. Subsequently,
we maximize the model-based expected return ˜η as a surrogate problem for the true RL setting, where
˜η is deﬁned as in Eq. (1) but with ˜p and ˜r instead. For ease of exposition, we assume a known reward
function ˜r = r, even though we learn it jointly with ˜p in our experiments."
PROBLEM STATEMENT AND BACKGROUND,0.025974025974025976,"We let ηn denote the return under the policy πn = πθn at iteration n and use ˆs and ˆa for states and
actions that are observed on the true environment. Algorithm 1 summarizes the overall procedure
for MBRL: At each iteration n we store B on-policy trajectories Db
n = {(ˆsn,b
t
, ˆan,b
t
,ˆsn,b
t+1)}T −1
t=0
obtained by rolling out the current policy πn on the real environment in Line 3. Afterwards, we
approximate the environment with a learned model ˜pn(st+1 | st, at) based on the data D1:n in Line 4,
and optimize the policy based on the proxy objective ˜η in Line 5. Note that the policy optimization
algorithm can be off-policy and employ its own, separate replay buffer."
PROBLEM STATEMENT AND BACKGROUND,0.02715466351829988,"Model Choices
The choice of model ˜p plays a key role, since it is used to predict sequences τ
of states transitions and thus deﬁnes the surrogate problem in MBRL. We assume that the model
comes from a distribution family P, which for each state-action pair (st, at) models a distribution
over the next state st+1. The model is then trained to summarize all past data D1:n = ∪n
i=1 ∪B
b=1 Db
i
by maximizing the marginal log-likelihood L,"
PROBLEM STATEMENT AND BACKGROUND,0.02833530106257379,"˜pmodel
n
(st+1 | st, at) = arg max
˜p∈P X"
PROBLEM STATEMENT AND BACKGROUND,0.0295159386068477,"(ˆst,ˆat,ˆst+1)∈D1:n
L(ˆst+1;ˆst, ˆat).
(2)"
PROBLEM STATEMENT AND BACKGROUND,0.030696576151121605,"For a sampled trajectory index b ∼U({1, . . . , B}), sequences τ start from the initial state ˆsn,b
0
and are
distributed according to ˜pmodel
n
(τ | b) = δ(s0 −ˆsn,b
0 ) QT −1
t=0 ˜pmodel
n
(st+1 | st, at)πθ(at | st), where
δ(·) denotes the Dirac-delta distribution. Using model-data for policy optimization is in contrast to
model-free methods, which only use observed environment data by replaying past transitions from
a recent on-policy trajectory b ∈{1, . . . , B}. In our model-based framework, this replay buffer is
equivalent to the non-parametric model"
PROBLEM STATEMENT AND BACKGROUND,0.031877213695395513,"˜pdata
n
(τ | b) = δ(s0 −ˆsn,b
0 )"
PROBLEM STATEMENT AND BACKGROUND,0.03305785123966942,"T −1
Y"
