Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001658374792703151,"Multi-head, key-value attention is the backbone of the widely successful Trans-
former model and its variants. This attention mechanism uses multiple parallel
key-value attention blocks (called heads), each performing two fundamental com-
putations: (1) search – selection of a relevant entity from a set via query-key
interactions, and (2) retrieval – extraction of relevant features from the selected
entity via a value matrix. Importantly, standard attention heads learn a rigid map-
ping between search and retrieval. In this work, we ﬁrst highlight how this static
nature of the pairing can potentially: (a) lead to learning of redundant parameters
in certain tasks, and (b) hinder generalization. To alleviate this problem, we pro-
pose a novel attention mechanism, called Compositional Attention, that replaces
the standard head structure. The proposed mechanism disentangles search and
retrieval and composes them in a dynamic, ﬂexible and context-dependent manner
through an additional soft competition stage between the query-key combination
and value pairing. Through a series of numerical experiments, we show that it
outperforms standard multi-head attention on a variety of tasks, including some
out-of-distribution settings. Through our qualitative analysis, we demonstrate that
Compositional Attention leads to dynamic specialization based on the type of
retrieval needed. Our proposed mechanism generalizes multi-head attention, allows
independent scaling of search and retrieval, and can easily be implemented in lieu
of standard attention heads in any network architecture.1"
INTRODUCTION,0.003316749585406302,"1
INTRODUCTION"
INTRODUCTION,0.004975124378109453,"Attention mechanisms have become integral parts of machine learning models across a variety of
domains. The modern notion of soft-attention was ﬁrst introduced in Bahdanau et al. (2015) for
machine translation to allow recurrent networks to perform well over long sequences. Since then,
attention has taken center stage in several models that forego recurrent networks altogether (i.e.
Transformers (Vaswani et al., 2017)), and has been leveraged in a wide variety of applications, like
natural language (Bahdanau et al., 2015; Vaswani et al., 2017; Devlin et al., 2018), computer vision
(Dosovitskiy et al., 2020) and physical reasoning (Ding et al., 2020; Locatello et al., 2020)."
INTRODUCTION,0.006633499170812604,"At the core of this success is a simple idea: enable task-driven ﬂexible connections between elements
of a sequence to extract and merge information. This process is implemented by attention (or
alignment) functions which, in their simplest form, take a reference or query entity and “pick”
(i.e. attend to) the most relevant input entities in a set of other entities. Modern attention systems
reﬁne this key principle in two meaningful ways. First, they utilize key-value attention, where the
attention function takes “queries” from the reference entity, matches them to “keys” attached to input
entities, and returns “values” representing a transformation of the selected entities. Second, they
allow multiple attention mechanisms to run in parallel, often called attention heads, allowing the
model to attend to multiple entities jointly, leading to increased expressivity. Despite these advances,
Transformer-like architectures still struggle on certain tasks (Fan et al., 2020; Nogueira et al., 2021),
including context-sensitive associations and out-of-distribution (OoD) generalization (Lake & Baroni,
2018b; Liska et al., 2018). They are still far from human-level performance on physical reasoning
and object-centric tasks (Webb et al., 2020). In an object-oriented world where entities have several
attributes, current multi-head attention mechanisms learn rigid search-retrieval associations which
lead to various limitations, as illustrated in Figure 1 and Section 2.3."
INTRODUCTION,0.008291873963515755,"†Correspondence authors sarthmit@gmail.com and g.lajoie@umontreal.ca
1Open-sourced implementation is available at https://github.com/sarthmit/Compositional-Attention"
INTRODUCTION,0.009950248756218905,Published as a conference paper at ICLR 2022
INTRODUCTION,0.011608623548922056,Search according
INTRODUCTION,0.013266998341625208,to color
INTRODUCTION,0.014925373134328358,Search 1
INTRODUCTION,0.01658374792703151,Retrieve location
INTRODUCTION,0.01824212271973466,What is the shape of the red object?
INTRODUCTION,0.01990049751243781,"Color: Red
Shape: Cube
Location: Top"
INTRODUCTION,0.02155887230514096,"Color: Green
Shape: Cone
Location: Middle"
INTRODUCTION,0.02321724709784411,"Color: Purple
Shape: Cylinder
Location: Bottom"
INTRODUCTION,0.024875621890547265,"What is the location of the cone object?
What is the location of the purple object?"
INTRODUCTION,0.026533996683250415,"Data 
Setting"
INTRODUCTION,0.028192371475953566,Multi-Head
INTRODUCTION,0.029850746268656716,Attention
INTRODUCTION,0.03150912106135987,"Query - Key 1
Value 1
Search according"
INTRODUCTION,0.03316749585406302,to color
INTRODUCTION,0.03482587064676617,No flexibility
INTRODUCTION,0.03648424543946932,"Retrieve
shape - Cube"
INTRODUCTION,0.03814262023217247,"Retrieve
 location - Middle
Search according"
INTRODUCTION,0.03980099502487562,to shape
INTRODUCTION,0.04145936981757877,Value 2
INTRODUCTION,0.04311774461028192,"Value 2
Search according"
INTRODUCTION,0.04477611940298507,to color
INTRODUCTION,0.04643449419568822,"Retrieve
 location - Bottom"
INTRODUCTION,0.04809286898839138,Compositional
INTRODUCTION,0.04975124378109453,Attention
INTRODUCTION,0.05140961857379768,Exists in
INTRODUCTION,0.05306799336650083,Head 1
INTRODUCTION,0.05472636815920398,Exists in
INTRODUCTION,0.05638474295190713,Head 2
INTRODUCTION,0.05804311774461028,Mapping doesn't exist
INTRODUCTION,0.05970149253731343,Need a new head - Redundant
INTRODUCTION,0.06135986733001658,Parameters!
INTRODUCTION,0.06301824212271974,Value 1
INTRODUCTION,0.06467661691542288,Value 2
INTRODUCTION,0.06633499170812604,"Retrieve 
shape - Cube"
INTRODUCTION,0.06799336650082918,Flexiblity
INTRODUCTION,0.06965174129353234,Value 1
INTRODUCTION,0.07131011608623548,"Value 2
Search according"
INTRODUCTION,0.07296849087893864,"to shape
Retrieve 
location - Middle"
INTRODUCTION,0.07462686567164178,Retrieve shape
INTRODUCTION,0.07628524046434494,Value 1
INTRODUCTION,0.0779436152570481,"Value 2
Search according"
INTRODUCTION,0.07960199004975124,to color
INTRODUCTION,0.0812603648424544,"Retrieve shape 
Don't need new"
INTRODUCTION,0.08291873963515754,parameters!
INTRODUCTION,0.0845771144278607,"Exists in
Search 1"
INTRODUCTION,0.08623548922056384,Exists in
INTRODUCTION,0.087893864013267,Value 1
INTRODUCTION,0.08955223880597014,Mapping exists
INTRODUCTION,0.0912106135986733,"Retrieve 
location - Bottom"
INTRODUCTION,0.09286898839137644,Query - Key 2
INTRODUCTION,0.0945273631840796,Query - Key 1
INTRODUCTION,0.09618573797678276,Query - Key 1
INTRODUCTION,0.0978441127694859,"Query - Key 2
Query - Key 1"
INTRODUCTION,0.09950248756218906,"(a)
(b)
(c)"
INTRODUCTION,0.1011608623548922,"Head 1
Head 2
Head 3"
INTRODUCTION,0.10281923714759536,"Search 1
Retrieval 1
Search 2
Retrieval 2
Retrieval 2"
INTRODUCTION,0.1044776119402985,"Figure 1: Motivation behind Compositional Attention. In a visual question answering setting, we
see that the “rigid” mapping between search (query-key) and retrieval (value) in multi-head attention
leads to redundant parameters being learned (middle row; (c)). In contrast, when the search and
retrieval mechanisms are disentangled and have a pairing set dynamically, these can be composed
efﬁciently without learning of redundant parameters (bottom row; (c)). For details, refer to Section 2.3"
INTRODUCTION,0.10613598673300166,"Addressing these shortcomings, there are several recent attention-enabled systems developed to allow
better decomposition and re-composition of knowledge (Goyal et al., 2019; 2021a;b), some of which
we discuss in Appendix A. However, most of these efforts hinge on purpose-built architectural
components that remain niche and often are difﬁcult to implement at scale. To complement these
efforts and build on the proven efﬁcacy of Transformers, our goal is to develop minimal modiﬁcations
to key-value attention to enable ﬂexible decomposition of computations found in attention heads, and
eliminate some parameter redundancy. Crucially, we aim for a mechanism that is easily implemented
and plug-and-play for existing Transformers (and all the models based on them)."
