Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.006134969325153374,"Stochastic gradient descent and other ﬁrst-order variants, such as Adam and Ada-
Grad, are commonly used in the ﬁeld of deep learning due to their computational
efﬁciency and low-storage memory requirements. However, these methods do
not exploit curvature information. Consequently, iterates can converge to sad-
dle points and poor local minima. To avoid this, directions of negative curvature
can be utilized, which requires computing the second-derivative matrix. In Deep
Neural Networks (DNNs), the number of variables (n) can be of the order of
tens of millions, making the Hessian impractical to store (O(n2)) and to invert
(O(n3)). Alternatively, quasi-Newton methods compute Hessian approximations
that do not have the same computational requirements. Quasi-Newton methods
re-use previously computed iterates and gradients to compute a low-rank struc-
tured update. The most widely used quasi-Newton update is the L-BFGS, which
guarantees a positive semi-deﬁnite Hessian approximation, making it suitable in
a line search setting. However, the loss function in DNNs are non-convex, where
the Hessian is potentially non-positive deﬁnite. In this paper, we propose using
a Limited-Memory Symmetric Rank-1 quasi-Newton approach which allows for
indeﬁnite Hessian approximations, enabling directions of negative curvature to
be exploited. Furthermore, we use a modiﬁed Adaptive Regularized Cubics ap-
proach, which generates a sequence of cubic subproblems that have closed-form
solutions. We investigate the performance of our proposed method on autoen-
coders and feed-forward neural network models and compare our approach to
state-of-the-art ﬁrst-order adaptive stochastic methods as well as L-BFGS."
INTRODUCTION,0.012269938650306749,"1
INTRODUCTION"
INTRODUCTION,0.018404907975460124,Most deep learning problems involve minimization of the empirical risk of estimation
INTRODUCTION,0.024539877300613498,"min
Θ f(x; Θ),
(1)"
INTRODUCTION,0.03067484662576687,"where Θ ∈Rn is the set of weights and f is some scalar-valued loss function. To solve (1), various
optimization approaches have been implemented, which we describe below. Throughout this paper,
we write f(Θ) and f(x; Θ) interchangeably."
INTRODUCTION,0.03680981595092025,"Gradient and adaptive gradient methods are widely used for training deep neural networks (DNN)
for their computational efﬁciency. The most common approach is Stochastic Gradient Descent
(SGD) which, despite its simplicity, performs well over a wide range of applications. However, in a
sparse training data setting, SGD performs poorly due to limited training speed (Luo et al. (2019)).
To address this problem, adaptive methods such as AdaGrad (Duchi et al. (2011)), AdaDelta (Zeiler
(2012)), RMSProp (Hinton et al. (2012)) and Adam (Kingma & Ba (2014)) have been proposed.
These methods take the root mean square of the past gradients to inﬂuence the current step. Amongst
all of these adaptive methods, Adam is arguably the most widely used in a deep learning setting due
to it rapid training speed."
INTRODUCTION,0.04294478527607362,"Newton’s method has the potential to exploit curvature information from the second-order deriva-
tive (Hessian) matrix (see e.g., Gould et al. (2000)).
Generally, the iterates are deﬁned by
Θk+1 = Θk −αk∇2f(Θk)−1∇f(Θk), where αk > 0 is a steplength deﬁned by a linesearch
criterion (Nocedal & Wright (2006)). In a DNN setting, we know that the number of parameters
(n) of the network can be of the order of millions. Thus storing the Hessian which takes O(n2)"
INTRODUCTION,0.049079754601226995,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.05521472392638037,"memory, becomes impractical. In addition, the inversion of the Hessian matrix, which takes O(n3)
operations, is also impractical. Even though Newton’s method achieves convergence in fewer steps,
the method becomes computationally intractable to use on large-scale DNNs."
INTRODUCTION,0.06134969325153374,"Quasi-Newton methods are alternatives to Newton methods. They compute Hessian approxima-
tions, Bk+1, that satisfy the secant condition given by yk = Bk+1sk, where sk = Θk+1 −Θk and
yk = ∇f(Θk+1) −∇f(Θk). The most commonly used quasi-Newton method, including in the
realm of deep learning, is the limited-memory BFGS update, or L-BFGS (see e.g., Liu & Nocedal
(1989)), where the Hessian approximation is given by"
INTRODUCTION,0.06748466257668712,"Bk+1 = Bk + yky⊤
k
y⊤
k sk
−BkskskB⊤
k
s⊤
k Bksk
.
(2)"
INTRODUCTION,0.0736196319018405,"The generic L-BFGS quasi-Newton update scheme is described in Algorithm 1, and numerous vari-
ants of L-BFGS exist (see Goldfarb et al. (2020); Moritz et al. (2016); Gower et al. (2016)). One
advantage of using an L-BFGS update is that the Hessian approximation can be guaranteed to be
deﬁnite, which is highly suitable in line-search settings because the update sk is guaranteed to be a
descent direction, meaning there is some step length along this direction that results in a decrease
in the objective function (see Nocedal & Wright (2006), Algorithm 6.1). However, because the
L-BFGS update is positive deﬁnite, it does not readily detect directions of negative curvature for
avoiding saddle points. In contrast, the Symmetric-Rank One (SR1) quasi-Newton update is not
guarateed to be positive deﬁnite and can result in ascent directions for line-search methods. How-
ever, in trust-region settings where indeﬁnite Hessian approximations are an advantage because they
capture directions of negative curvature, the limited-memory SR1 (L-SR1) has been shown to out-
perform L-BFGS in DNNs for classiﬁcation (see Erway et al. (2020)). We discuss this in more detail
in Section 2 but in the context of Adaptive Regularization using Cubics."
INTRODUCTION,0.07975460122699386,"Algorithm 1 L-BFGS Quasi-Newton Method with Line Search
Require: Initial weights Θ0, batch size d, learning rate α, dataset D, loss function f(Θ)."
INTRODUCTION,0.08588957055214724,"for k = 0, 1, 2, . . . do"
INTRODUCTION,0.09202453987730061,"Sample mini-batch of size d : Dk ⊆D
Perform the forward backward pass over the current mini-batch
Compute the limited memory approximation Bk using (2)
Compute step sk = αB−1
k ∇Θf(Θk), where α is the line-search step length
end for"
INTRODUCTION,0.09815950920245399,"2
L-SR1 ADAPTIVE REGULARIZATION USING CUBICS METHOD"
INTRODUCTION,0.10429447852760736,"We begin by discussing the L-SR1 update and the adaptive regularizion using cubics methods for
large-scale optimization."
INTRODUCTION,0.11042944785276074,"Unlike the BFGS update (2), which is a rank-two update, the SR1 update is a rank-one update,
which is given by"
INTRODUCTION,0.1165644171779141,"Bk+1 = Bk +
1
s⊤
k (yk −Bksk)(yk −Bksk)(yk −Bksk)⊤
(3)"
INTRODUCTION,0.12269938650306748,"(see Khalfan et al. (1993)). As previously mentioned, Bk+1 in (3) is not guaranteed to be deﬁnite.
However, it can be shown that the SR1 matrices can converge to the true Hessian (see Conn et al.
(1991) for details). We note that the pair (sk, yk) is accepted only when |s⊤
k (yk −Bksk)| >
ε∥yk −Bksk∥2
2, for some constant ε > 0 (see Nocedal & Wright (2006), Sec. 6.2, for details). The
SR1 update can be deﬁned recursively as"
INTRODUCTION,0.12883435582822086,"Bk+1 = B0 + k
X j=0"
INTRODUCTION,0.13496932515337423,"1
s⊤
j (yj −Bjsj)(yj −Bjsj)(yj −Bjsj)⊤.
(4)"
INTRODUCTION,0.1411042944785276,"In limited-memory SR1 (L-SR1) settings, only the last m ≪n pairs of (sj, yj) are stored and used.
If Sk+1 = [ s0 s1
· · ·
sk ] and Yk+1 = [ y0 y1
· · ·
yk ], then Bk+1 admits a compact"
INTRODUCTION,0.147239263803681,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.15337423312883436,representation of the form
INTRODUCTION,0.15950920245398773,"Bk+1 = B0 + "" Ψk+1"
INTRODUCTION,0.1656441717791411,"#
Mk+1

Ψ⊤
k+1
 ,
(5) where"
INTRODUCTION,0.17177914110429449,"Ψk+1 = Yk+1−B0Sk+1 and Mk+1 = (Dk+1+Lk+1+L⊤
k+1−S⊤
k+1B0Sk+1)−1,
(6)"
INTRODUCTION,0.17791411042944785,"where Lk+1 is the strictly lower triangular part, Uk+1 is the strictly upper triangular part, and Dk+1
is the diagonal part of S⊤
k+1Yk+1 = Lk+1 + Dk+1 + Uk+1 (see Byrd et al. (1994) for further
details)."
INTRODUCTION,0.18404907975460122,"Because of the compact representation of Bk+1, its partial eigendecomposition can be computed
(see Burdakov et al. (2017)). In particular, if we compute the QR decomposition of Ψk+1, then
we can write Bk+1 = B0 = U∥ˆΛk+1U⊤
∥, where U∥∈Rn×(k+1) has orthonormal columns and
ˆΛ ∈R(k+1)×(k+1) is a diagonal matrix. If B0 = δkI (see e.g., Lemma 2.4 in Erway et al. (2020)),
where 0 < δk < δmax is some scalar and I is the identity matrix, then we obtain the eigendecom-
position Bk+1 = Uk+1Λk+1U⊤
k+1, where Uk+1 = [U∥U⊥], with U⊥∈Rn×(n−(k+1)) and
U⊤
k+1Uk+1 = I. Here, (Λk+1)i = δk + ˆλi for i ≤k + 1, where ˆλi is the ith diagonal in ˆΛk+1, and
(Λ)i = δk for i > k + 1."
INTRODUCTION,0.1901840490797546,"Since the SR1 Hessian approximation can be indeﬁnite, some safeguard must be implemented to
ensure that the resulting search direction sk is a descent direction. One such safeguard is to use a
“regularization” term."
INTRODUCTION,0.19631901840490798,"The Adaptive Regularization using Cubics (ARCs) method (Griewank (1981); Cartis et al.
(2011)) can be viewed as an alternative to line-search and trust-region methods. At each iteration,
an approximate global minimizer of a local (cubic) model,"
INTRODUCTION,0.20245398773006135,"min
s∈Rn mk(s) ≡g⊤
k s + 1"
INTRODUCTION,0.2085889570552147,2s⊤Bks + µk
INTRODUCTION,0.2147239263803681,"3 (Φk(s))3,
(7)"
INTRODUCTION,0.22085889570552147,"is determined, where gk = ∇f(Θk), µk > 0 is a regularization parameter, and Φk is a func-
tion (norm) that regularizes s. Typically, the Euclidean norm is used. In this work, we propose
an alternative “shape-changing” norm that allows us to solve each subproblem (7) exactly. This
shape-changing norm was proposed in Burdakov et al. (2017), and it is based on the partial eigende-
composition of Bk. Speciﬁcally, if Bk = UkΛkU⊤
k is the eigendecomposition of Bk, then we can"
INTRODUCTION,0.22699386503067484,"deﬁne the norm ∥s∥Uk
def
= ∥U⊤
k s∥3. Applying a change of basis with ¯s = U⊤
k s and ¯gk = U⊤
k gk,
we can redeﬁne the cubic subproblem as"
INTRODUCTION,0.2331288343558282,"min
¯s∈Rn ¯mk(s) = ¯g⊤
k ¯s + 1"
INTRODUCTION,0.2392638036809816,2¯s⊤Λk¯s + µk
INTRODUCTION,0.24539877300613497,"3 ∥¯s∥3
3 .
(8)"
INTRODUCTION,0.25153374233128833,"With this change of basis, we can ﬁnd a closed-form solution of (8) easily. The proposed Adaptive
Regularization using Cubics with L-SR1 (ARCSLSR1) algorithm is given in Algorithm 2."
CONTRIBUTIONS,0.25766871165644173,"2.1
CONTRIBUTIONS"
CONTRIBUTIONS,0.26380368098159507,"The main contributions of this paper are as follows: 1. L-SR1 quasi-Newton methods: The most
commonly used quasi-Newton approach is the L-BFGS method.
In this work, we use the L-
SR1 update to better model potentially indeﬁnite Hessians of the non-convex loss function. 2.
Adaptive Regularization using Cubics (ARCs): Given that the quasi-Newton approximation is al-
lowed to be indeﬁnite, we use an Adaptive Regularized using Cubics approach to safeguard each
search direction. 3. Shape-changing regularizer: We use a shape-changing norm to deﬁne the cubic
regularization term, which allows us to compute the closed form solution to the cubic subproblem
(7). 4. Computational complexity: Let m be the number of previous iterates and gradients stored
in memory. The proposed LSR1 ARC approach is comparable to L-BFGS in terms of storage and
compute complexity (see Table 1)."
CONTRIBUTIONS,0.26993865030674846,Under review as a conference paper at ICLR 2022
CONTRIBUTIONS,0.27607361963190186,Algorithm 2 Limited-Memory Symmetric Rank-1 Adaptive Regularization using Cubics
CONTRIBUTIONS,0.2822085889570552,"1: Given: Θ0, γ2 ≥γ1, 1 > η2 ≥η1 > 0, and σ0 > 0
2: for k = 0, 1, 2 . . . do
3:
Obtain Sk = [ s0 · · · sk ], Yk = [ y0 · · · yk ]
4:
Solve the generalized eigenproblem S⊤
k Yku = ˆΛS⊤
k Sku and let δk = min{ˆλi}
5:
Compute Ψk = Yk −δkSk
6:
Perform QR decomposition of Ψ = QR
7:
Compute the eigendecomposition RMR⊤= PΛP⊤"
CONTRIBUTIONS,0.2883435582822086,"8:
Assign U∥= QP and U⊤
∥= P⊤Q⊤"
CONTRIBUTIONS,0.294478527607362,"9:
Deﬁne C∥= diag(c1, . . . , cm), where ci =
2
λi+√"
CONTRIBUTIONS,0.3006134969325153,"λ2
i +4µ|¯gi| and ¯g∥= U⊤
∥g"
CONTRIBUTIONS,0.3067484662576687,"10:
Compute α∗=
2
δk+√"
CONTRIBUTIONS,0.3128834355828221,"δ2
k+4µ∥g⊥∥where g⊥= g −U∥¯g∥"
CONTRIBUTIONS,0.31901840490797545,"11:
Compute step s∗= −α∗g + U∥(α∗Im −C∥)U⊤
∥
12:
Compute m(s∗) and ρk = (f(Θk) −f(Θk+1))/m(s∗)
13:
Set"
CONTRIBUTIONS,0.32515337423312884,"Θk+1 =
Θk + sk,
if ρk ≥η1,
Θk,
otherwise
and
µk+1 = 
 "
CONTRIBUTIONS,0.3312883435582822,"0.5µk
if ρk > η2,
0.5µk(1 + γ1)
if η1 ≤ρk ≤η2,
0.5µk(γ1 + γ2)
otherwise"
CONTRIBUTIONS,0.3374233128834356,14: end for
CONTRIBUTIONS,0.34355828220858897,Table 1: Storage and compute complexity of the methods used in our experiments.
CONTRIBUTIONS,0.3496932515337423,"Algorithms
Storage complexity
Compute complexity
SGD/Adaptive methods
O(n)
O(n)
L-BFGS
O(n + mn)
O(mn)
ARCs-LSR1
O(n + mn)
O(m3 + 2mn)"
IMPLEMENTATION,0.3558282208588957,"2.2
IMPLEMENTATION"
