Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004424778761061947,"Learning from AI feedback (LAIF) is a popular paradigm for improving the
instruction-following abilities of powerful pre-trained language models. LAIF
first performs supervised fine-tuning (SFT) using demonstrations from a teacher
model and then further fine-tunes the model with reinforcement learning (RL) or
direct preference optimization (DPO), using feedback from a critic model. While
recent popular open-source models have demonstrated substantial improvements in
performance from the RL step, in this paper we question whether the complexity of
this RL step is truly warranted for AI feedback. We show that the improvements of
the RL step are virtually entirely due to the widespread practice of using a weaker
teacher model (e.g. GPT-3.5) for SFT data collection than the critic (e.g., GPT-4)
used for AI feedback generation. Specifically, we show that simple supervised
fine-tuning with GPT-4 as the teacher outperforms existing LAIF pipelines. More
generally, we find that the gains from LAIF vary substantially across base model
families, test-time evaluation protocols, and critic models. Finally, we provide a
mechanistic explanation for when SFT may outperform the full two-step LAIF
pipeline as well as suggestions for making LAIF maximally useful in practice.
Code is available at: https://github.com/architsharma97/dpo-rlaif."
INTRODUCTION,0.008849557522123894,"1
Introduction"
INTRODUCTION,0.01327433628318584,"As the raw capabilities of open-source large language models (LLM) improve through pre-training at a
large scale [Touvron et al., 2023a,b, Jiang et al., 2023, 2024, Bai et al., 2023, Bi et al., 2024], methods
for effectively ‘aligning’ these models; i.e., steering them to follow user instructions effectively and
safely, has garnered increasing attention. Supervised fine-tuning (SFT) with large datasets of user
queries and human-written responses is one popular approach. Further refining a model fine-tuned
with SFT using reinforcement learning from human feedback (RLHF; Christiano et al. [2017]) has
been shown to further improve the quality of model responses, as judged by humans [Ouyang et al.,
2022, Stiennon et al., 2020]. However, collecting the data for SFT and RLHF is expensive, requiring
human annotations for both the SFT and preference rankings over several candidate responses to
a query to be used as feedback for the RL stage. Given the high cost of data collection as well as
the high level of disagreement among human annotators, many works such as Bai et al. [2022] and
Lee et al. [2023] have replaced the human annotators in both the SFT and RLHF stages with strong
language model annotators such as GPT-4 [Achiam et al., 2023]. The corresponding techniques,
supervised model distillation [Taori et al., 2023, Chiang et al., 2023, Ding et al., 2023] and learning
from AI feedback (LAIF; Bai et al. [2022], Lee et al. [2023], Cui et al. [2023]), have proven effective
in training state-of-the-art open source models [Tunstall et al., 2023, Ivison et al., 2023, Intel, 2023,"
INTRODUCTION,0.017699115044247787,"Teknium, 2023]. However, plugging in LLMs to substitute human annotators in the same RLHF
pipeline may not be the best way to leverage such LLMs. First, LLMs are often better at generating
answers for instructions than discriminative tasks [West et al., 2023], and labeling preferred answers
for AI feedback is an example. Further, while humans may find comparing answers incurs lower
cognitive cost than producing answers themselves, for modern LLMs, the cost of generating a
preference comparison or ranking may actually be higher than simply generating a demonstration,
owing to the longer input context when comparing multiple responses. Therefore, while LAIF may
seem like a more convenient variant of RLHF prima facie, we ask: what kind of data from strong
LLMs is more effective for learning instruction-following: completions for SFT or AI feedback for RL?"
INTRODUCTION,0.022123893805309734,"Figure 1: Supervised fine-tuning (SFT) on strong
teachers can accounts for improvements from learn-
ing from AI feedback (LAIF). LAIF from strong mod-
els such as GPT-4 can result in substantially better
instruction-following LLMs than supervised SFT alone
on popular datasets such as ShareGPT [Chiang et al.,
2023] constructed using GPT-3.5 completions (GPT-
3.5 SFT + GPT-4 AIF). However, simply performing
SFT on completions from GPT-4 can result in a better
model (GPT-4 SFT), suggesting that improvement in
performance from LAIF is partly because the default
ShareGPT completions are from a weak teacher (GPT-
3.5). Furthermore, LAIF (GPT-4 SFT + GPT-4 AIF)
does not result in a significantly better model compared
to GPT-4 SFT alone."
INTRODUCTION,0.02654867256637168,"To answer this question, we compare the effec-
tiveness of the LAIF pipeline with doing SFT on
demonstrations directly generated from the an-
notator language model. In our experiments, we
align a variety of pre-trained base language mod-
els, both with SFT and LAIF, using the prompts
from the ShareGPT dataset [Chiang et al., 2023].
We use SFT demonstrations from three teacher
language models, namely, GPT-3.5, GPT-4, and
Claude, and use two strong language models
as critics, GPT-4 and Claude, for collecting AI
feedback. We evaluate our fine-tuned models
using AlpacaEval [Li et al., 2023]. The exper-
imental setup is described in further detail in
Section 4. In our experiments, we find that
two conditions are necessary for LAIF to signif-
icantly outperform SFT: (a) a sufficiently strong
pre-trained base model and, (b) a capability mis-
match between the teacher used for the SFT data
collection and the critic used for collecting AI
feedback. The latter condition has surprising
consequences: if the target completions are suf-
ficiently performant and capability gap between
models used for SFT and AI feedback is min-
imal, then simply doing SFT can suffice. We
observe this in Figure 1, where SFT on the com-
pletions generated by GPT-4 outperforms GPT-
3.5 SFT + GPT-4 feedback. This suggests that
LAIF from a strong critic may be compensating
for a weak teacher in popular SFT datasets like
ShareGPT that are generated using GPT-3.5, and we may be overestimating the effectiveness of AI
feedback. We further try to analyze these findings in a more principled way in Section 5, and provide
a possible mechanistic intuition in a simplified bandit setting for why SFT might perform comparably
or even outperform LAIF."
INTRODUCTION,0.030973451327433628,"Finally, Section 6 provides practical suggestions and discussions based on the experimental and theo-
retical insights in the previous sections. First, one should account for the distribution of completions
in instruction-tuning datasets [Taori et al., 2023, Chiang et al., 2023, Ding et al., 2023] before evalu-
ating AI feedback based methods. Further, we should consider updated instruction-tuning datasets
created using more recent state-of-the-art LLMs, like GPT-4 (as of February 2024). Second, while
our experiments suggest that SFT on strong teacher completions can be just as effective as LAIF, we
caution readers into generalizing these findings to RLHF setting and highlight why preference-based
RL might be superior when collecting human feedback due to inherent cognitive load of collecting
demonstrations. Third, our experiments further support the importance of pre-training for effective
instruction-following, both in terms of absolute performance and also in its ability to fine-tune from
AI feedback. Finally, we also provide possible ways to improve the effectiveness of AI feedback
and hypothesize how AI feedback could improve over SFT over target distributions from strong
teacher LLMs. Overall, AI feedback has several desirable features that make it a compelling avenue
for scalable oversight and effective alignment, but current evaluation may be overestimating the"
INTRODUCTION,0.035398230088495575,"significance of improvements in instruction-following for open-source LLMs and we hope that this
paper will inspire investigation into more effective LAIF approaches."
RELATED WORK,0.03982300884955752,"2
Related Work"
RELATED WORK,0.04424778761061947,"Modern language models rely on a two-stage pipeline that first learns representations with large-scale
unsupervised learning and then adapts, or fine-tunes, those representations to the task of interest;
this strategy initially proved effective for isolated word embeddings [Collobert et al., 2011] and
more recently has been adopted for sequence-level representations [Devlin et al., 2019, Radford and
Narasimhan, 2018]. Virtually all of the most powerful language models are pre-trained with a simple
maximum likelihood objective over a large, unsupervised dataset [Radford and Narasimhan, 2018,
Radford et al., 2019, Brown et al., 2020, Touvron et al., 2023a,b]. Owing to the drastically smaller
computational demands of fine-tuning, considerably more diversity exists in the objectives used for
fine-tuning, including supervised objectives such as imitation [Collobert et al., 2011, Devlin et al.,
2019, Radford et al., 2019, Raffel et al., 2020, Taori et al., 2023] and ranking losses [Yuan et al.,
2023] as well as reinforcement learning from heuristic rewards [Paulus et al., 2018], learned rewards
trained from human reward scores [Böhm et al., 2019] or preference annotations [Ziegler et al., 2020,
Ouyang et al., 2022, Bai et al., 2022, Rafailov et al., 2023]."
RELATED WORK,0.048672566371681415,"Simultaneous with the development of new fine-tuning objectives, several works have focused on the
source of data used for fine-tuning. While human-annotated data has been widely used [Collobert
et al., 2011, Devlin et al., 2019, Radford and Narasimhan, 2018, Ouyang et al., 2022, Conover et al.,
2023], more scalable synthetic data sources have recently been explored, using language models
themselves to generate some or all of the fine-tuning data. Bai et al. [2022], Chiang et al. [2023],
Taori et al. [2023], Teknium [2023] show that outputs generated by a high-quality language model
can be distilled into a smaller language model through supervised imitation. Bai et al. [2022] also
show that a large language model can effectively generate preferences over model samples, which are
ultimately used to train a reward model used for further RL-based fine-tuning, which is referred to as
learning from AI feedback (LAIF). Tunstall et al. [2023], Ivison et al. [2023], Intel [2023] further
explore using model-generated datasets with various combinations of supervised and reinforcement
learning-based fine-tuning objectives, suggesting that LAIF can produce improvements over purely
supervised fine-tuning from AI feedback. However, notably, commonly-used datasets for supervised
training [Taori et al., 2023, Ding et al., 2023, Geng et al., 2023] contain substantial amounts of
data generated by GPT-3.5 [OpenAI, 2023], while the more recently-collected AI datasets for LAIF
contain annotations generated by the stronger GPT-4 model [Ding et al., 2023]. The ramifications of
this discrepancy, and how the effectiveness of LAIF is affected by the teacher and critic quality is the
focus of this work."
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.05309734513274336,"3
Algorithmic Overview of LLM Fine-tuning"
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.05752212389380531,"The dominant approaches to fine-tuning LLMs as general dialogue agents are supervised fine-tuning
(SFT) and preference-based reinforcement learning from either human or AI feedback (RLHF or
LAIF, respectively)."
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.061946902654867256,"Supervised fine-tuning. Consider a dataset DSFT = {x, y}, where x is one or more turns of dialogue
history1 and y is the target response (a sequence of tokens) for this dialogue history, which the model
is trained to generate. Specifically, an autoregressive language model pθ parameterized by θ is trained
to minimize the negative log likelihood of the responses, given the histories:"
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.06637168141592921,"LSFT = −E(x,y)∼D log pθ(y | x)
(1)"
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.07079646017699115,The targets y may be written by either humans or strong LLM teachers.
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.0752212389380531,"RLHF & LAIF. Motivated by the difficulty of gathering high-quality target responses y at scale from
humans, an alternative to purely supervised fine-tuning collects preference annotations over pairs
of candidate responses y, y′ to a dialogue history x. Typically, a model fine-tuned with SFT is used
to generate the pair of responses,2 and humans for RLHF or strong LLM critics for LAIF annotate"
ALGORITHMIC OVERVIEW OF LLM FINE-TUNING,0.07964601769911504,"1In many cases, x contains a ‘system prompt’ prefix that is used to steer the high-level behaviors of the
language model across dialogues.
2Or larger sets, but for simplicity, we consider pairs here."
