Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002457002457002457,"Logistic regression training over encrypted data has been an attractive idea to
1"
ABSTRACT,0.004914004914004914,"security concerns for years. In this paper, we propose a faster gradient variant
2"
ABSTRACT,0.007371007371007371,"called quadratic gradient for privacy-preserving logistic regression training.
3"
ABSTRACT,0.009828009828009828,"The core of quadratic gradient can be seen as an extension of the simpliﬁed
4"
ABSTRACT,0.012285012285012284,"ﬁxed Hessian [4].
5"
ABSTRACT,0.014742014742014743,"We enhance Nesterov’s accelerated gradient (NAG) and Adaptive Gradient Al-
6"
ABSTRACT,0.0171990171990172,"gorithm (Adagrad) respectively with quadratic gradient and evaluate the en-
7"
ABSTRACT,0.019656019656019656,"hanced algorithms on several datasets. Experiments show that the enhanced meth-
8"
ABSTRACT,0.022113022113022112,"ods have a state-of-the-art performance in convergence speed compared to the
9"
ABSTRACT,0.02457002457002457,"raw ﬁrst-order gradient methods. We then adopt the enhanced NAG method to
10"
ABSTRACT,0.02702702702702703,"implement homomorphic logistic regression training, obtaining a comparable result
11"
ABSTRACT,0.029484029484029485,"by only 3 iterations.
12"
ABSTRACT,0.03194103194103194,"There is a promising chance that quadratic gradient could be used to enhance
13"
ABSTRACT,0.0343980343980344,"other ﬁrst-order gradient methods for general numerical optimization problems.
14"
INTRODUCTION,0.036855036855036855,"1
Introduction
15"
INTRODUCTION,0.03931203931203931,"Given a person’s healthcare data related to a certain disease, we can train a logistic regression (LR)
16"
INTRODUCTION,0.04176904176904177,"model capable of telling whether or not this person is likely to develop this disease. However, such
17"
INTRODUCTION,0.044226044226044224,"personal health information is highly private to individuals. The privacy concern, therefore, becomes
18"
INTRODUCTION,0.04668304668304668,"a major obstacle for individuals to share their biomedical data. The most secure solution is to encrypt
19"
INTRODUCTION,0.04914004914004914,"the data into ciphertexts ﬁrst by Homomorphic Encryption (HE) and then securely outsource the
20"
INTRODUCTION,0.051597051597051594,"ciphertexts to the cloud, without allowing the cloud to access the data directly. iDASH is an annual
21"
INTRODUCTION,0.05405405405405406,"competition that aims to call for implementing interesting cryptographic schemes in a biological
22"
INTRODUCTION,0.056511056511056514,"context. Since 2014, iDASH has included the theme of genomics and biomedical privacy. The third
23"
INTRODUCTION,0.05896805896805897,"track of the 2017 iDASH competition and the second track of the 2018 iDASH competition were both
24"
INTRODUCTION,0.06142506142506143,"to develop homomorphic-encryption-based solutions for building an LR model over encrypted data.
25"
INTRODUCTION,0.06388206388206388,"Several studies on logistic regression models are based on homomorphic encryption. Kim et al. [14]
26"
INTRODUCTION,0.06633906633906633,"discussed the problem of performing LR training in an encrypted environment. They used the full
27"
INTRODUCTION,0.0687960687960688,"batch gradient descent in the training process and the least-squares method to get the approximation
28"
INTRODUCTION,0.07125307125307126,"of the sigmoid function. In the iDASH 2017 competition, Bonte and Vercauteren [4], Kim et al. [12],
29"
INTRODUCTION,0.07371007371007371,"Chen et al. [5], and Crawford et al. [8] all investigated the same problem that Kim et al. [14] studied.
30"
INTRODUCTION,0.07616707616707617,"In the iDASH competition of 2018, Kim et al. [13] and Blatt et al. [2] further worked on it for an
31"
INTRODUCTION,0.07862407862407862,"efﬁcient packing and semi-parallel algorithm. The papers most relevant to this work are [4] and [12].
32"
INTRODUCTION,0.08108108108108109,"Bonte and Vercauteren [4] developed a practical algorithm called the simpliﬁed ﬁxed Hessian (SFH)
33"
INTRODUCTION,0.08353808353808354,"method. Our study complements their work and adopts the ciphertext packing technique proposed by
34"
INTRODUCTION,0.085995085995086,"Kim et al. [12] for efﬁcient homomorphic computation.
35"
INTRODUCTION,0.08845208845208845,"Our speciﬁc contributions in this paper are as follows:
36"
INTRODUCTION,0.09090909090909091,"1. We propose a new gradient variant, quadratic gradient, which can combine the ﬁrst-
37"
INTRODUCTION,0.09336609336609336,"order gradient methods and the second-order Newton-Raphson method as one.
38"
WE DEVELOP TWO ENHANCED GRADIENT METHODS BY EQUIPPING THE ORIGINAL METHODS WITH,0.09582309582309582,"2. We develop two enhanced gradient methods by equipping the original methods with
39"
WE DEVELOP TWO ENHANCED GRADIENT METHODS BY EQUIPPING THE ORIGINAL METHODS WITH,0.09828009828009827,"quadratic gradient. The resulting methods show a state-of-the-art performance in
40"
WE DEVELOP TWO ENHANCED GRADIENT METHODS BY EQUIPPING THE ORIGINAL METHODS WITH,0.10073710073710074,"the convergence speed.
41"
WE ADOPT THE ENHANCED NAG METHOD TO IMPLEMENT PRIVACY-PRESERVING LOGISTICAL REGRESSION,0.10319410319410319,"3. We adopt the enhanced NAG method to implement privacy-preserving logistical regression
42"
WE ADOPT THE ENHANCED NAG METHOD TO IMPLEMENT PRIVACY-PRESERVING LOGISTICAL REGRESSION,0.10565110565110565,"training, to our best knowledge, which seems to be the best candidate without compromising
43"
WE ADOPT THE ENHANCED NAG METHOD TO IMPLEMENT PRIVACY-PRESERVING LOGISTICAL REGRESSION,0.10810810810810811,"much on computation and storage.
44"
PRELIMINARIES,0.11056511056511056,"2
Preliminaries
45"
