Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.008620689655172414,"A genetic algorithm is suitable for exploring large search spaces as it ﬁnds an ap-
proximate solution. Because of this advantage, genetic algorithm is effective in
exploring vast and unknown space such as molecular search space. Though the
algorithm is suitable for searching vast chemical space, it is difﬁcult to optimize
pharmacological properties while maintaining molecular substructure. To solve
this issue, we introduce a genetic algorithm featuring a constrained molecular in-
verse design. The proposed algorithm successfully produces valid molecules for
crossover and mutation. Furthermore, it optimizes speciﬁc properties while adher-
ing to structural constraints using a two-phase optimization. Experiments prove
that our algorithm effectively ﬁnds molecules that satisfy speciﬁc properties while
maintaining structural constraints."
INTRODUCTION,0.017241379310344827,"1
INTRODUCTION"
INTRODUCTION,0.02586206896551724,"When the search space is complex or partially known, it is difﬁcult to optimize current solutions
using gradient descent (Jin & Ha, 1997; Ahmad et al., 2010). Because genetic algorithms ﬁnd ap-
proximate solutions, they are effective in exploring vast unknown space such as molecular search
space. (Holland, 1992; Jin & Ha, 1997; Ahmad et al., 2010; Henault et al., 2020). In drug discovery,
optimizing complex pharmacological properties using genetic algorithms have been widely studied
and extended (Leardi, 2001)."
INTRODUCTION,0.034482758620689655,"Deep learning-based molecular design is being actively conducted to improve pharmacological
properties and has served as a powerful tool (G´omez-Bombarelli et al., 2018). However, in-
ferred drug candidates depending on the architecture did not satisfy the heuristic guidelines set
by chemical researchers (George & Hautier, 2020). Furthermore, this not only produces non-
synthesizable molecules but also causes optimization problems for non-linear structure-activity re-
lationships (G´omez-Bombarelli et al., 2018; Vanhaelen et al., 2020)."
INTRODUCTION,0.04310344827586207,"Most molecular design methods ﬁrst generate molecular structures and then calculate properties of
the structures resulting in high computational cost (Duvenaud et al., 2015; Gilmer et al., 2017; Fein-
berg et al., 2018; Yang et al., 2019). Conversely, inverse molecular design speciﬁes target properties
in advance and then systematically explores the chemical space to discover molecular structures that
have the desired properties (Sanchez-Lengeling & Aspuru-Guzik, 2018)."
INTRODUCTION,0.05172413793103448,"Recent advances in molecular inverse design of genetic algorithms compete with or even surpass
deep learning-based methods (Yoshikawa et al., 2018; Jensen, 2019; Nigam et al., 2019; Polishchuk,
2020; Ahn et al., 2020; Nigam et al., 2021b;a). This indicates that the computational methods of ge-
netic algorithms in a chemical domain are more effective for exploring the vast chemical space (Ahn
et al., 2020). However, the genetic operators cause difﬁculty in lead optimization where the molec-
ular structure is constrained (Hasanc¸ebi & Erbatur, 2000)."
INTRODUCTION,0.0603448275862069,"A common molecular design strategy is to narrow the chemical search space, starting with known
potential molecules (Lim et al., 2020). The scaffold, which is the ”core” of the molecule is inten-
tionally maintained to preserve basic bioactivity (Hu et al., 2016). This is directly involved in the
interaction with the target protein (Zhao & Dietrich, 2015; Lim et al., 2020). In lead identiﬁcation
process, scaffolds with biological activity to the target protein are identiﬁed (Zhao & Dietrich, 2015).
In lead optimization process, it is important to optimize the SAR(Structure-Activity Relationship)
properties while staying in the chemical space associated with the privileged scaffold (Langevin"
INTRODUCTION,0.06896551724137931,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.07758620689655173,"et al., 2020). Lead optimization can be described as a multiple optimization problem in scaffold
constraints (Langevin et al., 2020). Most studies have focused on the application of generative mod-
els to the ﬁeld of medicinal chemistry, and studies related to structure-constrained lead optimization
have not been extensively explored."
INTRODUCTION,0.08620689655172414,"In this regard, we introduce a genetic algorithm featuring constrained molecular inverse design. We
use graph and SELFIES descriptors to generate valid molecules through a two-phase GA-based
pipeline. In addition, we introduced a two-phase optimization to ensure that molecular generation
does not fail to optimize for speciﬁc properties while adhering to structural constraints."
RELATED WORK,0.09482758620689655,"2
RELATED WORK"
RELATED WORK,0.10344827586206896,"Among the various methods for constrained optimization in a genetic algorithm, the basic one is de-
signing effective penalty functions (Yeniay, 2005). The functions, which impose a penalty to ﬁtness
value, are widely used for constrained optimization (Yeniay, 2005; Fletcher, 2013). The individual
ﬁtness value is determined by combining the objective function value with the constraint violation
penalty. A dominant relationship exists between the constraint penalty and the objective function
value (Coello, 2000)."
RELATED WORK,0.11206896551724138,"One of the various methods is focusing on the selection of practicable solutions. To solve the prob-
lem of constrained optimization using a genetic algorithm, a two-phase framework which is Multi-
Objective Evolutionary Algorithm (MOEA) was introduced (Venkatraman & Yen, 2005). In the ﬁrst
phase, MoEA conﬁrms the constraint satisfaction of solutions using a penalty function. The algo-
rithm ranks solutions based on violations of constraints, completely disregarding objective function.
When one or more feasible solutions are identiﬁed, the second phase continues. In the second phase,
individual ﬁtness is reassigned according to the objective function-constraint violation space and
bi-objective optimization is performed (Venkatraman & Yen, 2005)."
RELATED WORK,0.1206896551724138,"Structure-constrained molecular optimization work was ﬁrst presented in the JT-VAE (Jin et al.,
2018a) study. In this study, they create a tree-structured scaffold for constraining the structure of a
molecule and then generate a molecular graph using a message-passing network (Jin et al., 2018a).
GCPN (You et al., 2018) uses goal-directed reinforcement learning to generate molecules with de-
sired properties and similarities. VJTNN (Jin et al., 2018b) treated molecular optimization as a
graph-to-graph translation problem and solved it through MMPA(Matched Molecular Pair Anal-
ysis) (Dalke et al., 2018) dataset. DEFactor (Assouel et al., 2018) generated molecules with op-
timized penalized LogP while maintaining molecular similarity through differentiable conditional
probability-based graph VAE."
RELATED WORK,0.12931034482758622,"Glen & Payne proposed a method for generating molecules through domain-speciﬁc rule-based
crossover and mutation to ensure molecular structure constraints (Glen & Payne, 1995). To produce
offspring molecules with the parent’s substructures, the crossover is used as a strategy to cut the
end part of the molecule and link it to the end part of another similar molecule. To produce new
molecules, twelve operators of mutation were deﬁned: atomic insertion, atomic deletion, etc (Glen
& Payne, 1995)."
