Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018115942028985507,"Whitening loss provides theoretical guarantee in avoiding feature collapse for
1"
ABSTRACT,0.0036231884057971015,"self-supervised learning (SSL) using joint embedding architectures. One typical
2"
ABSTRACT,0.005434782608695652,"implementation of whitening loss is hard whitening that designs whitening transfor-
3"
ABSTRACT,0.007246376811594203,"mation over embedding and imposes the loss on the whitened output. In this paper,
4"
ABSTRACT,0.009057971014492754,"we propose spectral transformation (ST) framework to map the spectrum of embed-
5"
ABSTRACT,0.010869565217391304,"ding to a desired distribution during forward pass, and to modulate the spectrum
6"
ABSTRACT,0.012681159420289856,"of embedding by implicit gradient update during backward pass. We show that
7"
ABSTRACT,0.014492753623188406,"whitening transformation is a special instance of ST by definition, and there exist
8"
ABSTRACT,0.016304347826086956,"other instances that can avoid collapse by our empirical investigation. Furthermore,
9"
ABSTRACT,0.018115942028985508,"we propose a new instance of ST, called IterNorm with trace loss (INTL). We
10"
ABSTRACT,0.019927536231884056,"theoretically prove that INTL can avoid collapse and modulate the spectrum of
11"
ABSTRACT,0.021739130434782608,"embedding towards an equal-eigenvalue distribution during the course of opti-
12"
ABSTRACT,0.02355072463768116,"mization. Moreover, INTL achieves 76.6% top-1 accuracy in linear evaluation on
13"
ABSTRACT,0.025362318840579712,"ImageNet using ResNet-50, which exceeds the performance of the supervised base-
14"
ABSTRACT,0.02717391304347826,"line, and this result is obtained by using a batch size of only 256. Comprehensive
15"
ABSTRACT,0.028985507246376812,"experiments show that INTL is a promising SSL method in practice.
16"
INTRODUCTION,0.030797101449275364,"1
Introduction
17"
INTRODUCTION,0.03260869565217391,"Self-supervised learning (SSL) via joint embedding architectures to learn visual representations has
18"
INTRODUCTION,0.034420289855072464,"made significant progress over the last several years [1, 18, 7, 9, 2, 30], almost outperforming their
19"
INTRODUCTION,0.036231884057971016,"supervised counterpart on many downstream tasks [28, 23, 32]. This paradigm addresses to train
20"
INTRODUCTION,0.03804347826086957,"a dual pair of networks to produce similar embeddings for different views of the same image [9].
21"
INTRODUCTION,0.03985507246376811,"One main challenge with the joint embedding architectures is how to prevent a collapse of the
22"
INTRODUCTION,0.041666666666666664,"representation, in which the two branches ignore the inputs and produce identical and constant
23"
INTRODUCTION,0.043478260869565216,"outputs [9]. A variety of methods have been proposed to successfully avoid collapse, including
24"
INTRODUCTION,0.04528985507246377,"contrastive learning methods [41, 18, 34] that attract different views from the same image (positive
25"
INTRODUCTION,0.04710144927536232,"pairs) while pull apart different images (negative pairs), and non-contrastive methods [16, 9] that
26"
INTRODUCTION,0.04891304347826087,"directly match the positive targets without introducing negative pairs.
27"
INTRODUCTION,0.050724637681159424,"The collapse problem is further generalized into dimensional collapse [20, 24] (or informational
28"
INTRODUCTION,0.05253623188405797,"collapse [2]), where the embedding vectors only span a lower-dimensional subspace and would be
29"
INTRODUCTION,0.05434782608695652,"highly correlated. In this case, the covariance matrix of embedding has certain zero eigenvalues, which
30"
INTRODUCTION,0.05615942028985507,"degenerates the representation in SSL. To prevent dimensional collapse, a theoretically motivated
31"
INTRODUCTION,0.057971014492753624,"paradigm, called whitening loss, is proposed by minimizing the distance between embeddings of
32"
INTRODUCTION,0.059782608695652176,"positive pairs under the condition that embeddings from different views are whitened [12, 20].
33"
INTRODUCTION,0.06159420289855073,"One typical implementation of whitening loss is hard whitening [12, 40] that designs whitening
34"
INTRODUCTION,0.06340579710144928,"transformation over mini-batch data and imposes the loss on the whitened output [12, 20, 40]. We note
35"
INTRODUCTION,0.06521739130434782,"that the whitening transformation is a function over embedding during forward pass, and modulates
36"
INTRODUCTION,0.06702898550724638,"the spectrum of embedding implicitly during backward pass when minimizing the objective. This
37"
INTRODUCTION,0.06884057971014493,"raises questions whether there exist other functions over embedding can avoid collapse? If yes, how
38"
INTRODUCTION,0.07065217391304347,"the function affects the spectrum of embedding?
39"
INTRODUCTION,0.07246376811594203,X: input �~� �1
INTRODUCTION,0.07427536231884058,"�2
joint architecture �1 �2 �1 �2 ��(∙)"
INTRODUCTION,0.07608695652173914,"��′
′  (∙)"
INTRODUCTION,0.07789855072463768,�: embedding ST ST ℒ
INTRODUCTION,0.07971014492753623,�: transformed output �ℒ ��2 �ℒ ��1
INTRODUCTION,0.08152173913043478,"�ℒ
�Z1
�ℒ
�Z2"
INTRODUCTION,0.08333333333333333,"Figure 1: The framework using spectral transformation
(ST) to modulate the spectrum of embedding in joint em-
bedding architecture for SSL."
INTRODUCTION,0.08514492753623189,"This paper proposes spectral transforma-
40"
INTRODUCTION,0.08695652173913043,"tion (ST), a framework to modulate the
41"
INTRODUCTION,0.08876811594202899,"spectrum of embedding in joint embed-
42"
INTRODUCTION,0.09057971014492754,"ding architecture.
ST maps the spec-
43"
INTRODUCTION,0.09239130434782608,"trum of embedding to a desired distribu-
44"
INTRODUCTION,0.09420289855072464,"tion during forward pass, and modulates
45"
INTRODUCTION,0.09601449275362318,"the spectrum of embedding by implicit
46"
INTRODUCTION,0.09782608695652174,"gradient update during backward pass
47"
INTRODUCTION,0.09963768115942029,"(Figure 1). This framework provides a
48"
INTRODUCTION,0.10144927536231885,"way to seek for functions beyond whiten-
49"
