Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.005291005291005291,"We study the regret of Thompson sampling (TS) algorithms for exponential family
bandits, where the reward distribution is from a one-dimensional exponential fam-
ily, which covers many common reward distributions including Bernoulli, Gaussian,
Gamma, Exponential, etc. We propose a Thompson sampling algorithm, termed
ExpTS, which uses a novel sampling distribution to avoid the under-estimation
of the optimal arm. We provide a tight regret analysis for ExpTS, which simulta-
neously yields both the ﬁnite-time regret bound as well as the asymptotic regret
bound. In particular, for a K-armed bandit with exponential family rewards, Ex-
pTS over a horizon T is sub-UCB (a strong criterion for the ﬁnite-time regret that
is problem-dependent), minimax optimal up to a factor √log K, and asymptoti-
cally optimal, for exponential family rewards. Moreover, we propose ExpTS+, by
adding a greedy exploitation step in addition to the sampling distribution used in
ExpTS, to avoid the over-estimation of sub-optimal arms. ExpTS+ is an anytime
bandit algorithm and achieves the minimax optimality and asymptotic optimality
simultaneously for exponential family reward distributions. Our proof techniques
are general and conceptually simple and can be easily applied to analyze standard
Thompson sampling with speciﬁc reward distributions."
INTRODUCTION,0.010582010582010581,"1
Introduction"
INTRODUCTION,0.015873015873015872,"The Multi-Armed Bandit (MAB) problem is centered around a fundamental model for balancing
the exploration versus exploitation trade-off in many online decision problems. In this problem,
the agent is given an environment with a set of K arms [K] = {1, 2, · · · , K}. At each time step
t, the agent pulls an arm At ∈[K] based on observations of previous t −1 time steps, and then a
reward rt is revealed at the end of the step. In real-world applications, reward distributions often
have different forms such as Bernoulli, Gaussian, etc. As suggested by Auer et al. [8, 9], Agrawal
and Goyal [5], Lattimore [29], Garivier et al. [16], a good bandit strategy should be general enough
to cover a sufﬁciently rich family of reward distributions. In this paper, we assume the reward rt is
independently generated from some canonical one-parameter exponential family of distributions with
a mean value µAt. It is a rich family that covers many common distributions including Bernoulli,
Gaussian, Gamma, Exponential, and others."
INTRODUCTION,0.021164021164021163,"The goal of a bandit strategy is usually to maximize the cumulative reward over T time steps, which
is equivalent to minimizing the regret, deﬁned as the expected cumulative difference between playing"
INTRODUCTION,0.026455026455026454,"the best arm and playing the arm according to the strategy: Rµ(T) = T · maxi∈[K] µi −E[PT
t=1 rt].
We assume, without loss of generality, µ1 = maxi∈[K] µi is the best arm throughout this paper. For a
ﬁxed bandit instance (i.e., mean rewards µ1, · · · , µK are ﬁxed), Lai and Robbins [26] shows that for
distributions that are continuously parameterized by their means,"
INTRODUCTION,0.031746031746031744,"lim
T →∞
Rµ(T)"
INTRODUCTION,0.037037037037037035,"log T
≥
X i>1"
INTRODUCTION,0.042328042328042326,"µ1 −µi
kl(µi, µ1),
(1.1)"
INTRODUCTION,0.047619047619047616,"where kl(µi, µ1) is the Kullback-Leibler divergence between two distributions with mean µi and µ1.
A bandit strategy satisfying limT →∞Rµ(T)/ log T = P"
