Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0036231884057971015,"Neural Processes learn to ﬁt a broad class of stochastic processes with neural net-
works. Modeling functional uncertainty is an important aspect of learning stochastic
processes. Recently, Bootstrapping Neural Processes (B(A)NP) propose a bootstrap
method to capture the functional uncertainty which can replace the latent variable in
(Attentive) Neural Processes ((A)NP), thus overcoming the limitations of Gaussian
assumption on the latent variable. However, B(A)NP conduct bootstrapping in a
non-parallelizable and memory-inefﬁcient way and fail to capture diverse patterns
in the stochastic processes. Furthermore, we found that ANP and BANP both tend
to overﬁt in some cases. To resolve these problems, we propose an efﬁcient and
easy-to-implement approach, Neural Bootstrapping Attentive Neural Processes
(NeuBANP). NeuBANP learns to generate the bootstrap distribution of random func-
tions by injecting multiple random weights into the encoder and the loss function.
We evaluate our models in benchmark experiments including Bayesian optimization
and contextual multi-armed bandit. NeuBANP achieves the best performance in the
sequential decision-making tasks among NP methods, and this empirically shows
that our method greatly improves the quality of functional uncertainty modeling."
INTRODUCTION,0.007246376811594203,"1
INTRODUCTION"
INTRODUCTION,0.010869565217391304,"Neural Processes (NP) (Garnelo et al., 2018b) deﬁne distributions over functions given a set of
observations, and are trained via a meta-learning framework so that it can adapt to new functions
rapidly. NP learns to model a wide range of stochastic processes and can estimate the uncertainty over
the predictions with less computational effort, compared to Gaussian Processes (GP) (Rasmussen,
2003). However, NP frequently suffers from a fundamental drawback of underﬁtting. As a remedy
of the underﬁtting issue, Attentive Neural Processes (ANP) (Kim et al., 2018) applies the attention
modules to the encoder network. Despite this modiﬁcation, a single Gaussian latent variable of (A)NP
has a limitation in inducing functional uncertainty (Louizos et al., 2019), a global uncertainty that
decides the distribution over the space of trajectories or functions."
INTRODUCTION,0.014492753623188406,"Appropriate modeling of functional uncertainty in stochastic processes improves the predictive
performance and diversity in function realizations (Le et al., 2018), thus provides a principled way
to guide agents to ﬁnd optimal candidates in sequential decision-making problems. In these tasks, a
model needs to approximate a function and estimate uncertainty correctly to optimize a black-box
function whose analytic information is not given. Although GP is widely used for these tasks, these
are the promising area for the application of NP because GP is computationally expensive, and it can
be hard to choose an appropriate prior. Recently, Bootstrapping Neural Processes (B(A)NP) (Lee
et al., 2020) modify (A)NP to induce more robust uncertainty estimation by employing the residual
bootstrapping. However, B(A)NP underperforms in capturing a functional uncertainty because the
residual bootstrapping works in a homoscedastic way, removing the connection between the feature
and the label in its bootstrapped samples. The bootstrap strategy used in B(A)NP demands a higher
computational burden compared to (A)NP since it requires multiple computations of the encoder
network and additional heuristics, including the adaptation layer and the lower bound on the variance1.
Furthermore, ANP and BANP tend to overﬁt for a simple regression task rather than learning the
underlying heteroscedasticity. We observed that this problem is a by-product of the attention modules"
INTRODUCTION,0.018115942028985508,"1We colored the revised or added sentences in blue only for the rebuttal. This color will not appear in the
ﬁnal version of the manuscript."
INTRODUCTION,0.021739130434782608,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.025362318840579712,"used in both models (see Figure 1 and 5). This ﬁnding suggests that effective regularization of
attention modules is required to prevent overﬁtting. Additionally, as explained in Section 4, ANP and
BANP often tend to estimate homogeneous uncertainty regardless of whether the observation is given."
INTRODUCTION,0.028985507246376812,"Fig. 1. Each plot shows predictions given by ANP, BANP, and the proposed method in a linear regression.
The ground-truth function is a simple linear function with heterogeneous variance: y = x + βϵ(x) where
ϵ(x) ∼N(0, σ2(x)) and σ(x) =
√"
INTRODUCTION,0.03260869565217391,x2 + 10−5. See Appendix B.1 for more details.
