Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005434782608695652,"We describe a curriculum learning framework capable of discovering optimal
curricula in addition to performing standard curriculum learning. We show that
this framework encompasses existing curriculum learning approaches such as
difﬁculty-based data sub-sampling, data pruning, and loss re-weighting. We em-
ploy the proposed framework to address the following key questions in curriculum
learning: (a) what is the best curriculum to train a given model on a given dataset?
and (b) what are the characteristics of optimal curricula for different datasets and
difﬁculty metrics? We show that our framework outperforms competing state-
of-the-art curriculum learning approaches in natural language inference and two
other text classiﬁcation tasks. Exhaustive experiments illustrate the generalizabil-
ity of the discovered curricula across the datasets and difﬁculty metrics."
INTRODUCTION,0.010869565217391304,"1
INTRODUCTION"
INTRODUCTION,0.016304347826086956,"Curriculum Learning (CL) is a technique in Machine Learning that mimics human education sys-
tems. To learn a complex subject, students must ﬁrst learn the foundational and basic materials
before learning more complex ones. Without a curriculum, learning may be intractable, inefﬁcient
and learners may never reach a full understanding of a topic due to lack of the required background
knowledge. Machine learning optimization through stochastic gradient descent trains models by ob-
serving example data instances. Some data instances are harder than others and require background
knowledge, which could be acquired by observing and being adept at easier examples before harder
ones. CL techniques seek to order examples according to their difﬁculty for training to generate bet-
ter models. It has been shown that CL improves performance in solving harder tasks, or in cases of
limited or noisy data (Wu et al., 2021). CL research has made signiﬁcant progress in the last decade
through the work of Bengio et al. (2009), although the principle of ordering training samples from
easier to harder was introduced in the 1990s (Elman, 1993; Sanger, 1994; Rohde & Plaut, 1999)."
INTRODUCTION,0.021739130434782608,"A curriculum can be deﬁned by ordering training samples based on their difﬁculty to learn. Given a
measure of difﬁculty, there are different types of CL approaches for ordering the data: sub-sampling
techniques, which sample the easiest or hardest data points at every iteration for training (Zhou
et al., 2020; Bengio et al., 2009; Xu et al., 2020; Guo et al., 2018; Platanios et al., 2019), sample
weighting techniques, which use the complete data at every iteration but weight data points differ-
ently according to their difﬁculty (Castells et al., 2020; Kumar et al., 2010; Jiang et al., 2015; 2018;
Zhou et al., 2020; Yang et al., 2019), and pruning techniques, which prune the hard or noisy samples
from the dataset prior to training (Northcutt et al., 2021; Guo et al., 2018). Sub-sampling methods
can be cumulative, exclusive or a combination of both. Cumulative approaches add new data points
to the ones that have previously been used for training. On the other hand, exclusive approaches
create a new subset of data at every training stage. Such methods can introduce samples from easy
to hard (Bengio et al., 2009; Kumar et al., 2010) or hard to easy, which can be an effective learning
strategy in some speciﬁc tasks (Kocmi & Bojar, 2017; Zhang et al., 2018; 2019). In addition, CL
methods may impose a curriculum by adjusting model’s capacity according to the difﬁculty of their
inputs (Karras et al., 2018; Sinha et al., 2020; Morerio et al., 2017) or schedule the order of tasks
in the context of multi-task learning (Caubri`ere et al., 2019; Saraﬁanos et al., 2017; Florensa et al.,
2017). Other CL approaches such as (Zhou et al., 2020; Saxena et al., 2019) use O(n), where n is
the number of training samples, extra parameters for learning curricula."
INTRODUCTION,0.02717391304347826,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03260869565217391,"(a) Effect of varying the parameters.
(b) Easy to Hard Curriculum."
INTRODUCTION,0.03804347826086957,"Figure 1: The effect of the rate of growth and shift parameters (r, s). (a) illustrates different weight-
ing strategies that can be obtained by varying the rate and shift parameters. (b) a speciﬁc parameter
conﬁguration for a curriculum that ﬁrst introduces easier training samples to a model, and then
gradually introduces medium and hard samples at 30% and 60% of the training epochs."
INTRODUCTION,0.043478260869565216,"Current CL approaches calculate difﬁculty scores for training samples based on the loss of a trained
model (Xu et al., 2020; Wu et al., 2021), trainable parameters that weight samples (Kumar et al.,
2010; Jiang et al., 2015; Castells et al., 2020), loss value during training (Wu et al., 2021), moving
average of loss during training (Zhou et al., 2020), transformations of the loss during training (Jiang
et al., 2018; Castells et al., 2020), and consistency in the correct classiﬁcation of samples (Amiri
et al., 2017; Xu et al., 2020). The difﬁculty scores will then be used to order samples for training."
INTRODUCTION,0.04891304347826087,"In this work, we focus on an alternative approach, where examples can be ordered based on prior
knowledge about their difﬁculty, e.g., object shape or orientation in image classiﬁcation (Bengio
et al., 2009). We will demonstrate a CL framework that encompasses existing CL approaches
through an effective and ﬂexible data partitioning and weighting scheme. Our framework provides a
new paradigm for selecting an ordering strategy. Instead of a pre-determined strategy, the framework
allows searching over the curriculum space to identify the best curriculum for a particular dataset
and model. It partitions training data into several groups of training samples, e.g. {easy, medium,
hard} samples, according to a difﬁculty scoring function. Parameterized weighting functions will
then be deﬁned for each data group to specify the weight of its samples during training. Each weight
function is controlled by two parameters, which can be set empirically or adjusted using Bayesian
optimization. In addition, the framework discovers optimal curricula by optimizing the parame-
ters of the weight functions (only 2 parameters per function) using a hyper-parameter optimization
algorithm. Furthermore, the curricula identiﬁed through this search provide useful insight about
the dataset, such as the relative importance of different samples or knowledge dependency between
samples, e.g. which samples should be learned ﬁrst."
