Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002331002331002331,"Although it is well known that exploration plays a key role in Reinforcement
1"
ABSTRACT,0.004662004662004662,"Learning (RL), prevailing exploration strategies for continuous control tasks in
2"
ABSTRACT,0.006993006993006993,"RL are mainly based on naive isotropic Gaussian noise regardless of the causality
3"
ABSTRACT,0.009324009324009324,"relationship between action space and the task and consider all dimensions of
4"
ABSTRACT,0.011655011655011656,"actions equally important. In this work, we propose to conduct interventions on
5"
ABSTRACT,0.013986013986013986,"the primal action space to discover the causal relationship between the action
6"
ABSTRACT,0.016317016317016316,"space and the task reward. We propose the method of State-Wise Action Reﬁned
7"
ABSTRACT,0.018648018648018648,"(SWAR), which addresses the issue of action space redundancy and promote
8"
ABSTRACT,0.02097902097902098,"causality discovery in RL. We formulate causality discovery in RL tasks as a state-
9"
ABSTRACT,0.023310023310023312,"dependent action space selection problem and propose two practical algorithms
10"
ABSTRACT,0.02564102564102564,"as solutions. The ﬁrst approach, TD-SWAR, detects task-related actions during
11"
ABSTRACT,0.027972027972027972,"temporal difference learning, while the second approach, Dyn-SWAR, reveals
12"
ABSTRACT,0.030303030303030304,"important actions through dynamic model prediction. Empirically, both methods
13"
ABSTRACT,0.03263403263403263,"provide approaches to understand the decisions made by RL agents and improve
14"
ABSTRACT,0.03496503496503497,"learning efﬁciency in action-redundant tasks.
15"
INTRODUCTION,0.037296037296037296,"1
Introduction
16"
INTRODUCTION,0.039627039627039624,"Although model-free RL has achieved great success in various challenging tasks and outperforms
17"
INTRODUCTION,0.04195804195804196,"experts in most cases [21, 26, 17, 34, 4], the design of action space always requires elaboration. For
18"
INTRODUCTION,0.04428904428904429,"example, in the game StarCraftII, hundreds of units can be selected and controlled to perform various
19"
INTRODUCTION,0.046620046620046623,"actions. To tackle the difﬁculty in exploration caused by the extremely large action and state space,
20"
INTRODUCTION,0.04895104895104895,"hierarchical action space design and imitation learning are used [27, 34] to reduce the exploration
21"
INTRODUCTION,0.05128205128205128,"space. Both of those approaches require expert knowledge of the task. On the other hand, even in the
22"
INTRODUCTION,0.053613053613053616,"context of imitation learning where expert data is assumed to be accessible, causal confusion will still
23"
INTRODUCTION,0.055944055944055944,"hinder the performance of an agent [8]. Those defects motivate us to explore the causality-awareness
24"
INTRODUCTION,0.05827505827505827,"of an agent that permits an agent to discover the causal relationship for the environment and select
25"
INTRODUCTION,0.06060606060606061,"useful dimensions of action space during policy learning in pursuance of improved learning efﬁciency.
26"
INTRODUCTION,0.06293706293706294,"Another motivating example is the in-hand manipulation tasks [2]: robotics equipped with touch
27"
