Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011695906432748538,"Spiking Neural Networks (SNNs) seek to mimic the spiking behavior of biological
1"
ABSTRACT,0.0023391812865497076,"neurons and are expected to play a key role in the advancement of neural computing
2"
ABSTRACT,0.0035087719298245615,"and artificial intelligence. The efficiency of SNNs is often determined by the
3"
ABSTRACT,0.004678362573099415,"neural coding schemes. Existing coding schemes either cause huge delays and
4"
ABSTRACT,0.005847953216374269,"energy consumption or necessitate intricate neuron models and training techniques.
5"
ABSTRACT,0.007017543859649123,"To address these issues, we propose a novel Stepwise Weighted Spike (SWS)
6"
ABSTRACT,0.008187134502923977,"coding scheme to enhance the encoding of information in spikes. This approach
7"
ABSTRACT,0.00935672514619883,"compresses the spikes by weighting the significance of the spike in each step of
8"
ABSTRACT,0.010526315789473684,"neural computation, achieving high performance and low energy consumption. A
9"
ABSTRACT,0.011695906432748537,"Ternary Self-Amplifying (TSA) neuron model with a silent period is proposed for
10"
ABSTRACT,0.012865497076023392,"supporting SWS-based computing, aimed at minimizing the residual error resulting
11"
ABSTRACT,0.014035087719298246,"from stepwise weighting in neural computation. Our experimental results show
12"
ABSTRACT,0.0152046783625731,"that the SWS coding scheme outperforms the existing neural coding schemes in
13"
ABSTRACT,0.016374269005847954,"very deep SNNs, and significantly reduces operations and latency.
14"
INTRODUCTION,0.017543859649122806,"1
Introduction
15"
INTRODUCTION,0.01871345029239766,"Spiking Neural Networks (SNNs) are known as the third generation of neural network models
16"
INTRODUCTION,0.019883040935672516,"inspired by the biological structures and functions in the brain [32]. Unlike traditional Artificial
17"
INTRODUCTION,0.021052631578947368,"Neural Networks (ANNs) that use continuous activation functions, SNNs incorporate discrete spiking
18"
INTRODUCTION,0.022222222222222223,"events, enabling them to capture temporal dynamics and process information in a manner that closely
19"
INTRODUCTION,0.023391812865497075,"mimics the brain’s functioning [31]. This event-driven paradigm aligns with the brain’s energy-
20"
INTRODUCTION,0.02456140350877193,"efficient computation and has the potential for more efficient and lower-power computing systems.
21"
INTRODUCTION,0.025730994152046785,"[33].
22"
INTRODUCTION,0.026900584795321637,"Various coding schemes have been proposed to describe neural activities, including rate coding and
23"
INTRODUCTION,0.028070175438596492,"temporal coding [9]. Rate coding counts the number of spikes fired within a broad time window
24"
INTRODUCTION,0.029239766081871343,"[23, 3, 18, 6], which effectively mitigates the impact of short-term interference on the signal. It was
25"
INTRODUCTION,0.0304093567251462,"widely accepted in the early days and typically outperformed temporal coding [11, 34, 4, 29, 20].
26"
INTRODUCTION,0.031578947368421054,"However, the rate coding scheme disregards the information in the temporal domain of the input
27"
INTRODUCTION,0.03274853801169591,"spike sequence and requires many pulses to represent the input signal value, making it an inefficient
28"
INTRODUCTION,0.03391812865497076,"coding method that negates the low-power benefits of SNN. Due to the functional similarity to the
29"
INTRODUCTION,0.03508771929824561,"biological neural network, spiking neural networks can embrace the sparsity found in biology and
30"
INTRODUCTION,0.03625730994152047,"are highly compatible with temporal coding [31, 33, 27, 28, 21, 15]. Temporal coding relies on
31"
INTRODUCTION,0.03742690058479532,"the specific timing or patterns of input spikes, allowing for greater information capacity in a single
32"
INTRODUCTION,0.03859649122807018,"pulse. However, it requires a large number of time steps to provide fine-grained timing, which
33"
INTRODUCTION,0.03976608187134503,"increases inference latency. Its sensitivity to variations in spike timing also makes it more vulnerable
34"
INTRODUCTION,0.04093567251461988,"to temporal jitter or delays [25, 24]. Additionally, decoding temporal-coded information usually
35"
INTRODUCTION,0.042105263157894736,"requires more complex neuron models [30, 36] and training methodologies [17, 26].
36"
INTRODUCTION,0.04327485380116959,"In the study of the temporal information dynamics of spikes, Kim et al. [16] discovered a phenomenon
37"
INTRODUCTION,0.044444444444444446,"of temporal information concentration in SNNs. It is found that after training, information becomes
38"
INTRODUCTION,0.0456140350877193,"highly concentrated in the first few timesteps. Based on this observation, we hypothesize that, from
39"
INTRODUCTION,0.04678362573099415,"the perspective of the postsynaptic neuron, the first arriving spikes contain more information and
40"
INTRODUCTION,0.047953216374269005,"require stronger responses. Consequently, we propose a mechanism whereby the neuron augments
41"
INTRODUCTION,0.04912280701754386,"its own membrane potential with a specific coefficient prior to processing the subsequent input.
42"
INTRODUCTION,0.050292397660818715,"This enhancement serves to increase the importance of preceding pulses on neurons, which is why
43"
INTRODUCTION,0.05146198830409357,"the spikes are designated as Stepwise Weighted Spikes (SWS). Nevertheless, the amplification of
44"
INTRODUCTION,0.05263157894736842,"the membrane potential makes it difficult for neurons to reduce its value through traditional ""soft
45"
INTRODUCTION,0.05380116959064327,"reset"" (i.e. subtracted by an amount equal to the firing threshold), which can result in residual errors
46"
INTRODUCTION,0.05497076023391813,"after neuron firing. To address this issue, we make the membrane potential reduced by a magnitude
47"
INTRODUCTION,0.056140350877192984,"exceeding the threshold after firing. As a result, the membrane potential has both positive and negative
48"
INTRODUCTION,0.05730994152046784,"residual values, which will generate both positive and negative spikes. This neuron is designated as a
49"
INTRODUCTION,0.05847953216374269,"Ternary Self-Amplifying (TSA) neuron. To further reduce the error caused by the weighting process,
50"
INTRODUCTION,0.05964912280701754,"a silent period is incorporated into the TSA neuron, allowing it to receive more input information
51"
INTRODUCTION,0.0608187134502924,"before firing. We perform the classification tasks with SWS-based SNN on MNIST, CIFAR10, and
52"
INTRODUCTION,0.06198830409356725,"ImageNet. The results show that the SWS coding scheme can achieve better performance with much
53"
INTRODUCTION,0.06315789473684211,"fewer coding and computing steps. Even in very deep SNN, SWS coding scheme still performs well
54"
INTRODUCTION,0.06432748538011696,"and achieves similar accuracy to the ANN with the same structure. Our major contributions to this
55"
INTRODUCTION,0.06549707602339182,"paper can be summarized as follows:
56"
INTRODUCTION,0.06666666666666667,"• We propose the SWS coding scheme, which enables easy implementation of SNNs with
57"
INTRODUCTION,0.06783625730994151,"low energy consumption and high accuracy. The stepwise weighting process enhances
58"
INTRODUCTION,0.06900584795321638,"the information-carrying capacity of the preceding pulses, greatly reducing the number
59"
INTRODUCTION,0.07017543859649122,"of coding spikes. Negative pulses are introduced in SWS coding to ensure an accurate
60"
INTRODUCTION,0.07134502923976609,"information transmission.
61"
INTRODUCTION,0.07251461988304093,"• A novel TSA neuron model is proposed. TSA neuron progressively weights the input by
62"
INTRODUCTION,0.07368421052631578,"augmenting its residual membrane potential before receiving the subsequent spike. The
63"
INTRODUCTION,0.07485380116959064,"introduction of negative residual membrane potential and negative thresholds enhances the
64"
INTRODUCTION,0.07602339181286549,"accuracy of the model’s output.
65"
INTRODUCTION,0.07719298245614035,"• A silent period is added to TSA neuron to markedly improve accuracy at minimal latency
66"
INTRODUCTION,0.0783625730994152,"cost. By adjusting the silent period step and coding step, SWS-based SNNs can exhibit
67"
INTRODUCTION,0.07953216374269007,"performance advantages in different aspects, improving the flexibility of applications.
68"
RELATED WORK,0.08070175438596491,"2
Related work
69"
RELATED WORK,0.08187134502923976,"SNNs use spike sequences to convey information, making the encoding of real data into pulses a
70"
RELATED WORK,0.08304093567251462,"crucial step. Currently, the mainstream schemes of neural coding are rate coding and temporal coding
71"
RELATED WORK,0.08421052631578947,"[9, 33, 32]. Rate coding represents different activities with the number of spikes emitted within
72"
RELATED WORK,0.08538011695906433,"a specific time window. Due to its simplicity, rate coding is commonly used in deep learning of
73"
RELATED WORK,0.08654970760233918,"SNNs. However, it distributes information uniformly across a large number of spikes, resulting in an
74"
RELATED WORK,0.08771929824561403,"inefficient transmission process that increases network latency and energy consumption. Numerous
75"
RELATED WORK,0.08888888888888889,"researchers have proposed solutions to optimize inference latency in rate coding. Han et al.[11]
76"
RELATED WORK,0.09005847953216374,"proposed a ""soft reset"" spiking neuron model that retains a residual membrane potential after firing
77"
RELATED WORK,0.0912280701754386,"to better mimic the ReLU functionality. They demonstrated near lossless ANN-SNN conversion by
78"
RELATED WORK,0.09239766081871345,"using 2-8 times fewer inference time steps. Still, a delay of thousands of steps is required in large
79"
RELATED WORK,0.0935672514619883,"datasets or deep networks. In [14], Hu et al. reduced the encode time steps by converting a quantized
80"
RELATED WORK,0.09473684210526316,"low-precision ANN to a rate-coded SNN. They also proposed a layer-wise fine-tuning mechanism
81"
RELATED WORK,0.09590643274853801,"to minimize the inference latency. However, their neuron model and the subsequent fine-tuning
82"
RELATED WORK,0.09707602339181287,"algorithm are relatively complex. Furthermore, in deeper neural networks such as ResNet56, a 1.5%
83"
RELATED WORK,0.09824561403508772,"drop in accuracy can be observed. The above rate encoding solutions are limited because they do not
84"
RELATED WORK,0.09941520467836257,"consider the significance of each spike.
85"
RELATED WORK,0.10058479532163743,"In [15], Kim et al. proposed phase coding, which assigns different weights to spikes based on their
86"
RELATED WORK,0.10175438596491228,"time phase. However, the transmission amount of information is bounded by the global phase, which
87"
RELATED WORK,0.10292397660818714,"causes inefficiency in hidden layers, resulting in a latency of up to three thousand steps for a 32-layer
88"
RELATED WORK,0.10409356725146199,"network. Burst coding [21] attempts to overcome this issue by introducing burst spikes, which
89"
RELATED WORK,0.10526315789473684,"utilize Inter-Spike Interval (ISI). Burst spikes are capable of conveying more information quickly and
90"
